timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756911480000,1.415,1.415,1.415,2,1.415,200,1.415,2025-09-03 14:58:00+00:00
1756911600000,1.405,1.41,1.405,18,1.41,1305,1.405833,2025-09-03 15:00:00+00:00
1756911660000,1.405,1.405,1.4,43,1.405,5230,1.400757,2025-09-03 15:01:00+00:00
1756911720000,1.405,1.4091,1.405,7,1.4091,2841,1.405692,2025-09-03 15:02:00+00:00
1756911840000,1.4,1.405,1.4,35,1.405,3017,1.402554,2025-09-03 15:04:00+00:00
1756911900000,1.42,1.42,1.41,13,1.41,1901,1.410526,2025-09-03 15:05:00+00:00
1756911960000,1.4107,1.42,1.4107,3,1.42,2200,1.411545,2025-09-03 15:06:00+00:00
1756912080000,1.4,1.41,1.4,43,1.41,4375,1.403279,2025-09-03 15:08:00+00:00
1756912140000,1.4,1.4,1.4,15,1.4,1293,1.4,2025-09-03 15:09:00+00:00
1756912320000,1.3995,1.3995,1.3995,2,1.3995,503,1.3995,2025-09-03 15:12:00+00:00
1756912380000,1.395,1.3995,1.3905,8,1.3905,2826,1.395,2025-09-03 15:13:00+00:00
1756912440000,1.4,1.4,1.4,4,1.4,255,1.4,2025-09-03 15:14:00+00:00
1756912500000,1.395,1.3997,1.395,5,1.3997,309,1.396899,2025-09-03 15:15:00+00:00
1756912560000,1.39,1.39,1.39,4,1.39,916,1.39,2025-09-03 15:16:00+00:00
1756912620000,1.39,1.39,1.39,4,1.39,961,1.39,2025-09-03 15:17:00+00:00
1756912680000,1.395,1.395,1.39,19,1.39,3020,1.390517,2025-09-03 15:18:00+00:00
1756912740000,1.3901,1.3901,1.3901,9,1.3901,844,1.3901,2025-09-03 15:19:00+00:00
1756912800000,1.39,1.39,1.39,4,1.39,772,1.39,2025-09-03 15:20:00+00:00
1756912860000,1.395,1.395,1.3901,3,1.3901,202,1.39255,2025-09-03 15:21:00+00:00
1756913040000,1.395,1.395,1.395,9,1.395,237,1.395,2025-09-03 15:24:00+00:00
1756913100000,1.395,1.395,1.395,4,1.395,205,1.395,2025-09-03 15:25:00+00:00
1756913160000,1.4,1.4,1.4,1,1.4,100,1.4,2025-09-03 15:26:00+00:00
1756913340000,1.39,1.39,1.39,6,1.39,600,1.39,2025-09-03 15:29:00+00:00
1756913400000,1.3995,1.3995,1.3995,2,1.3995,217,1.3995,2025-09-03 15:30:00+00:00
1756913460000,1.39,1.39,1.39,7,1.39,372,1.39,2025-09-03 15:31:00+00:00
1756913520000,1.385,1.39,1.3805,9,1.385,3256,1.383328,2025-09-03 15:32:00+00:00
1756913580000,1.38,1.39,1.38,6,1.39,328,1.383731,2025-09-03 15:33:00+00:00
1756913640000,1.3899,1.3899,1.381,5,1.381,2060,1.387419,2025-09-03 15:34:00+00:00
1756913940000,1.3895,1.3895,1.3895,4,1.3895,1337,1.3895,2025-09-03 15:39:00+00:00
1756914000000,1.395,1.395,1.3805,10,1.3805,1732,1.389461,2025-09-03 15:40:00+00:00
1756914060000,1.39,1.39,1.39,5,1.39,500,1.39,2025-09-03 15:41:00+00:00
1756914180000,1.395,1.395,1.395,4,1.395,223,1.395,2025-09-03 15:43:00+00:00
1756914240000,1.3999,1.3999,1.3999,4,1.3999,193,1.3999,2025-09-03 15:44:00+00:00
1756914360000,1.3986,1.3986,1.3986,1,1.3986,200,1.3986,2025-09-03 15:46:00+00:00
1756914660000,1.3972,1.3972,1.3972,1,1.3972,120,1.3972,2025-09-03 15:51:00+00:00
1756914840000,1.3901,1.3901,1.3901,2,1.3901,181,1.3901,2025-09-03 15:54:00+00:00
1756914900000,1.3901,1.3901,1.3901,1,1.3901,850,1.3901,2025-09-03 15:55:00+00:00
1756915080000,1.39,1.39,1.39,2,1.39,2241,1.39,2025-09-03 15:58:00+00:00
1756915380000,1.3954,1.3954,1.3954,2,1.3954,125,1.3954,2025-09-03 16:03:00+00:00
1756915680000,1.3995,1.3995,1.3995,3,1.3995,201,1.3995,2025-09-03 16:08:00+00:00
1756915860000,1.39,1.39,1.39,3,1.39,1582,1.39,2025-09-03 16:11:00+00:00
1756915920000,1.4,1.4,1.399,6,1.399,470,1.399219,2025-09-03 16:12:00+00:00
1756915980000,1.4,1.4,1.3999,6,1.3999,506,1.399922,2025-09-03 16:13:00+00:00
1756916220000,1.395,1.395,1.395,1,1.395,950,1.395,2025-09-03 16:17:00+00:00
1756916340000,1.3989,1.3989,1.3989,2,1.3989,105,1.3989,2025-09-03 16:19:00+00:00
1756916700000,1.41,1.41,1.4,17,1.4,4587,1.402,2025-09-03 16:25:00+00:00
1756916880000,1.4191,1.4191,1.4191,1,1.4191,300,1.4191,2025-09-03 16:28:00+00:00
1756917240000,1.415,1.4195,1.415,13,1.4195,1250,1.417714,2025-09-03 16:34:00+00:00
1756917300000,1.4115,1.4115,1.4115,1,1.4115,1865,1.4115,2025-09-03 16:35:00+00:00
1756917600000,1.41,1.4193,1.41,16,1.4193,1407,1.412923,2025-09-03 16:40:00+00:00
1756917900000,1.4085,1.4085,1.4085,3,1.4085,603,1.4085,2025-09-03 16:45:00+00:00
1756918140000,1.405,1.405,1.405,2,1.405,237,1.405,2025-09-03 16:49:00+00:00
1756918200000,1.4097,1.4097,1.4097,1,1.4097,100,1.4097,2025-09-03 16:50:00+00:00
1756918560000,1.4005,1.4005,1.4005,1,1.4005,1258,1.4005,2025-09-03 16:56:00+00:00
1756918620000,1.405,1.405,1.402,9,1.405,8218,1.403427,2025-09-03 16:57:00+00:00
1756918680000,1.41,1.41,1.41,3,1.41,648,1.41,2025-09-03 16:58:00+00:00
1756918740000,1.401,1.401,1.401,1,1.401,400,1.401,2025-09-03 16:59:00+00:00
1756918920000,1.405,1.405,1.405,1,1.405,496,1.405,2025-09-03 17:02:00+00:00
1756919280000,1.4097,1.4097,1.4097,2,1.4097,105,1.4097,2025-09-03 17:08:00+00:00
1756919340000,1.4001,1.4001,1.4001,2,1.4001,313,1.4001,2025-09-03 17:09:00+00:00
1756919400000,1.4026,1.4026,1.4026,1,1.4026,250,1.4026,2025-09-03 17:10:00+00:00
1756919460000,1.405,1.405,1.4001,5,1.4001,405,1.401325,2025-09-03 17:11:00+00:00
1756919520000,1.4012,1.4012,1.4012,2,1.4012,123,1.4012,2025-09-03 17:12:00+00:00
1756919700000,1.405,1.405,1.405,4,1.405,210,1.405,2025-09-03 17:15:00+00:00
1756920000000,1.405,1.405,1.405,3,1.405,1029,1.405,2025-09-03 17:20:00+00:00
1756920660000,1.4095,1.4095,1.4095,3,1.4095,1132,1.4095,2025-09-03 17:31:00+00:00
1756920720000,1.4001,1.4001,1.4001,1,1.4001,500,1.4001,2025-09-03 17:32:00+00:00
1756921140000,1.41,1.41,1.405,18,1.405,3900,1.409,2025-09-03 17:39:00+00:00
1756921260000,1.41,1.41,1.41,11,1.41,1068,1.41,2025-09-03 17:41:00+00:00
1756921320000,1.4042,1.4079,1.4042,6,1.4079,706,1.405604,2025-09-03 17:42:00+00:00
1756921380000,1.4,1.4064,1.4,33,1.4064,3925,1.400435,2025-09-03 17:43:00+00:00
1756921500000,1.395,1.395,1.395,4,1.395,301,1.395,2025-09-03 17:45:00+00:00
1756921560000,1.395,1.395,1.395,4,1.395,104,1.395,2025-09-03 17:46:00+00:00
1756921620000,1.3995,1.3995,1.3905,7,1.3905,2259,1.394917,2025-09-03 17:47:00+00:00
1756921860000,1.395,1.395,1.395,6,1.395,601,1.395,2025-09-03 17:51:00+00:00
1756921920000,1.395,1.395,1.395,5,1.395,202,1.395,2025-09-03 17:52:00+00:00
1756921980000,1.395,1.395,1.3919,8,1.3919,4231,1.392048,2025-09-03 17:53:00+00:00
1756922040000,1.39,1.39,1.39,35,1.39,5557,1.39,2025-09-03 17:54:00+00:00
1756922280000,1.3858,1.3858,1.3858,6,1.3858,229,1.3858,2025-09-03 17:58:00+00:00
1756922340000,1.385,1.385,1.3805,3,1.3805,1322,1.381181,2025-09-03 17:59:00+00:00
1756922400000,1.3895,1.3895,1.385,5,1.385,1447,1.388543,2025-09-03 18:00:00+00:00
1756922520000,1.38,1.3812,1.38,2,1.3812,400,1.3806,2025-09-03 18:02:00+00:00
1756922640000,1.39,1.39,1.39,3,1.39,3853,1.39,2025-09-03 18:04:00+00:00
1756922940000,1.385,1.385,1.385,1,1.385,4000,1.385,2025-09-03 18:09:00+00:00
1756923060000,1.3899,1.3899,1.3899,5,1.3899,195,1.3899,2025-09-03 18:11:00+00:00
1756923300000,1.389,1.39,1.385,3,1.39,1285,1.385751,2025-09-03 18:15:00+00:00
1756923420000,1.3805,1.3805,1.3805,1,1.3805,1111,1.3805,2025-09-03 18:17:00+00:00
1756923600000,1.385,1.385,1.385,2,1.385,200,1.385,2025-09-03 18:20:00+00:00
1756923900000,1.385,1.385,1.385,14,1.385,1442,1.385,2025-09-03 18:25:00+00:00
