timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750685400000,1.11,1.11,1.11,1,1.11,177,1.11,2025-06-23 13:30:00+00:00
1750687800000,1.1,1.1,1.1,3,1.1,392,1.1,2025-06-23 14:10:00+00:00
1750689480000,1.095,1.095,1.095,1,1.095,200,1.095,2025-06-23 14:38:00+00:00
1750689600000,1.08,1.08,1.08,2,1.08,642,1.08,2025-06-23 14:40:00+00:00
1750692060000,1.04,1.04,1.04,1,1.04,110,1.04,2025-06-23 15:21:00+00:00
1750693500000,1.0601,1.0601,1.0601,1,1.0601,100,1.0601,2025-06-23 15:45:00+00:00
1750693560000,1.085,1.085,1.085,1,1.085,100,1.085,2025-06-23 15:46:00+00:00
1750693620000,1.07,1.07,1.07,5,1.07,1829,1.07,2025-06-23 15:47:00+00:00
1750697820000,1.1,1.1,1.1,2,1.1,111,1.1,2025-06-23 16:57:00+00:00
1750697880000,1.085,1.085,1.085,1,1.085,400,1.085,2025-06-23 16:58:00+00:00
1750699500000,1.09,1.09,1.09,6,1.09,125,1.09,2025-06-23 17:25:00+00:00
1750699860000,1.08,1.08,1.08,7,1.08,170,1.08,2025-06-23 17:31:00+00:00
1750701120000,1.0641,1.0641,1.0641,7,1.0641,233,1.0641,2025-06-23 17:52:00+00:00
1750705020000,1.1,1.1,1.1,8,1.1,374,1.1,2025-06-23 18:57:00+00:00
1750705080000,1.1,1.1,1.1,5,1.1,156,1.1,2025-06-23 18:58:00+00:00
1750708140000,1.1,1.1,1.1,4,1.1,139,1.1,2025-06-23 19:49:00+00:00
1750708800000,1.1,1.1,1.1,1,1.1,408,1.1,2025-06-23 20:00:00+00:00
1750771800000,1.17,1.17,1.17,1,1.17,232,1.17,2025-06-24 13:30:00+00:00
1750771980000,1.2,1.2,1.2,9,1.2,901,1.2,2025-06-24 13:33:00+00:00
1750772280000,1.18,1.19,1.17,18,1.18,2788,1.181304,2025-06-24 13:38:00+00:00
1750772400000,1.18,1.18,1.18,5,1.18,381,1.18,2025-06-24 13:40:00+00:00
1750772580000,1.2,1.2,1.18,2,1.18,2600,1.196923,2025-06-24 13:43:00+00:00
1750772700000,1.2,1.2,1.2,1,1.2,100,1.2,2025-06-24 13:45:00+00:00
1750772880000,1.2,1.2,1.18,17,1.18,2408,1.194406,2025-06-24 13:48:00+00:00
1750773060000,1.185,1.185,1.185,6,1.185,133,1.185,2025-06-24 13:51:00+00:00
1750773120000,1.2,1.2,1.19,4,1.19,267,1.195,2025-06-24 13:52:00+00:00
1750773180000,1.21,1.21,1.21,4,1.21,560,1.21,2025-06-24 13:53:00+00:00
1750773240000,1.22,1.22,1.22,5,1.22,1347,1.22,2025-06-24 13:54:00+00:00
1750773360000,1.23,1.23,1.23,10,1.23,412,1.23,2025-06-24 13:56:00+00:00
1750773480000,1.25,1.25,1.25,8,1.25,266,1.25,2025-06-24 13:58:00+00:00
1750773540000,1.25,1.25,1.25,1,1.25,348,1.25,2025-06-24 13:59:00+00:00
1750773660000,1.27,1.27,1.25,24,1.26,1006,1.25875,2025-06-24 14:01:00+00:00
1750773720000,1.25,1.28,1.25,13,1.25,6866,1.275581,2025-06-24 14:02:00+00:00
1750773900000,1.289,1.2893,1.289,5,1.2893,7506,1.289203,2025-06-24 14:05:00+00:00
1750774020000,1.25,1.25,1.25,5,1.25,355,1.25,2025-06-24 14:07:00+00:00
1750774080000,1.22,1.28,1.22,9,1.28,2697,1.224706,2025-06-24 14:08:00+00:00
1750774140000,1.22,1.22,1.22,1,1.22,169,1.22,2025-06-24 14:09:00+00:00
1750774320000,1.221,1.221,1.221,3,1.221,945,1.221,2025-06-24 14:12:00+00:00
1750774680000,1.2556,1.2556,1.2556,1,1.2556,100,1.2556,2025-06-24 14:18:00+00:00
1750774740000,1.2775,1.2775,1.25,24,1.25,9389,1.251335,2025-06-24 14:19:00+00:00
1750774800000,1.2706,1.2706,1.2706,1,1.2706,190,1.2706,2025-06-24 14:20:00+00:00
1750775040000,1.29,1.29,1.2798,7,1.2799,1348,1.281158,2025-06-24 14:24:00+00:00
1750775220000,1.27,1.28,1.27,12,1.28,2257,1.2795,2025-06-24 14:27:00+00:00
1750775340000,1.2797,1.28,1.2797,2,1.28,366,1.27985,2025-06-24 14:29:00+00:00
1750775640000,1.2301,1.2301,1.2301,1,1.2301,183,1.2301,2025-06-24 14:34:00+00:00
1750775760000,1.25,1.25,1.25,2,1.25,502,1.25,2025-06-24 14:36:00+00:00
1750775940000,1.2441,1.25,1.2441,3,1.25,1000,1.24764,2025-06-24 14:39:00+00:00
1750776180000,1.245,1.25,1.2303,11,1.25,10000,1.240047,2025-06-24 14:43:00+00:00
1750776840000,1.25,1.27,1.25,6,1.2636,602,1.264509,2025-06-24 14:54:00+00:00
1750777020000,1.255,1.255,1.255,2,1.255,810,1.255,2025-06-24 14:57:00+00:00
1750777140000,1.25,1.26,1.24,19,1.26,7786,1.251217,2025-06-24 14:59:00+00:00
1750778820000,1.2554,1.2554,1.2554,1,1.2554,500,1.2554,2025-06-24 15:27:00+00:00
