timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757009580000,0.7377,0.7377,0.7301,2,0.7301,2700,0.734885,2025-09-04 18:13:00+00:00
1757009700000,0.7301,0.7301,0.7301,2,0.7301,280,0.7301,2025-09-04 18:15:00+00:00
1757009760000,0.7387,0.7387,0.73,6,0.73,2908,0.735502,2025-09-04 18:16:00+00:00
1757010120000,0.7236,0.7236,0.7236,1,0.7236,100,0.7236,2025-09-04 18:22:00+00:00
1757010240000,0.7275,0.7275,0.7275,4,0.7275,404,0.7275,2025-09-04 18:24:00+00:00
1757010540000,0.7275,0.7275,0.7275,1,0.7275,101,0.7275,2025-09-04 18:29:00+00:00
1757011320000,0.7274,0.7274,0.7274,2,0.7274,610,0.7274,2025-09-04 18:42:00+00:00
1757011680000,0.7275,0.7275,0.7275,1,0.7275,153,0.7275,2025-09-04 18:48:00+00:00
1757012460000,0.7275,0.7275,0.7168,6,0.7168,5000,0.727054,2025-09-04 19:01:00+00:00
1757012700000,0.7275,0.7275,0.7275,2,0.7275,300,0.7275,2025-09-04 19:05:00+00:00
1757012760000,0.7195,0.7195,0.7061,2,0.7061,1265,0.712085,2025-09-04 19:06:00+00:00
1757013000000,0.7273,0.7273,0.7273,1,0.7273,3425,0.7273,2025-09-04 19:10:00+00:00
1757013360000,0.7273,0.7273,0.7273,5,0.7273,299,0.7273,2025-09-04 19:16:00+00:00
1757013960000,0.7221,0.7221,0.7221,1,0.7221,100,0.7221,2025-09-04 19:26:00+00:00
1757014200000,0.7274,0.7274,0.7274,1,0.7274,200,0.7274,2025-09-04 19:30:00+00:00
1757014500000,0.72,0.72,0.72,2,0.72,251,0.72,2025-09-04 19:35:00+00:00
1757014680000,0.7177,0.7177,0.7082,2,0.7082,2200,0.71295,2025-09-04 19:38:00+00:00
1757014740000,0.7347,0.7347,0.7122,16,0.7122,3890,0.718522,2025-09-04 19:39:00+00:00
1757015160000,0.7439,0.7439,0.7439,1,0.7439,195,0.7439,2025-09-04 19:46:00+00:00
1757015520000,0.735,0.735,0.735,1,0.735,100,0.735,2025-09-04 19:52:00+00:00
1757015580000,0.735,0.735,0.735,11,0.735,1129,0.735,2025-09-04 19:53:00+00:00
1757015640000,0.735,0.735,0.735,1,0.735,100,0.735,2025-09-04 19:54:00+00:00
1757015880000,0.7348,0.7348,0.7348,1,0.7348,197,0.7348,2025-09-04 19:58:00+00:00
1757015940000,0.7348,0.7348,0.7348,1,0.7348,199,0.7348,2025-09-04 19:59:00+00:00
1757016000000,0.7475,0.7475,0.7475,1,0.7475,945,0.7475,2025-09-04 20:00:00+00:00
1757079000000,0.7117,0.7256,0.7117,21,0.7251,1971,0.721232,2025-09-05 13:30:00+00:00
1757079120000,0.7117,0.7117,0.7117,2,0.7117,150,0.7117,2025-09-05 13:32:00+00:00
1757079240000,0.73,0.73,0.73,1,0.73,189,0.73,2025-09-05 13:34:00+00:00
1757079420000,0.7263,0.7263,0.7263,3,0.7263,553,0.7263,2025-09-05 13:37:00+00:00
1757079540000,0.706,0.706,0.706,2,0.706,108,0.706,2025-09-05 13:39:00+00:00
1757079600000,0.7068,0.7132,0.7068,14,0.7132,1142,0.708845,2025-09-05 13:40:00+00:00
1757079840000,0.7299,0.7299,0.7299,1,0.7299,285,0.7299,2025-09-05 13:44:00+00:00
1757079960000,0.7075,0.7096,0.7068,6,0.7068,1500,0.707173,2025-09-05 13:46:00+00:00
1757080020000,0.7248,0.7248,0.723,3,0.723,236,0.724,2025-09-05 13:47:00+00:00
1757080320000,0.7249,0.7249,0.7249,2,0.7249,570,0.7249,2025-09-05 13:52:00+00:00
1757080440000,0.7249,0.7249,0.7249,4,0.7249,350,0.7249,2025-09-05 13:54:00+00:00
1757081040000,0.714,0.714,0.714,1,0.714,268,0.714,2025-09-05 14:04:00+00:00
1757081160000,0.7184,0.7184,0.7184,1,0.7184,100,0.7184,2025-09-05 14:06:00+00:00
1757081520000,0.7184,0.7184,0.7184,1,0.7184,201,0.7184,2025-09-05 14:12:00+00:00
1757081640000,0.7122,0.7122,0.7122,2,0.7122,103,0.7122,2025-09-05 14:14:00+00:00
1757081820000,0.7121,0.7121,0.7121,4,0.7121,526,0.7121,2025-09-05 14:17:00+00:00
1757081880000,0.7122,0.7122,0.7122,1,0.7122,100,0.7122,2025-09-05 14:18:00+00:00
1757081940000,0.7185,0.7185,0.7185,1,0.7185,100,0.7185,2025-09-05 14:19:00+00:00
1757082240000,0.7174,0.7174,0.7174,1,0.7174,400,0.7174,2025-09-05 14:24:00+00:00
1757082600000,0.7184,0.7184,0.7184,1,0.7184,696,0.7184,2025-09-05 14:30:00+00:00
1757082660000,0.7121,0.7121,0.7121,2,0.7121,1001,0.7121,2025-09-05 14:31:00+00:00
1757082780000,0.72,0.72,0.7185,4,0.7185,354,0.719573,2025-09-05 14:33:00+00:00
1757083380000,0.7122,0.7122,0.7122,2,0.7122,146,0.7122,2025-09-05 14:43:00+00:00
1757083440000,0.716,0.716,0.7148,2,0.7148,700,0.714971,2025-09-05 14:44:00+00:00
1757083980000,0.716,0.716,0.716,1,0.716,500,0.716,2025-09-05 14:53:00+00:00
1757084340000,0.725,0.725,0.725,1,0.725,912,0.725,2025-09-05 14:59:00+00:00
1757084460000,0.7174,0.7174,0.7174,2,0.7174,105,0.7174,2025-09-05 15:01:00+00:00
1757084520000,0.725,0.725,0.725,1,0.725,10000,0.725,2025-09-05 15:02:00+00:00
1757085060000,0.725,0.725,0.725,4,0.725,350,0.725,2025-09-05 15:11:00+00:00
1757085300000,0.7148,0.7148,0.7148,1,0.7148,175,0.7148,2025-09-05 15:15:00+00:00
1757086320000,0.7101,0.7101,0.7101,1,0.7101,164,0.7101,2025-09-05 15:32:00+00:00
1757086560000,0.718,0.718,0.718,1,0.718,100,0.718,2025-09-05 15:36:00+00:00
1757086680000,0.7248,0.7248,0.7248,1,0.7248,240,0.7248,2025-09-05 15:38:00+00:00
1757087160000,0.7149,0.7154,0.7148,33,0.7149,3202,0.714891,2025-09-05 15:46:00+00:00
1757087580000,0.7249,0.7249,0.7249,1,0.7249,2100,0.7249,2025-09-05 15:53:00+00:00
1757088060000,0.7249,0.7249,0.7249,3,0.7249,1101,0.7249,2025-09-05 16:01:00+00:00
1757088240000,0.7199,0.7199,0.7154,3,0.7154,300,0.7169,2025-09-05 16:04:00+00:00
1757088480000,0.7163,0.7163,0.7163,1,0.7163,500,0.7163,2025-09-05 16:08:00+00:00
1757089260000,0.7164,0.7164,0.7164,2,0.7164,1506,0.7164,2025-09-05 16:21:00+00:00
1757089860000,0.722,0.722,0.722,3,0.722,206,0.722,2025-09-05 16:31:00+00:00
1757090160000,0.7219,0.7219,0.7219,1,0.7219,100,0.7219,2025-09-05 16:36:00+00:00
1757090580000,0.7248,0.7248,0.7248,1,0.7248,1500,0.7248,2025-09-05 16:43:00+00:00
1757090700000,0.7164,0.722,0.7164,2,0.722,560,0.7184,2025-09-05 16:45:00+00:00
1757090820000,0.7163,0.7163,0.7163,2,0.7163,459,0.7163,2025-09-05 16:47:00+00:00
1757090880000,0.7163,0.7163,0.7163,1,0.7163,100,0.7163,2025-09-05 16:48:00+00:00
1757091180000,0.7171,0.7171,0.7171,3,0.7171,235,0.7171,2025-09-05 16:53:00+00:00
1757091360000,0.7189,0.7189,0.7189,1,0.7189,100,0.7189,2025-09-05 16:56:00+00:00
1757091480000,0.718,0.718,0.718,2,0.718,160,0.718,2025-09-05 16:58:00+00:00
1757091540000,0.7171,0.7171,0.7171,1,0.7171,500,0.7171,2025-09-05 16:59:00+00:00
1757091660000,0.7189,0.7189,0.7171,2,0.7171,779,0.717745,2025-09-05 17:01:00+00:00
1757091720000,0.7207,0.7207,0.7171,3,0.7171,1100,0.717427,2025-09-05 17:02:00+00:00
1757091780000,0.7171,0.7171,0.7171,1,0.7171,500,0.7171,2025-09-05 17:03:00+00:00
1757091900000,0.7171,0.7171,0.7171,2,0.7171,503,0.7171,2025-09-05 17:05:00+00:00
1757091960000,0.7172,0.7172,0.7172,1,0.7172,500,0.7172,2025-09-05 17:06:00+00:00
1757092020000,0.7189,0.7189,0.7189,1,0.7189,133,0.7189,2025-09-05 17:07:00+00:00
1757092080000,0.7172,0.7199,0.7172,2,0.7199,600,0.71765,2025-09-05 17:08:00+00:00
1757092140000,0.7172,0.7172,0.7172,1,0.7172,500,0.7172,2025-09-05 17:09:00+00:00
1757092200000,0.7171,0.7172,0.7171,7,0.7172,1625,0.717131,2025-09-05 17:10:00+00:00
1757092800000,0.7171,0.7171,0.717,8,0.717,1041,0.717033,2025-09-05 17:20:00+00:00
1757092980000,0.7171,0.7171,0.7171,1,0.7171,500,0.7171,2025-09-05 17:23:00+00:00
1757093880000,0.717,0.717,0.717,1,0.717,240,0.717,2025-09-05 17:38:00+00:00
1757094780000,0.717,0.717,0.717,6,0.717,906,0.717,2025-09-05 17:53:00+00:00
1757094840000,0.7171,0.7171,0.7171,1,0.7171,1000,0.7171,2025-09-05 17:54:00+00:00
1757094960000,0.717,0.717,0.717,1,0.717,2000,0.717,2025-09-05 17:56:00+00:00
1757095860000,0.717,0.7171,0.717,3,0.7171,430,0.71704,2025-09-05 18:11:00+00:00
1757096280000,0.717,0.717,0.717,5,0.717,2085,0.717,2025-09-05 18:18:00+00:00
1757096820000,0.7171,0.7171,0.7171,1,0.7171,100,0.7171,2025-09-05 18:27:00+00:00
1757096940000,0.7171,0.7171,0.717,7,0.7171,2600,0.717073,2025-09-05 18:29:00+00:00
1757097300000,0.7159,0.717,0.7116,23,0.717,13113,0.715503,2025-09-05 18:35:00+00:00
1757097420000,0.7149,0.7149,0.7149,2,0.7149,250,0.7149,2025-09-05 18:37:00+00:00
1757097900000,0.7148,0.7148,0.7148,1,0.7148,100,0.7148,2025-09-05 18:45:00+00:00
1757098080000,0.7149,0.7149,0.7149,1,0.7149,100,0.7149,2025-09-05 18:48:00+00:00
1757098140000,0.7148,0.7148,0.7148,1,0.7148,300,0.7148,2025-09-05 18:49:00+00:00
1757098200000,0.7149,0.7149,0.7149,1,0.7149,500,0.7149,2025-09-05 18:50:00+00:00
1757098260000,0.7148,0.7148,0.7148,2,0.7148,1000,0.7148,2025-09-05 18:51:00+00:00
1757098440000,0.7148,0.7149,0.7148,5,0.7149,3253,0.714894,2025-09-05 18:54:00+00:00
1757098500000,0.7148,0.7148,0.7148,5,0.7148,500,0.7148,2025-09-05 18:55:00+00:00
1757098860000,0.7149,0.7149,0.7149,1,0.7149,600,0.7149,2025-09-05 19:01:00+00:00
1757099100000,0.7116,0.7149,0.7116,20,0.7149,5906,0.712409,2025-09-05 19:05:00+00:00
1757099160000,0.7128,0.714,0.7128,3,0.7132,303,0.713333,2025-09-05 19:06:00+00:00
1757099460000,0.7116,0.7116,0.7116,3,0.7116,1170,0.7116,2025-09-05 19:11:00+00:00
1757099640000,0.7114,0.7116,0.71,10,0.7116,3203,0.7112,2025-09-05 19:14:00+00:00
1757099700000,0.71,0.71,0.71,4,0.71,254,0.71,2025-09-05 19:15:00+00:00
1757099940000,0.71,0.71,0.71,4,0.71,400,0.71,2025-09-05 19:19:00+00:00
1757100300000,0.7101,0.7101,0.7101,1,0.7101,487,0.7101,2025-09-05 19:25:00+00:00
1757100360000,0.706,0.71,0.706,9,0.71,4650,0.706327,2025-09-05 19:26:00+00:00
1757100420000,0.7,0.706,0.7,16,0.706,5396,0.703254,2025-09-05 19:27:00+00:00
1757100540000,0.7,0.7001,0.7,3,0.7001,500,0.70008,2025-09-05 19:29:00+00:00
1757100600000,0.7001,0.7001,0.7001,2,0.7001,715,0.7001,2025-09-05 19:30:00+00:00
1757100660000,0.7001,0.7001,0.7,2,0.7,200,0.70005,2025-09-05 19:31:00+00:00
1757100720000,0.7001,0.7001,0.7001,1,0.7001,200,0.7001,2025-09-05 19:32:00+00:00
1757100780000,0.7001,0.7001,0.7001,1,0.7001,100,0.7001,2025-09-05 19:33:00+00:00
1757100840000,0.7,0.7001,0.7,2,0.7001,1090,0.700018,2025-09-05 19:34:00+00:00
1757100900000,0.7,0.7,0.7,8,0.7,1283,0.7,2025-09-05 19:35:00+00:00
1757101020000,0.7,0.7,0.7,3,0.7,365,0.7,2025-09-05 19:37:00+00:00
1757101440000,0.7,0.7001,0.7,17,0.7001,4036,0.700018,2025-09-05 19:44:00+00:00
1757101500000,0.7001,0.7001,0.7001,2,0.7001,112,0.7001,2025-09-05 19:45:00+00:00
1757101680000,0.7,0.7,0.7,1,0.7,100,0.7,2025-09-05 19:48:00+00:00
1757101800000,0.7001,0.7001,0.7001,1,0.7001,100,0.7001,2025-09-05 19:50:00+00:00
1757101860000,0.7,0.7,0.7,1,0.7,138,0.7,2025-09-05 19:51:00+00:00
1757101920000,0.7001,0.7001,0.7,4,0.7,1163,0.700087,2025-09-05 19:52:00+00:00
1757101980000,0.7001,0.7001,0.7001,1,0.7001,149,0.7001,2025-09-05 19:53:00+00:00
1757102040000,0.7096,0.7096,0.7,33,0.7,5493,0.701113,2025-09-05 19:54:00+00:00
1757102100000,0.7075,0.7093,0.7,16,0.7093,11750,0.700741,2025-09-05 19:55:00+00:00
1757102160000,0.7,0.7099,0.7,8,0.7099,1100,0.70679,2025-09-05 19:56:00+00:00
1757102220000,0.6999,0.7,0.6999,21,0.7,2764,0.699975,2025-09-05 19:57:00+00:00
1757102280000,0.6889,0.6949,0.6879,24,0.6949,4443,0.690515,2025-09-05 19:58:00+00:00
1757102340000,0.6801,0.6898,0.68,46,0.6898,29365,0.68306,2025-09-05 19:59:00+00:00
1757102400000,0.687,0.687,0.687,1,0.687,814,0.687,2025-09-05 20:00:00+00:00
1757338200000,0.55,0.5546,0.55,77,0.5505,39353,0.550561,2025-09-08 13:30:00+00:00
1757338260000,0.5447,0.5501,0.544,29,0.5501,7468,0.547367,2025-09-08 13:31:00+00:00
1757338320000,0.5403,0.5447,0.5403,31,0.5441,12868,0.543118,2025-09-08 13:32:00+00:00
1757338380000,0.5412,0.5412,0.5403,27,0.5404,6609,0.540501,2025-09-08 13:33:00+00:00
1757338440000,0.5401,0.5412,0.54,32,0.5412,29302,0.540505,2025-09-08 13:34:00+00:00
1757338500000,0.54,0.5401,0.54,29,0.54,8311,0.540004,2025-09-08 13:35:00+00:00
1757338560000,0.5301,0.5401,0.5301,42,0.54,7659,0.53879,2025-09-08 13:36:00+00:00
1757338620000,0.522,0.5314,0.522,71,0.5301,22614,0.527768,2025-09-08 13:37:00+00:00
1757338680000,0.5202,0.5278,0.52,210,0.522,91774,0.522708,2025-09-08 13:38:00+00:00
1757338740000,0.5183,0.5202,0.5183,80,0.5201,50463,0.519803,2025-09-08 13:39:00+00:00
1757338800000,0.5186,0.5196,0.5175,108,0.5175,41706,0.517817,2025-09-08 13:40:00+00:00
1757338860000,0.5151,0.5224,0.5151,112,0.5178,77417,0.518008,2025-09-08 13:41:00+00:00
1757338920000,0.5151,0.5158,0.5151,46,0.5151,16493,0.515251,2025-09-08 13:42:00+00:00
1757338980000,0.5255,0.526,0.515,44,0.5152,21317,0.515329,2025-09-08 13:43:00+00:00
1757339040000,0.5223,0.5223,0.5153,13,0.5153,5046,0.521729,2025-09-08 13:44:00+00:00
1757339100000,0.5242,0.5244,0.5203,16,0.5244,14911,0.523998,2025-09-08 13:45:00+00:00
1757339160000,0.5232,0.5242,0.523,25,0.5239,3876,0.52385,2025-09-08 13:46:00+00:00
1757339220000,0.53,0.53,0.524,28,0.524,6899,0.526984,2025-09-08 13:47:00+00:00
1757339280000,0.5347,0.5347,0.5299,20,0.53,12494,0.530029,2025-09-08 13:48:00+00:00
1757339340000,0.5347,0.5377,0.5347,12,0.5347,2629,0.5359,2025-09-08 13:49:00+00:00
1757339400000,0.533,0.5355,0.5313,28,0.5349,3842,0.53411,2025-09-08 13:50:00+00:00
1757339460000,0.5292,0.5301,0.5221,23,0.5301,4484,0.52538,2025-09-08 13:51:00+00:00
1757339520000,0.5327,0.5327,0.5273,22,0.5306,6199,0.529667,2025-09-08 13:52:00+00:00
1757339580000,0.5332,0.5341,0.5332,16,0.5335,1363,0.533858,2025-09-08 13:53:00+00:00
1757339640000,0.5359,0.5378,0.5331,24,0.5333,12910,0.534905,2025-09-08 13:54:00+00:00
1757339700000,0.5368,0.5373,0.5357,23,0.5357,3058,0.5365,2025-09-08 13:55:00+00:00
1757339760000,0.5334,0.5366,0.533,28,0.5361,51064,0.53569,2025-09-08 13:56:00+00:00
1757339820000,0.533,0.5339,0.5318,26,0.5335,21963,0.53362,2025-09-08 13:57:00+00:00
1757339880000,0.532,0.5331,0.5316,13,0.5316,3327,0.532156,2025-09-08 13:58:00+00:00
1757339940000,0.5469,0.5469,0.5324,35,0.5324,21676,0.541377,2025-09-08 13:59:00+00:00
1757340000000,0.5491,0.5491,0.5396,44,0.5469,10708,0.546972,2025-09-08 14:00:00+00:00
1757340060000,0.5535,0.5535,0.5438,86,0.549,43398,0.549944,2025-09-08 14:01:00+00:00
1757340120000,0.5521,0.557,0.5505,29,0.557,27543,0.553049,2025-09-08 14:02:00+00:00
1757340180000,0.539,0.5532,0.539,20,0.5525,9459,0.546817,2025-09-08 14:03:00+00:00
1757340240000,0.5475,0.5475,0.5408,19,0.545,9080,0.545831,2025-09-08 14:04:00+00:00
1757340300000,0.54,0.5472,0.539,9,0.5472,4068,0.544694,2025-09-08 14:05:00+00:00
1757340360000,0.5544,0.5544,0.5449,58,0.5455,31813,0.549858,2025-09-08 14:06:00+00:00
1757340420000,0.55,0.5544,0.5499,30,0.5544,20217,0.553905,2025-09-08 14:07:00+00:00
1757340480000,0.5479,0.5499,0.5479,9,0.5498,5535,0.549743,2025-09-08 14:08:00+00:00
1757340540000,0.5521,0.553,0.5486,32,0.5496,6812,0.550469,2025-09-08 14:09:00+00:00
1757340600000,0.5499,0.5533,0.5491,56,0.5533,20003,0.551436,2025-09-08 14:10:00+00:00
1757340660000,0.5452,0.5497,0.5452,22,0.5493,13200,0.549201,2025-09-08 14:11:00+00:00
1757340720000,0.5486,0.5486,0.545,11,0.5462,2746,0.547015,2025-09-08 14:12:00+00:00
1757340780000,0.5476,0.5484,0.5475,20,0.5475,8794,0.547875,2025-09-08 14:13:00+00:00
1757340840000,0.545,0.5473,0.545,33,0.5461,17357,0.54661,2025-09-08 14:14:00+00:00
1757340900000,0.53,0.5451,0.53,75,0.5451,63007,0.535062,2025-09-08 14:15:00+00:00
1757340960000,0.5324,0.5328,0.5311,21,0.532,5256,0.532088,2025-09-08 14:16:00+00:00
1757341020000,0.5378,0.5378,0.5326,24,0.5329,2668,0.534251,2025-09-08 14:17:00+00:00
1757341080000,0.5301,0.5361,0.53,33,0.5361,46130,0.531102,2025-09-08 14:18:00+00:00
1757341140000,0.5297,0.5301,0.5296,25,0.53,22861,0.529779,2025-09-08 14:19:00+00:00
1757341200000,0.5339,0.5339,0.5297,11,0.5297,1682,0.531177,2025-09-08 14:20:00+00:00
1757341260000,0.5399,0.54,0.5339,39,0.5347,7669,0.53587,2025-09-08 14:21:00+00:00
1757341320000,0.54,0.54,0.54,4,0.54,1572,0.54,2025-09-08 14:22:00+00:00
1757341380000,0.5476,0.5476,0.5404,25,0.5429,19056,0.546661,2025-09-08 14:23:00+00:00
1757341440000,0.5439,0.5476,0.5439,15,0.5476,5342,0.545745,2025-09-08 14:24:00+00:00
1757341500000,0.5405,0.5451,0.5403,14,0.5426,5585,0.542533,2025-09-08 14:25:00+00:00
1757341560000,0.5439,0.545,0.5426,15,0.5436,3022,0.543815,2025-09-08 14:26:00+00:00
1757341620000,0.5431,0.545,0.543,10,0.5434,935,0.54369,2025-09-08 14:27:00+00:00
1757341680000,0.5394,0.544,0.5391,32,0.5431,11553,0.541404,2025-09-08 14:28:00+00:00
