timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757602740000,16.8,16.8,16.7601,6,16.7601,920,16.776011,2025-09-11 14:59:00+00:00
1757602800000,17.0158,17.0158,16.83,21,16.83,8810,17.005716,2025-09-11 15:00:00+00:00
1757602860000,17.06,17.06,17.01,20,17.01,3128,17.0532,2025-09-11 15:01:00+00:00
1757602920000,17.015,17.015,17.015,4,17.015,337,17.015,2025-09-11 15:02:00+00:00
1757603040000,16.85,16.94,16.85,10,16.94,2840,16.870793,2025-09-11 15:04:00+00:00
1757603100000,16.92,16.98,16.9,10,16.9,16479,16.901324,2025-09-11 15:05:00+00:00
1757603160000,17.0339,17.0339,17.0339,8,17.0339,353,17.0339,2025-09-11 15:06:00+00:00
1757603220000,17.07,17.07,17.07,3,17.07,104,17.07,2025-09-11 15:07:00+00:00
1757603280000,17.0903,17.0903,17.0903,5,17.0903,548,17.0903,2025-09-11 15:08:00+00:00
1757603340000,16.98,16.98,16.98,4,16.98,156,16.98,2025-09-11 15:09:00+00:00
1757603400000,17.03,17.07,17.03,2,17.07,200,17.05,2025-09-11 15:10:00+00:00
1757603700000,17.03,17.0888,17.03,23,17.03,2075,17.067104,2025-09-11 15:15:00+00:00
1757603760000,17.0637,17.07,17.0637,5,17.07,1057,17.06433,2025-09-11 15:16:00+00:00
1757603820000,16.9754,17.07,16.9754,8,17.07,814,16.993244,2025-09-11 15:17:00+00:00
1757603880000,16.97,16.98,16.97,8,16.98,526,16.977619,2025-09-11 15:18:00+00:00
1757603940000,17.025,17.025,17.02,2,17.02,215,17.022512,2025-09-11 15:19:00+00:00
1757604000000,17.06,17.06,17.06,2,17.06,103,17.06,2025-09-11 15:20:00+00:00
1757604060000,17.076,17.076,17.076,7,17.076,587,17.076,2025-09-11 15:21:00+00:00
1757604120000,16.82,16.82,16.82,5,16.82,470,16.82,2025-09-11 15:22:00+00:00
1757604180000,16.92,16.92,16.9,6,16.9,1522,16.912021,2025-09-11 15:23:00+00:00
1757604240000,16.925,16.959,16.925,4,16.956,501,16.9448,2025-09-11 15:24:00+00:00
1757604300000,16.9001,16.9001,16.9001,6,16.9001,169,16.9001,2025-09-11 15:25:00+00:00
1757604360000,16.995,16.995,16.995,4,16.995,291,16.995,2025-09-11 15:26:00+00:00
1757604420000,17.04,17.071,16.9906,74,16.9906,25629,17.039914,2025-09-11 15:27:00+00:00
1757604480000,17.095,17.095,17.095,3,17.095,915,17.095,2025-09-11 15:28:00+00:00
1757604540000,17.115,17.115,17.115,13,17.115,283,17.115,2025-09-11 15:29:00+00:00
1757604600000,17.17,17.17,17.1,11,17.11,850,17.114298,2025-09-11 15:30:00+00:00
1757604660000,17.17,17.18,17.15,11,17.1714,2420,17.161427,2025-09-11 15:31:00+00:00
1757604720000,17.1925,17.2199,17.17,23,17.17,14288,17.186678,2025-09-11 15:32:00+00:00
1757604780000,17.22,17.2494,17.189,32,17.189,2979,17.206622,2025-09-11 15:33:00+00:00
1757604840000,17.24,17.2492,17.18,12,17.2492,2278,17.220284,2025-09-11 15:34:00+00:00
1757604900000,17.1862,17.22,17.1862,28,17.21,5846,17.205222,2025-09-11 15:35:00+00:00
1757604960000,17.1806,17.24,17.1806,24,17.23,9512,17.208288,2025-09-11 15:36:00+00:00
1757605020000,17.21,17.21,17.21,4,17.21,391,17.21,2025-09-11 15:37:00+00:00
1757605080000,17.12,17.1738,17.1,28,17.1738,3504,17.112397,2025-09-11 15:38:00+00:00
1757605140000,17.1639,17.1639,17.1639,5,17.1639,545,17.1639,2025-09-11 15:39:00+00:00
1757605260000,17.18,17.18,17.08,16,17.13,1187,17.114,2025-09-11 15:41:00+00:00
1757605320000,17.21,17.23,17.2,24,17.2,979,17.207111,2025-09-11 15:42:00+00:00
1757605380000,17.19,17.2,17.15,19,17.2,2925,17.184475,2025-09-11 15:43:00+00:00
1757605440000,17.2,17.2,17.2,12,17.2,512,17.2,2025-09-11 15:44:00+00:00
1757605500000,17.28,17.28,17.25,24,17.25,2302,17.278421,2025-09-11 15:45:00+00:00
1757605560000,17.2624,17.28,17.26,11,17.27,982,17.271771,2025-09-11 15:46:00+00:00
1757605620000,17.22,17.225,17.22,3,17.225,945,17.224468,2025-09-11 15:47:00+00:00
1757605680000,17.15,17.2789,17.15,15,17.2789,1770,17.165673,2025-09-11 15:48:00+00:00
1757605920000,17.0912,17.0912,17.0207,6,17.0207,404,17.070883,2025-09-11 15:52:00+00:00
1757606040000,17.15,17.15,17.14,15,17.14,2566,17.141675,2025-09-11 15:54:00+00:00
1757606160000,17.06,17.06,17.06,2,17.06,120,17.06,2025-09-11 15:56:00+00:00
1757606220000,17.02,17.05,17.02,16,17.04,1121,17.025556,2025-09-11 15:57:00+00:00
1757606280000,17.05,17.05,17.02,17,17.02,1177,17.03137,2025-09-11 15:58:00+00:00
1757606340000,17.04,17.04,17.01,18,17.01,3407,17.011988,2025-09-11 15:59:00+00:00
1757606460000,17.14,17.18,17.14,6,17.18,782,17.157951,2025-09-11 16:01:00+00:00
1757606580000,17.21,17.21,17.21,11,17.21,306,17.21,2025-09-11 16:03:00+00:00
1757606640000,17.15,17.15,17.15,4,17.15,199,17.15,2025-09-11 16:04:00+00:00
1757606700000,17.03,17.06,17.03,4,17.06,341,17.04,2025-09-11 16:05:00+00:00
1757606760000,17.06,17.06,17.06,4,17.06,404,17.06,2025-09-11 16:06:00+00:00
1757606820000,17.03,17.03,17.03,4,17.03,424,17.03,2025-09-11 16:07:00+00:00
1757606880000,16.95,17.0,16.94,12,17.0,1731,16.98702,2025-09-11 16:08:00+00:00
1757606940000,16.87,16.91,16.87,32,16.9,5135,16.897606,2025-09-11 16:09:00+00:00
1757607000000,16.867,16.89,16.867,6,16.89,425,16.882581,2025-09-11 16:10:00+00:00
1757607060000,16.87,16.87,16.86,9,16.86,727,16.865137,2025-09-11 16:11:00+00:00
1757607120000,16.8,16.8539,16.8,17,16.82,812,16.830783,2025-09-11 16:12:00+00:00
1757607180000,16.86,16.86,16.86,4,16.86,1770,16.86,2025-09-11 16:13:00+00:00
1757607240000,16.89,16.89,16.86,8,16.86,1259,16.881172,2025-09-11 16:14:00+00:00
1757607300000,16.8881,16.8881,16.88,3,16.88,277,16.883057,2025-09-11 16:15:00+00:00
1757607360000,16.82,16.9,16.82,5,16.9,392,16.846667,2025-09-11 16:16:00+00:00
1757607480000,16.88,16.88,16.88,6,16.88,1033,16.88,2025-09-11 16:18:00+00:00
1757607540000,16.94,16.94,16.94,4,16.94,190,16.94,2025-09-11 16:19:00+00:00
1757607600000,16.93,16.93,16.93,6,16.93,217,16.93,2025-09-11 16:20:00+00:00
1757607780000,17.0,17.0,17.0,3,17.0,156,17.0,2025-09-11 16:23:00+00:00
1757607840000,17.0,17.0,17.0,12,17.0,2820,17.0,2025-09-11 16:24:00+00:00
1757607960000,17.02,17.02,17.02,2,17.02,101,17.02,2025-09-11 16:26:00+00:00
1757608080000,17.0241,17.05,17.0241,6,17.05,2608,17.048568,2025-09-11 16:28:00+00:00
1757608140000,17.02,17.04,17.02,4,17.04,1745,17.02944,2025-09-11 16:29:00+00:00
1757608260000,16.98,17.0143,16.98,8,16.9962,2274,16.988923,2025-09-11 16:31:00+00:00
1757608320000,16.985,17.02,16.985,21,17.02,2832,17.000411,2025-09-11 16:32:00+00:00
1757608440000,16.98,16.98,16.98,5,16.98,276,16.98,2025-09-11 16:34:00+00:00
1757608680000,16.98,17.0,16.95,7,17.0,1111,16.958682,2025-09-11 16:38:00+00:00
1757608800000,16.93,16.9883,16.93,8,16.9406,4882,16.9834,2025-09-11 16:40:00+00:00
1757609100000,16.8857,16.8857,16.8857,2,16.8857,230,16.8857,2025-09-11 16:45:00+00:00
1757609220000,16.94,16.94,16.94,6,16.94,735,16.94,2025-09-11 16:47:00+00:00
1757609280000,17.01,17.01,17.01,3,17.01,162,17.01,2025-09-11 16:48:00+00:00
1757609400000,16.9551,17.0,16.9551,2,17.0,775,16.994206,2025-09-11 16:50:00+00:00
1757609520000,16.87,16.94,16.87,6,16.94,716,16.913411,2025-09-11 16:52:00+00:00
1757609640000,16.94,16.94,16.94,4,16.94,425,16.94,2025-09-11 16:54:00+00:00
1757610060000,17.05,17.05,16.98,21,16.982,3222,16.992024,2025-09-11 17:01:00+00:00
1757610120000,17.12,17.12,17.12,1,17.12,200,17.12,2025-09-11 17:02:00+00:00
1757610240000,17.18,17.18,17.18,3,17.18,2017,17.18,2025-09-11 17:04:00+00:00
1757610300000,17.2,17.2,17.15,7,17.15,567,17.188023,2025-09-11 17:05:00+00:00
1757610360000,17.25,17.25,17.1662,11,17.1662,2173,17.246102,2025-09-11 17:06:00+00:00
1757610420000,17.29,17.31,17.25,31,17.25,3245,17.294789,2025-09-11 17:07:00+00:00
1757610480000,17.29,17.29,17.29,6,17.29,385,17.29,2025-09-11 17:08:00+00:00
1757610540000,17.344,17.344,17.344,1,17.344,2000,17.344,2025-09-11 17:09:00+00:00
1757610600000,17.35,17.35,17.3338,9,17.3338,812,17.340254,2025-09-11 17:10:00+00:00
1757610720000,17.355,17.355,17.31,5,17.31,1231,17.330417,2025-09-11 17:12:00+00:00
1757610840000,17.3,17.3,17.3,5,17.3,1287,17.3,2025-09-11 17:14:00+00:00
1757610900000,17.3494,17.3494,17.305,8,17.305,875,17.340994,2025-09-11 17:15:00+00:00
1757610960000,17.23,17.24,17.23,15,17.24,3506,17.231478,2025-09-11 17:16:00+00:00
1757611080000,17.27,17.27,17.27,3,17.27,203,17.27,2025-09-11 17:18:00+00:00
1757611140000,17.25,17.306,17.25,9,17.3,662,17.274333,2025-09-11 17:19:00+00:00
1757611200000,17.29,17.29,17.29,13,17.29,4145,17.29,2025-09-11 17:20:00+00:00
1757611260000,17.26,17.31,17.25,9,17.31,1338,17.290735,2025-09-11 17:21:00+00:00
1757611380000,17.33,17.33,17.33,2,17.33,120,17.33,2025-09-11 17:23:00+00:00
1757611440000,17.343,17.343,17.343,7,17.343,264,17.343,2025-09-11 17:24:00+00:00
1757611500000,17.35,17.35,17.34,12,17.34,965,17.345632,2025-09-11 17:25:00+00:00
1757611560000,17.3047,17.4,17.3047,17,17.3711,6729,17.331777,2025-09-11 17:26:00+00:00
