timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757341080000,11.2,11.2,11.2,4,11.2,237,11.2,2025-09-08 14:18:00+00:00
1757341140000,11.2,11.2,11.2,3,11.2,618,11.2,2025-09-08 14:19:00+00:00
1757342460000,11.57,11.57,11.57,3,11.57,260,11.57,2025-09-08 14:41:00+00:00
1757342520000,11.5899,11.59,11.58,20,11.58,7200,11.588257,2025-09-08 14:42:00+00:00
1757342580000,11.59,11.59,11.59,1,11.59,200,11.59,2025-09-08 14:43:00+00:00
1757342760000,11.48,11.51,11.48,4,11.51,402,11.5025,2025-09-08 14:46:00+00:00
1757343480000,11.55,11.55,11.55,1,11.55,300,11.55,2025-09-08 14:58:00+00:00
1757343960000,11.48,11.503,11.48,3,11.503,307,11.494873,2025-09-08 15:06:00+00:00
1757344620000,11.55,11.55,11.55,1,11.55,175,11.55,2025-09-08 15:17:00+00:00
1757344740000,11.5741,11.5741,11.5741,1,11.5741,200,11.5741,2025-09-08 15:19:00+00:00
1757344860000,11.5292,11.5292,11.5292,1,11.5292,100,11.5292,2025-09-08 15:21:00+00:00
1757345940000,11.33,11.33,11.33,2,11.33,345,11.33,2025-09-08 15:39:00+00:00
1757347080000,11.5262,11.5262,11.5262,1,11.5262,200,11.5262,2025-09-08 15:58:00+00:00
1757350740000,11.27,11.291,11.27,11,11.291,6092,11.272367,2025-09-08 16:59:00+00:00
1757352720000,11.3741,11.3741,11.3741,2,11.3741,167,11.3741,2025-09-08 17:32:00+00:00
1757358420000,11.275,11.275,11.275,1,11.275,175,11.275,2025-09-08 19:07:00+00:00
1757358840000,11.2486,11.2499,11.22,3,11.22,500,11.2434,2025-09-08 19:14:00+00:00
1757359260000,11.23,11.23,11.23,1,11.23,100,11.23,2025-09-08 19:21:00+00:00
1757359860000,11.3,11.3,11.3,1,11.3,161,11.3,2025-09-08 19:31:00+00:00
1757360040000,11.245,11.245,11.245,1,11.245,100,11.245,2025-09-08 19:34:00+00:00
1757360280000,11.19,11.24,11.19,5,11.24,808,11.223422,2025-09-08 19:38:00+00:00
1757361180000,11.05,11.05,11.05,2,11.05,102,11.05,2025-09-08 19:53:00+00:00
1757424840000,11.1647,11.1647,11.1647,1,11.1647,500,11.1647,2025-09-09 13:34:00+00:00
1757424900000,11.17,11.17,11.17,1,11.17,210,11.17,2025-09-09 13:35:00+00:00
