timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755523800000,1.92,1.92,1.92,1,1.92,282,1.92,2025-08-18 13:30:00+00:00
1755523860000,1.88,1.89,1.88,5,1.89,748,1.886757,2025-08-18 13:31:00+00:00
1755523980000,1.8642,1.8642,1.8642,1,1.8642,150,1.8642,2025-08-18 13:33:00+00:00
1755524280000,1.87,1.87,1.87,8,1.87,457,1.87,2025-08-18 13:38:00+00:00
1755524400000,1.885,1.885,1.885,2,1.885,160,1.885,2025-08-18 13:40:00+00:00
1755524520000,1.85,1.885,1.85,15,1.885,4434,1.858921,2025-08-18 13:42:00+00:00
1755524580000,1.86,1.8656,1.86,3,1.8656,660,1.860918,2025-08-18 13:43:00+00:00
1755524700000,1.8615,1.8615,1.8615,1,1.8615,590,1.8615,2025-08-18 13:45:00+00:00
1755525000000,1.885,1.885,1.885,1,1.885,100,1.885,2025-08-18 13:50:00+00:00
1755525480000,1.8803,1.8803,1.88,6,1.88,1783,1.880224,2025-08-18 13:58:00+00:00
1755525660000,1.89,1.89,1.875,9,1.88,1636,1.88125,2025-08-18 14:01:00+00:00
1755525720000,1.9094,1.9094,1.9094,1,1.9094,540,1.9094,2025-08-18 14:02:00+00:00
1755526020000,1.87,1.87,1.87,11,1.87,1000,1.87,2025-08-18 14:07:00+00:00
1755526080000,1.8931,1.8931,1.8931,2,1.8931,106,1.8931,2025-08-18 14:08:00+00:00
1755526800000,1.8947,1.8947,1.8947,1,1.8947,200,1.8947,2025-08-18 14:20:00+00:00
1755526860000,1.88,1.88,1.88,2,1.88,109,1.88,2025-08-18 14:21:00+00:00
1755527400000,1.88,1.88,1.88,2,1.88,332,1.88,2025-08-18 14:30:00+00:00
1755527640000,1.8895,1.8895,1.8895,1,1.8895,201,1.8895,2025-08-18 14:34:00+00:00
1755528060000,1.88,1.88,1.88,1,1.88,214,1.88,2025-08-18 14:41:00+00:00
1755528660000,1.87,1.87,1.87,4,1.87,1500,1.87,2025-08-18 14:51:00+00:00
1755529500000,1.87,1.87,1.87,1,1.87,386,1.87,2025-08-18 15:05:00+00:00
1755529620000,1.87,1.87,1.87,3,1.87,820,1.87,2025-08-18 15:07:00+00:00
1755529800000,1.88,1.88,1.88,1,1.88,100,1.88,2025-08-18 15:10:00+00:00
1755530280000,1.9,1.9,1.9,1,1.9,5347,1.9,2025-08-18 15:18:00+00:00
1755531300000,1.9,1.9,1.9,2,1.9,158,1.9,2025-08-18 15:35:00+00:00
1755531660000,1.8999,1.8999,1.8999,1,1.8999,500,1.8999,2025-08-18 15:41:00+00:00
1755531720000,1.92,1.92,1.9,12,1.9,1566,1.90792,2025-08-18 15:42:00+00:00
1755532320000,1.8705,1.8705,1.8705,1,1.8705,910,1.8705,2025-08-18 15:52:00+00:00
1755532560000,1.8756,1.8756,1.8756,3,1.8756,289,1.8756,2025-08-18 15:56:00+00:00
1755532860000,1.89,1.9,1.89,15,1.9,2733,1.897318,2025-08-18 16:01:00+00:00
