timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742823000000,6.3995,6.3995,6.39,3,6.39,542,6.395014,2025-03-24 13:30:00+00:00
1742823840000,6.47,6.47,6.47,4,6.47,246,6.47,2025-03-24 13:44:00+00:00
1742823900000,6.48,6.48,6.48,2,6.48,903,6.48,2025-03-24 13:45:00+00:00
1742824260000,6.48,6.48,6.48,3,6.48,2030,6.48,2025-03-24 13:51:00+00:00
1742826360000,6.3,6.3,6.3,1,6.3,100,6.3,2025-03-24 14:26:00+00:00
1742827980000,6.35,6.35,6.35,1,6.35,100,6.35,2025-03-24 14:53:00+00:00
1742828100000,6.4024,6.4024,6.4024,1,6.4024,300,6.4024,2025-03-24 14:55:00+00:00
1742833020000,6.3999,6.3999,6.3999,2,6.3999,200,6.3999,2025-03-24 16:17:00+00:00
1742833380000,6.3935,6.3935,6.3935,1,6.3935,500,6.3935,2025-03-24 16:23:00+00:00
1742836380000,6.3999,6.4,6.3999,9,6.4,1899,6.39995,2025-03-24 17:13:00+00:00
1742837520000,6.4,6.4,6.4,1,6.4,300,6.4,2025-03-24 17:32:00+00:00
1742842020000,6.4253,6.4253,6.4253,2,6.4253,201,6.4253,2025-03-24 18:47:00+00:00
1742843760000,6.4,6.6,6.4,17,6.45,3110,6.486557,2025-03-24 19:16:00+00:00
1742843820000,6.4,6.4,6.4,12,6.4,111,6.4,2025-03-24 19:17:00+00:00
1742843880000,6.6,6.61,6.4,19,6.6,4004,6.545445,2025-03-24 19:18:00+00:00
1742844060000,6.6,6.6,6.598,4,6.6,400,6.5995,2025-03-24 19:21:00+00:00
1742845560000,6.7,6.7,6.7,3,6.7,199,6.7,2025-03-24 19:46:00+00:00
1742845920000,6.7114,6.7114,6.7114,1,6.7114,100,6.7114,2025-03-24 19:52:00+00:00
1742909400000,6.89,6.89,6.89,1,6.89,1911,6.89,2025-03-25 13:30:00+00:00
1742909820000,6.73,6.73,6.73,1,6.73,100,6.73,2025-03-25 13:37:00+00:00
1742909880000,6.7915,6.7915,6.7915,1,6.7915,100,6.7915,2025-03-25 13:38:00+00:00
