timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752499800000,9.4851,9.5,9.4851,15,9.5,503,9.493239,2025-07-14 13:30:00+00:00
1752499980000,9.405,9.4958,9.405,4,9.4958,2109,9.448238,2025-07-14 13:33:00+00:00
1752500100000,9.4,9.4,9.4,2,9.4,121,9.4,2025-07-14 13:35:00+00:00
1752500460000,9.5,9.5,9.5,9,9.5,657,9.5,2025-07-14 13:41:00+00:00
1752500520000,9.59,9.59,9.55,2,9.55,200,9.57,2025-07-14 13:42:00+00:00
1752500580000,9.57,9.576,9.57,3,9.576,1021,9.5754,2025-07-14 13:43:00+00:00
1752500940000,9.6,9.6,9.6,6,9.6,301,9.6,2025-07-14 13:49:00+00:00
1752501000000,9.57,9.57,9.57,3,9.57,240,9.57,2025-07-14 13:50:00+00:00
1752501480000,9.5518,9.6,9.5434,5,9.59,3100,9.577587,2025-07-14 13:58:00+00:00
1752503580000,9.555,9.555,9.555,1,9.555,1500,9.555,2025-07-14 14:33:00+00:00
1752504060000,9.66,9.66,9.6,21,9.6,1634,9.622901,2025-07-14 14:41:00+00:00
1752504300000,9.66,9.66,9.66,3,9.66,670,9.66,2025-07-14 14:45:00+00:00
1752504480000,9.65,9.65,9.65,2,9.65,200,9.65,2025-07-14 14:48:00+00:00
1752504840000,9.6184,9.6184,9.6184,1,9.6184,300,9.6184,2025-07-14 14:54:00+00:00
1752505200000,9.6503,9.6503,9.6503,3,9.6503,132,9.6503,2025-07-14 15:00:00+00:00
1752505500000,9.66,9.66,9.66,1,9.66,400,9.66,2025-07-14 15:05:00+00:00
1752505740000,9.646,9.66,9.646,5,9.6599,1811,9.655717,2025-07-14 15:09:00+00:00
1752507420000,9.795,9.795,9.795,4,9.795,203,9.795,2025-07-14 15:37:00+00:00
1752507480000,9.8,9.8,9.8,4,9.8,126,9.8,2025-07-14 15:38:00+00:00
1752509220000,9.9,9.9,9.85,10,9.85,1581,9.857564,2025-07-14 16:07:00+00:00
1752509460000,9.8999,9.9,9.8999,3,9.9,1906,9.89995,2025-07-14 16:11:00+00:00
1752509640000,10.0,10.0,9.99,6,9.99,1609,9.993667,2025-07-14 16:14:00+00:00
1752510060000,9.95,9.95,9.9,10,9.95,660,9.9275,2025-07-14 16:21:00+00:00
1752510120000,9.905,9.905,9.905,2,9.905,506,9.905,2025-07-14 16:22:00+00:00
1752510240000,9.88,9.92,9.88,3,9.92,400,9.89,2025-07-14 16:24:00+00:00
1752510600000,10.0,10.0,10.0,1,10.0,600,10.0,2025-07-14 16:30:00+00:00
1752510960000,9.88,9.89,9.88,5,9.89,366,9.885,2025-07-14 16:36:00+00:00
1752512640000,9.81,9.81,9.81,2,9.81,105,9.81,2025-07-14 17:04:00+00:00
1752512700000,9.8,9.8,9.8,11,9.8,2619,9.8,2025-07-14 17:05:00+00:00
1752512760000,9.66,9.7476,9.66,2,9.7476,200,9.7038,2025-07-14 17:06:00+00:00
1752513420000,9.775,9.775,9.775,2,9.775,1000,9.775,2025-07-14 17:17:00+00:00
1752515220000,9.89,9.89,9.775,3,9.89,300,9.851667,2025-07-14 17:47:00+00:00
1752515820000,9.6773,9.6773,9.6773,2,9.6773,112,9.6773,2025-07-14 17:57:00+00:00
1752516000000,9.8654,9.8654,9.8156,2,9.8156,607,9.823804,2025-07-14 18:00:00+00:00
1752518520000,9.8659,9.8659,9.8659,1,9.8659,100,9.8659,2025-07-14 18:42:00+00:00
1752518820000,9.8207,9.8207,9.8207,1,9.8207,200,9.8207,2025-07-14 18:47:00+00:00
1752519240000,9.775,9.775,9.775,2,9.775,200,9.775,2025-07-14 18:54:00+00:00
1752520140000,9.89,9.89,9.89,1,9.89,100,9.89,2025-07-14 19:09:00+00:00
