timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757689800000,5.24,5.78,4.73,447,5.25,286701,5.223893,2025-09-12 15:10:00+00:00
1757689860000,4.92,5.44,4.75,353,5.24,69736,4.930337,2025-09-12 15:11:00+00:00
1757689920000,4.63,5.28,4.63,328,4.99,73481,4.998311,2025-09-12 15:12:00+00:00
1757689980000,5.49,5.49,4.63,346,4.63,62474,5.075666,2025-09-12 15:13:00+00:00
1757690040000,5.66,5.66,5.27,331,5.48,49005,5.503099,2025-09-12 15:14:00+00:00
1757690640000,6.0,6.6,5.68,947,6.31,177848,6.134181,2025-09-12 15:24:00+00:00
1757690700000,5.97,6.59,5.67,1381,6.0,171903,6.16975,2025-09-12 15:25:00+00:00
1757690760000,6.28,6.48,5.61,938,5.8955,107648,6.007052,2025-09-12 15:26:00+00:00
1757690820000,6.4,6.48,6.0,562,6.2501,63177,6.262716,2025-09-12 15:27:00+00:00
1757690880000,6.77,6.77,6.23,577,6.4,64430,6.618778,2025-09-12 15:28:00+00:00
1757691480000,7.95,7.965,7.24,377,7.25,99279,7.358698,2025-09-12 15:38:00+00:00
1757691540000,7.98,7.98,7.46,605,7.8894,57468,7.799222,2025-09-12 15:39:00+00:00
1757691840000,7.2,8.14,7.2,1057,8.0,148281,7.64988,2025-09-12 15:44:00+00:00
1757692140000,7.5,7.5,6.61,316,7.12,42298,6.996226,2025-09-12 15:49:00+00:00
1757692200000,7.83,7.83,7.53,751,7.63,73111,7.785619,2025-09-12 15:50:00+00:00
1757692800000,7.65,8.5,7.65,867,8.5,136609,7.946861,2025-09-12 16:00:00+00:00
1757692860000,6.91,8.46,6.91,1561,7.65,191164,7.514106,2025-09-12 16:01:00+00:00
1757692920000,6.91,6.91,6.91,91,6.91,18578,6.91,2025-09-12 16:02:00+00:00
1757693220000,6.37,7.08,6.37,631,7.08,75395,6.582561,2025-09-12 16:07:00+00:00
