timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753709400000,0.9272,0.9272,0.9272,4,0.9272,1974,0.9272,2025-07-28 13:30:00+00:00
1753709580000,0.9219,0.9219,0.9219,3,0.9219,2000,0.9219,2025-07-28 13:33:00+00:00
1753709640000,0.922,0.922,0.922,2,0.922,2015,0.922,2025-07-28 13:34:00+00:00
1753709700000,0.922,0.922,0.922,2,0.922,4051,0.922,2025-07-28 13:35:00+00:00
1753709820000,0.87,0.9,0.87,18,0.9,18109,0.893181,2025-07-28 13:37:00+00:00
1753709880000,0.87,0.87,0.87,6,0.87,807,0.87,2025-07-28 13:38:00+00:00
1753709940000,0.8613,0.8933,0.8613,16,0.8666,8143,0.867988,2025-07-28 13:39:00+00:00
1753710000000,0.92,0.92,0.8907,7,0.8907,2050,0.900483,2025-07-28 13:40:00+00:00
1753710180000,0.9,0.9,0.9,4,0.9,720,0.9,2025-07-28 13:43:00+00:00
1753710240000,0.891,0.891,0.88,3,0.88,1692,0.887029,2025-07-28 13:44:00+00:00
1753710360000,0.863,0.8915,0.863,9,0.88,8401,0.87161,2025-07-28 13:46:00+00:00
1753710420000,0.9199,0.9199,0.865,11,0.876,9556,0.875367,2025-07-28 13:47:00+00:00
1753710660000,0.8661,0.87,0.86,17,0.8651,8185,0.862793,2025-07-28 13:51:00+00:00
1753710720000,0.9199,0.9199,0.9199,7,0.9199,619,0.9199,2025-07-28 13:52:00+00:00
1753711020000,0.8603,0.8603,0.8603,4,0.8603,453,0.8603,2025-07-28 13:57:00+00:00
1753711320000,0.87,0.87,0.87,1,0.87,207,0.87,2025-07-28 14:02:00+00:00
1753711500000,0.8944,0.8944,0.87,2,0.87,482,0.880124,2025-07-28 14:05:00+00:00
1753711680000,0.8822,0.8822,0.8822,1,0.8822,130,0.8822,2025-07-28 14:08:00+00:00
1753711920000,0.87,0.87,0.87,1,0.87,1000,0.87,2025-07-28 14:12:00+00:00
1753712040000,0.8747,0.8747,0.8603,8,0.87,5621,0.869852,2025-07-28 14:14:00+00:00
1753712220000,0.8748,0.8748,0.8748,1,0.8748,100,0.8748,2025-07-28 14:17:00+00:00
1753713120000,0.85,0.8649,0.85,15,0.8649,4667,0.853339,2025-07-28 14:32:00+00:00
1753713480000,0.8639,0.8639,0.8639,1,0.8639,445,0.8639,2025-07-28 14:38:00+00:00
1753713900000,0.8641,0.8641,0.8641,1,0.8641,200,0.8641,2025-07-28 14:45:00+00:00
1753714140000,0.845,0.864,0.845,17,0.864,11751,0.854623,2025-07-28 14:49:00+00:00
1753714200000,0.8171,0.8365,0.8,35,0.8365,12352,0.813404,2025-07-28 14:50:00+00:00
1753714260000,0.835,0.835,0.8171,10,0.8171,17703,0.822156,2025-07-28 14:51:00+00:00
1753714320000,0.8171,0.83,0.8171,2,0.83,5000,0.81968,2025-07-28 14:52:00+00:00
1753714380000,0.845,0.845,0.845,1,0.845,209,0.845,2025-07-28 14:53:00+00:00
1753714440000,0.8398,0.8398,0.8398,2,0.8398,150,0.8398,2025-07-28 14:54:00+00:00
1753714500000,0.8399,0.8399,0.8399,1,0.8399,1000,0.8399,2025-07-28 14:55:00+00:00
1753714560000,0.8201,0.8201,0.8201,2,0.8201,150,0.8201,2025-07-28 14:56:00+00:00
1753714680000,0.8399,0.8399,0.835,4,0.835,1000,0.838267,2025-07-28 14:58:00+00:00
1753714860000,0.8399,0.8399,0.8399,3,0.8399,1874,0.8399,2025-07-28 15:01:00+00:00
1753715100000,0.8399,0.8399,0.8399,1,0.8399,638,0.8399,2025-07-28 15:05:00+00:00
1753715280000,0.82,0.82,0.82,4,0.82,447,0.82,2025-07-28 15:08:00+00:00
1753715520000,0.82,0.8399,0.82,5,0.8398,1300,0.837415,2025-07-28 15:12:00+00:00
1753715760000,0.82,0.82,0.82,1,0.82,922,0.82,2025-07-28 15:16:00+00:00
1753715880000,0.8299,0.8299,0.8299,1,0.8299,400,0.8299,2025-07-28 15:18:00+00:00
1753716000000,0.8221,0.8397,0.8221,2,0.8397,890,0.826846,2025-07-28 15:20:00+00:00
1753716180000,0.8202,0.8285,0.82,15,0.82,8198,0.820717,2025-07-28 15:23:00+00:00
1753716420000,0.83,0.8398,0.83,2,0.8398,900,0.831089,2025-07-28 15:27:00+00:00
1753716480000,0.8398,0.8398,0.8398,2,0.8398,112,0.8398,2025-07-28 15:28:00+00:00
1753716660000,0.82,0.8202,0.82,2,0.8202,200,0.8201,2025-07-28 15:31:00+00:00
1753716720000,0.8172,0.8178,0.8172,4,0.8177,610,0.817544,2025-07-28 15:32:00+00:00
1753716780000,0.8154,0.8171,0.8154,3,0.8171,325,0.815967,2025-07-28 15:33:00+00:00
1753716900000,0.8175,0.8175,0.8151,14,0.8151,3446,0.816853,2025-07-28 15:35:00+00:00
1753717020000,0.8151,0.8151,0.8151,3,0.8151,152,0.8151,2025-07-28 15:37:00+00:00
1753717260000,0.8151,0.8151,0.8151,11,0.8151,4301,0.8151,2025-07-28 15:41:00+00:00
1753717320000,0.8228,0.8228,0.8151,9,0.8212,805,0.819914,2025-07-28 15:42:00+00:00
1753717440000,0.8151,0.8151,0.8151,1,0.8151,650,0.8151,2025-07-28 15:44:00+00:00
1753717500000,0.8275,0.8275,0.8151,8,0.8151,901,0.819233,2025-07-28 15:45:00+00:00
1753717560000,0.8214,0.8214,0.8182,2,0.8182,200,0.8198,2025-07-28 15:46:00+00:00
1753718040000,0.8323,0.8323,0.8323,1,0.8323,6000,0.8323,2025-07-28 15:54:00+00:00
1753718220000,0.8322,0.8322,0.8322,1,0.8322,125,0.8322,2025-07-28 15:57:00+00:00
1753718280000,0.8275,0.8323,0.8275,2,0.8323,242,0.829483,2025-07-28 15:58:00+00:00
1753718340000,0.8276,0.8276,0.8276,2,0.8276,200,0.8276,2025-07-28 15:59:00+00:00
1753718400000,0.8276,0.8276,0.8276,1,0.8276,224,0.8276,2025-07-28 16:00:00+00:00
1753718460000,0.8278,0.8278,0.8278,1,0.8278,100,0.8278,2025-07-28 16:01:00+00:00
1753718520000,0.8278,0.8278,0.8278,1,0.8278,100,0.8278,2025-07-28 16:02:00+00:00
1753718580000,0.8277,0.8277,0.8277,1,0.8277,100,0.8277,2025-07-28 16:03:00+00:00
1753718640000,0.8277,0.8277,0.8277,2,0.8277,200,0.8277,2025-07-28 16:04:00+00:00
1753718700000,0.8277,0.8277,0.8277,1,0.8277,100,0.8277,2025-07-28 16:05:00+00:00
1753718760000,0.8152,0.8302,0.8152,9,0.8302,6979,0.829332,2025-07-28 16:06:00+00:00
1753718820000,0.8152,0.8152,0.815,5,0.8151,1143,0.815057,2025-07-28 16:07:00+00:00
1753718880000,0.8151,0.8151,0.8151,1,0.8151,100,0.8151,2025-07-28 16:08:00+00:00
1753718940000,0.8151,0.8151,0.8151,4,0.8151,9603,0.8151,2025-07-28 16:09:00+00:00
1753719060000,0.815,0.8151,0.815,7,0.8151,3627,0.815003,2025-07-28 16:11:00+00:00
1753719120000,0.8,0.8101,0.8,28,0.8101,18439,0.802241,2025-07-28 16:12:00+00:00
