timeStamp,close,high,low,trade_count,open,volume,vwap,date
1747056600000,2.81,2.81,2.81,5,2.81,438,2.81,2025-05-12 13:30:00+00:00
1747057020000,2.775,2.775,2.775,1,2.775,149,2.775,2025-05-12 13:37:00+00:00
1747057860000,2.775,2.775,2.775,1,2.775,100,2.775,2025-05-12 13:51:00+00:00
1747057980000,2.76,2.76,2.76,4,2.76,119,2.76,2025-05-12 13:53:00+00:00
1747063260000,2.65,2.6511,2.65,2,2.6511,1400,2.650707,2025-05-12 15:21:00+00:00
1747063320000,2.76,2.76,2.76,2,2.76,102,2.76,2025-05-12 15:22:00+00:00
1747063740000,2.711,2.711,2.711,1,2.711,362,2.711,2025-05-12 15:29:00+00:00
1747064160000,2.759,2.8,2.759,19,2.759,5078,2.761806,2025-05-12 15:36:00+00:00
1747066440000,2.9,2.9,2.9,1,2.9,100,2.9,2025-05-12 16:14:00+00:00
1747067460000,2.78,2.82,2.78,8,2.82,1150,2.812954,2025-05-12 16:31:00+00:00
1747069080000,2.8899,2.8899,2.8899,2,2.8899,2500,2.8899,2025-05-12 16:58:00+00:00
1747069560000,2.825,2.825,2.825,1,2.825,100,2.825,2025-05-12 17:06:00+00:00
1747071300000,2.77,2.77,2.76,15,2.77,2500,2.762989,2025-05-12 17:35:00+00:00
1747072620000,2.795,2.795,2.795,1,2.795,100,2.795,2025-05-12 17:57:00+00:00
1747072920000,2.73,2.738,2.73,3,2.738,210,2.734,2025-05-12 18:02:00+00:00
1747075920000,2.8484,2.8484,2.8359,4,2.8359,547,2.84561,2025-05-12 18:52:00+00:00
1747076160000,2.71,2.71,2.71,2,2.71,111,2.71,2025-05-12 18:56:00+00:00
1747077060000,2.78,2.78,2.71,12,2.71,759,2.756667,2025-05-12 19:11:00+00:00
1747077120000,2.71,2.71,2.71,2,2.71,294,2.71,2025-05-12 19:12:00+00:00
1747077180000,2.77,2.77,2.77,2,2.77,201,2.77,2025-05-12 19:13:00+00:00
1747077240000,2.76,2.76,2.76,10,2.76,2673,2.76,2025-05-12 19:14:00+00:00
1747078680000,2.75,2.75,2.75,2,2.75,118,2.75,2025-05-12 19:38:00+00:00
1747079040000,2.77,2.79,2.77,7,2.77,837,2.777375,2025-05-12 19:44:00+00:00
1747143540000,2.8,2.82,2.8,5,2.82,418,2.805542,2025-05-13 13:39:00+00:00
1747143720000,2.8031,2.8031,2.8031,1,2.8031,500,2.8031,2025-05-13 13:42:00+00:00
1747147440000,2.785,2.785,2.785,1,2.785,100,2.785,2025-05-13 14:44:00+00:00
1747147920000,2.735,2.78,2.735,7,2.78,448,2.761667,2025-05-13 14:52:00+00:00
1747148400000,2.7001,2.72,2.7001,12,2.72,1529,2.703215,2025-05-13 15:00:00+00:00
1747149180000,2.7,2.7,2.7,4,2.7,779,2.7,2025-05-13 15:13:00+00:00
1747149360000,2.69,2.69,2.69,1,2.69,100,2.69,2025-05-13 15:16:00+00:00
1747149420000,2.7,2.7,2.7,3,2.7,681,2.7,2025-05-13 15:17:00+00:00
1747150200000,2.78,2.78,2.78,1,2.78,100,2.78,2025-05-13 15:30:00+00:00
