timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,4.8878,4.926,4.8501,68,4.88,20816,4.889292,2025-09-15 13:30:00+00:00
1757943060000,4.9012,4.93,4.9012,15,4.902,2496,4.910508,2025-09-15 13:31:00+00:00
1757943120000,4.94,4.94,4.9065,22,4.9065,8945,4.916571,2025-09-15 13:32:00+00:00
1757943180000,4.95,4.95,4.92,45,4.935,5536,4.940819,2025-09-15 13:33:00+00:00
1757943240000,4.95,4.95,4.935,29,4.942,6950,4.944168,2025-09-15 13:34:00+00:00
1757943300000,4.9104,4.9104,4.9104,11,4.9104,1210,4.9104,2025-09-15 13:35:00+00:00
1757943360000,4.9273,4.9537,4.92,16,4.9264,3181,4.932209,2025-09-15 13:36:00+00:00
1757943420000,4.935,4.94,4.92,19,4.94,3163,4.929889,2025-09-15 13:37:00+00:00
1757943480000,4.96,4.96,4.935,9,4.935,415,4.943333,2025-09-15 13:38:00+00:00
1757943540000,4.935,4.9401,4.926,12,4.9401,5267,4.933679,2025-09-15 13:39:00+00:00
1757943600000,4.93,4.9388,4.92,14,4.9388,2170,4.924359,2025-09-15 13:40:00+00:00
1757943660000,4.9,4.93,4.9,16,4.93,4267,4.909737,2025-09-15 13:41:00+00:00
1757943720000,4.9024,4.9024,4.9024,25,4.9024,1003,4.9024,2025-09-15 13:42:00+00:00
1757943780000,4.905,4.91,4.9,47,4.91,3491,4.907426,2025-09-15 13:43:00+00:00
1757943840000,4.895,4.905,4.895,28,4.905,2163,4.898779,2025-09-15 13:44:00+00:00
1757943900000,4.9698,4.9698,4.89,58,4.895,35957,4.924054,2025-09-15 13:45:00+00:00
1757943960000,4.97,4.9799,4.95,12,4.95,794,4.965051,2025-09-15 13:46:00+00:00
1757944020000,4.999,4.999,4.9643,50,4.9643,4076,4.988583,2025-09-15 13:47:00+00:00
1757944080000,4.9985,5.0114,4.975,50,4.98,14241,4.983243,2025-09-15 13:48:00+00:00
1757944140000,4.99,5.0095,4.9801,29,5.0,3380,5.002712,2025-09-15 13:49:00+00:00
1757944200000,5.0096,5.0096,4.995,39,5.0,6436,5.00041,2025-09-15 13:50:00+00:00
1757944260000,5.029,5.029,5.0,62,5.0008,13282,5.008334,2025-09-15 13:51:00+00:00
1757944320000,5.0267,5.0299,5.025,18,5.0297,3597,5.027938,2025-09-15 13:52:00+00:00
1757944380000,5.04,5.05,5.03,32,5.03,3308,5.044126,2025-09-15 13:53:00+00:00
1757944440000,5.03,5.04,5.0201,27,5.04,3287,5.02917,2025-09-15 13:54:00+00:00
1757944500000,5.03,5.04,5.02,40,5.0227,12606,5.023466,2025-09-15 13:55:00+00:00
1757944560000,5.055,5.06,5.0481,31,5.0498,6954,5.050299,2025-09-15 13:56:00+00:00
