timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755523800000,0.6249,0.6249,0.6159,4,0.6159,1502,0.621928,2025-08-18 13:30:00+00:00
1755524040000,0.6288,0.6288,0.6287,2,0.6287,400,0.628725,2025-08-18 13:34:00+00:00
1755524340000,0.6223,0.6223,0.6223,1,0.6223,400,0.6223,2025-08-18 13:39:00+00:00
1755524820000,0.6179,0.6179,0.6179,6,0.6179,944,0.6179,2025-08-18 13:47:00+00:00
1755524940000,0.6159,0.6159,0.6159,3,0.6159,410,0.6159,2025-08-18 13:49:00+00:00
1755525000000,0.615,0.615,0.615,2,0.615,220,0.615,2025-08-18 13:50:00+00:00
1755525060000,0.6218,0.6218,0.6139,19,0.6146,9572,0.615798,2025-08-18 13:51:00+00:00
1755525240000,0.6173,0.6173,0.6173,1,0.6173,1600,0.6173,2025-08-18 13:54:00+00:00
1755525300000,0.61,0.6128,0.61,44,0.6128,30035,0.611131,2025-08-18 13:55:00+00:00
1755525360000,0.6219,0.6219,0.616,2,0.616,1445,0.618634,2025-08-18 13:56:00+00:00
1755525480000,0.61,0.61,0.61,1,0.61,20000,0.61,2025-08-18 13:58:00+00:00
1755525720000,0.6133,0.6133,0.6133,1,0.6133,100,0.6133,2025-08-18 14:02:00+00:00
1755525900000,0.61,0.61,0.61,1,0.61,144,0.61,2025-08-18 14:05:00+00:00
1755526380000,0.6219,0.6219,0.6219,2,0.6219,509,0.6219,2025-08-18 14:13:00+00:00
1755527160000,0.6165,0.6219,0.6165,2,0.6219,1300,0.617331,2025-08-18 14:26:00+00:00
1755527220000,0.6133,0.6133,0.6133,1,0.6133,114,0.6133,2025-08-18 14:27:00+00:00
1755527280000,0.61,0.6126,0.61,15,0.6113,45532,0.610031,2025-08-18 14:28:00+00:00
1755527340000,0.6101,0.6101,0.61,3,0.61,1465,0.61001,2025-08-18 14:29:00+00:00
1755527400000,0.61,0.61,0.61,9,0.61,3768,0.61,2025-08-18 14:30:00+00:00
1755527460000,0.61,0.61,0.61,4,0.61,1645,0.61,2025-08-18 14:31:00+00:00
1755527520000,0.6059,0.6101,0.6054,28,0.61,36929,0.609708,2025-08-18 14:32:00+00:00
1755527580000,0.6134,0.6134,0.6071,3,0.6071,300,0.6099,2025-08-18 14:33:00+00:00
1755527640000,0.6135,0.6135,0.6135,2,0.6135,178,0.6135,2025-08-18 14:34:00+00:00
1755528240000,0.62,0.62,0.62,1,0.62,1065,0.62,2025-08-18 14:44:00+00:00
1755528360000,0.6135,0.6135,0.6135,5,0.6135,2829,0.6135,2025-08-18 14:46:00+00:00
1755528420000,0.6135,0.6135,0.6135,2,0.6135,285,0.6135,2025-08-18 14:47:00+00:00
1755528540000,0.607,0.6218,0.607,14,0.6177,26062,0.608081,2025-08-18 14:49:00+00:00
1755528600000,0.5995,0.607,0.5995,42,0.607,55992,0.604043,2025-08-18 14:50:00+00:00
