timeStamp,close,high,low,trade_count,open,volume,vwap,date
1747056600000,1.32,1.34,1.3,5,1.34,6334,1.333908,2025-05-12 13:30:00+00:00
1747056660000,1.3,1.31,1.3,5,1.31,1208,1.305,2025-05-12 13:31:00+00:00
1747056720000,1.26,1.26,1.26,6,1.26,263,1.26,2025-05-12 13:32:00+00:00
1747056900000,1.3,1.3,1.3,1,1.3,100,1.3,2025-05-12 13:35:00+00:00
1747056960000,1.3097,1.3097,1.285,8,1.285,1095,1.3023,2025-05-12 13:36:00+00:00
1747057020000,1.32,1.32,1.32,11,1.32,1096,1.32,2025-05-12 13:37:00+00:00
1747057140000,1.2501,1.2501,1.2501,15,1.2501,1597,1.2501,2025-05-12 13:39:00+00:00
1747057200000,1.275,1.275,1.275,1,1.275,169,1.275,2025-05-12 13:40:00+00:00
1747057260000,1.2959,1.2999,1.2959,4,1.2999,302,1.297233,2025-05-12 13:41:00+00:00
1747057320000,1.3313,1.3313,1.3313,3,1.3313,395,1.3313,2025-05-12 13:42:00+00:00
1747057380000,1.2959,1.2959,1.2959,2,1.2959,204,1.2959,2025-05-12 13:43:00+00:00
1747057620000,1.3,1.3,1.2999,6,1.2999,3828,1.299916,2025-05-12 13:47:00+00:00
1747057680000,1.29,1.29,1.29,2,1.29,3000,1.29,2025-05-12 13:48:00+00:00
1747057740000,1.2957,1.2957,1.2957,2,1.2957,157,1.2957,2025-05-12 13:49:00+00:00
1747058100000,1.33,1.33,1.33,3,1.33,402,1.33,2025-05-12 13:55:00+00:00
1747058160000,1.23,1.3,1.23,29,1.3,4705,1.250818,2025-05-12 13:56:00+00:00
1747058220000,1.24,1.25,1.24,11,1.25,3733,1.242706,2025-05-12 13:57:00+00:00
1747058340000,1.24,1.2505,1.24,13,1.2505,5217,1.240298,2025-05-12 13:59:00+00:00
1747058520000,1.23,1.24,1.23,5,1.24,2707,1.233697,2025-05-12 14:02:00+00:00
1747058700000,1.2306,1.24,1.2306,4,1.24,250,1.2353,2025-05-12 14:05:00+00:00
1747058760000,1.265,1.265,1.265,1,1.265,657,1.265,2025-05-12 14:06:00+00:00
1747059060000,1.24,1.24,1.23,17,1.24,1865,1.233736,2025-05-12 14:11:00+00:00
1747059240000,1.24,1.24,1.24,1,1.24,200,1.24,2025-05-12 14:14:00+00:00
1747059300000,1.2957,1.2957,1.2957,1,1.2957,216,1.2957,2025-05-12 14:15:00+00:00
1747059420000,1.28,1.28,1.28,2,1.28,239,1.28,2025-05-12 14:17:00+00:00
1747060260000,1.2601,1.2601,1.2601,1,1.2601,125,1.2601,2025-05-12 14:31:00+00:00
1747060560000,1.25,1.27,1.25,7,1.27,2000,1.259475,2025-05-12 14:36:00+00:00
1747060620000,1.235,1.24,1.21,41,1.24,5115,1.223947,2025-05-12 14:37:00+00:00
1747060740000,1.2294,1.2294,1.2294,1,1.2294,100,1.2294,2025-05-12 14:39:00+00:00
1747060980000,1.2208,1.2208,1.2208,2,1.2208,102,1.2208,2025-05-12 14:43:00+00:00
1747061220000,1.2205,1.2205,1.2205,3,1.2205,134,1.2205,2025-05-12 14:47:00+00:00
1747061760000,1.28,1.28,1.255,6,1.255,700,1.2735,2025-05-12 14:56:00+00:00
1747061820000,1.28,1.28,1.279,12,1.28,1030,1.279667,2025-05-12 14:57:00+00:00
1747062060000,1.2506,1.26,1.2506,4,1.26,220,1.2553,2025-05-12 15:01:00+00:00
1747062180000,1.26,1.26,1.26,1,1.26,159,1.26,2025-05-12 15:03:00+00:00
1747062300000,1.27,1.27,1.27,3,1.27,600,1.27,2025-05-12 15:05:00+00:00
1747062540000,1.27,1.27,1.27,1,1.27,100,1.27,2025-05-12 15:09:00+00:00
1747062840000,1.27,1.28,1.27,7,1.276,1683,1.270954,2025-05-12 15:14:00+00:00
1747063140000,1.3499,1.35,1.2999,22,1.2999,15598,1.3309,2025-05-12 15:19:00+00:00
1747063200000,1.4,1.4,1.4,6,1.4,606,1.4,2025-05-12 15:20:00+00:00
1747063260000,1.33,1.38,1.33,11,1.35,1846,1.35279,2025-05-12 15:21:00+00:00
1747063320000,1.34,1.34,1.34,1,1.34,500,1.34,2025-05-12 15:22:00+00:00
1747063500000,1.41,1.4299,1.41,4,1.4299,400,1.414975,2025-05-12 15:25:00+00:00
1747063620000,1.39,1.39,1.3863,4,1.3863,5026,1.389926,2025-05-12 15:27:00+00:00
1747063740000,1.33,1.4,1.33,5,1.4,3336,1.385873,2025-05-12 15:29:00+00:00
1747063800000,1.3894,1.3894,1.3354,6,1.3354,410,1.3714,2025-05-12 15:30:00+00:00
1747063920000,1.39,1.39,1.39,3,1.39,150,1.39,2025-05-12 15:32:00+00:00
1747064520000,1.3549,1.3549,1.3549,1,1.3549,300,1.3549,2025-05-12 15:42:00+00:00
