timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757339400000,5.32,5.32,5.16,54,5.3,4210,5.237185,2025-09-08 13:50:00+00:00
1757339460000,5.1549,5.1915,5.14,42,5.17,6947,5.156163,2025-09-08 13:51:00+00:00
1757339520000,4.96,5.24,4.907,157,5.1202,25123,5.032969,2025-09-08 13:52:00+00:00
1757339580000,5.002,5.161,4.975,43,5.0,9196,5.085463,2025-09-08 13:53:00+00:00
1757339640000,5.0669,5.0669,4.98,17,5.0582,1026,5.040631,2025-09-08 13:54:00+00:00
1757339700000,5.0,5.15,5.0,42,5.075,16505,5.092642,2025-09-08 13:55:00+00:00
1757339760000,5.0999,5.0999,4.92,33,5.091,4293,4.994701,2025-09-08 13:56:00+00:00
1757339820000,5.0,5.045,4.9218,30,5.0,2457,5.002033,2025-09-08 13:57:00+00:00
1757339880000,5.0,5.0,4.92,37,4.92,4904,4.941597,2025-09-08 13:58:00+00:00
1757339940000,4.9302,4.9873,4.9302,23,4.9873,2207,4.943857,2025-09-08 13:59:00+00:00
1757340000000,4.9737,4.9737,4.9,67,4.965,6691,4.950635,2025-09-08 14:00:00+00:00
1757340060000,4.985,4.9963,4.985,19,4.9963,737,4.98726,2025-09-08 14:01:00+00:00
1757340120000,4.89,4.96,4.8,76,4.96,6628,4.846574,2025-09-08 14:02:00+00:00
1757340180000,4.9013,4.9013,4.81,25,4.87,2825,4.872974,2025-09-08 14:03:00+00:00
1757340240000,4.81,4.89,4.8002,70,4.872,17836,4.816352,2025-09-08 14:04:00+00:00
1757340300000,4.825,4.85,4.8,59,4.8002,7823,4.825379,2025-09-08 14:05:00+00:00
1757340360000,4.775,4.825,4.7534,43,4.825,4490,4.784819,2025-09-08 14:06:00+00:00
1757340420000,4.71,4.76,4.7,53,4.7579,12767,4.722525,2025-09-08 14:07:00+00:00
1757340480000,4.7,4.74,4.7,57,4.73,7797,4.720897,2025-09-08 14:08:00+00:00
1757340540000,4.675,4.715,4.65,193,4.7023,52015,4.680795,2025-09-08 14:09:00+00:00
1757340600000,4.66,4.68,4.65,59,4.665,4554,4.664189,2025-09-08 14:10:00+00:00
1757340660000,4.725,4.75,4.655,52,4.66,10160,4.687522,2025-09-08 14:11:00+00:00
1757340720000,4.83,4.83,4.735,39,4.735,8820,4.763407,2025-09-08 14:12:00+00:00
1757340780000,4.84,4.87,4.8,32,4.85,7395,4.860117,2025-09-08 14:13:00+00:00
1757340840000,4.81,4.86,4.81,12,4.86,1115,4.831198,2025-09-08 14:14:00+00:00
1757340900000,4.8895,4.8895,4.84,21,4.84,1003,4.871794,2025-09-08 14:15:00+00:00
1757340960000,4.85,4.8752,4.85,14,4.8752,934,4.871,2025-09-08 14:16:00+00:00
