timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757359620000,0.2046,0.2046,0.2046,1,0.2046,100,0.2046,2025-09-08 19:27:00+00:00
1757359980000,0.2048,0.2048,0.2048,4,0.2048,290,0.2048,2025-09-08 19:33:00+00:00
1757360460000,0.2048,0.2049,0.2048,7,0.2049,18315,0.204855,2025-09-08 19:41:00+00:00
1757360520000,0.2048,0.2048,0.2043,11,0.2043,2567,0.204681,2025-09-08 19:42:00+00:00
1757360700000,0.2047,0.2047,0.2047,1,0.2047,3000,0.2047,2025-09-08 19:45:00+00:00
1757361120000,0.2047,0.2047,0.2047,3,0.2047,231,0.2047,2025-09-08 19:52:00+00:00
1757361420000,0.2037,0.2037,0.2037,7,0.2037,505,0.2037,2025-09-08 19:57:00+00:00
1757361540000,0.204,0.204,0.2033,5,0.2033,601,0.203517,2025-09-08 19:59:00+00:00
1757424600000,0.2494,0.2598,0.2442,151,0.2442,298610,0.249883,2025-09-09 13:30:00+00:00
1757424660000,0.2404,0.2479,0.2388,105,0.2479,64739,0.242033,2025-09-09 13:31:00+00:00
1757424720000,0.2304,0.2406,0.2303,164,0.2406,102646,0.232873,2025-09-09 13:32:00+00:00
1757424780000,0.2239,0.2335,0.2233,126,0.2317,170843,0.229085,2025-09-09 13:33:00+00:00
1757424840000,0.2307,0.2315,0.2237,109,0.2239,83321,0.227741,2025-09-09 13:34:00+00:00
1757424900000,0.2402,0.244,0.2307,189,0.2307,186186,0.237986,2025-09-09 13:35:00+00:00
1757424960000,0.2536,0.255,0.2373,332,0.2403,555857,0.249847,2025-09-09 13:36:00+00:00
1757425020000,0.2577,0.26,0.2431,678,0.253,780631,0.253961,2025-09-09 13:37:00+00:00
1757425080000,0.2499,0.2577,0.2382,260,0.2577,453187,0.24317,2025-09-09 13:38:00+00:00
1757425140000,0.2466,0.25,0.2437,49,0.25,118885,0.248006,2025-09-09 13:39:00+00:00
1757425200000,0.2577,0.2584,0.2418,252,0.2469,289124,0.25023,2025-09-09 13:40:00+00:00
1757425260000,0.2568,0.265,0.25,457,0.2578,727294,0.258292,2025-09-09 13:41:00+00:00
1757425320000,0.2429,0.2585,0.2418,288,0.2568,481510,0.251366,2025-09-09 13:42:00+00:00
1757425380000,0.2544,0.2559,0.2423,179,0.243,217886,0.247861,2025-09-09 13:43:00+00:00
1757425440000,0.2554,0.2582,0.2505,230,0.2563,339379,0.255409,2025-09-09 13:44:00+00:00
1757425500000,0.2809,0.282,0.2511,620,0.2559,797772,0.266333,2025-09-09 13:45:00+00:00
1757425560000,0.2759,0.2875,0.27,971,0.2817,938592,0.278335,2025-09-09 13:46:00+00:00
1757425620000,0.2625,0.2875,0.2604,803,0.2753,878091,0.274869,2025-09-09 13:47:00+00:00
1757425680000,0.27,0.2755,0.2626,309,0.2697,452890,0.271587,2025-09-09 13:48:00+00:00
1757425740000,0.2621,0.2743,0.2608,259,0.2701,267427,0.266647,2025-09-09 13:49:00+00:00
1757425800000,0.2558,0.2621,0.25,405,0.2621,407179,0.257019,2025-09-09 13:50:00+00:00
1757425860000,0.2545,0.259,0.2488,369,0.2563,490003,0.252149,2025-09-09 13:51:00+00:00
1757425920000,0.25,0.2544,0.2476,162,0.2544,137444,0.250391,2025-09-09 13:52:00+00:00
1757425980000,0.2535,0.2553,0.2486,119,0.2496,154503,0.251535,2025-09-09 13:53:00+00:00
1757426040000,0.257,0.2597,0.2543,174,0.2554,146065,0.257872,2025-09-09 13:54:00+00:00
1757426100000,0.2457,0.2574,0.2457,147,0.2574,140152,0.251633,2025-09-09 13:55:00+00:00
1757426160000,0.2466,0.2466,0.2405,197,0.2461,300958,0.243173,2025-09-09 13:56:00+00:00
1757426220000,0.238,0.2465,0.2374,217,0.2458,275964,0.241542,2025-09-09 13:57:00+00:00
1757426280000,0.2431,0.25,0.2377,158,0.2377,221665,0.241824,2025-09-09 13:58:00+00:00
1757426340000,0.2448,0.2449,0.2412,44,0.2432,100813,0.243126,2025-09-09 13:59:00+00:00
1757426400000,0.245,0.2482,0.2439,106,0.2449,126557,0.246286,2025-09-09 14:00:00+00:00
