timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753104600000,1.02,1.02,1.02,4,1.02,507,1.02,2025-07-21 13:30:00+00:00
1753105260000,1.04,1.04,1.04,1,1.04,100,1.04,2025-07-21 13:41:00+00:00
1753106340000,1.08,1.08,1.08,1,1.08,200,1.08,2025-07-21 13:59:00+00:00
1753106700000,1.0304,1.0304,1.0304,1,1.0304,500,1.0304,2025-07-21 14:05:00+00:00
1753107600000,1.0304,1.0304,1.0304,1,1.0304,1038,1.0304,2025-07-21 14:20:00+00:00
1753107780000,1.03,1.03,1.03,1,1.03,4119,1.03,2025-07-21 14:23:00+00:00
1753107840000,1.03,1.03,1.03,1,1.03,100,1.03,2025-07-21 14:24:00+00:00
1753108320000,1.03,1.03,1.03,1,1.03,440,1.03,2025-07-21 14:32:00+00:00
1753108740000,1.03,1.03,1.03,1,1.03,2000,1.03,2025-07-21 14:39:00+00:00
1753109460000,1.03,1.05,1.03,6,1.03,880,1.0325,2025-07-21 14:51:00+00:00
1753109520000,1.04,1.04,1.02,9,1.02,735,1.024286,2025-07-21 14:52:00+00:00
1753110120000,1.03,1.04,1.03,3,1.04,221,1.035,2025-07-21 15:02:00+00:00
1753110780000,1.03,1.03,1.03,2,1.03,200,1.03,2025-07-21 15:13:00+00:00
1753110960000,1.04,1.04,1.04,2,1.04,281,1.04,2025-07-21 15:16:00+00:00
1753111020000,1.06,1.06,1.06,1,1.06,100,1.06,2025-07-21 15:17:00+00:00
1753111140000,1.06,1.06,1.06,1,1.06,300,1.06,2025-07-21 15:19:00+00:00
1753111200000,1.0476,1.05,1.0476,2,1.05,200,1.0488,2025-07-21 15:20:00+00:00
1753111380000,1.0561,1.0561,1.0561,1,1.0561,100,1.0561,2025-07-21 15:23:00+00:00
1753111680000,1.045,1.045,1.045,1,1.045,270,1.045,2025-07-21 15:28:00+00:00
1753112460000,1.06,1.06,1.05,15,1.06,2286,1.058636,2025-07-21 15:41:00+00:00
1753112580000,1.05,1.05,1.05,1,1.05,100,1.05,2025-07-21 15:43:00+00:00
1753112640000,1.05,1.05,1.05,1,1.05,100,1.05,2025-07-21 15:44:00+00:00
1753112760000,1.05,1.05,1.05,1,1.05,100,1.05,2025-07-21 15:46:00+00:00
1753113300000,1.06,1.06,1.05,3,1.05,300,1.056667,2025-07-21 15:55:00+00:00
1753113360000,1.06,1.06,1.055,3,1.055,300,1.058333,2025-07-21 15:56:00+00:00
1753113480000,1.05,1.055,1.05,5,1.055,302,1.051667,2025-07-21 15:58:00+00:00
1753113600000,1.05,1.06,1.05,3,1.05,300,1.053333,2025-07-21 16:00:00+00:00
1753113660000,1.06,1.06,1.04,2,1.04,1100,1.041818,2025-07-21 16:01:00+00:00
1753113840000,1.05,1.0598,1.05,2,1.0598,200,1.0549,2025-07-21 16:04:00+00:00
1753114980000,1.04,1.0402,1.04,7,1.0402,2150,1.040127,2025-07-21 16:23:00+00:00
1753115040000,1.04,1.04,1.04,1,1.04,100,1.04,2025-07-21 16:24:00+00:00
1753115100000,1.04,1.04,1.04,3,1.04,400,1.04,2025-07-21 16:25:00+00:00
1753115460000,1.04,1.04,1.04,3,1.04,772,1.04,2025-07-21 16:31:00+00:00
1753118160000,1.06,1.06,1.04,3,1.04,2100,1.040952,2025-07-21 17:16:00+00:00
1753118280000,1.05,1.05,1.05,1,1.05,100,1.05,2025-07-21 17:18:00+00:00
1753119120000,1.06,1.06,1.05,5,1.05,502,1.05384,2025-07-21 17:32:00+00:00
1753119480000,1.0554,1.0554,1.0554,1,1.0554,300,1.0554,2025-07-21 17:38:00+00:00
1753119540000,1.06,1.06,1.06,1,1.06,100,1.06,2025-07-21 17:39:00+00:00
1753119960000,1.0402,1.0402,1.0402,1,1.0402,1081,1.0402,2025-07-21 17:46:00+00:00
1753120740000,1.03,1.04,1.03,10,1.04,5001,1.034657,2025-07-21 17:59:00+00:00
1753123740000,1.03,1.03,1.03,1,1.03,300,1.03,2025-07-21 18:49:00+00:00
1753126680000,1.04,1.0416,1.04,3,1.0416,1167,1.041097,2025-07-21 19:38:00+00:00
1753126740000,1.04,1.04,1.04,13,1.04,946,1.04,2025-07-21 19:39:00+00:00
1753126860000,1.0599,1.0599,1.0599,1,1.0599,530,1.0599,2025-07-21 19:41:00+00:00
1753127760000,1.0324,1.0324,1.0324,1,1.0324,882,1.0324,2025-07-21 19:56:00+00:00
1753127820000,1.0412,1.0412,1.0412,1,1.0412,100,1.0412,2025-07-21 19:57:00+00:00
1753127880000,1.06,1.06,1.0401,3,1.06,300,1.053367,2025-07-21 19:58:00+00:00
1753127940000,1.05,1.05,1.05,1,1.05,100,1.05,2025-07-21 19:59:00+00:00
1753191660000,1.05,1.05,1.05,1,1.05,500,1.05,2025-07-22 13:41:00+00:00
1753191720000,1.07,1.07,1.07,1,1.07,100,1.07,2025-07-22 13:42:00+00:00
1753192080000,1.07,1.07,1.069,5,1.069,5178,1.069508,2025-07-22 13:48:00+00:00
1753192140000,1.07,1.0702,1.07,4,1.0702,4008,1.070045,2025-07-22 13:49:00+00:00
1753192200000,1.09,1.09,1.07,7,1.07,21284,1.088808,2025-07-22 13:50:00+00:00
1753192320000,1.09,1.09,1.0501,17,1.0502,18939,1.078161,2025-07-22 13:52:00+00:00
1753192380000,1.1,1.1025,1.09,20,1.0902,15679,1.094062,2025-07-22 13:53:00+00:00
1753192440000,1.12,1.12,1.1,24,1.1,37508,1.10544,2025-07-22 13:54:00+00:00
1753192500000,1.12,1.13,1.1,35,1.119,42647,1.119559,2025-07-22 13:55:00+00:00
1753192560000,1.14,1.14,1.12,17,1.12,4915,1.123839,2025-07-22 13:56:00+00:00
1753192620000,1.22,1.22,1.15,23,1.15,21000,1.210404,2025-07-22 13:57:00+00:00
1753192680000,1.27,1.28,1.2,71,1.23,47354,1.256102,2025-07-22 13:58:00+00:00
1753192740000,1.37,1.4,1.27,174,1.27,66328,1.342081,2025-07-22 13:59:00+00:00
1753192800000,1.4,1.4,1.31,315,1.4,99199,1.365082,2025-07-22 14:00:00+00:00
1753192860000,1.48,1.49,1.36,781,1.39,204000,1.423428,2025-07-22 14:01:00+00:00
1753192920000,1.56,1.61,1.42,1710,1.471,343403,1.51815,2025-07-22 14:02:00+00:00
1753192980000,1.53,1.59,1.43,1657,1.56,312641,1.529881,2025-07-22 14:03:00+00:00
1753193040000,1.17,1.54,1.17,1966,1.5302,356213,1.342961,2025-07-22 14:04:00+00:00
1753193100000,1.1801,1.28,1.17,712,1.17,142076,1.206203,2025-07-22 14:05:00+00:00
1753193160000,1.23,1.23,1.18,236,1.185,37350,1.207272,2025-07-22 14:06:00+00:00
1753193220000,1.21,1.25,1.2,326,1.23,73900,1.225,2025-07-22 14:07:00+00:00
1753193280000,1.23,1.2498,1.21,152,1.2102,25279,1.229961,2025-07-22 14:08:00+00:00
1753193340000,1.23,1.24,1.22,188,1.235,30627,1.23336,2025-07-22 14:09:00+00:00
1753193400000,1.2,1.23,1.19,395,1.23,84854,1.210246,2025-07-22 14:10:00+00:00
1753193460000,1.17,1.21,1.17,175,1.2001,47234,1.1927,2025-07-22 14:11:00+00:00
1753193520000,1.1699,1.19,1.15,187,1.17,36018,1.161602,2025-07-22 14:12:00+00:00
1753193580000,1.16,1.18,1.15,131,1.17,16670,1.164705,2025-07-22 14:13:00+00:00
1753193640000,1.17,1.17,1.15,89,1.16,22629,1.153658,2025-07-22 14:14:00+00:00
1753193700000,1.17,1.18,1.17,102,1.175,13204,1.173195,2025-07-22 14:15:00+00:00
1753193760000,1.17,1.1799,1.17,77,1.17,14783,1.171427,2025-07-22 14:16:00+00:00
1753193820000,1.17,1.2,1.17,117,1.17,29196,1.180102,2025-07-22 14:17:00+00:00
1753193880000,1.17,1.17,1.16,22,1.17,2119,1.16904,2025-07-22 14:18:00+00:00
1753193940000,1.19,1.19,1.17,38,1.1701,6389,1.181347,2025-07-22 14:19:00+00:00
1753194000000,1.21,1.21,1.185,111,1.185,22432,1.194837,2025-07-22 14:20:00+00:00
