timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755191340000,4.52,4.52,4.52,2,4.52,500,4.52,2025-08-14 17:09:00+00:00
1755191400000,4.54,4.54,4.54,1,4.54,100,4.54,2025-08-14 17:10:00+00:00
1755191460000,4.52,4.52,4.52,3,4.52,500,4.52,2025-08-14 17:11:00+00:00
1755191520000,4.54,4.54,4.54,2,4.54,400,4.54,2025-08-14 17:12:00+00:00
1755191580000,4.58,4.58,4.54,7,4.54,2606,4.541569,2025-08-14 17:13:00+00:00
1755191700000,4.59,4.59,4.56,8,4.56,1192,4.562727,2025-08-14 17:15:00+00:00
1755191760000,4.55,4.575,4.55,11,4.575,1300,4.563534,2025-08-14 17:16:00+00:00
1755192240000,4.55,4.55,4.55,3,4.55,1000,4.55,2025-08-14 17:24:00+00:00
1755192300000,4.55,4.55,4.55,6,4.55,1000,4.55,2025-08-14 17:25:00+00:00
1755192600000,4.5268,4.5268,4.5268,2,4.5268,525,4.5268,2025-08-14 17:30:00+00:00
1755192960000,4.6,4.6,4.6,1,4.6,100,4.6,2025-08-14 17:36:00+00:00
1755193080000,4.6,4.6,4.6,2,4.6,101,4.6,2025-08-14 17:38:00+00:00
1755193140000,4.6,4.6,4.6,1,4.6,100,4.6,2025-08-14 17:39:00+00:00
1755193200000,4.59,4.59,4.59,1,4.59,100,4.59,2025-08-14 17:40:00+00:00
1755193260000,4.6,4.6,4.6,2,4.6,200,4.6,2025-08-14 17:41:00+00:00
1755193320000,4.56,4.6,4.56,23,4.595,1903,4.566362,2025-08-14 17:42:00+00:00
1755193380000,4.6,4.6,4.6,3,4.6,260,4.6,2025-08-14 17:43:00+00:00
1755193620000,4.59,4.59,4.59,1,4.59,100,4.59,2025-08-14 17:47:00+00:00
1755194100000,4.59,4.59,4.59,1,4.59,100,4.59,2025-08-14 17:55:00+00:00
1755194340000,4.56,4.5682,4.56,6,4.5682,1644,4.566613,2025-08-14 17:59:00+00:00
1755194640000,4.555,4.555,4.555,1,4.555,100,4.555,2025-08-14 18:04:00+00:00
1755194760000,4.58,4.58,4.58,1,4.58,200,4.58,2025-08-14 18:06:00+00:00
1755194820000,4.5201,4.5201,4.5201,2,4.5201,250,4.5201,2025-08-14 18:07:00+00:00
1755194880000,4.55,4.55,4.55,3,4.55,204,4.55,2025-08-14 18:08:00+00:00
1755195120000,4.56,4.56,4.56,3,4.56,900,4.56,2025-08-14 18:12:00+00:00
