timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753104600000,7.56,7.56,7.56,11,7.56,543,7.56,2025-07-21 13:30:00+00:00
1753104780000,7.49,7.49,7.49,1,7.49,475,7.49,2025-07-21 13:33:00+00:00
1753104840000,7.5609,7.5609,7.5609,1,7.5609,250,7.5609,2025-07-21 13:34:00+00:00
1753105200000,7.57,7.57,7.57,3,7.57,154,7.57,2025-07-21 13:40:00+00:00
1753105320000,7.59,7.59,7.59,2,7.59,272,7.59,2025-07-21 13:42:00+00:00
1753106220000,7.55,7.5899,7.55,24,7.5899,945,7.556045,2025-07-21 13:57:00+00:00
1753106700000,7.5104,7.52,7.5104,7,7.52,990,7.515248,2025-07-21 14:05:00+00:00
1753107360000,7.59,7.59,7.59,1,7.59,150,7.59,2025-07-21 14:16:00+00:00
1753108200000,7.59,7.59,7.59,2,7.59,282,7.59,2025-07-21 14:30:00+00:00
1753108380000,7.59,7.59,7.59,1,7.59,100,7.59,2025-07-21 14:33:00+00:00
1753108500000,7.5439,7.5439,7.5439,1,7.5439,400,7.5439,2025-07-21 14:35:00+00:00
1753109340000,7.55,7.55,7.55,1,7.55,100,7.55,2025-07-21 14:49:00+00:00
1753109400000,7.56,7.56,7.56,1,7.56,100,7.56,2025-07-21 14:50:00+00:00
1753109460000,7.5899,7.5899,7.57,3,7.57,1000,7.58791,2025-07-21 14:51:00+00:00
1753109880000,7.5754,7.59,7.5754,8,7.5899,6228,7.5857,2025-07-21 14:58:00+00:00
1753110960000,7.65,7.65,7.65,4,7.65,425,7.65,2025-07-21 15:16:00+00:00
1753111140000,7.68,7.68,7.68,3,7.68,266,7.68,2025-07-21 15:19:00+00:00
1753111200000,7.7,7.7,7.67,38,7.67,8666,7.69797,2025-07-21 15:20:00+00:00
1753111320000,7.69,7.69,7.69,3,7.69,365,7.69,2025-07-21 15:22:00+00:00
1753111440000,7.7139,7.7139,7.7139,1,7.7139,1000,7.7139,2025-07-21 15:24:00+00:00
1753111560000,7.7,7.74,7.7,5,7.74,520,7.71,2025-07-21 15:26:00+00:00
1753111740000,7.715,7.715,7.715,1,7.715,100,7.715,2025-07-21 15:29:00+00:00
1753111920000,7.685,7.7,7.685,15,7.685,1700,7.695928,2025-07-21 15:32:00+00:00
1753112220000,7.6789,7.6789,7.6789,3,7.6789,266,7.6789,2025-07-21 15:37:00+00:00
1753112520000,7.68,7.68,7.68,9,7.68,450,7.68,2025-07-21 15:42:00+00:00
1753113360000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 15:56:00+00:00
1753114020000,7.66,7.66,7.66,4,7.66,948,7.66,2025-07-21 16:07:00+00:00
1753115400000,7.6554,7.6554,7.6554,1,7.6554,1000,7.6554,2025-07-21 16:30:00+00:00
1753115460000,7.6289,7.6289,7.6289,2,7.6289,1802,7.6289,2025-07-21 16:31:00+00:00
1753115520000,7.616,7.616,7.616,2,7.616,175,7.616,2025-07-21 16:32:00+00:00
1753115760000,7.66,7.66,7.66,6,7.66,574,7.66,2025-07-21 16:36:00+00:00
1753116420000,7.7,7.7,7.689,11,7.7,900,7.695255,2025-07-21 16:47:00+00:00
1753116480000,7.7,7.7,7.67,16,7.7,4000,7.699203,2025-07-21 16:48:00+00:00
1753116780000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 16:53:00+00:00
1753116840000,7.685,7.685,7.685,2,7.685,190,7.685,2025-07-21 16:54:00+00:00
1753117080000,7.6856,7.6856,7.6856,3,7.6856,440,7.6856,2025-07-21 16:58:00+00:00
1753117320000,7.7,7.7,7.7,4,7.7,105,7.7,2025-07-21 17:02:00+00:00
1753117980000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 17:13:00+00:00
1753118100000,7.6814,7.7,7.6814,4,7.7,545,7.688483,2025-07-21 17:15:00+00:00
1753118160000,7.6824,7.6824,7.6824,1,7.6824,350,7.6824,2025-07-21 17:16:00+00:00
1753118280000,7.7,7.7,7.7,3,7.7,165,7.7,2025-07-21 17:18:00+00:00
1753118580000,7.7,7.7,7.7,2,7.7,115,7.7,2025-07-21 17:23:00+00:00
1753119000000,7.69,7.695,7.69,3,7.695,300,7.691667,2025-07-21 17:30:00+00:00
1753119900000,7.6756,7.7,7.6756,8,7.69,1000,7.6836,2025-07-21 17:45:00+00:00
1753120080000,7.6633,7.6633,7.6633,1,7.6633,300,7.6633,2025-07-21 17:48:00+00:00
1753120500000,7.705,7.705,7.7,11,7.7,1716,7.701176,2025-07-21 17:55:00+00:00
1753120560000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 17:56:00+00:00
1753122180000,7.7,7.7,7.7,1,7.7,300,7.7,2025-07-21 18:23:00+00:00
1753122300000,7.7,7.7,7.68,5,7.68,1700,7.685882,2025-07-21 18:25:00+00:00
1753122360000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 18:26:00+00:00
1753122420000,7.7,7.7,7.7,3,7.7,525,7.7,2025-07-21 18:27:00+00:00
1753122480000,7.7,7.7,7.7,2,7.7,400,7.7,2025-07-21 18:28:00+00:00
1753122600000,7.7,7.7,7.7,4,7.7,500,7.7,2025-07-21 18:30:00+00:00
1753122900000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 18:35:00+00:00
1753122960000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 18:36:00+00:00
1753123680000,7.6951,7.6951,7.6951,1,7.6951,483,7.6951,2025-07-21 18:48:00+00:00
1753124340000,7.7,7.7,7.7,1,7.7,158,7.7,2025-07-21 18:59:00+00:00
1753124400000,7.715,7.74,7.7,4,7.7,452,7.712586,2025-07-21 19:00:00+00:00
1753125480000,7.7,7.7075,7.7,5,7.7075,1073,7.7045,2025-07-21 19:18:00+00:00
1753125780000,7.7,7.7,7.7,1,7.7,100,7.7,2025-07-21 19:23:00+00:00
1753127400000,7.73,7.73,7.73,7,7.73,190,7.73,2025-07-21 19:50:00+00:00
1753127820000,7.7,7.7,7.7,9,7.7,660,7.7,2025-07-21 19:57:00+00:00
1753127940000,7.702,7.702,7.7,10,7.7,750,7.700592,2025-07-21 19:59:00+00:00
1753128000000,7.7,7.7,7.7,1,7.7,107,7.7,2025-07-21 20:00:00+00:00
1753191000000,7.775,7.84,7.775,9,7.84,875,7.830728,2025-07-22 13:30:00+00:00
1753191180000,7.8368,7.8368,7.8368,1,7.8368,200,7.8368,2025-07-22 13:33:00+00:00
1753191360000,7.7924,7.7924,7.7924,1,7.7924,700,7.7924,2025-07-22 13:36:00+00:00
1753191900000,7.7504,7.76,7.75,5,7.76,1000,7.75416,2025-07-22 13:45:00+00:00
1753192620000,7.75,7.75,7.75,1,7.75,400,7.75,2025-07-22 13:57:00+00:00
1753192680000,7.7551,7.7551,7.7551,1,7.7551,135,7.7551,2025-07-22 13:58:00+00:00
1753192800000,7.71,7.71,7.7,12,7.7,4343,7.700467,2025-07-22 14:00:00+00:00
1753193220000,7.5328,7.65,7.5328,4,7.65,505,7.61484,2025-07-22 14:07:00+00:00
1753194780000,7.625,7.625,7.625,1,7.625,300,7.625,2025-07-22 14:33:00+00:00
1753198560000,7.7,7.7,7.7,2,7.7,1170,7.7,2025-07-22 15:36:00+00:00
1753198680000,7.7499,7.7499,7.7499,1,7.7499,320,7.7499,2025-07-22 15:38:00+00:00
1753198980000,7.7,7.7,7.7,1,7.7,250,7.7,2025-07-22 15:43:00+00:00
1753199160000,7.7499,7.7499,7.7499,1,7.7499,400,7.7499,2025-07-22 15:46:00+00:00
1753200180000,7.75,7.75,7.75,1,7.75,580,7.75,2025-07-22 16:03:00+00:00
1753200240000,7.6604,7.6604,7.6604,2,7.6604,203,7.6604,2025-07-22 16:04:00+00:00
1753201920000,7.7,7.715,7.69,5,7.69,2700,7.700185,2025-07-22 16:32:00+00:00
1753201980000,7.7,7.7,7.7,4,7.7,2500,7.7,2025-07-22 16:33:00+00:00
1753202580000,7.7036,7.7036,7.7036,1,7.7036,500,7.7036,2025-07-22 16:43:00+00:00
