timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757340240000,1.563,1.58,1.563,4,1.58,436,1.566953,2025-09-08 14:04:00+00:00
1757340300000,1.58,1.58,1.58,2,1.58,150,1.58,2025-09-08 14:05:00+00:00
1757340420000,1.58,1.58,1.58,2,1.58,150,1.58,2025-09-08 14:07:00+00:00
1757340540000,1.565,1.5883,1.565,5,1.565,1810,1.5825,2025-09-08 14:09:00+00:00
1757340600000,1.58,1.58,1.565,2,1.565,200,1.5725,2025-09-08 14:10:00+00:00
1757340720000,1.58,1.58,1.58,2,1.58,106,1.58,2025-09-08 14:12:00+00:00
1757340840000,1.58,1.58,1.565,5,1.565,222,1.5725,2025-09-08 14:14:00+00:00
1757340960000,1.58,1.58,1.58,2,1.58,130,1.58,2025-09-08 14:16:00+00:00
1757341020000,1.563,1.5899,1.563,5,1.58,688,1.579003,2025-09-08 14:17:00+00:00
1757341080000,1.58,1.58,1.58,14,1.58,664,1.58,2025-09-08 14:18:00+00:00
1757341200000,1.58,1.58,1.58,1,1.58,100,1.58,2025-09-08 14:20:00+00:00
1757341500000,1.56,1.56,1.56,4,1.56,1228,1.56,2025-09-08 14:25:00+00:00
1757341800000,1.615,1.615,1.5838,44,1.5838,6363,1.60114,2025-09-08 14:30:00+00:00
1757341860000,1.6,1.63,1.6,21,1.63,1558,1.607189,2025-09-08 14:31:00+00:00
1757341980000,1.595,1.595,1.595,2,1.595,110,1.595,2025-09-08 14:33:00+00:00
1757342040000,1.5998,1.5998,1.5998,2,1.5998,200,1.5998,2025-09-08 14:34:00+00:00
1757342100000,1.6,1.6,1.6,39,1.6,1274,1.6,2025-09-08 14:35:00+00:00
1757342460000,1.6099,1.6099,1.6099,1,1.6099,100,1.6099,2025-09-08 14:41:00+00:00
1757342520000,1.61,1.61,1.61,3,1.61,300,1.61,2025-09-08 14:42:00+00:00
1757342640000,1.62,1.62,1.62,1,1.62,100,1.62,2025-09-08 14:44:00+00:00
1757342700000,1.6099,1.61,1.6099,18,1.61,2503,1.609995,2025-09-08 14:45:00+00:00
1757342760000,1.6091,1.6091,1.6091,1,1.6091,757,1.6091,2025-09-08 14:46:00+00:00
1757342940000,1.61,1.61,1.61,21,1.61,451,1.61,2025-09-08 14:49:00+00:00
1757343120000,1.62,1.62,1.6199,52,1.62,3412,1.619962,2025-09-08 14:52:00+00:00
1757343180000,1.6299,1.6299,1.6299,3,1.6299,281,1.6299,2025-09-08 14:53:00+00:00
1757343240000,1.6274,1.6274,1.6274,2,1.6274,660,1.6274,2025-09-08 14:54:00+00:00
1757343300000,1.63,1.63,1.63,1,1.63,100,1.63,2025-09-08 14:55:00+00:00
1757343420000,1.629,1.63,1.629,2,1.63,340,1.629294,2025-09-08 14:57:00+00:00
1757343540000,1.655,1.655,1.618,35,1.62,3780,1.624492,2025-09-08 14:59:00+00:00
1757343600000,1.655,1.655,1.655,4,1.655,1962,1.655,2025-09-08 15:00:00+00:00
1757343660000,1.663,1.663,1.663,6,1.663,173,1.663,2025-09-08 15:01:00+00:00
1757343780000,1.646,1.646,1.646,1,1.646,150,1.646,2025-09-08 15:03:00+00:00
1757343840000,1.665,1.665,1.665,3,1.665,180,1.665,2025-09-08 15:04:00+00:00
1757343900000,1.665,1.665,1.665,5,1.665,338,1.665,2025-09-08 15:05:00+00:00
1757343960000,1.6438,1.6438,1.6438,2,1.6438,1001,1.6438,2025-09-08 15:06:00+00:00
1757344080000,1.665,1.665,1.665,2,1.665,126,1.665,2025-09-08 15:08:00+00:00
1757344200000,1.663,1.665,1.663,2,1.665,225,1.663889,2025-09-08 15:10:00+00:00
1757344260000,1.665,1.665,1.665,1,1.665,100,1.665,2025-09-08 15:11:00+00:00
1757344320000,1.67,1.67,1.67,2,1.67,306,1.67,2025-09-08 15:12:00+00:00
1757344500000,1.69,1.69,1.6882,3,1.6882,2119,1.689914,2025-09-08 15:15:00+00:00
1757344560000,1.645,1.665,1.645,2,1.665,340,1.650882,2025-09-08 15:16:00+00:00
1757344620000,1.6764,1.6764,1.6764,1,1.6764,100,1.6764,2025-09-08 15:17:00+00:00
1757344800000,1.665,1.665,1.665,4,1.665,7530,1.665,2025-09-08 15:20:00+00:00
1757344860000,1.69,1.69,1.665,21,1.69,937,1.68536,2025-09-08 15:21:00+00:00
1757344920000,1.7,1.7,1.7,5,1.7,387,1.7,2025-09-08 15:22:00+00:00
1757344980000,1.705,1.705,1.705,1,1.705,100,1.705,2025-09-08 15:23:00+00:00
1757345040000,1.715,1.715,1.715,3,1.715,257,1.715,2025-09-08 15:24:00+00:00
1757345100000,1.72,1.72,1.72,5,1.72,710,1.72,2025-09-08 15:25:00+00:00
1757345160000,1.7,1.7,1.7,3,1.7,299,1.7,2025-09-08 15:26:00+00:00
1757345220000,1.74,1.74,1.72,12,1.72,1555,1.735714,2025-09-08 15:27:00+00:00
1757345280000,1.74,1.74,1.74,5,1.74,1601,1.74,2025-09-08 15:28:00+00:00
1757345340000,1.69,1.7487,1.69,72,1.73,7470,1.713371,2025-09-08 15:29:00+00:00
1757345400000,1.6941,1.75,1.6941,4,1.75,5580,1.746951,2025-09-08 15:30:00+00:00
1757345640000,1.72,1.72,1.72,3,1.72,110,1.72,2025-09-08 15:34:00+00:00
1757345700000,1.72,1.72,1.71,4,1.71,221,1.715,2025-09-08 15:35:00+00:00
1757345760000,1.735,1.735,1.735,1,1.735,200,1.735,2025-09-08 15:36:00+00:00
1757345880000,1.7201,1.735,1.7201,2,1.735,1000,1.72755,2025-09-08 15:38:00+00:00
1757345940000,1.72,1.735,1.72,8,1.735,745,1.7225,2025-09-08 15:39:00+00:00
1757346300000,1.7,1.71,1.7,13,1.7,2843,1.70771,2025-09-08 15:45:00+00:00
1757346660000,1.69,1.7,1.68,79,1.7,3731,1.695816,2025-09-08 15:51:00+00:00
1757346720000,1.68,1.68,1.68,9,1.68,400,1.68,2025-09-08 15:52:00+00:00
1757346900000,1.66,1.66,1.66,1,1.66,195,1.66,2025-09-08 15:55:00+00:00
1757346960000,1.675,1.675,1.675,2,1.675,102,1.675,2025-09-08 15:56:00+00:00
1757347020000,1.675,1.675,1.675,1,1.675,100,1.675,2025-09-08 15:57:00+00:00
1757347140000,1.69,1.69,1.68,5,1.68,3178,1.680323,2025-09-08 15:59:00+00:00
1757347320000,1.6831,1.6831,1.6831,3,1.6831,159,1.6831,2025-09-08 16:02:00+00:00
1757347380000,1.7,1.71,1.7,8,1.71,693,1.701745,2025-09-08 16:03:00+00:00
1757347560000,1.7,1.7,1.7,4,1.7,250,1.7,2025-09-08 16:06:00+00:00
1757347740000,1.695,1.695,1.695,3,1.695,520,1.695,2025-09-08 16:09:00+00:00
1757347800000,1.71,1.71,1.71,3,1.71,238,1.71,2025-09-08 16:10:00+00:00
1757348040000,1.6991,1.6991,1.6991,2,1.6991,110,1.6991,2025-09-08 16:14:00+00:00
1757348100000,1.7199,1.7199,1.7199,2,1.7199,210,1.7199,2025-09-08 16:15:00+00:00
1757348220000,1.7164,1.7164,1.7164,3,1.7164,1166,1.7164,2025-09-08 16:17:00+00:00
1757348460000,1.68,1.7,1.68,18,1.7,3921,1.682857,2025-09-08 16:21:00+00:00
1757348580000,1.72,1.72,1.72,4,1.72,170,1.72,2025-09-08 16:23:00+00:00
1757348760000,1.72,1.72,1.72,5,1.72,344,1.72,2025-09-08 16:26:00+00:00
1757348940000,1.72,1.72,1.72,3,1.72,106,1.72,2025-09-08 16:29:00+00:00
1757349180000,1.72,1.72,1.71,3,1.71,240,1.715,2025-09-08 16:33:00+00:00
1757349300000,1.7,1.71,1.7,20,1.71,976,1.703333,2025-09-08 16:35:00+00:00
1757349360000,1.69,1.69,1.69,41,1.69,1561,1.69,2025-09-08 16:36:00+00:00
1757349540000,1.7,1.7,1.6998,19,1.6998,1681,1.699839,2025-09-08 16:39:00+00:00
1757349600000,1.71,1.71,1.705,18,1.705,481,1.7075,2025-09-08 16:40:00+00:00
1757349780000,1.705,1.705,1.705,1,1.705,100,1.705,2025-09-08 16:43:00+00:00
1757349840000,1.7,1.71,1.7,57,1.705,1974,1.70375,2025-09-08 16:44:00+00:00
1757349900000,1.6998,1.6998,1.69,4,1.69,530,1.695791,2025-09-08 16:45:00+00:00
1757350200000,1.705,1.7137,1.705,19,1.7137,287,1.709672,2025-09-08 16:50:00+00:00
1757350560000,1.7,1.71,1.7,10,1.71,920,1.702361,2025-09-08 16:56:00+00:00
1757351040000,1.7061,1.7061,1.7061,1,1.7061,200,1.7061,2025-09-08 17:04:00+00:00
1757351100000,1.6905,1.6905,1.6905,3,1.6905,137,1.6905,2025-09-08 17:05:00+00:00
1757351220000,1.697,1.71,1.697,12,1.71,1296,1.698182,2025-09-08 17:07:00+00:00
1757351340000,1.71,1.71,1.71,1,1.71,100,1.71,2025-09-08 17:09:00+00:00
1757351400000,1.71,1.71,1.71,59,1.71,528,1.71,2025-09-08 17:10:00+00:00
1757351520000,1.7,1.72,1.7,9,1.71,2175,1.707109,2025-09-08 17:12:00+00:00
1757351640000,1.71,1.73,1.71,8,1.73,1858,1.714297,2025-09-08 17:14:00+00:00
1757351700000,1.71,1.71,1.71,3,1.71,1350,1.71,2025-09-08 17:15:00+00:00
1757351760000,1.7,1.71,1.68,79,1.7,5948,1.691377,2025-09-08 17:16:00+00:00
1757351940000,1.707,1.707,1.707,1,1.707,350,1.707,2025-09-08 17:19:00+00:00
1757352000000,1.6935,1.6935,1.6935,2,1.6935,151,1.6935,2025-09-08 17:20:00+00:00
1757352420000,1.7,1.7,1.7,5,1.7,700,1.7,2025-09-08 17:27:00+00:00
1757352480000,1.71,1.71,1.71,1,1.71,100,1.71,2025-09-08 17:28:00+00:00
1757352660000,1.71,1.71,1.71,1,1.71,100,1.71,2025-09-08 17:31:00+00:00
1757352720000,1.71,1.71,1.71,1,1.71,100,1.71,2025-09-08 17:32:00+00:00
1757352900000,1.6935,1.6935,1.6935,1,1.6935,2000,1.6935,2025-09-08 17:35:00+00:00
1757353020000,1.71,1.71,1.71,3,1.71,151,1.71,2025-09-08 17:37:00+00:00
1757353080000,1.7,1.7,1.695,2,1.695,335,1.698507,2025-09-08 17:38:00+00:00
1757353320000,1.71,1.71,1.71,34,1.71,2208,1.71,2025-09-08 17:42:00+00:00
1757353500000,1.73,1.73,1.73,7,1.73,700,1.73,2025-09-08 17:45:00+00:00
1757353560000,1.7299,1.73,1.7299,8,1.73,429,1.729967,2025-09-08 17:46:00+00:00
1757353680000,1.71,1.72,1.71,29,1.72,1557,1.71877,2025-09-08 17:48:00+00:00
1757353860000,1.72,1.72,1.72,1,1.72,652,1.72,2025-09-08 17:51:00+00:00
1757353920000,1.72,1.72,1.72,6,1.72,792,1.72,2025-09-08 17:52:00+00:00
1757354340000,1.73,1.73,1.704,5,1.704,5500,1.712815,2025-09-08 17:59:00+00:00
1757354580000,1.73,1.73,1.73,1,1.73,100,1.73,2025-09-08 18:03:00+00:00
1757354700000,1.7141,1.7141,1.71,2,1.71,451,1.710909,2025-09-08 18:05:00+00:00
1757354760000,1.73,1.73,1.73,1,1.73,100,1.73,2025-09-08 18:06:00+00:00
1757354820000,1.73,1.73,1.724,6,1.7295,682,1.726917,2025-09-08 18:07:00+00:00
1757354880000,1.73,1.73,1.73,3,1.73,219,1.73,2025-09-08 18:08:00+00:00
1757355060000,1.73,1.73,1.72,28,1.72,2450,1.721429,2025-09-08 18:11:00+00:00
1757355120000,1.72,1.73,1.72,2,1.73,484,1.726446,2025-09-08 18:12:00+00:00
1757355300000,1.755,1.755,1.755,11,1.755,941,1.755,2025-09-08 18:15:00+00:00
1757355420000,1.74,1.74,1.73,9,1.74,2700,1.730926,2025-09-08 18:17:00+00:00
1757355600000,1.7586,1.7586,1.7586,2,1.7586,105,1.7586,2025-09-08 18:20:00+00:00
1757355660000,1.735,1.735,1.735,3,1.735,133,1.735,2025-09-08 18:21:00+00:00
1757355720000,1.735,1.735,1.735,2,1.735,109,1.735,2025-09-08 18:22:00+00:00
1757355780000,1.735,1.735,1.735,1,1.735,100,1.735,2025-09-08 18:23:00+00:00
1757356380000,1.7401,1.7401,1.7401,2,1.7401,117,1.7401,2025-09-08 18:33:00+00:00
1757356440000,1.75,1.76,1.75,4,1.76,340,1.753333,2025-09-08 18:34:00+00:00
1757356680000,1.76,1.76,1.76,2,1.76,133,1.76,2025-09-08 18:38:00+00:00
1757356860000,1.75,1.78,1.75,21,1.76,1555,1.762675,2025-09-08 18:41:00+00:00
1757356920000,1.765,1.765,1.75,7,1.75,815,1.7575,2025-09-08 18:42:00+00:00
1757357040000,1.75,1.75,1.75,1,1.75,400,1.75,2025-09-08 18:44:00+00:00
1757357220000,1.765,1.765,1.765,1,1.765,100,1.765,2025-09-08 18:47:00+00:00
1757357460000,1.75,1.76,1.75,14,1.75,1030,1.75125,2025-09-08 18:51:00+00:00
1757357520000,1.7999,1.7999,1.7999,1,1.7999,100,1.7999,2025-09-08 18:52:00+00:00
1757357580000,1.775,1.7793,1.775,2,1.7793,200,1.77715,2025-09-08 18:53:00+00:00
1757357700000,1.775,1.775,1.775,1,1.775,100,1.775,2025-09-08 18:55:00+00:00
1757357940000,1.775,1.775,1.775,3,1.775,157,1.775,2025-09-08 18:59:00+00:00
1757358060000,1.775,1.775,1.775,3,1.775,518,1.775,2025-09-08 19:01:00+00:00
1757358180000,1.775,1.775,1.775,3,1.775,118,1.775,2025-09-08 19:03:00+00:00
1757358240000,1.775,1.775,1.775,1,1.775,100,1.775,2025-09-08 19:04:00+00:00
1757358300000,1.8,1.8,1.8,3,1.8,161,1.8,2025-09-08 19:05:00+00:00
1757358360000,1.76,1.76,1.76,3,1.76,259,1.76,2025-09-08 19:06:00+00:00
1757358420000,1.775,1.7799,1.76,59,1.77,10891,1.767759,2025-09-08 19:07:00+00:00
1757358480000,1.795,1.795,1.78,16,1.78,1557,1.790033,2025-09-08 19:08:00+00:00
1757358540000,1.795,1.795,1.795,4,1.795,269,1.795,2025-09-08 19:09:00+00:00
1757358600000,1.81,1.81,1.795,3,1.795,1722,1.796742,2025-09-08 19:10:00+00:00
1757358660000,1.8097,1.8097,1.795,2,1.795,200,1.80235,2025-09-08 19:11:00+00:00
1757358780000,1.795,1.795,1.795,4,1.795,615,1.795,2025-09-08 19:13:00+00:00
1757358900000,1.795,1.795,1.795,3,1.795,210,1.795,2025-09-08 19:15:00+00:00
1757359080000,1.8,1.8,1.8,10,1.8,493,1.8,2025-09-08 19:18:00+00:00
1757359200000,1.795,1.81,1.795,12,1.81,7589,1.8098,2025-09-08 19:20:00+00:00
1757359500000,1.8087,1.8087,1.79,10,1.79,7258,1.808233,2025-09-08 19:25:00+00:00
1757359560000,1.81,1.81,1.81,4,1.81,181,1.81,2025-09-08 19:26:00+00:00
1757359620000,1.81,1.81,1.81,4,1.81,144,1.81,2025-09-08 19:27:00+00:00
1757359740000,1.81,1.81,1.81,10,1.81,217,1.81,2025-09-08 19:29:00+00:00
1757359800000,1.81,1.81,1.81,7,1.81,106,1.81,2025-09-08 19:30:00+00:00
1757359920000,1.81,1.81,1.81,7,1.81,115,1.81,2025-09-08 19:32:00+00:00
1757360040000,1.81,1.81,1.81,10,1.81,290,1.81,2025-09-08 19:34:00+00:00
1757360100000,1.81,1.81,1.81,6,1.81,204,1.81,2025-09-08 19:35:00+00:00
1757360160000,1.8,1.81,1.8,59,1.81,2923,1.8016,2025-09-08 19:36:00+00:00
1757360220000,1.805,1.805,1.805,4,1.805,500,1.805,2025-09-08 19:37:00+00:00
1757360340000,1.8,1.81,1.8,19,1.8,1565,1.800701,2025-09-08 19:39:00+00:00
1757360400000,1.81,1.81,1.81,1,1.81,100,1.81,2025-09-08 19:40:00+00:00
1757360580000,1.81,1.81,1.81,18,1.81,759,1.81,2025-09-08 19:43:00+00:00
1757360700000,1.81,1.81,1.81,15,1.81,208,1.81,2025-09-08 19:45:00+00:00
1757360820000,1.79,1.81,1.786,64,1.81,11768,1.802185,2025-09-08 19:47:00+00:00
1757360880000,1.795,1.795,1.79,4,1.79,339,1.791976,2025-09-08 19:48:00+00:00
1757360940000,1.795,1.795,1.795,2,1.795,150,1.795,2025-09-08 19:49:00+00:00
1757361060000,1.79,1.795,1.78,18,1.795,1339,1.784444,2025-09-08 19:51:00+00:00
1757361120000,1.7899,1.7899,1.7899,2,1.7899,174,1.7899,2025-09-08 19:52:00+00:00
1757361420000,1.7899,1.7899,1.785,14,1.785,930,1.789022,2025-09-08 19:57:00+00:00
1757361480000,1.79,1.8,1.79,35,1.79,4518,1.795306,2025-09-08 19:58:00+00:00
1757361540000,1.795,1.8,1.795,23,1.8,1071,1.798004,2025-09-08 19:59:00+00:00
1757361600000,1.78,1.78,1.78,5,1.78,4080,1.78,2025-09-08 20:00:00+00:00
1757424600000,1.7994,1.8,1.7994,17,1.8,2896,1.799943,2025-09-09 13:30:00+00:00
1757424780000,1.7675,1.7675,1.7675,1,1.7675,100,1.7675,2025-09-09 13:33:00+00:00
1757425020000,1.81,1.81,1.8093,7,1.8093,381,1.809741,2025-09-09 13:37:00+00:00
1757425080000,1.81,1.81,1.81,5,1.81,360,1.81,2025-09-09 13:38:00+00:00
1757425140000,1.81,1.81,1.7506,12,1.7506,1959,1.777684,2025-09-09 13:39:00+00:00
1757425200000,1.81,1.81,1.74,6,1.74,1664,1.748459,2025-09-09 13:40:00+00:00
1757425260000,1.86,1.86,1.775,26,1.8,6898,1.804969,2025-09-09 13:41:00+00:00
1757425320000,1.86,1.87,1.7413,14,1.8689,7079,1.842606,2025-09-09 13:42:00+00:00
1757425500000,1.88,1.88,1.88,7,1.88,440,1.88,2025-09-09 13:45:00+00:00
1757425560000,1.88,1.88,1.8767,5,1.8767,2582,1.877434,2025-09-09 13:46:00+00:00
1757425620000,1.88,1.8995,1.8344,10,1.8344,2549,1.872684,2025-09-09 13:47:00+00:00
1757425680000,1.895,1.895,1.84,4,1.849,1941,1.853868,2025-09-09 13:48:00+00:00
1757425800000,1.9488,1.95,1.9,20,1.9,1748,1.915164,2025-09-09 13:50:00+00:00
1757425860000,1.8945,1.9492,1.8945,54,1.94,7100,1.939819,2025-09-09 13:51:00+00:00
1757425920000,1.8839,1.94,1.8839,8,1.94,1311,1.900742,2025-09-09 13:52:00+00:00
1757425980000,1.93,1.93,1.9,8,1.9,5434,1.907523,2025-09-09 13:53:00+00:00
1757426040000,1.92,1.93,1.9105,12,1.93,2962,1.923039,2025-09-09 13:54:00+00:00
1757426100000,1.84,1.915,1.84,48,1.915,10938,1.867797,2025-09-09 13:55:00+00:00
1757426160000,1.83,1.84,1.83,9,1.83,4587,1.830658,2025-09-09 13:56:00+00:00
1757426280000,1.83,1.83,1.83,5,1.83,1311,1.83,2025-09-09 13:58:00+00:00
1757426460000,1.84,1.84,1.84,1,1.84,100,1.84,2025-09-09 14:01:00+00:00
1757426520000,1.88,1.88,1.855,16,1.855,11659,1.878671,2025-09-09 14:02:00+00:00
1757426640000,1.8475,1.8475,1.8475,3,1.8475,542,1.8475,2025-09-09 14:04:00+00:00
1757426820000,1.8301,1.8301,1.8301,1,1.8301,2500,1.8301,2025-09-09 14:07:00+00:00
1757426940000,1.88,1.9199,1.88,16,1.88,2425,1.915534,2025-09-09 14:09:00+00:00
1757427000000,1.88,1.88,1.88,1,1.88,100,1.88,2025-09-09 14:10:00+00:00
1757427180000,1.89,1.89,1.86,10,1.86,744,1.865,2025-09-09 14:13:00+00:00
1757427240000,1.89,1.925,1.89,3,1.925,510,1.897,2025-09-09 14:14:00+00:00
1757427300000,1.885,1.885,1.885,2,1.885,150,1.885,2025-09-09 14:15:00+00:00
1757427600000,1.895,1.895,1.895,2,1.895,103,1.895,2025-09-09 14:20:00+00:00
1757427780000,1.9,1.9,1.9,6,1.9,467,1.9,2025-09-09 14:23:00+00:00
1757427840000,1.8996,1.8996,1.8996,7,1.8996,201,1.8996,2025-09-09 14:24:00+00:00
1757427900000,1.8981,1.8981,1.8981,5,1.8981,397,1.8981,2025-09-09 14:25:00+00:00
1757427960000,1.92,1.95,1.9,40,1.9,2149,1.92088,2025-09-09 14:26:00+00:00
1757428020000,1.92,1.92,1.895,5,1.895,1221,1.908887,2025-09-09 14:27:00+00:00
1757428080000,1.9187,1.9187,1.9187,2,1.9187,190,1.9187,2025-09-09 14:28:00+00:00
1757428200000,1.9,1.9,1.9,7,1.9,182,1.9,2025-09-09 14:30:00+00:00
1757428260000,1.9,1.9,1.9,2,1.9,200,1.9,2025-09-09 14:31:00+00:00
1757428320000,1.893,1.92,1.893,6,1.92,725,1.916143,2025-09-09 14:32:00+00:00
1757428380000,1.9,1.9155,1.8705,5,1.9155,1561,1.885468,2025-09-09 14:33:00+00:00
1757428500000,1.9,1.9,1.9,6,1.9,600,1.9,2025-09-09 14:35:00+00:00
1757428560000,1.92,1.92,1.9,16,1.92,2757,1.916141,2025-09-09 14:36:00+00:00
1757428620000,1.905,1.905,1.905,2,1.905,1026,1.905,2025-09-09 14:37:00+00:00
1757428680000,1.8953,1.93,1.8953,61,1.91,2517,1.908619,2025-09-09 14:38:00+00:00
1757428800000,1.9108,1.9108,1.9108,2,1.9108,1210,1.9108,2025-09-09 14:40:00+00:00
1757428860000,1.89,1.9,1.87,43,1.89,6534,1.886946,2025-09-09 14:41:00+00:00
1757428920000,1.89,1.89,1.87,14,1.87,2731,1.870828,2025-09-09 14:42:00+00:00
1757429280000,1.9,1.9,1.89,13,1.89,769,1.896825,2025-09-09 14:48:00+00:00
1757429400000,1.8941,1.9,1.8941,3,1.9,561,1.896418,2025-09-09 14:50:00+00:00
1757429520000,1.91,1.91,1.9,36,1.9,10300,1.900504,2025-09-09 14:52:00+00:00
1757429580000,1.895,1.9,1.8601,24,1.9,5702,1.875606,2025-09-09 14:53:00+00:00
1757429640000,1.8646,1.8866,1.8646,5,1.8866,5400,1.885449,2025-09-09 14:54:00+00:00
1757429700000,1.8725,1.8725,1.8725,7,1.8725,1110,1.8725,2025-09-09 14:55:00+00:00
1757429820000,1.875,1.875,1.875,8,1.875,261,1.875,2025-09-09 14:57:00+00:00
1757429940000,1.87,1.89,1.87,9,1.88,3672,1.877462,2025-09-09 14:59:00+00:00
1757430000000,1.88,1.88,1.87,6,1.87,1316,1.877937,2025-09-09 15:00:00+00:00
1757430060000,1.8854,1.8854,1.8854,1,1.8854,106,1.8854,2025-09-09 15:01:00+00:00
1757430120000,1.8601,1.8601,1.8601,3,1.8601,204,1.8601,2025-09-09 15:02:00+00:00
1757430180000,1.8899,1.8899,1.8899,1,1.8899,200,1.8899,2025-09-09 15:03:00+00:00
1757430240000,1.9043,1.905,1.89,38,1.89,1969,1.898966,2025-09-09 15:04:00+00:00
1757430300000,1.905,1.905,1.9,8,1.9,594,1.901704,2025-09-09 15:05:00+00:00
1757430600000,1.92,1.92,1.92,2,1.92,113,1.92,2025-09-09 15:10:00+00:00
1757430660000,1.9141,1.9141,1.9141,7,1.9141,795,1.9141,2025-09-09 15:11:00+00:00
1757430780000,1.9,1.92,1.9,11,1.92,4201,1.901519,2025-09-09 15:13:00+00:00
1757430840000,1.915,1.915,1.915,2,1.915,1045,1.915,2025-09-09 15:14:00+00:00
