timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752086160000,5.9,5.9,5.9,2,5.9,122,5.9,2025-07-09 18:36:00+00:00
1752086940000,5.9,5.9,5.9,5,5.9,209,5.9,2025-07-09 18:49:00+00:00
1752087060000,5.9,5.9,5.9,3,5.9,133,5.9,2025-07-09 18:51:00+00:00
1752087120000,5.9,5.9,5.9,3,5.9,300,5.9,2025-07-09 18:52:00+00:00
1752087180000,5.9,5.9,5.9,2,5.9,108,5.9,2025-07-09 18:53:00+00:00
1752087360000,5.9,5.9,5.9,5,5.9,408,5.9,2025-07-09 18:56:00+00:00
1752087540000,5.9,5.9,5.9,3,5.9,109,5.9,2025-07-09 18:59:00+00:00
1752089280000,5.9,5.9,5.9,1,5.9,100,5.9,2025-07-09 19:28:00+00:00
1752090900000,5.9,5.9,5.9,5,5.9,447,5.9,2025-07-09 19:55:00+00:00
1752091140000,5.9,5.9,5.9,16,5.9,421,5.9,2025-07-09 19:59:00+00:00
1752155280000,5.78,5.78,5.78,2,5.78,2026,5.78,2025-07-10 13:48:00+00:00
1752156240000,5.925,5.98,5.925,4,5.98,700,5.956429,2025-07-10 14:04:00+00:00
1752157560000,5.9,5.9,5.9,1,5.9,111,5.9,2025-07-10 14:26:00+00:00
1752159540000,5.92,5.92,5.9,14,5.91,3300,5.903045,2025-07-10 14:59:00+00:00
1752159960000,5.8501,5.8501,5.8501,1,5.8501,100,5.8501,2025-07-10 15:06:00+00:00
1752160500000,5.97,5.98,5.97,2,5.98,200,5.975,2025-07-10 15:15:00+00:00
1752160560000,5.92,5.92,5.92,2,5.92,165,5.92,2025-07-10 15:16:00+00:00
1752160920000,5.92,5.92,5.92,3,5.92,300,5.92,2025-07-10 15:22:00+00:00
1752161040000,5.905,5.905,5.905,1,5.905,1000,5.905,2025-07-10 15:24:00+00:00
1752161640000,5.93,5.93,5.93,1,5.93,100,5.93,2025-07-10 15:34:00+00:00
1752161700000,5.95,5.95,5.94,2,5.94,200,5.945,2025-07-10 15:35:00+00:00
1752162120000,5.96,5.96,5.96,2,5.96,820,5.96,2025-07-10 15:42:00+00:00
1752168060000,5.9,5.9,5.9,1,5.9,150,5.9,2025-07-10 17:21:00+00:00
1752169620000,5.95,5.95,5.95,2,5.95,101,5.95,2025-07-10 17:47:00+00:00
1752169800000,5.95,5.95,5.95,1,5.95,100,5.95,2025-07-10 17:50:00+00:00
1752170940000,5.95,5.95,5.95,3,5.95,201,5.95,2025-07-10 18:09:00+00:00
1752171420000,5.91,5.98,5.91,15,5.98,4978,5.964234,2025-07-10 18:17:00+00:00
1752171600000,5.9,5.91,5.9,13,5.91,2710,5.90111,2025-07-10 18:20:00+00:00
1752171720000,5.9,5.9,5.9,1,5.9,359,5.9,2025-07-10 18:22:00+00:00
1752171900000,5.9,6.029,5.9,22,6.0005,1354,5.953286,2025-07-10 18:25:00+00:00
1752172500000,5.9,5.9,5.9,2,5.9,308,5.9,2025-07-10 18:35:00+00:00
1752172620000,5.9,5.9,5.9,4,5.9,534,5.9,2025-07-10 18:37:00+00:00
1752172680000,5.8,5.85,5.8,17,5.85,2825,5.816562,2025-07-10 18:38:00+00:00
1752173280000,5.8,5.8,5.8,3,5.8,158,5.8,2025-07-10 18:48:00+00:00
1752173820000,5.86,6.0,5.86,17,5.9999,12514,5.977561,2025-07-10 18:57:00+00:00
1752173940000,6.02,6.055,6.02,23,6.0499,10312,6.049499,2025-07-10 18:59:00+00:00
1752174000000,5.995,6.0,5.92,13,6.0,908,5.95297,2025-07-10 19:00:00+00:00
1752176040000,6.08,6.08,6.08,4,6.08,116,6.08,2025-07-10 19:34:00+00:00
1752240780000,5.8796,5.8796,5.8796,1,5.8796,100,5.8796,2025-07-11 13:33:00+00:00
1752241320000,5.935,6.09,5.935,16,5.935,3238,6.006804,2025-07-11 13:42:00+00:00
1752241500000,5.93,5.93,5.93,3,5.93,300,5.93,2025-07-11 13:45:00+00:00
1752241860000,5.98,5.98,5.9775,5,5.9775,320,5.97875,2025-07-11 13:51:00+00:00
1752241980000,5.995,5.995,5.995,3,5.995,700,5.995,2025-07-11 13:53:00+00:00
1752242760000,5.99,5.99,5.99,6,5.99,300,5.99,2025-07-11 14:06:00+00:00
1752244140000,6.005,6.005,5.9201,11,5.9201,2559,5.951938,2025-07-11 14:29:00+00:00
1752244200000,6.035,6.035,6.035,1,6.035,100,6.035,2025-07-11 14:30:00+00:00
1752246540000,6.0,6.0,6.0,2,6.0,206,6.0,2025-07-11 15:09:00+00:00
