timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751895000000,0.6782,0.7,0.6754,19,0.7,4881,0.690388,2025-07-07 13:30:00+00:00
1751895240000,0.675,0.6766,0.675,4,0.6766,1072,0.676451,2025-07-07 13:34:00+00:00
1751895420000,0.67,0.68,0.67,8,0.68,8683,0.6789,2025-07-07 13:37:00+00:00
1751895480000,0.6598,0.6598,0.6506,2,0.6506,1256,0.658584,2025-07-07 13:38:00+00:00
1751895720000,0.68,0.68,0.68,1,0.68,2000,0.68,2025-07-07 13:42:00+00:00
1751895780000,0.652,0.6788,0.652,3,0.6788,2220,0.676364,2025-07-07 13:43:00+00:00
1751895840000,0.6593,0.6593,0.6593,1,0.6593,100,0.6593,2025-07-07 13:44:00+00:00
1751896080000,0.6775,0.6775,0.6775,1,0.6775,100,0.6775,2025-07-07 13:48:00+00:00
1751896440000,0.677,0.677,0.677,3,0.677,1478,0.677,2025-07-07 13:54:00+00:00
1751896620000,0.67,0.67,0.67,1,0.67,127,0.67,2025-07-07 13:57:00+00:00
1751896740000,0.6587,0.677,0.6587,3,0.677,4663,0.659461,2025-07-07 13:59:00+00:00
1751897040000,0.6638,0.6638,0.6638,1,0.6638,200,0.6638,2025-07-07 14:04:00+00:00
1751897220000,0.6638,0.6638,0.6638,2,0.6638,177,0.6638,2025-07-07 14:07:00+00:00
1751897700000,0.6475,0.65,0.6475,24,0.65,4163,0.64978,2025-07-07 14:15:00+00:00
1751897760000,0.6475,0.6637,0.6475,2,0.6637,718,0.6556,2025-07-07 14:16:00+00:00
1751897820000,0.6475,0.6475,0.6475,3,0.6475,623,0.6475,2025-07-07 14:17:00+00:00
1751897880000,0.6455,0.6475,0.64,13,0.6475,3145,0.643555,2025-07-07 14:18:00+00:00
1751897940000,0.651,0.651,0.651,1,0.651,220,0.651,2025-07-07 14:19:00+00:00
1751898060000,0.6511,0.6511,0.6511,3,0.6511,134,0.6511,2025-07-07 14:21:00+00:00
1751898120000,0.6457,0.6457,0.6457,4,0.6457,106,0.6457,2025-07-07 14:22:00+00:00
1751898360000,0.6643,0.6643,0.6643,2,0.6643,101,0.6643,2025-07-07 14:26:00+00:00
1751898540000,0.6549,0.6549,0.6549,1,0.6549,2960,0.6549,2025-07-07 14:29:00+00:00
1751899380000,0.646,0.646,0.646,1,0.646,100,0.646,2025-07-07 14:43:00+00:00
