timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757607300000,6.093,6.1,6.093,36,6.095,3520,6.095909,2025-09-11 16:15:00+00:00
1757607360000,6.085,6.09,6.085,54,6.09,3331,6.086522,2025-09-11 16:16:00+00:00
1757607420000,6.095,6.095,6.085,89,6.085,8590,6.087238,2025-09-11 16:17:00+00:00
1757607480000,6.09,6.1,6.09,79,6.1,4616,6.094445,2025-09-11 16:18:00+00:00
1757607540000,6.085,6.085,6.085,9,6.085,454,6.085,2025-09-11 16:19:00+00:00
1757607600000,6.09,6.09,6.08,73,6.08,2554,6.088964,2025-09-11 16:20:00+00:00
1757607660000,6.09,6.09,6.09,31,6.09,1031,6.09,2025-09-11 16:21:00+00:00
1757607720000,6.09,6.1,6.09,41,6.1,992,6.094595,2025-09-11 16:22:00+00:00
1757607780000,6.08,6.085,6.08,21,6.085,1242,6.084502,2025-09-11 16:23:00+00:00
1757607840000,6.085,6.085,6.08,16,6.08,969,6.083704,2025-09-11 16:24:00+00:00
1757607900000,6.085,6.085,6.085,30,6.085,3312,6.085,2025-09-11 16:25:00+00:00
1757607960000,6.085,6.085,6.085,7,6.085,286,6.085,2025-09-11 16:26:00+00:00
1757608020000,6.085,6.085,6.085,14,6.085,728,6.085,2025-09-11 16:27:00+00:00
1757608080000,6.072,6.08,6.072,50,6.08,2193,6.078807,2025-09-11 16:28:00+00:00
1757608140000,6.06,6.075,6.06,71,6.075,2212,6.066875,2025-09-11 16:29:00+00:00
1757608200000,6.08,6.08,6.07,40,6.07,1672,6.072439,2025-09-11 16:30:00+00:00
1757608260000,6.065,6.07,6.065,36,6.07,2795,6.069275,2025-09-11 16:31:00+00:00
1757608320000,6.06,6.06,6.06,6,6.06,249,6.06,2025-09-11 16:32:00+00:00
1757608380000,6.07,6.07,6.065,33,6.065,1046,6.06904,2025-09-11 16:33:00+00:00
1757608440000,6.07,6.07,6.06,22,6.06,481,6.065,2025-09-11 16:34:00+00:00
1757608500000,6.08,6.08,6.07,38,6.07,1128,6.074255,2025-09-11 16:35:00+00:00
1757608560000,6.08,6.08,6.08,18,6.08,671,6.08,2025-09-11 16:36:00+00:00
1757608620000,6.08,6.085,6.08,84,6.08,12006,6.080484,2025-09-11 16:37:00+00:00
1757608680000,6.07,6.07,6.07,17,6.07,665,6.07,2025-09-11 16:38:00+00:00
1757608740000,6.09,6.09,6.07,23,6.07,1119,6.079375,2025-09-11 16:39:00+00:00
1757608800000,6.075,6.08,6.075,14,6.08,1143,6.078824,2025-09-11 16:40:00+00:00
1757608920000,6.085,6.085,6.075,42,6.075,9933,6.078285,2025-09-11 16:42:00+00:00
1757608980000,6.08,6.085,6.08,15,6.085,639,6.082123,2025-09-11 16:43:00+00:00
1757609040000,6.085,6.085,6.08,13,6.085,893,6.084167,2025-09-11 16:44:00+00:00
1757609100000,6.085,6.085,6.085,12,6.085,935,6.085,2025-09-11 16:45:00+00:00
1757609160000,6.085,6.085,6.085,14,6.085,361,6.085,2025-09-11 16:46:00+00:00
1757609220000,6.085,6.085,6.085,8,6.085,440,6.085,2025-09-11 16:47:00+00:00
1757609280000,6.07,6.085,6.07,52,6.08,2428,6.07847,2025-09-11 16:48:00+00:00
1757609340000,6.08,6.08,6.075,59,6.075,3166,6.078535,2025-09-11 16:49:00+00:00
1757609400000,6.08,6.08,6.08,2,6.08,132,6.08,2025-09-11 16:50:00+00:00
1757609460000,6.07,6.08,6.07,33,6.07,1690,6.072083,2025-09-11 16:51:00+00:00
1757609520000,6.07,6.07,6.065,53,6.07,4243,6.069417,2025-09-11 16:52:00+00:00
1757609580000,6.06,6.07,6.06,35,6.07,999,6.0645,2025-09-11 16:53:00+00:00
1757609640000,6.05,6.06,6.05,21,6.06,1372,6.053696,2025-09-11 16:54:00+00:00
1757609700000,6.04,6.05,6.04,33,6.05,3007,6.046284,2025-09-11 16:55:00+00:00
1757609760000,6.04,6.045,6.04,23,6.045,1358,6.042207,2025-09-11 16:56:00+00:00
1757609820000,6.035,6.045,6.035,24,6.045,1419,6.037558,2025-09-11 16:57:00+00:00
1757609880000,6.04,6.04,6.03,47,6.03,5291,6.037413,2025-09-11 16:58:00+00:00
1757609940000,6.05,6.06,6.04,80,6.045,3077,6.045417,2025-09-11 16:59:00+00:00
1757610000000,6.04,6.05,6.04,34,6.05,2753,6.042381,2025-09-11 17:00:00+00:00
1757610060000,6.04,6.04,6.03,42,6.03,2108,6.037571,2025-09-11 17:01:00+00:00
1757610120000,6.02,6.035,6.02,19,6.035,1439,6.02958,2025-09-11 17:02:00+00:00
1757610180000,6.02,6.02,6.02,15,6.02,684,6.02,2025-09-11 17:03:00+00:00
1757610240000,6.02,6.025,6.02,11,6.02,1143,6.020455,2025-09-11 17:04:00+00:00
1757610300000,6.025,6.0299,6.02,22,6.02,1539,6.027782,2025-09-11 17:05:00+00:00
1757610360000,6.025,6.025,6.02,23,6.02,1536,6.021042,2025-09-11 17:06:00+00:00
1757610420000,6.0265,6.0265,6.02,9,6.02,2141,6.025867,2025-09-11 17:07:00+00:00
1757610480000,6.0122,6.02,6.0122,19,6.02,921,6.017607,2025-09-11 17:08:00+00:00
1757610540000,6.035,6.04,6.01,107,6.015,7034,6.021349,2025-09-11 17:09:00+00:00
1757610600000,6.07,6.07,6.04,46,6.04,10492,6.049353,2025-09-11 17:10:00+00:00
1757610660000,6.07,6.07,6.065,13,6.065,657,6.069,2025-09-11 17:11:00+00:00
1757610720000,6.0619,6.065,6.06,64,6.06,7675,6.060744,2025-09-11 17:12:00+00:00
1757610780000,6.075,6.075,6.065,35,6.07,3803,6.069761,2025-09-11 17:13:00+00:00
