timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750771800000,28.0,28.0,26.85,3,26.85,205,27.425,2025-06-24 13:30:00+00:00
1750771920000,28.0299,28.39,28.0299,7,28.38,690,28.238803,2025-06-24 13:32:00+00:00
1750772340000,27.65,27.65,27.65,1,27.65,300,27.65,2025-06-24 13:39:00+00:00
1750772520000,27.7,27.7,27.7,1,27.7,400,27.7,2025-06-24 13:42:00+00:00
1750774080000,27.5,27.5,27.5,2,27.5,600,27.5,2025-06-24 14:08:00+00:00
1750774680000,27.81,27.81,27.81,2,27.81,200,27.81,2025-06-24 14:18:00+00:00
1750775040000,28.11,28.11,28.11,1,28.11,136,28.11,2025-06-24 14:24:00+00:00
1750775940000,28.5,28.5,28.5,3,28.5,122,28.5,2025-06-24 14:39:00+00:00
1750776060000,28.7,28.7,28.7,2,28.7,525,28.7,2025-06-24 14:41:00+00:00
1750776600000,28.6,28.6,28.6,1,28.6,200,28.6,2025-06-24 14:50:00+00:00
1750776720000,28.56,28.56,28.3,6,28.56,1500,28.473333,2025-06-24 14:52:00+00:00
1750777020000,28.59,28.59,28.58,2,28.58,1000,28.582,2025-06-24 14:57:00+00:00
1750780080000,28.58,28.58,28.57,17,28.57,1700,28.574706,2025-06-24 15:48:00+00:00
1750783080000,28.9,28.9,28.9,1,28.9,100,28.9,2025-06-24 16:38:00+00:00
1750783380000,28.5,28.5397,28.5,2,28.5397,300,28.526467,2025-06-24 16:43:00+00:00
1750783440000,28.57,28.57,28.57,4,28.57,395,28.57,2025-06-24 16:44:00+00:00
1750785000000,27.98,27.98,27.98,1,27.98,100,27.98,2025-06-24 17:10:00+00:00
1750789620000,27.5,27.5,27.5,1,27.5,400,27.5,2025-06-24 18:27:00+00:00
1750793100000,28.16,28.16,28.16,2,28.16,150,28.16,2025-06-24 19:25:00+00:00
1750793580000,28.1,28.1,28.1,1,28.1,100,28.1,2025-06-24 19:33:00+00:00
1750858200000,30.64,30.64,29.79,3,29.79,702,30.107934,2025-06-25 13:30:00+00:00
1750858380000,28.72,28.72,28.72,2,28.72,302,28.72,2025-06-25 13:33:00+00:00
1750858440000,28.9324,29.02,28.9324,2,29.02,1000,28.9762,2025-06-25 13:34:00+00:00
1750858800000,28.83,28.92,28.825,4,28.825,1347,28.837853,2025-06-25 13:40:00+00:00
1750858860000,28.78,28.78,28.78,2,28.78,199,28.78,2025-06-25 13:41:00+00:00
1750859400000,28.21,28.21,28.21,4,28.21,325,28.21,2025-06-25 13:50:00+00:00
1750860660000,28.08,28.14,28.08,2,28.14,300,28.1,2025-06-25 14:11:00+00:00
1750862160000,27.85,27.85,27.85,1,27.85,100,27.85,2025-06-25 14:36:00+00:00
1750862760000,27.5,27.5,27.5,1,27.5,100,27.5,2025-06-25 14:46:00+00:00
1750865520000,28.83,28.83,28.83,1,28.83,199,28.83,2025-06-25 15:32:00+00:00
1750865820000,28.75,28.75,28.75,1,28.75,100,28.75,2025-06-25 15:37:00+00:00
1750867440000,28.96,28.96,28.96,3,28.96,300,28.96,2025-06-25 16:04:00+00:00
1750868100000,28.7,28.7,28.7,3,28.7,304,28.7,2025-06-25 16:15:00+00:00
1750870020000,28.75,28.75,28.66,21,28.66,4601,28.741823,2025-06-25 16:47:00+00:00
1750870140000,28.8688,28.8688,28.8688,1,28.8688,200,28.8688,2025-06-25 16:49:00+00:00
1750871460000,29.2199,29.2199,29.2199,2,29.2199,129,29.2199,2025-06-25 17:11:00+00:00
1750879440000,27.47,27.47,27.47,3,27.47,301,27.47,2025-06-25 19:24:00+00:00
1750879620000,27.09,27.14,27.09,5,27.14,450,27.123333,2025-06-25 19:27:00+00:00
1750879860000,27.0,27.0,27.0,7,27.0,1018,27.0,2025-06-25 19:31:00+00:00
1750944600000,26.79,26.79,26.73,10,26.78,1074,26.758008,2025-06-26 13:30:00+00:00
1750945140000,27.52,27.52,27.52,1,27.52,200,27.52,2025-06-26 13:39:00+00:00
1750945680000,27.08,27.08,27.08,3,27.08,120,27.08,2025-06-26 13:48:00+00:00
1750947660000,27.04,27.04,26.99,4,26.99,444,27.023333,2025-06-26 14:21:00+00:00
1750950660000,27.31,27.31,27.31,3,27.31,444,27.31,2025-06-26 15:11:00+00:00
1750953240000,27.23,27.23,27.23,1,27.23,136,27.23,2025-06-26 15:54:00+00:00
1750955640000,27.85,27.85,27.85,1,27.85,100,27.85,2025-06-26 16:34:00+00:00
1750955700000,27.85,27.85,27.85,3,27.85,300,27.85,2025-06-26 16:35:00+00:00
1750956000000,27.7108,27.7108,27.7108,1,27.7108,400,27.7108,2025-06-26 16:40:00+00:00
1750959240000,27.93,27.93,27.93,1,27.93,100,27.93,2025-06-26 17:34:00+00:00
1750961580000,27.172,27.172,27.172,3,27.172,175,27.172,2025-06-26 18:13:00+00:00
1750963980000,27.3992,27.3992,27.3992,1,27.3992,290,27.3992,2025-06-26 18:53:00+00:00
1750964460000,27.53,27.53,27.53,1,27.53,100,27.53,2025-06-26 19:01:00+00:00
1750967220000,26.46,26.46,26.46,5,26.46,275,26.46,2025-06-26 19:47:00+00:00
1751031000000,27.46,27.46,27.46,5,27.46,159,27.46,2025-06-27 13:30:00+00:00
1751031120000,26.89,26.9,26.89,2,26.9,304,26.896579,2025-06-27 13:32:00+00:00
1751031180000,26.53,26.53,26.47,6,26.48,316,26.493333,2025-06-27 13:33:00+00:00
1751031900000,26.23,26.24,26.23,3,26.24,400,26.236579,2025-06-27 13:45:00+00:00
1751032020000,26.28,26.28,26.28,3,26.28,280,26.28,2025-06-27 13:47:00+00:00
1751032860000,25.77,25.77,25.77,4,25.77,389,25.77,2025-06-27 14:01:00+00:00
1751034540000,26.245,26.36,26.245,4,26.36,400,26.3,2025-06-27 14:29:00+00:00
1751035860000,26.25,26.25,26.25,1,26.25,100,26.25,2025-06-27 14:51:00+00:00
1751040540000,26.6,26.6,26.6,1,26.6,100,26.6,2025-06-27 16:09:00+00:00
1751044860000,26.51,26.51,26.49,2,26.49,228,26.498772,2025-06-27 17:21:00+00:00
1751046180000,26.615,26.615,26.615,1,26.615,200,26.615,2025-06-27 17:43:00+00:00
1751047800000,26.18,26.18,26.18,8,26.18,1228,26.18,2025-06-27 18:10:00+00:00
1751053260000,25.5,25.5,25.5,1,25.5,100,25.5,2025-06-27 19:41:00+00:00
1751053800000,25.46,25.46,25.46,1,25.46,200,25.46,2025-06-27 19:50:00+00:00
1751290200000,27.61,27.61,27.61,2,27.61,148,27.61,2025-06-30 13:30:00+00:00
1751290320000,27.5,27.5,27.5,2,27.5,201,27.5,2025-06-30 13:32:00+00:00
1751290740000,26.51,26.51,26.51,1,26.51,100,26.51,2025-06-30 13:39:00+00:00
1751292120000,28.18,28.18,28.18,3,28.18,237,28.18,2025-06-30 14:02:00+00:00
1751292180000,28.05,28.05,28.05,2,28.05,1000,28.05,2025-06-30 14:03:00+00:00
1751292840000,27.87,27.87,27.87,3,27.87,557,27.87,2025-06-30 14:14:00+00:00
1751294940000,29.02,29.02,29.02,3,29.02,201,29.02,2025-06-30 14:49:00+00:00
1751295240000,29.61,29.61,29.61,2,29.61,650,29.61,2025-06-30 14:54:00+00:00
1751295300000,29.61,29.61,29.61,1,29.61,300,29.61,2025-06-30 14:55:00+00:00
1751295480000,29.58,29.58,29.58,4,29.58,278,29.58,2025-06-30 14:58:00+00:00
1751297220000,28.26,28.26,28.26,1,28.26,200,28.26,2025-06-30 15:27:00+00:00
1751300280000,29.3288,29.3288,29.3288,3,29.3288,226,29.3288,2025-06-30 16:18:00+00:00
1751301660000,29.6143,29.6143,29.6143,1,29.6143,100,29.6143,2025-06-30 16:41:00+00:00
1751301720000,29.5526,29.5526,29.5526,1,29.5526,1000,29.5526,2025-06-30 16:42:00+00:00
1751302500000,29.8569,29.8569,29.8569,1,29.8569,100,29.8569,2025-06-30 16:55:00+00:00
1751303220000,29.59,29.59,29.59,1,29.59,100,29.59,2025-06-30 17:07:00+00:00
1751304480000,29.3647,29.3647,29.3647,1,29.3647,100,29.3647,2025-06-30 17:28:00+00:00
1751306700000,30.165,30.165,30.05,8,30.05,552,30.10548,2025-06-30 18:05:00+00:00
1751306760000,30.29,30.29,30.29,3,30.29,111,30.29,2025-06-30 18:06:00+00:00
1751310840000,29.65,29.65,29.65,1,29.65,100,29.65,2025-06-30 19:14:00+00:00
1751312700000,29.6599,29.6599,29.6599,1,29.6599,200,29.6599,2025-06-30 19:45:00+00:00
1751313000000,29.93,29.93,29.88,5,29.88,500,29.89,2025-06-30 19:50:00+00:00
1751313240000,30.2089,30.2089,30.199,3,30.199,1020,30.20296,2025-06-30 19:54:00+00:00
1751376900000,27.1942,27.1942,27.1942,1,27.1942,200,27.1942,2025-07-01 13:35:00+00:00
1751377200000,27.19,27.19,27.19,3,27.19,333,27.19,2025-07-01 13:40:00+00:00
1751377560000,27.71,27.71,27.709,20,27.71,2511,27.709639,2025-07-01 13:46:00+00:00
1751378760000,27.7,27.7,27.7,1,27.7,171,27.7,2025-07-01 14:06:00+00:00
1751379000000,27.62,27.62,27.62,4,27.62,500,27.62,2025-07-01 14:10:00+00:00
1751379180000,27.385,27.385,27.385,1,27.385,100,27.385,2025-07-01 14:13:00+00:00
1751382780000,26.66,26.66,26.66,1,26.66,150,26.66,2025-07-01 15:13:00+00:00
1751387820000,28.25,28.25,28.25,5,28.25,510,28.25,2025-07-01 16:37:00+00:00
1751389920000,27.6601,27.92,27.6601,11,27.92,3074,27.84483,2025-07-01 17:12:00+00:00
1751393040000,28.0609,28.0609,28.0609,1,28.0609,150,28.0609,2025-07-01 18:04:00+00:00
1751394840000,27.75,27.75,27.75,1,27.75,500,27.75,2025-07-01 18:34:00+00:00
1751396940000,26.7,26.7,26.7,2,26.7,110,26.7,2025-07-01 19:09:00+00:00
1751463000000,27.74,28.1,27.74,3,28.1,5580,28.067291,2025-07-02 13:30:00+00:00
1751463060000,28.92,28.92,28.91,17,28.92,3152,28.918325,2025-07-02 13:31:00+00:00
1751463120000,29.58,29.58,28.64,3,28.64,405,29.345,2025-07-02 13:32:00+00:00
1751463240000,29.15,29.72,29.15,47,29.72,5200,29.216731,2025-07-02 13:34:00+00:00
1751463480000,28.24,28.24,28.24,1,28.24,100,28.24,2025-07-02 13:38:00+00:00
1751463780000,28.37,28.37,28.37,1,28.37,214,28.37,2025-07-02 13:43:00+00:00
1751463960000,28.41,28.41,28.41,1,28.41,110,28.41,2025-07-02 13:46:00+00:00
1751464020000,28.41,28.41,28.41,1,28.41,100,28.41,2025-07-02 13:47:00+00:00
1751464080000,28.61,28.61,28.432,3,28.432,300,28.514407,2025-07-02 13:48:00+00:00
1751464380000,29.0,29.0,29.0,1,29.0,500,29.0,2025-07-02 13:53:00+00:00
1751464440000,28.61,28.61,28.61,1,28.61,100,28.61,2025-07-02 13:54:00+00:00
1751464800000,29.07,29.07,29.07,2,29.07,925,29.07,2025-07-02 14:00:00+00:00
1751465580000,30.2,30.2,30.2,1,30.2,100,30.2,2025-07-02 14:13:00+00:00
1751465700000,30.47,30.47,30.47,1,30.47,392,30.47,2025-07-02 14:15:00+00:00
1751465760000,30.9651,30.9651,30.9651,4,30.9651,203,30.9651,2025-07-02 14:16:00+00:00
1751465820000,30.985,30.985,30.985,2,30.985,128,30.985,2025-07-02 14:17:00+00:00
1751465880000,31.15,31.15,31.15,4,31.15,196,31.15,2025-07-02 14:18:00+00:00
1751466000000,31.09,31.09,30.83,9,30.83,1042,30.903913,2025-07-02 14:20:00+00:00
1751466060000,31.7,31.7,31.7,8,31.7,2083,31.7,2025-07-02 14:21:00+00:00
1751466180000,32.0,32.0,32.0,4,32.0,107,32.0,2025-07-02 14:23:00+00:00
1751466360000,31.97,31.97,31.968,3,31.968,1291,31.968197,2025-07-02 14:26:00+00:00
1751466600000,32.0,32.0,32.0,2,32.0,150,32.0,2025-07-02 14:30:00+00:00
1751466780000,32.1021,32.1021,32.1021,1,32.1021,140,32.1021,2025-07-02 14:33:00+00:00
1751467440000,31.34,31.44,31.34,3,31.44,400,31.38,2025-07-02 14:44:00+00:00
1751467800000,31.67,31.67,31.67,2,31.67,397,31.67,2025-07-02 14:50:00+00:00
1751467860000,31.5299,31.5299,31.445,19,31.52,1488,31.497873,2025-07-02 14:51:00+00:00
1751468100000,31.495,31.495,31.495,1,31.495,100,31.495,2025-07-02 14:55:00+00:00
1751468460000,31.5,31.5,31.5,3,31.5,300,31.5,2025-07-02 15:01:00+00:00
1751468520000,31.36,31.4,31.36,2,31.4,200,31.38,2025-07-02 15:02:00+00:00
1751468640000,31.6046,31.6046,31.6046,1,31.6046,200,31.6046,2025-07-02 15:04:00+00:00
1751470140000,31.0,31.0,31.0,1,31.0,165,31.0,2025-07-02 15:29:00+00:00
1751472540000,30.5995,30.7,30.5995,15,30.699,2600,30.624225,2025-07-02 16:09:00+00:00
1751472780000,30.31,30.33,30.31,21,30.32,2279,30.316818,2025-07-02 16:13:00+00:00
1751473080000,30.64,30.64,30.64,2,30.64,200,30.64,2025-07-02 16:18:00+00:00
1751473320000,30.9068,30.9068,30.9068,1,30.9068,1000,30.9068,2025-07-02 16:22:00+00:00
1751473440000,30.85,30.85,30.85,2,30.85,134,30.85,2025-07-02 16:24:00+00:00
1751473860000,31.1775,31.1775,31.1775,1,31.1775,100,31.1775,2025-07-02 16:31:00+00:00
1751474160000,32.0,32.0,31.915,4,31.915,310,31.968333,2025-07-02 16:36:00+00:00
1751474460000,32.16,32.29,32.16,6,32.29,600,32.216027,2025-07-02 16:41:00+00:00
1751474700000,32.07,32.07,32.07,1,32.07,100,32.07,2025-07-02 16:45:00+00:00
1751474880000,31.9577,31.9577,31.9577,1,31.9577,155,31.9577,2025-07-02 16:48:00+00:00
1751476440000,32.19,32.19,32.19,2,32.19,115,32.19,2025-07-02 17:14:00+00:00
1751476680000,32.065,32.065,32.065,1,32.065,100,32.065,2025-07-02 17:18:00+00:00
1751478360000,31.85,32.01,31.85,3,31.999,900,31.969178,2025-07-02 17:46:00+00:00
1751478720000,31.9756,31.9756,31.9756,1,31.9756,700,31.9756,2025-07-02 17:52:00+00:00
1751479560000,32.44,32.44,32.44,3,32.44,310,32.44,2025-07-02 18:06:00+00:00
1751481120000,32.8522,32.8522,32.8522,3,32.8522,243,32.8522,2025-07-02 18:32:00+00:00
1751481180000,32.71,32.71,32.71,2,32.71,200,32.71,2025-07-02 18:33:00+00:00
1751481840000,33.0,33.0,33.0,1,33.0,5000,33.0,2025-07-02 18:44:00+00:00
1751482380000,32.78,32.78,32.78,1,32.78,100,32.78,2025-07-02 18:53:00+00:00
1751482500000,33.0681,33.0681,33.06,2,33.06,245,33.064794,2025-07-02 18:55:00+00:00
1751483280000,33.6,33.6,33.6,6,33.6,2872,33.6,2025-07-02 19:08:00+00:00
1751483400000,33.6,33.6,33.6,2,33.6,2128,33.6,2025-07-02 19:10:00+00:00
1751483520000,33.49,33.49,33.49,3,33.49,205,33.49,2025-07-02 19:12:00+00:00
1751484300000,33.84,33.84,33.84,1,33.84,100,33.84,2025-07-02 19:25:00+00:00
1751484600000,34.11,34.11,34.11,1,34.11,100,34.11,2025-07-02 19:30:00+00:00
1751485020000,34.81,34.98,34.81,3,34.98,214,34.895,2025-07-02 19:37:00+00:00
1751485500000,34.92,34.92,34.92,1,34.92,100,34.92,2025-07-02 19:45:00+00:00
1751485740000,34.73,34.73,34.73,1,34.73,140,34.73,2025-07-02 19:49:00+00:00
1751485860000,35.01,35.25,35.01,6,35.25,1200,35.207295,2025-07-02 19:51:00+00:00
1751549460000,35.08,35.08,35.08,8,35.08,147,35.08,2025-07-03 13:31:00+00:00
1751549580000,35.75,35.75,35.75,13,35.75,901,35.75,2025-07-03 13:33:00+00:00
1751549820000,34.9678,34.9678,34.9678,2,34.9678,266,34.9678,2025-07-03 13:37:00+00:00
1751550660000,34.9534,34.9534,34.9534,2,34.9534,245,34.9534,2025-07-03 13:51:00+00:00
1751551860000,34.88,34.88,34.88,3,34.88,287,34.88,2025-07-03 14:11:00+00:00
1751552460000,34.74,34.74,34.74,1,34.74,100,34.74,2025-07-03 14:21:00+00:00
1751552940000,34.7144,34.7144,34.7144,1,34.7144,100,34.7144,2025-07-03 14:29:00+00:00
1751553600000,34.7343,34.7343,34.7343,1,34.7343,100,34.7343,2025-07-03 14:40:00+00:00
1751553660000,34.8476,34.8476,34.8476,1,34.8476,151,34.8476,2025-07-03 14:41:00+00:00
1751553960000,35.04,35.04,35.04,1,35.04,100,35.04,2025-07-03 14:46:00+00:00
1751554140000,34.8736,34.8736,34.8736,1,34.8736,100,34.8736,2025-07-03 14:49:00+00:00
1751554560000,35.167,35.167,35.167,1,35.167,125,35.167,2025-07-03 14:56:00+00:00
1751554980000,34.9,34.9,34.9,1,34.9,400,34.9,2025-07-03 15:03:00+00:00
1751555040000,34.72,34.72,34.72,2,34.72,101,34.72,2025-07-03 15:04:00+00:00
1751555340000,34.99,34.99,34.99,1,34.99,100,34.99,2025-07-03 15:09:00+00:00
1751555520000,34.8744,34.8744,34.8744,1,34.8744,215,34.8744,2025-07-03 15:12:00+00:00
1751555580000,34.7564,34.7564,34.7564,1,34.7564,100,34.7564,2025-07-03 15:13:00+00:00
1751555640000,34.72,34.72,34.72,1,34.72,100,34.72,2025-07-03 15:14:00+00:00
1751555940000,35.0,35.0,35.0,2,35.0,400,35.0,2025-07-03 15:19:00+00:00
1751557200000,35.37,35.37,35.37,3,35.37,2098,35.37,2025-07-03 15:40:00+00:00
1751557440000,35.36,35.36,35.36,4,35.36,400,35.36,2025-07-03 15:44:00+00:00
1751558940000,35.73,35.9,35.73,3,35.9,400,35.7725,2025-07-03 16:09:00+00:00
1751559000000,35.73,35.73,35.73,1,35.73,100,35.73,2025-07-03 16:10:00+00:00
1751559420000,35.63,35.63,35.63,1,35.63,100,35.63,2025-07-03 16:17:00+00:00
1751561880000,37.26,37.26,37.26,1,37.26,100,37.26,2025-07-03 16:58:00+00:00
1751562120000,36.0,36.0,36.0,1,36.0,100,36.0,2025-07-03 17:02:00+00:00
1751565300000,36.02,36.2,36.02,2,36.2,200,36.11,2025-07-03 17:55:00+00:00
1751565360000,36.02,36.02,36.02,1,36.02,300,36.02,2025-07-03 17:56:00+00:00
1751569020000,35.7,35.7,35.7,1,35.7,200,35.7,2025-07-03 18:57:00+00:00
1751895000000,37.0,37.0,37.0,3,37.0,125,37.0,2025-07-07 13:30:00+00:00
1751895120000,34.45,34.73,34.45,4,34.73,204,34.59,2025-07-07 13:32:00+00:00
1751895300000,32.85,33.5116,32.85,8,33.0,611,32.985267,2025-07-07 13:35:00+00:00
1751895360000,31.868,31.868,31.868,3,31.868,103,31.868,2025-07-07 13:36:00+00:00
1751895420000,32.207,32.207,31.8,13,31.8,1715,31.854385,2025-07-07 13:37:00+00:00
1751895480000,32.3,32.3,32.3,3,32.3,252,32.3,2025-07-07 13:38:00+00:00
1751895720000,33.5,33.5,33.5,4,33.5,1000,33.5,2025-07-07 13:42:00+00:00
1751895780000,33.5,33.5,33.5,1,33.5,450,33.5,2025-07-07 13:43:00+00:00
1751895960000,33.15,33.29,33.15,5,33.29,304,33.22,2025-07-07 13:46:00+00:00
1751896260000,34.09,34.09,34.08,7,34.09,1000,34.08711,2025-07-07 13:51:00+00:00
1751896380000,34.21,34.21,34.21,3,34.21,163,34.21,2025-07-07 13:53:00+00:00
1751896860000,33.49,33.49,33.49,1,33.49,200,33.49,2025-07-07 14:01:00+00:00
1751897280000,33.7196,33.7196,33.7196,7,33.7196,1001,33.7196,2025-07-07 14:08:00+00:00
1751897520000,33.71,33.71,33.71,2,33.71,200,33.71,2025-07-07 14:12:00+00:00
1751899260000,34.69,34.69,34.69,1,34.69,130,34.69,2025-07-07 14:41:00+00:00
1751904600000,36.7,36.7,36.7,2,36.7,200,36.7,2025-07-07 16:10:00+00:00
1751905260000,35.0,35.0,34.92,4,34.92,302,34.946667,2025-07-07 16:21:00+00:00
1751906220000,35.8318,35.8318,35.8318,1,35.8318,250,35.8318,2025-07-07 16:37:00+00:00
1751906280000,35.68,35.69,35.68,3,35.69,308,35.683247,2025-07-07 16:38:00+00:00
1751908320000,36.45,36.45,36.45,1,36.45,250,36.45,2025-07-07 17:12:00+00:00
1751909580000,37.39,37.39,37.39,1,37.39,100,37.39,2025-07-07 17:33:00+00:00
1751910060000,37.7691,37.7691,37.7691,2,37.7691,280,37.7691,2025-07-07 17:41:00+00:00
1751911380000,37.7,37.75,37.7,2,37.75,279,37.732079,2025-07-07 18:03:00+00:00
1751912160000,37.6,37.6,37.6,1,37.6,250,37.6,2025-07-07 18:16:00+00:00
1751912400000,36.95,36.95,36.95,1,36.95,100,36.95,2025-07-07 18:20:00+00:00
1751912760000,36.84,36.84,36.84,2,36.84,130,36.84,2025-07-07 18:26:00+00:00
1751916840000,38.9458,38.9458,38.9458,1,38.9458,500,38.9458,2025-07-07 19:34:00+00:00
1751916900000,39.02,39.02,39.02,2,39.02,172,39.02,2025-07-07 19:35:00+00:00
1751918040000,39.1201,39.1201,39.1201,2,39.1201,201,39.1201,2025-07-07 19:54:00+00:00
1751981400000,39.99,39.99,39.99,4,39.99,560,39.99,2025-07-08 13:30:00+00:00
1751981580000,41.0295,41.0295,40.38,13,40.38,2128,40.417374,2025-07-08 13:33:00+00:00
1751981640000,40.5246,40.5246,40.5246,4,40.5246,129,40.5246,2025-07-08 13:34:00+00:00
1751982180000,39.065,39.065,39.065,1,39.065,100,39.065,2025-07-08 13:43:00+00:00
1751983920000,39.22,39.22,39.22,4,39.22,400,39.22,2025-07-08 14:12:00+00:00
1751984040000,39.21,39.21,39.21,2,39.21,200,39.21,2025-07-08 14:14:00+00:00
1751984580000,38.2917,38.2917,38.2917,2,38.2917,2800,38.2917,2025-07-08 14:23:00+00:00
1751984640000,38.15,38.15,38.15,2,38.15,190,38.15,2025-07-08 14:24:00+00:00
1751984700000,38.31,38.31,38.31,5,38.31,441,38.31,2025-07-08 14:25:00+00:00
1751985060000,39.0296,39.0296,39.0296,4,39.0296,250,39.0296,2025-07-08 14:31:00+00:00
1751985300000,38.8145,38.8145,38.8145,1,38.8145,100,38.8145,2025-07-08 14:35:00+00:00
1751985540000,38.65,38.65,38.6247,2,38.6247,200,38.63735,2025-07-08 14:39:00+00:00
1751985660000,38.58,38.58,38.58,1,38.58,100,38.58,2025-07-08 14:41:00+00:00
1751989200000,36.78,36.78,36.78,6,36.78,306,36.78,2025-07-08 15:40:00+00:00
1751992740000,37.46,37.46,37.46,2,37.46,128,37.46,2025-07-08 16:39:00+00:00
1751993220000,37.55,37.55,37.55,1,37.55,100,37.55,2025-07-08 16:47:00+00:00
1751993280000,37.8392,37.8392,37.8392,1,37.8392,100,37.8392,2025-07-08 16:48:00+00:00
1751994780000,38.09,38.3303,38.09,3,38.3303,300,38.1701,2025-07-08 17:13:00+00:00
1751996820000,38.0118,38.0118,38.0118,2,38.0118,301,38.0118,2025-07-08 17:47:00+00:00
1751997960000,38.7799,38.7799,38.7799,1,38.7799,100,38.7799,2025-07-08 18:06:00+00:00
1751998260000,38.58,38.58,38.58,1,38.58,100,38.58,2025-07-08 18:11:00+00:00
1751998320000,38.6,38.6,38.6,1,38.6,100,38.6,2025-07-08 18:12:00+00:00
1752001440000,36.93,37.17,36.93,5,37.17,580,37.079105,2025-07-08 19:04:00+00:00
1752002460000,36.71,36.83,36.71,6,36.83,4377,36.735651,2025-07-08 19:21:00+00:00
1752002580000,36.53,36.53,36.53,4,36.53,400,36.53,2025-07-08 19:23:00+00:00
1752003600000,36.42,36.42,36.42,1,36.42,100,36.42,2025-07-08 19:40:00+00:00
1752003960000,36.73,36.73,36.73,1,36.73,600,36.73,2025-07-08 19:46:00+00:00
1752004080000,36.48,36.62,36.48,3,36.62,1100,36.493685,2025-07-08 19:48:00+00:00
1752004140000,36.49,36.49,36.49,1,36.49,100,36.49,2025-07-08 19:49:00+00:00
1752004200000,36.58,36.58,36.58,1,36.58,200,36.58,2025-07-08 19:50:00+00:00
1752004260000,36.3504,36.3504,36.3504,1,36.3504,800,36.3504,2025-07-08 19:51:00+00:00
1752004380000,36.45,36.45,36.45,1,36.45,100,36.45,2025-07-08 19:53:00+00:00
1752004680000,36.7004,36.7004,36.7004,1,36.7004,100,36.7004,2025-07-08 19:58:00+00:00
1752069060000,37.79,37.79,37.79,1,37.79,100,37.79,2025-07-09 13:51:00+00:00
1752069720000,37.06,37.06,37.06,3,37.06,179,37.06,2025-07-09 14:02:00+00:00
1752070140000,36.068,36.068,36.068,2,36.068,113,36.068,2025-07-09 14:09:00+00:00
1752070260000,36.12,36.12,36.12,2,36.12,136,36.12,2025-07-09 14:11:00+00:00
1752070320000,36.0,36.0,36.0,4,36.0,231,36.0,2025-07-09 14:12:00+00:00
1752070440000,35.4,35.4,35.4,3,35.4,118,35.4,2025-07-09 14:14:00+00:00
1752070740000,35.455,35.455,35.455,1,35.455,400,35.455,2025-07-09 14:19:00+00:00
1752071460000,34.0,34.0,34.0,4,34.0,139,34.0,2025-07-09 14:31:00+00:00
1752073200000,34.5996,34.5996,34.5996,6,34.5996,1051,34.5996,2025-07-09 15:00:00+00:00
1752073380000,34.789,34.789,34.779,3,34.779,577,34.787,2025-07-09 15:03:00+00:00
