timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754336820000,1.62,1.62,1.62,4,1.62,320,1.62,2025-08-04 19:47:00+00:00
1754337060000,1.615,1.62,1.615,7,1.62,834,1.6175,2025-08-04 19:51:00+00:00
1754337240000,1.6,1.61,1.6,15,1.61,3314,1.60843,2025-08-04 19:54:00+00:00
1754337600000,1.6,1.6,1.6,1,1.6,3650,1.6,2025-08-04 20:00:00+00:00
1754400600000,1.55,1.55,1.55,2,1.55,542,1.55,2025-08-05 13:30:00+00:00
1754400960000,1.62,1.62,1.5803,2,1.5803,1000,1.60015,2025-08-05 13:36:00+00:00
1754401260000,1.65,1.65,1.65,2,1.65,211,1.65,2025-08-05 13:41:00+00:00
1754402340000,1.6112,1.6352,1.6112,8,1.6352,488,1.620997,2025-08-05 13:59:00+00:00
1754402520000,1.61,1.61,1.6,4,1.6,1562,1.609333,2025-08-05 14:02:00+00:00
1754403060000,1.61,1.61,1.61,6,1.61,2215,1.61,2025-08-05 14:11:00+00:00
1754403360000,1.62,1.62,1.6,8,1.6002,4413,1.601108,2025-08-05 14:16:00+00:00
1754403420000,1.6,1.6,1.6,4,1.6,184,1.6,2025-08-05 14:17:00+00:00
1754403540000,1.595,1.6,1.585,15,1.592,2743,1.591256,2025-08-05 14:19:00+00:00
1754403600000,1.5851,1.5851,1.5851,1,1.5851,194,1.5851,2025-08-05 14:20:00+00:00
1754403660000,1.6,1.6,1.6,2,1.6,101,1.6,2025-08-05 14:21:00+00:00
1754403960000,1.58,1.58,1.58,2,1.58,201,1.58,2025-08-05 14:26:00+00:00
1754404200000,1.58,1.58,1.58,1,1.58,200,1.58,2025-08-05 14:30:00+00:00
1754404680000,1.59,1.5939,1.59,6,1.5939,608,1.593122,2025-08-05 14:38:00+00:00
1754405040000,1.59,1.59,1.59,3,1.59,251,1.59,2025-08-05 14:44:00+00:00
1754405400000,1.6,1.6,1.6,1,1.6,100,1.6,2025-08-05 14:50:00+00:00
1754406000000,1.6,1.6,1.6,3,1.6,347,1.6,2025-08-05 15:00:00+00:00
1754406540000,1.59,1.59,1.59,2,1.59,145,1.59,2025-08-05 15:09:00+00:00
1754406720000,1.58,1.58,1.58,10,1.58,587,1.58,2025-08-05 15:12:00+00:00
1754406780000,1.585,1.585,1.585,2,1.585,200,1.585,2025-08-05 15:13:00+00:00
1754407080000,1.585,1.59,1.585,3,1.59,410,1.58875,2025-08-05 15:18:00+00:00
1754407200000,1.62,1.62,1.6,19,1.6,6321,1.601701,2025-08-05 15:20:00+00:00
1754407380000,1.6,1.6,1.6,8,1.6,613,1.6,2025-08-05 15:23:00+00:00
1754407680000,1.6,1.6,1.6,2,1.6,104,1.6,2025-08-05 15:28:00+00:00
1754407860000,1.602,1.602,1.602,2,1.602,196,1.602,2025-08-05 15:31:00+00:00
1754408040000,1.6,1.6,1.6,8,1.6,355,1.6,2025-08-05 15:34:00+00:00
1754408160000,1.6,1.6,1.6,3,1.6,212,1.6,2025-08-05 15:36:00+00:00
1754408280000,1.6,1.6,1.6,3,1.6,792,1.6,2025-08-05 15:38:00+00:00
1754408340000,1.6,1.6,1.6,10,1.6,392,1.6,2025-08-05 15:39:00+00:00
1754408520000,1.6,1.6,1.6,3,1.6,2524,1.6,2025-08-05 15:42:00+00:00
1754408700000,1.6,1.6199,1.6,4,1.6199,778,1.602571,2025-08-05 15:45:00+00:00
1754408760000,1.59,1.59,1.59,3,1.59,187,1.59,2025-08-05 15:46:00+00:00
1754409840000,1.59,1.59,1.59,9,1.59,799,1.59,2025-08-05 16:04:00+00:00
1754410440000,1.59,1.59,1.59,2,1.59,318,1.59,2025-08-05 16:14:00+00:00
1754410560000,1.605,1.605,1.605,1,1.605,100,1.605,2025-08-05 16:16:00+00:00
1754410800000,1.62,1.62,1.62,1,1.62,100,1.62,2025-08-05 16:20:00+00:00
1754410920000,1.605,1.605,1.605,1,1.605,288,1.605,2025-08-05 16:22:00+00:00
1754411100000,1.605,1.605,1.605,1,1.605,100,1.605,2025-08-05 16:25:00+00:00
1754411280000,1.62,1.62,1.62,5,1.62,416,1.62,2025-08-05 16:28:00+00:00
1754411640000,1.605,1.62,1.6,4,1.62,301,1.608333,2025-08-05 16:34:00+00:00
1754412120000,1.61,1.61,1.61,6,1.61,381,1.61,2025-08-05 16:42:00+00:00
1754412540000,1.62,1.62,1.6139,3,1.6139,1709,1.614259,2025-08-05 16:49:00+00:00
1754412660000,1.6015,1.6015,1.6015,2,1.6015,606,1.6015,2025-08-05 16:51:00+00:00
1754412720000,1.6,1.6,1.6,2,1.6,390,1.6,2025-08-05 16:52:00+00:00
1754412960000,1.6,1.6,1.6,7,1.6,507,1.6,2025-08-05 16:56:00+00:00
1754413140000,1.59,1.59,1.59,3,1.59,202,1.59,2025-08-05 16:59:00+00:00
1754414040000,1.59,1.59,1.59,3,1.59,104,1.59,2025-08-05 17:14:00+00:00
1754414100000,1.59,1.59,1.59,1,1.59,431,1.59,2025-08-05 17:15:00+00:00
1754414160000,1.59,1.59,1.59,6,1.59,335,1.59,2025-08-05 17:16:00+00:00
1754414280000,1.6063,1.6063,1.6063,2,1.6063,560,1.6063,2025-08-05 17:18:00+00:00
1754414640000,1.58,1.5925,1.58,3,1.5925,1110,1.591364,2025-08-05 17:24:00+00:00
1754414760000,1.5855,1.5855,1.5855,2,1.5855,102,1.5855,2025-08-05 17:26:00+00:00
1754415060000,1.58,1.59,1.58,6,1.59,863,1.588812,2025-08-05 17:31:00+00:00
1754415540000,1.6,1.6,1.6,3,1.6,115,1.6,2025-08-05 17:39:00+00:00
