timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755523800000,1.425,1.47,1.42,373,1.42,149922,1.439764,2025-08-18 13:30:00+00:00
1755523860000,1.37,1.44,1.36,872,1.43,310115,1.389417,2025-08-18 13:31:00+00:00
1755523920000,1.39,1.4,1.37,388,1.37,118432,1.383649,2025-08-18 13:32:00+00:00
1755523980000,1.36,1.4,1.34,496,1.4,178521,1.359396,2025-08-18 13:33:00+00:00
1755524040000,1.31,1.361,1.31,903,1.36,252547,1.33236,2025-08-18 13:34:00+00:00
1755524100000,1.31,1.325,1.3,506,1.32,132754,1.306871,2025-08-18 13:35:00+00:00
1755524160000,1.35,1.37,1.3098,637,1.3098,179190,1.353378,2025-08-18 13:36:00+00:00
1755524220000,1.32,1.36,1.31,271,1.36,68059,1.335596,2025-08-18 13:37:00+00:00
1755524280000,1.3284,1.34,1.3,288,1.325,80739,1.312578,2025-08-18 13:38:00+00:00
1755524340000,1.31,1.3383,1.31,149,1.3289,47178,1.32065,2025-08-18 13:39:00+00:00
1755524400000,1.312,1.32,1.31,112,1.31,58671,1.318405,2025-08-18 13:40:00+00:00
1755524460000,1.32,1.32,1.3,208,1.3114,60478,1.306518,2025-08-18 13:41:00+00:00
1755524520000,1.3,1.311,1.3,104,1.31,21525,1.305537,2025-08-18 13:42:00+00:00
1755524580000,1.2809,1.3,1.26,512,1.3,128468,1.281929,2025-08-18 13:43:00+00:00
1755524640000,1.28,1.2896,1.27,223,1.285,83879,1.277869,2025-08-18 13:44:00+00:00
1755524700000,1.3,1.3,1.2798,250,1.29,65971,1.290222,2025-08-18 13:45:00+00:00
1755524760000,1.28,1.2999,1.28,80,1.2999,21239,1.284263,2025-08-18 13:46:00+00:00
1755524820000,1.3,1.3,1.28,134,1.2892,24117,1.297339,2025-08-18 13:47:00+00:00
1755524880000,1.328,1.34,1.3,198,1.302,67759,1.32771,2025-08-18 13:48:00+00:00
1755524940000,1.315,1.335,1.27,227,1.3211,46088,1.299016,2025-08-18 13:49:00+00:00
1755525000000,1.3,1.32,1.2997,65,1.3105,14861,1.312176,2025-08-18 13:50:00+00:00
1755525060000,1.3,1.32,1.29,106,1.3,33745,1.300879,2025-08-18 13:51:00+00:00
