timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,0.6251,0.6252,0.6133,7,0.6133,7816,0.613728,2025-09-02 13:30:00+00:00
1756819920000,0.625,0.625,0.625,1,0.625,195,0.625,2025-09-02 13:32:00+00:00
1756820040000,0.6299,0.6299,0.625,5,0.625,406,0.627444,2025-09-02 13:34:00+00:00
1756820280000,0.6298,0.6298,0.6298,1,0.6298,100,0.6298,2025-09-02 13:38:00+00:00
1756820340000,0.6298,0.6298,0.6298,5,0.6298,497,0.6298,2025-09-02 13:39:00+00:00
1756820400000,0.623,0.623,0.623,1,0.623,300,0.623,2025-09-02 13:40:00+00:00
1756820460000,0.6283,0.6283,0.6283,1,0.6283,1300,0.6283,2025-09-02 13:41:00+00:00
1756820520000,0.6201,0.625,0.6201,16,0.625,10205,0.620201,2025-09-02 13:42:00+00:00
1756821840000,0.6203,0.6203,0.6203,2,0.6203,1089,0.6203,2025-09-02 14:04:00+00:00
1756822140000,0.6203,0.621,0.6203,2,0.621,200,0.62065,2025-09-02 14:09:00+00:00
1756822620000,0.6283,0.6283,0.6283,1,0.6283,100,0.6283,2025-09-02 14:17:00+00:00
1756823400000,0.625,0.625,0.625,1,0.625,100,0.625,2025-09-02 14:30:00+00:00
1756824000000,0.625,0.625,0.625,1,0.625,200,0.625,2025-09-02 14:40:00+00:00
1756825560000,0.6201,0.6205,0.6201,5,0.6205,875,0.620157,2025-09-02 15:06:00+00:00
1756826280000,0.6201,0.6201,0.6201,1,0.6201,200,0.6201,2025-09-02 15:18:00+00:00
1756826700000,0.6201,0.6201,0.6201,1,0.6201,100,0.6201,2025-09-02 15:25:00+00:00
1756828500000,0.6103,0.62,0.6101,19,0.62,10232,0.61211,2025-09-02 15:55:00+00:00
1756828860000,0.62,0.62,0.62,2,0.62,110,0.62,2025-09-02 16:01:00+00:00
1756828920000,0.62,0.62,0.62,1,0.62,100,0.62,2025-09-02 16:02:00+00:00
1756829220000,0.62,0.62,0.62,1,0.62,100,0.62,2025-09-02 16:07:00+00:00
1756829520000,0.615,0.62,0.615,6,0.617,10500,0.617236,2025-09-02 16:12:00+00:00
1756830480000,0.62,0.6299,0.62,6,0.6299,599,0.62495,2025-09-02 16:28:00+00:00
1756830840000,0.618,0.6301,0.618,17,0.6267,8200,0.629765,2025-09-02 16:34:00+00:00
1756832220000,0.6398,0.6398,0.6398,1,0.6398,120,0.6398,2025-09-02 16:57:00+00:00
1756834020000,0.625,0.625,0.625,1,0.625,100,0.625,2025-09-02 17:27:00+00:00
1756834800000,0.6324,0.6324,0.6324,2,0.6324,808,0.6324,2025-09-02 17:40:00+00:00
1756837740000,0.6324,0.6324,0.6324,1,0.6324,100,0.6324,2025-09-02 18:29:00+00:00
1756841340000,0.626,0.626,0.626,1,0.626,270,0.626,2025-09-02 19:29:00+00:00
1756841640000,0.6324,0.6324,0.6324,1,0.6324,244,0.6324,2025-09-02 19:34:00+00:00
1756842060000,0.6261,0.6324,0.6261,2,0.6324,600,0.63135,2025-09-02 19:41:00+00:00
1756842120000,0.6259,0.6259,0.6259,1,0.6259,100,0.6259,2025-09-02 19:42:00+00:00
1756842240000,0.625,0.6257,0.625,4,0.6257,284,0.62535,2025-09-02 19:44:00+00:00
1756842960000,0.623,0.6398,0.623,3,0.6398,2645,0.639154,2025-09-02 19:56:00+00:00
1756843140000,0.6397,0.6397,0.6397,2,0.6397,704,0.6397,2025-09-02 19:59:00+00:00
1756906200000,0.63,0.6351,0.63,7,0.6351,7867,0.634922,2025-09-03 13:30:00+00:00
1756906260000,0.6338,0.6349,0.6338,2,0.6349,500,0.63468,2025-09-03 13:31:00+00:00
1756906320000,0.6301,0.6301,0.6301,10,0.6301,3065,0.6301,2025-09-03 13:32:00+00:00
1756906380000,0.6301,0.6301,0.6301,6,0.6301,3807,0.6301,2025-09-03 13:33:00+00:00
1756906440000,0.63,0.63,0.63,1,0.63,500,0.63,2025-09-03 13:34:00+00:00
1756906500000,0.63,0.6347,0.63,7,0.6301,2306,0.630946,2025-09-03 13:35:00+00:00
1756906560000,0.6301,0.6303,0.63,3,0.6303,681,0.630071,2025-09-03 13:36:00+00:00
1756906740000,0.6323,0.6323,0.6323,1,0.6323,5000,0.6323,2025-09-03 13:39:00+00:00
1756906800000,0.63,0.6322,0.63,9,0.631,2490,0.631877,2025-09-03 13:40:00+00:00
1756906860000,0.6293,0.6322,0.624,14,0.6301,23358,0.628506,2025-09-03 13:41:00+00:00
1756906920000,0.6272,0.6347,0.6272,3,0.6347,4020,0.632825,2025-09-03 13:42:00+00:00
1756907100000,0.6283,0.6283,0.6283,1,0.6283,4000,0.6283,2025-09-03 13:45:00+00:00
1756907160000,0.6348,0.6348,0.6334,11,0.6334,1074,0.634534,2025-09-03 13:46:00+00:00
1756907280000,0.6317,0.64,0.6317,2,0.64,200,0.63585,2025-09-03 13:48:00+00:00
1756907520000,0.6349,0.6349,0.6349,1,0.6349,250,0.6349,2025-09-03 13:52:00+00:00
1756907580000,0.64,0.64,0.6398,5,0.6398,2400,0.639908,2025-09-03 13:53:00+00:00
1756907640000,0.63,0.63,0.63,1,0.63,2000,0.63,2025-09-03 13:54:00+00:00
1756907700000,0.635,0.635,0.635,2,0.635,1929,0.635,2025-09-03 13:55:00+00:00
1756907880000,0.6301,0.6301,0.63,5,0.6301,4197,0.630038,2025-09-03 13:58:00+00:00
1756908000000,0.63,0.633,0.63,4,0.633,5398,0.632794,2025-09-03 14:00:00+00:00
1756908060000,0.623,0.6275,0.623,3,0.6275,688,0.62557,2025-09-03 14:01:00+00:00
1756908120000,0.6275,0.6319,0.6275,6,0.6275,1000,0.628902,2025-09-03 14:02:00+00:00
1756908900000,0.623,0.6319,0.623,3,0.6319,736,0.627771,2025-09-03 14:15:00+00:00
1756908960000,0.6275,0.6275,0.6275,2,0.6275,1500,0.6275,2025-09-03 14:16:00+00:00
1756909320000,0.6296,0.6296,0.6296,1,0.6296,200,0.6296,2025-09-03 14:22:00+00:00
1756909620000,0.6231,0.6298,0.6231,2,0.6298,1600,0.62645,2025-09-03 14:27:00+00:00
1756909680000,0.616,0.624,0.616,24,0.6232,5033,0.620808,2025-09-03 14:28:00+00:00
1756909740000,0.616,0.616,0.616,1,0.616,320,0.616,2025-09-03 14:29:00+00:00
1756909860000,0.6208,0.6229,0.6208,6,0.6228,1400,0.622736,2025-09-03 14:31:00+00:00
1756909920000,0.6208,0.6208,0.6208,5,0.6208,62543,0.6208,2025-09-03 14:32:00+00:00
1756910100000,0.6208,0.6223,0.6208,6,0.6222,1400,0.621971,2025-09-03 14:35:00+00:00
1756910160000,0.6208,0.6208,0.6208,1,0.6208,100,0.6208,2025-09-03 14:36:00+00:00
1756910400000,0.6219,0.6219,0.6211,3,0.6211,710,0.621441,2025-09-03 14:40:00+00:00
1756910460000,0.6201,0.6211,0.62,11,0.6211,1381,0.620777,2025-09-03 14:41:00+00:00
1756910580000,0.6219,0.6219,0.6219,1,0.6219,100,0.6219,2025-09-03 14:43:00+00:00
1756910700000,0.6201,0.6201,0.62,2,0.62,1000,0.62008,2025-09-03 14:45:00+00:00
1756910760000,0.62,0.62,0.62,3,0.62,256,0.62,2025-09-03 14:46:00+00:00
1756910820000,0.617,0.617,0.615,10,0.6166,1441,0.61583,2025-09-03 14:47:00+00:00
