timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753709400000,5.24,5.24,5.15,25,5.19,1582,5.2118,2025-07-28 13:30:00+00:00
1753709520000,5.2508,5.2508,5.1669,11,5.1669,2322,5.239857,2025-07-28 13:32:00+00:00
1753709640000,5.3167,5.3167,5.3167,5,5.3167,888,5.3167,2025-07-28 13:34:00+00:00
1753709700000,5.3551,5.3551,5.26,5,5.26,2545,5.3234,2025-07-28 13:35:00+00:00
1753709760000,5.3551,5.3551,5.352,4,5.352,1181,5.354255,2025-07-28 13:36:00+00:00
1753710060000,5.1683,5.1683,5.1683,2,5.1683,301,5.1683,2025-07-28 13:41:00+00:00
1753710120000,5.35,5.35,5.275,20,5.275,1389,5.329583,2025-07-28 13:42:00+00:00
1753710180000,5.27,5.27,5.27,2,5.27,101,5.27,2025-07-28 13:43:00+00:00
1753710240000,5.2746,5.2746,5.2746,4,5.2746,626,5.2746,2025-07-28 13:44:00+00:00
1753710300000,5.2739,5.2739,5.2739,1,5.2739,300,5.2739,2025-07-28 13:45:00+00:00
1753710600000,5.2201,5.2201,5.2201,1,5.2201,500,5.2201,2025-07-28 13:50:00+00:00
1753710720000,5.2292,5.2292,5.21,5,5.22,785,5.222083,2025-07-28 13:52:00+00:00
1753712040000,5.23,5.23,5.23,2,5.23,241,5.23,2025-07-28 14:14:00+00:00
1753712340000,5.1514,5.1514,5.1514,1,5.1514,1000,5.1514,2025-07-28 14:19:00+00:00
1753712880000,5.22,5.22,5.22,2,5.22,402,5.22,2025-07-28 14:28:00+00:00
1753713060000,5.15,5.22,5.15,4,5.22,400,5.190816,2025-07-28 14:31:00+00:00
1753713120000,5.15,5.205,5.15,6,5.205,802,5.176875,2025-07-28 14:32:00+00:00
1753713180000,5.1589,5.1589,5.12,17,5.15,5403,5.155406,2025-07-28 14:33:00+00:00
1753713600000,5.16,5.16,5.16,2,5.16,200,5.16,2025-07-28 14:40:00+00:00
1753714080000,5.17,5.17,5.17,1,5.17,500,5.17,2025-07-28 14:48:00+00:00
1753714560000,5.1,5.1512,5.1,4,5.1512,785,5.113173,2025-07-28 14:56:00+00:00
1753715940000,5.125,5.13,5.125,4,5.13,2082,5.126158,2025-07-28 15:19:00+00:00
1753716120000,5.1037,5.1037,5.1037,1,5.1037,500,5.1037,2025-07-28 15:22:00+00:00
1753716360000,5.12,5.12,5.12,3,5.12,459,5.12,2025-07-28 15:26:00+00:00
1753717080000,5.1498,5.1498,5.1498,2,5.1498,150,5.1498,2025-07-28 15:38:00+00:00
1753717260000,5.1499,5.1499,5.1499,1,5.1499,800,5.1499,2025-07-28 15:41:00+00:00
1753717800000,5.15,5.15,5.15,1,5.15,175,5.15,2025-07-28 15:50:00+00:00
1753718580000,5.135,5.135,5.135,1,5.135,104,5.135,2025-07-28 16:03:00+00:00
1753718640000,5.1362,5.1362,5.1362,1,5.1362,100,5.1362,2025-07-28 16:04:00+00:00
1753719060000,5.15,5.16,5.15,12,5.15,403,5.153333,2025-07-28 16:11:00+00:00
1753720260000,5.1806,5.1806,5.1806,1,5.1806,350,5.1806,2025-07-28 16:31:00+00:00
1753720620000,5.1632,5.1632,5.1632,1,5.1632,1000,5.1632,2025-07-28 16:37:00+00:00
1753721520000,5.1812,5.1812,5.1812,1,5.1812,200,5.1812,2025-07-28 16:52:00+00:00
1753723560000,5.1252,5.1252,5.1252,1,5.1252,1000,5.1252,2025-07-28 17:26:00+00:00
1753724340000,5.12,5.12,5.12,3,5.12,301,5.12,2025-07-28 17:39:00+00:00
1753725120000,5.1,5.19,5.1,3,5.19,1227,5.177386,2025-07-28 17:52:00+00:00
1753726680000,5.1,5.14,5.09,7,5.09,2158,5.097892,2025-07-28 18:18:00+00:00
1753726740000,4.97,5.1,4.97,26,5.1,3725,5.021831,2025-07-28 18:19:00+00:00
1753726800000,4.96,4.98,4.96,22,4.97,1931,4.962952,2025-07-28 18:20:00+00:00
1753727580000,5.0287,5.0287,5.0287,1,5.0287,300,5.0287,2025-07-28 18:33:00+00:00
1753727760000,5.03,5.03,4.98,3,5.01,600,5.003333,2025-07-28 18:36:00+00:00
1753730220000,5.11,5.11,5.03,10,5.03,900,5.043333,2025-07-28 19:17:00+00:00
1753730640000,5.05,5.05,5.05,1,5.05,296,5.05,2025-07-28 19:24:00+00:00
1753730880000,5.0325,5.05,5.0325,2,5.05,447,5.04033,2025-07-28 19:28:00+00:00
1753732740000,5.1,5.1,5.1,1,5.1,295,5.1,2025-07-28 19:59:00+00:00
1753732800000,5.05,5.05,5.05,1,5.05,416,5.05,2025-07-28 20:00:00+00:00
1753795800000,4.99,4.99,4.99,8,4.99,174,4.99,2025-07-29 13:30:00+00:00
1753796220000,5.0975,5.0975,5.0975,1,5.0975,240,5.0975,2025-07-29 13:37:00+00:00
1753796820000,5.05,5.05,5.05,2,5.05,215,5.05,2025-07-29 13:47:00+00:00
1753797360000,5.16,5.16,5.16,3,5.16,1379,5.16,2025-07-29 13:56:00+00:00
1753797720000,4.98,4.98,4.98,7,4.98,126,4.98,2025-07-29 14:02:00+00:00
1753797780000,5.0902,5.11,5.03,82,5.11,7153,5.079604,2025-07-29 14:03:00+00:00
1753797840000,5.0568,5.0568,5.05,46,5.05,1625,5.055667,2025-07-29 14:04:00+00:00
1753798020000,5.07,5.07,5.07,2,5.07,201,5.07,2025-07-29 14:07:00+00:00
1753798560000,4.98,4.98,4.98,2,4.98,101,4.98,2025-07-29 14:16:00+00:00
