timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758117000000,1.03,1.035,1.0138,90,1.028,52352,1.025747,2025-09-17 13:50:00+00:00
1758117060000,1.02,1.04,1.02,135,1.035,108349,1.032196,2025-09-17 13:51:00+00:00
1758117120000,1.045,1.06,1.02,186,1.0296,171693,1.051772,2025-09-17 13:52:00+00:00
1758117180000,1.03,1.05,1.03,101,1.045,45809,1.040811,2025-09-17 13:53:00+00:00
1758117240000,1.03,1.05,1.03,93,1.035,68985,1.041988,2025-09-17 13:54:00+00:00
1758117300000,1.055,1.06,1.04,96,1.045,70574,1.04681,2025-09-17 13:55:00+00:00
1758117360000,1.05,1.06,1.05,65,1.055,39584,1.053351,2025-09-17 13:56:00+00:00
1758117420000,1.03,1.0587,1.03,161,1.055,80708,1.041257,2025-09-17 13:57:00+00:00
1758117480000,1.065,1.08,1.03,308,1.0302,269056,1.064896,2025-09-17 13:58:00+00:00
1758117540000,1.03,1.07,1.03,311,1.06,232878,1.046367,2025-09-17 13:59:00+00:00
1758117600000,1.05,1.06,1.03,87,1.04,35582,1.055876,2025-09-17 14:00:00+00:00
1758117660000,1.0699,1.07,1.05,85,1.055,22974,1.056682,2025-09-17 14:01:00+00:00
1758117720000,1.06,1.07,1.06,56,1.065,22964,1.064377,2025-09-17 14:02:00+00:00
1758117780000,1.04,1.07,1.04,133,1.0609,49490,1.058567,2025-09-17 14:03:00+00:00
1758117840000,1.04,1.0599,1.04,69,1.05,24357,1.049628,2025-09-17 14:04:00+00:00
1758117900000,1.05,1.05,1.04,107,1.05,23378,1.043931,2025-09-17 14:05:00+00:00
1758117960000,1.04,1.05,1.04,47,1.045,9312,1.047221,2025-09-17 14:06:00+00:00
1758118020000,1.05,1.055,1.04,80,1.0407,62325,1.047882,2025-09-17 14:07:00+00:00
1758118080000,1.05,1.055,1.05,57,1.055,15287,1.050656,2025-09-17 14:08:00+00:00
1758118140000,1.0551,1.06,1.05,38,1.0512,6246,1.054271,2025-09-17 14:09:00+00:00
1758118200000,1.05,1.06,1.03,347,1.05,177852,1.039991,2025-09-17 14:10:00+00:00
1758118260000,1.058,1.06,1.05,79,1.05,26254,1.051486,2025-09-17 14:11:00+00:00
1758118320000,1.055,1.0593,1.05,79,1.0501,34149,1.052417,2025-09-17 14:12:00+00:00
1758118380000,1.0551,1.065,1.05,105,1.0513,32770,1.060268,2025-09-17 14:13:00+00:00
1758118440000,1.055,1.055,1.05,39,1.055,7165,1.051633,2025-09-17 14:14:00+00:00
1758118500000,1.045,1.055,1.04,213,1.055,113701,1.047791,2025-09-17 14:15:00+00:00
1758118560000,1.045,1.05,1.04,87,1.041,30802,1.04289,2025-09-17 14:16:00+00:00
1758118620000,1.025,1.045,1.02,240,1.045,81843,1.029898,2025-09-17 14:17:00+00:00
1758118680000,1.02,1.03,1.02,107,1.025,42088,1.02273,2025-09-17 14:18:00+00:00
1758118740000,1.02,1.035,1.02,79,1.035,17544,1.029197,2025-09-17 14:19:00+00:00
1758118800000,1.05,1.05,1.02,141,1.0211,84982,1.030099,2025-09-17 14:20:00+00:00
1758118860000,1.04,1.05,1.04,60,1.0488,23663,1.042126,2025-09-17 14:21:00+00:00
1758118920000,1.0351,1.0489,1.03,112,1.0489,33991,1.035101,2025-09-17 14:22:00+00:00
1758118980000,1.03,1.04,1.02,80,1.0301,39064,1.031244,2025-09-17 14:23:00+00:00
1758119040000,1.0309,1.04,1.03,56,1.035,14895,1.033133,2025-09-17 14:24:00+00:00
1758119100000,1.03,1.04,1.03,31,1.04,8732,1.033961,2025-09-17 14:25:00+00:00
1758119160000,1.0332,1.0399,1.03,54,1.03,19098,1.03489,2025-09-17 14:26:00+00:00
1758119220000,1.0276,1.04,1.025,136,1.0343,18216,1.029225,2025-09-17 14:27:00+00:00
1758119280000,1.04,1.04,1.0293,87,1.03,24228,1.037026,2025-09-17 14:28:00+00:00
1758119340000,1.03,1.04,1.03,58,1.035,18323,1.03592,2025-09-17 14:29:00+00:00
1758119400000,1.025,1.035,1.01,200,1.03,71753,1.022306,2025-09-17 14:30:00+00:00
1758119460000,1.0208,1.03,1.02,70,1.025,43537,1.024314,2025-09-17 14:31:00+00:00
1758119520000,1.02,1.03,1.02,48,1.03,9259,1.023523,2025-09-17 14:32:00+00:00
1758119580000,1.02,1.03,1.02,102,1.02,34437,1.024805,2025-09-17 14:33:00+00:00
1758119640000,1.02,1.0257,1.015,158,1.02,42437,1.019658,2025-09-17 14:34:00+00:00
1758119700000,1.02,1.025,1.01,134,1.022,45514,1.019307,2025-09-17 14:35:00+00:00
1758119760000,1.0188,1.025,1.015,30,1.0209,13236,1.020023,2025-09-17 14:36:00+00:00
1758119820000,1.015,1.02,1.01,76,1.015,20939,1.013015,2025-09-17 14:37:00+00:00
1758119880000,1.02,1.02,1.01,91,1.01,30901,1.016818,2025-09-17 14:38:00+00:00
1758119940000,1.02,1.02,1.01,71,1.0101,23497,1.016315,2025-09-17 14:39:00+00:00
1758120000000,1.02,1.0293,1.02,33,1.0293,3665,1.026024,2025-09-17 14:40:00+00:00
1758120060000,1.015,1.03,1.01,64,1.02,15366,1.023338,2025-09-17 14:41:00+00:00
1758120120000,1.015,1.015,1.01,63,1.015,32552,1.012446,2025-09-17 14:42:00+00:00
1758120180000,1.0154,1.02,1.01,69,1.015,35364,1.013853,2025-09-17 14:43:00+00:00
1758120240000,1.015,1.02,1.015,33,1.0188,9712,1.018896,2025-09-17 14:44:00+00:00
1758120300000,1.01,1.02,1.01,43,1.015,26136,1.014025,2025-09-17 14:45:00+00:00
1758120360000,1.02,1.02,1.01,59,1.01,13081,1.019501,2025-09-17 14:46:00+00:00
1758120420000,1.015,1.02,1.01,42,1.02,11421,1.017215,2025-09-17 14:47:00+00:00
1758120480000,1.02,1.03,1.0108,123,1.015,31940,1.023482,2025-09-17 14:48:00+00:00
1758120540000,1.03,1.03,1.02,36,1.022,16186,1.028336,2025-09-17 14:49:00+00:00
1758120600000,1.02,1.0291,1.02,58,1.025,26370,1.024181,2025-09-17 14:50:00+00:00
1758120660000,1.0257,1.03,1.02,86,1.025,18459,1.025412,2025-09-17 14:51:00+00:00
1758120720000,1.02,1.025,1.02,44,1.025,3793,1.022813,2025-09-17 14:52:00+00:00
1758120780000,1.025,1.03,1.02,97,1.025,24508,1.026275,2025-09-17 14:53:00+00:00
1758120840000,1.025,1.0299,1.02,64,1.025,6369,1.024453,2025-09-17 14:54:00+00:00
1758120900000,1.03,1.04,1.02,151,1.025,37463,1.033683,2025-09-17 14:55:00+00:00
1758120960000,1.035,1.04,1.03,51,1.0357,13586,1.037282,2025-09-17 14:56:00+00:00
1758121020000,1.035,1.04,1.03,59,1.035,15331,1.036797,2025-09-17 14:57:00+00:00
1758121080000,1.03,1.04,1.03,63,1.03,11451,1.036642,2025-09-17 14:58:00+00:00
1758121140000,1.03,1.035,1.03,52,1.03,14648,1.03424,2025-09-17 14:59:00+00:00
1758121200000,1.035,1.04,1.02,150,1.03,16716,1.030572,2025-09-17 15:00:00+00:00
1758121260000,1.035,1.04,1.03,158,1.035,32345,1.037838,2025-09-17 15:01:00+00:00
1758121320000,1.03,1.04,1.03,41,1.03,21831,1.038764,2025-09-17 15:02:00+00:00
1758121380000,1.03,1.04,1.03,90,1.03,25058,1.036392,2025-09-17 15:03:00+00:00
1758121440000,1.03,1.04,1.03,69,1.035,26728,1.033238,2025-09-17 15:04:00+00:00
1758121500000,1.03,1.04,1.03,46,1.03,8906,1.033699,2025-09-17 15:05:00+00:00
1758121560000,1.025,1.04,1.02,212,1.03,95505,1.029295,2025-09-17 15:06:00+00:00
1758121620000,1.0256,1.03,1.02,39,1.03,32349,1.021162,2025-09-17 15:07:00+00:00
1758121680000,1.02,1.03,1.02,36,1.02,11655,1.023509,2025-09-17 15:08:00+00:00
1758121740000,1.02,1.03,1.02,50,1.02,9324,1.028014,2025-09-17 15:09:00+00:00
1758121800000,1.03,1.03,1.02,46,1.02,50495,1.028753,2025-09-17 15:10:00+00:00
1758121860000,1.035,1.04,1.02,114,1.025,37371,1.034872,2025-09-17 15:11:00+00:00
1758121920000,1.03,1.04,1.03,205,1.0313,101069,1.036614,2025-09-17 15:12:00+00:00
1758121980000,1.03,1.035,1.03,16,1.0309,1390,1.031304,2025-09-17 15:13:00+00:00
1758122040000,1.03,1.04,1.03,85,1.04,29642,1.035037,2025-09-17 15:14:00+00:00
1758122100000,1.035,1.035,1.035,10,1.035,798,1.035,2025-09-17 15:15:00+00:00
1758122160000,1.04,1.04,1.03,218,1.037,49154,1.037808,2025-09-17 15:16:00+00:00
1758122220000,1.04,1.04,1.02,160,1.03,130869,1.025877,2025-09-17 15:17:00+00:00
1758122280000,1.03,1.04,1.03,31,1.0301,10518,1.030238,2025-09-17 15:18:00+00:00
1758122340000,1.045,1.05,1.03,75,1.035,9626,1.039657,2025-09-17 15:19:00+00:00
1758122400000,1.0499,1.05,1.04,56,1.0499,17263,1.046848,2025-09-17 15:20:00+00:00
1758122460000,1.05,1.05,1.04,55,1.0499,14391,1.047373,2025-09-17 15:21:00+00:00
1758122520000,1.035,1.0479,1.03,105,1.04,29068,1.039468,2025-09-17 15:22:00+00:00
1758122580000,1.03,1.0375,1.03,80,1.035,15036,1.031844,2025-09-17 15:23:00+00:00
1758122640000,1.0306,1.04,1.03,80,1.03,19530,1.032386,2025-09-17 15:24:00+00:00
1758122700000,1.02,1.035,1.02,131,1.03,26175,1.026583,2025-09-17 15:25:00+00:00
1758122760000,1.02,1.03,1.02,117,1.02,28637,1.023965,2025-09-17 15:26:00+00:00
1758122820000,1.01,1.03,1.01,134,1.02,30146,1.019852,2025-09-17 15:27:00+00:00
1758122880000,1.01,1.015,1.01,84,1.01,30303,1.01046,2025-09-17 15:28:00+00:00
1758122940000,1.01,1.02,1.01,94,1.01,16257,1.013484,2025-09-17 15:29:00+00:00
1758123000000,1.0,1.015,1.0,172,1.01,42531,1.004178,2025-09-17 15:30:00+00:00
1758123060000,1.0,1.01,1.0,95,1.005,13009,1.003157,2025-09-17 15:31:00+00:00
1758123120000,1.005,1.01,1.0,86,1.0,21678,1.005873,2025-09-17 15:32:00+00:00
1758123180000,1.005,1.01,1.0,94,1.0,22577,1.005734,2025-09-17 15:33:00+00:00
1758123240000,1.02,1.03,1.0,89,1.005,26263,1.013177,2025-09-17 15:34:00+00:00
1758123300000,1.03,1.03,1.02,55,1.02,30076,1.026509,2025-09-17 15:35:00+00:00
1758123360000,1.02,1.03,1.02,47,1.02,20190,1.024589,2025-09-17 15:36:00+00:00
1758123420000,1.02,1.03,1.02,66,1.02,25380,1.028358,2025-09-17 15:37:00+00:00
1758123480000,1.023,1.03,1.02,64,1.02,16444,1.02379,2025-09-17 15:38:00+00:00
1758123540000,1.02,1.03,1.02,93,1.02,18051,1.023665,2025-09-17 15:39:00+00:00
1758123600000,1.03,1.04,1.02,185,1.02,68604,1.033548,2025-09-17 15:40:00+00:00
1758123660000,1.02,1.03,1.02,58,1.03,10562,1.023235,2025-09-17 15:41:00+00:00
1758123720000,1.02,1.03,1.02,50,1.02,11492,1.027913,2025-09-17 15:42:00+00:00
1758123780000,1.02,1.03,1.01,91,1.025,25124,1.019897,2025-09-17 15:43:00+00:00
1758123840000,1.035,1.04,1.0193,128,1.02,36107,1.022705,2025-09-17 15:44:00+00:00
1758123900000,1.03,1.04,1.03,42,1.035,4361,1.033324,2025-09-17 15:45:00+00:00
1758123960000,1.02,1.04,1.02,77,1.03,7050,1.026593,2025-09-17 15:46:00+00:00
1758124020000,1.02,1.03,1.02,99,1.02,26607,1.025648,2025-09-17 15:47:00+00:00
