timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757343420000,36.815,36.815,36.4538,14,36.4538,923,36.72784,2025-09-08 14:57:00+00:00
1757343480000,36.75,36.87,36.75,24,36.87,1685,36.832567,2025-09-08 14:58:00+00:00
1757343540000,36.88,36.88,36.81,28,36.81,2872,36.83841,2025-09-08 14:59:00+00:00
1757343600000,36.81,36.961,36.81,13,36.81,2572,36.842431,2025-09-08 15:00:00+00:00
1757343660000,37.01,37.02,36.95,24,36.95,800,36.977181,2025-09-08 15:01:00+00:00
1757343720000,37.04,37.04,37.0,13,37.0,933,37.012788,2025-09-08 15:02:00+00:00
1757343780000,37.2494,37.29,37.11,65,37.11,13990,37.222796,2025-09-08 15:03:00+00:00
1757343840000,37.33,37.33,37.25,20,37.25,1905,37.313395,2025-09-08 15:04:00+00:00
1757343900000,37.5,37.5,37.5,10,37.5,337,37.5,2025-09-08 15:05:00+00:00
1757343960000,37.12,37.2,37.12,23,37.2,3892,37.197047,2025-09-08 15:06:00+00:00
1757344020000,37.11,37.11,37.11,13,37.11,399,37.11,2025-09-08 15:07:00+00:00
1757344080000,37.2552,37.2552,37.2,12,37.2,1028,37.243465,2025-09-08 15:08:00+00:00
1757344140000,37.25,37.25,37.25,13,37.25,920,37.25,2025-09-08 15:09:00+00:00
1757344200000,37.29,37.29,37.29,12,37.29,406,37.29,2025-09-08 15:10:00+00:00
1757344320000,37.53,37.63,37.53,23,37.6095,1565,37.587435,2025-09-08 15:12:00+00:00
1757344380000,37.5,37.5,37.4779,34,37.4779,3588,37.498891,2025-09-08 15:13:00+00:00
1757344500000,37.62,37.62,37.49,30,37.49,1435,37.566017,2025-09-08 15:15:00+00:00
1757344560000,37.5917,37.72,37.5917,26,37.72,1581,37.650157,2025-09-08 15:16:00+00:00
1757344620000,37.4893,37.4893,37.4893,9,37.4893,509,37.4893,2025-09-08 15:17:00+00:00
1757344800000,37.49,37.59,37.49,22,37.59,1620,37.521266,2025-09-08 15:20:00+00:00
1757344920000,37.65,37.65,37.65,17,37.65,654,37.65,2025-09-08 15:22:00+00:00
1757345100000,37.9,37.9,37.9,7,37.9,574,37.9,2025-09-08 15:25:00+00:00
1757345160000,38.13,38.13,38.049,34,38.049,2083,38.098804,2025-09-08 15:26:00+00:00
1757345220000,38.1,38.15,38.08,31,38.1,10396,38.110777,2025-09-08 15:27:00+00:00
1757345340000,37.65,37.65,37.65,13,37.65,488,37.65,2025-09-08 15:29:00+00:00
1757345400000,37.54,37.6,37.54,7,37.6,333,37.575,2025-09-08 15:30:00+00:00
1757345460000,37.91,37.91,37.7995,6,37.7995,3409,37.802905,2025-09-08 15:31:00+00:00
1757345520000,37.91,37.91,37.91,8,37.91,918,37.91,2025-09-08 15:32:00+00:00
1757345760000,38.46,38.5,38.29,25,38.29,1364,38.442622,2025-09-08 15:36:00+00:00
