timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,3.7599,3.86,3.41,5839,3.53,1155247,3.661915,2025-09-02 13:30:00+00:00
1756819860000,3.5501,3.85,3.47,4634,3.7426,845629,3.687863,2025-09-02 13:31:00+00:00
1756819920000,3.6403,3.71,3.49,2807,3.5597,550400,3.592622,2025-09-02 13:32:00+00:00
1756819980000,3.46,3.69,3.45,2207,3.64,444535,3.551873,2025-09-02 13:33:00+00:00
1756820040000,3.3898,3.47,3.26,3681,3.46,679008,3.336063,2025-09-02 13:34:00+00:00
1756820100000,3.4183,3.4642,3.37,1546,3.38,244652,3.416466,2025-09-02 13:35:00+00:00
1756820160000,3.3697,3.45,3.33,1130,3.41,181707,3.379454,2025-09-02 13:36:00+00:00
1756820220000,3.39,3.41,3.24,1408,3.36,326379,3.319114,2025-09-02 13:37:00+00:00
1756820280000,3.35,3.4076,3.28,728,3.39,130518,3.336728,2025-09-02 13:38:00+00:00
1756820340000,3.26,3.36,3.23,810,3.35,186043,3.302393,2025-09-02 13:39:00+00:00
1756820400000,3.31,3.4199,3.26,877,3.265,210247,3.31978,2025-09-02 13:40:00+00:00
1756820460000,3.2301,3.32,3.23,840,3.31,164497,3.263212,2025-09-02 13:41:00+00:00
1756820520000,3.2946,3.34,3.22,657,3.23,143768,3.286827,2025-09-02 13:42:00+00:00
1756820580000,3.3332,3.38,3.27,695,3.29,115834,3.323132,2025-09-02 13:43:00+00:00
1756820640000,3.3599,3.4,3.28,599,3.34,107385,3.345726,2025-09-02 13:44:00+00:00
1756820700000,3.39,3.45,3.34,1246,3.3405,230303,3.406791,2025-09-02 13:45:00+00:00
1756820760000,3.385,3.3901,3.33,558,3.3901,114870,3.36068,2025-09-02 13:46:00+00:00
1756820820000,3.5099,3.56,3.36,1507,3.38,288895,3.463761,2025-09-02 13:47:00+00:00
1756820880000,3.4013,3.5216,3.4,1008,3.5,223823,3.473436,2025-09-02 13:48:00+00:00
1756820940000,3.45,3.49,3.4,412,3.4,102851,3.448291,2025-09-02 13:49:00+00:00
1756821000000,3.525,3.56,3.42,1299,3.46,295212,3.50231,2025-09-02 13:50:00+00:00
1756821060000,3.5581,3.64,3.49,1760,3.51,391937,3.560849,2025-09-02 13:51:00+00:00
1756821120000,3.43,3.57,3.41,1057,3.55,213099,3.474349,2025-09-02 13:52:00+00:00
1756821180000,3.4642,3.49,3.42,497,3.43,99573,3.447648,2025-09-02 13:53:00+00:00
1756821240000,3.422,3.46,3.36,726,3.46,151326,3.4112,2025-09-02 13:54:00+00:00
1756821300000,3.43,3.49,3.419,465,3.4202,118385,3.449424,2025-09-02 13:55:00+00:00
1756821360000,3.45,3.45,3.39,407,3.43,82173,3.414855,2025-09-02 13:56:00+00:00
1756821420000,3.545,3.555,3.44,598,3.45,138835,3.486971,2025-09-02 13:57:00+00:00
1756821480000,3.635,3.72,3.51,1389,3.5499,315195,3.594464,2025-09-02 13:58:00+00:00
1756821540000,3.68,3.75,3.5601,2214,3.64,444258,3.674532,2025-09-02 13:59:00+00:00
1756821600000,3.5,3.7,3.47,2090,3.68,441756,3.573751,2025-09-02 14:00:00+00:00
1756821660000,3.6,3.616,3.49,778,3.5199,127451,3.571037,2025-09-02 14:01:00+00:00
1756821720000,3.52,3.6339,3.51,770,3.59,154077,3.571381,2025-09-02 14:02:00+00:00
1756821780000,3.55,3.57,3.5097,510,3.53,88524,3.542312,2025-09-02 14:03:00+00:00
1756821840000,3.3178,3.57,3.27,2214,3.55,398200,3.37982,2025-09-02 14:04:00+00:00
1756821900000,3.3602,3.4,3.3,876,3.3001,165561,3.357967,2025-09-02 14:05:00+00:00
1756821960000,3.465,3.52,3.35,777,3.36,144997,3.440875,2025-09-02 14:06:00+00:00
1756822020000,3.43,3.48,3.41,447,3.4553,67419,3.447071,2025-09-02 14:07:00+00:00
1756822080000,3.4542,3.53,3.4307,546,3.44,114262,3.491227,2025-09-02 14:08:00+00:00
1756822140000,3.5411,3.57,3.4501,399,3.4501,84878,3.529279,2025-09-02 14:09:00+00:00
1756822200000,3.4946,3.57,3.49,390,3.55,64213,3.531807,2025-09-02 14:10:00+00:00
1756822260000,3.48,3.56,3.47,292,3.49,61211,3.502463,2025-09-02 14:11:00+00:00
1756822320000,3.43,3.4799,3.41,355,3.47,53915,3.443618,2025-09-02 14:12:00+00:00
1756822380000,3.4,3.45,3.39,294,3.45,62626,3.42192,2025-09-02 14:13:00+00:00
1756822440000,3.4299,3.43,3.39,186,3.4,34824,3.406144,2025-09-02 14:14:00+00:00
1756822500000,3.44,3.44,3.39,242,3.4201,62011,3.403476,2025-09-02 14:15:00+00:00
1756822560000,3.4406,3.49,3.43,230,3.44,32859,3.453627,2025-09-02 14:16:00+00:00
1756822620000,3.4203,3.4599,3.39,177,3.432,41689,3.415895,2025-09-02 14:17:00+00:00
1756822680000,3.4,3.415,3.37,203,3.414,50903,3.393206,2025-09-02 14:18:00+00:00
1756822740000,3.3899,3.42,3.35,394,3.39,100790,3.383959,2025-09-02 14:19:00+00:00
1756822800000,3.3679,3.39,3.34,251,3.37,70483,3.368878,2025-09-02 14:20:00+00:00
1756822860000,3.4,3.42,3.35,248,3.375,35326,3.390459,2025-09-02 14:21:00+00:00
1756822920000,3.34,3.41,3.33,296,3.39,51602,3.353447,2025-09-02 14:22:00+00:00
1756822980000,3.3222,3.3687,3.32,236,3.34,48292,3.34151,2025-09-02 14:23:00+00:00
1756823040000,3.35,3.36,3.32,129,3.33,27728,3.348974,2025-09-02 14:24:00+00:00
1756823100000,3.3301,3.36,3.32,186,3.3484,31921,3.344995,2025-09-02 14:25:00+00:00
1756823160000,3.3302,3.35,3.3284,162,3.3284,30931,3.336904,2025-09-02 14:26:00+00:00
1756823220000,3.35,3.37,3.3301,128,3.331,24026,3.357639,2025-09-02 14:27:00+00:00
1756823280000,3.3432,3.3694,3.34,86,3.3484,23777,3.351886,2025-09-02 14:28:00+00:00
1756823340000,3.35,3.355,3.34,139,3.34,32243,3.342418,2025-09-02 14:29:00+00:00
1756823400000,3.3701,3.3868,3.32,299,3.3554,80172,3.346095,2025-09-02 14:30:00+00:00
1756823460000,3.31,3.3747,3.3,387,3.3747,83788,3.328544,2025-09-02 14:31:00+00:00
1756823520000,3.32,3.33,3.3,149,3.3101,25986,3.307835,2025-09-02 14:32:00+00:00
1756823580000,3.23,3.31,3.21,1069,3.31,211123,3.239598,2025-09-02 14:33:00+00:00
1756823640000,3.28,3.31,3.22,309,3.24,46294,3.265472,2025-09-02 14:34:00+00:00
1756823700000,3.3,3.32,3.28,125,3.28,25925,3.29749,2025-09-02 14:35:00+00:00
1756823760000,3.34,3.34,3.3,125,3.31,21995,3.31455,2025-09-02 14:36:00+00:00
1756823820000,3.3395,3.37,3.32,189,3.3398,43530,3.342758,2025-09-02 14:37:00+00:00
1756823880000,3.33,3.34,3.32,76,3.34,14482,3.327037,2025-09-02 14:38:00+00:00
1756823940000,3.31,3.33,3.28,147,3.3293,39915,3.30305,2025-09-02 14:39:00+00:00
1756824000000,3.2814,3.32,3.28,200,3.3,30766,3.295767,2025-09-02 14:40:00+00:00
1756824060000,3.28,3.3,3.26,148,3.3,33666,3.283887,2025-09-02 14:41:00+00:00
1756824120000,3.3,3.3,3.28,80,3.28,17041,3.284428,2025-09-02 14:42:00+00:00
1756824180000,3.2542,3.29,3.25,108,3.29,22157,3.259463,2025-09-02 14:43:00+00:00
1756824240000,3.24,3.26,3.21,369,3.25,71487,3.22359,2025-09-02 14:44:00+00:00
1756824300000,3.28,3.33,3.24,274,3.24,66243,3.277854,2025-09-02 14:45:00+00:00
1756824360000,3.2722,3.29,3.27,72,3.29,5646,3.279559,2025-09-02 14:46:00+00:00
1756824420000,3.3099,3.3121,3.28,111,3.2882,14785,3.299348,2025-09-02 14:47:00+00:00
1756824480000,3.3279,3.33,3.2985,138,3.3058,32619,3.314122,2025-09-02 14:48:00+00:00
1756824540000,3.3258,3.34,3.32,72,3.32,13152,3.329818,2025-09-02 14:49:00+00:00
1756824600000,3.2965,3.35,3.25,143,3.3298,29699,3.294155,2025-09-02 14:50:00+00:00
1756824660000,3.3,3.31,3.27,158,3.295,27064,3.287049,2025-09-02 14:51:00+00:00
1756824720000,3.3084,3.32,3.3,66,3.3,6416,3.306995,2025-09-02 14:52:00+00:00
1756824780000,3.305,3.31,3.29,60,3.29,7216,3.303576,2025-09-02 14:53:00+00:00
1756824840000,3.27,3.308,3.26,96,3.308,15946,3.279245,2025-09-02 14:54:00+00:00
1756824900000,3.2709,3.28,3.23,111,3.2709,18476,3.260149,2025-09-02 14:55:00+00:00
1756824960000,3.29,3.32,3.27,149,3.272,35776,3.294708,2025-09-02 14:56:00+00:00
1756825020000,3.2954,3.2954,3.26,59,3.27,7129,3.27877,2025-09-02 14:57:00+00:00
1756825080000,3.29,3.295,3.28,70,3.29,12865,3.285406,2025-09-02 14:58:00+00:00
1756825140000,3.33,3.36,3.295,241,3.295,61263,3.327744,2025-09-02 14:59:00+00:00
1756825200000,3.3128,3.35,3.3,196,3.3399,39235,3.333188,2025-09-02 15:00:00+00:00
1756825260000,3.4084,3.46,3.32,744,3.3399,217547,3.409691,2025-09-02 15:01:00+00:00
1756825320000,3.31,3.4346,3.31,786,3.42,131516,3.350019,2025-09-02 15:02:00+00:00
1756825380000,3.35,3.37,3.31,224,3.31,23625,3.339478,2025-09-02 15:03:00+00:00
1756825440000,3.3321,3.36,3.32,137,3.3494,21522,3.332477,2025-09-02 15:04:00+00:00
1756825500000,3.32,3.3318,3.31,123,3.3301,22148,3.315414,2025-09-02 15:05:00+00:00
1756825560000,3.26,3.3499,3.24,303,3.311,47677,3.289903,2025-09-02 15:06:00+00:00
1756825620000,3.2685,3.29,3.26,153,3.26,24097,3.27291,2025-09-02 15:07:00+00:00
1756825680000,3.29,3.3,3.268,116,3.2715,12841,3.278357,2025-09-02 15:08:00+00:00
1756825740000,3.35,3.35,3.2854,101,3.2854,18834,3.324161,2025-09-02 15:09:00+00:00
1756825800000,3.28,3.34,3.26,247,3.33,35443,3.296553,2025-09-02 15:10:00+00:00
1756825860000,3.3068,3.31,3.28,112,3.2897,7702,3.292181,2025-09-02 15:11:00+00:00
1756825920000,3.35,3.35,3.29,53,3.29,14313,3.319401,2025-09-02 15:12:00+00:00
1756825980000,3.36,3.38,3.32,152,3.34,27861,3.348804,2025-09-02 15:13:00+00:00
1756826040000,3.3192,3.36,3.3,112,3.345,29449,3.335044,2025-09-02 15:14:00+00:00
1756826100000,3.37,3.39,3.31,176,3.33,30850,3.361815,2025-09-02 15:15:00+00:00
1756826160000,3.39,3.45,3.3694,289,3.37,71827,3.40536,2025-09-02 15:16:00+00:00
1756826220000,3.3685,3.4,3.36,96,3.3701,27945,3.380373,2025-09-02 15:17:00+00:00
1756826280000,3.4,3.4,3.361,61,3.362,8273,3.389423,2025-09-02 15:18:00+00:00
1756826340000,3.41,3.42,3.39,158,3.39,32392,3.404064,2025-09-02 15:19:00+00:00
1756826400000,3.4,3.45,3.39,178,3.405,63919,3.406308,2025-09-02 15:20:00+00:00
1756826460000,3.37,3.4,3.34,233,3.4,27536,3.374781,2025-09-02 15:21:00+00:00
1756826520000,3.3,3.37,3.27,326,3.37,39639,3.313225,2025-09-02 15:22:00+00:00
1756826580000,3.28,3.3099,3.26,187,3.2909,49049,3.279907,2025-09-02 15:23:00+00:00
1756826640000,3.314,3.314,3.2642,97,3.2719,22672,3.286136,2025-09-02 15:24:00+00:00
1756826700000,3.29,3.31,3.28,75,3.2801,10509,3.291933,2025-09-02 15:25:00+00:00
1756826760000,3.28,3.3199,3.26,83,3.304,14078,3.290631,2025-09-02 15:26:00+00:00
1756826820000,3.32,3.32,3.2614,103,3.27,14852,3.300393,2025-09-02 15:27:00+00:00
1756826880000,3.22,3.33,3.21,427,3.31,74590,3.249346,2025-09-02 15:28:00+00:00
1756826940000,3.15,3.24,3.066,906,3.225,181127,3.132848,2025-09-02 15:29:00+00:00
1756827000000,3.15,3.17,3.11,317,3.13,57687,3.145938,2025-09-02 15:30:00+00:00
1756827060000,3.19,3.19,3.137,241,3.154,39941,3.173225,2025-09-02 15:31:00+00:00
1756827120000,3.16,3.2,3.14,170,3.2,26244,3.169688,2025-09-02 15:32:00+00:00
1756827180000,3.19,3.1999,3.16,164,3.17,15177,3.177474,2025-09-02 15:33:00+00:00
1756827240000,3.2007,3.23,3.18,113,3.19,21656,3.209332,2025-09-02 15:34:00+00:00
1756827300000,3.154,3.2,3.15,149,3.2,15488,3.168013,2025-09-02 15:35:00+00:00
1756827360000,3.23,3.23,3.15,187,3.1506,30841,3.196946,2025-09-02 15:36:00+00:00
1756827420000,3.24,3.28,3.2,170,3.21,24632,3.250464,2025-09-02 15:37:00+00:00
1756827480000,3.22,3.25,3.2,102,3.25,17188,3.221213,2025-09-02 15:38:00+00:00
1756827540000,3.22,3.265,3.2016,143,3.24,13102,3.240064,2025-09-02 15:39:00+00:00
1756827600000,3.2099,3.23,3.19,39,3.2015,6537,3.213793,2025-09-02 15:40:00+00:00
1756827660000,3.1839,3.21,3.1743,89,3.2099,7948,3.190677,2025-09-02 15:41:00+00:00
1756827720000,3.17,3.2,3.16,74,3.2,6317,3.165391,2025-09-02 15:42:00+00:00
1756827780000,3.18,3.2,3.16,109,3.16,16082,3.181336,2025-09-02 15:43:00+00:00
1756827840000,3.16,3.19,3.16,56,3.185,10065,3.175133,2025-09-02 15:44:00+00:00
1756827900000,3.1613,3.18,3.16,36,3.16,4307,3.16625,2025-09-02 15:45:00+00:00
1756827960000,3.18,3.195,3.16,57,3.17,11927,3.173086,2025-09-02 15:46:00+00:00
1756828020000,3.1611,3.18,3.16,79,3.162,15378,3.166638,2025-09-02 15:47:00+00:00
1756828080000,3.09,3.17,3.06,359,3.165,56450,3.100612,2025-09-02 15:48:00+00:00
1756828140000,3.11,3.14,3.08,91,3.08,27113,3.106666,2025-09-02 15:49:00+00:00
1756828200000,3.11,3.1292,3.1,52,3.1292,14673,3.115185,2025-09-02 15:50:00+00:00
1756828260000,3.095,3.11,3.09,85,3.1,13364,3.103188,2025-09-02 15:51:00+00:00
1756828320000,3.1542,3.17,3.095,133,3.098,40741,3.130017,2025-09-02 15:52:00+00:00
1756828380000,3.18,3.21,3.1317,128,3.1317,29191,3.181527,2025-09-02 15:53:00+00:00
1756828440000,3.19,3.22,3.169,97,3.17,7625,3.195158,2025-09-02 15:54:00+00:00
1756828500000,3.19,3.21,3.17,78,3.18,12226,3.179973,2025-09-02 15:55:00+00:00
1756828560000,3.17,3.208,3.17,34,3.2,4336,3.20074,2025-09-02 15:56:00+00:00
1756828620000,3.16,3.18,3.15,50,3.18,18442,3.166706,2025-09-02 15:57:00+00:00
1756828680000,3.1783,3.22,3.17,93,3.17,15161,3.193963,2025-09-02 15:58:00+00:00
1756828740000,3.185,3.2,3.1759,30,3.2,17656,3.197578,2025-09-02 15:59:00+00:00
1756828800000,3.19,3.2,3.1737,47,3.19,7008,3.19723,2025-09-02 16:00:00+00:00
1756828860000,3.1801,3.25,3.18,73,3.2,19238,3.194274,2025-09-02 16:01:00+00:00
1756828920000,3.16,3.23,3.16,33,3.23,8387,3.188687,2025-09-02 16:02:00+00:00
1756828980000,3.14,3.18,3.14,52,3.18,6808,3.166072,2025-09-02 16:03:00+00:00
1756829040000,3.1313,3.18,3.1313,170,3.1412,19220,3.147739,2025-09-02 16:04:00+00:00
1756829100000,3.1,3.16,3.07,181,3.13,41806,3.106411,2025-09-02 16:05:00+00:00
1756829160000,3.1247,3.13,3.104,54,3.1103,8082,3.115554,2025-09-02 16:06:00+00:00
1756829220000,3.07,3.11,3.06,75,3.11,13383,3.088257,2025-09-02 16:07:00+00:00
1756829280000,3.08,3.09,3.07,74,3.08,20871,3.080087,2025-09-02 16:08:00+00:00
1756829340000,3.08,3.09,3.07,55,3.08,11416,3.075258,2025-09-02 16:09:00+00:00
1756829400000,3.09,3.1,3.07,82,3.08,13363,3.085475,2025-09-02 16:10:00+00:00
1756829460000,3.03,3.1,3.03,207,3.0995,40972,3.059312,2025-09-02 16:11:00+00:00
1756829520000,3.04,3.0598,3.0,314,3.03,97462,3.015962,2025-09-02 16:12:00+00:00
1756829580000,3.0101,3.05,3.0101,106,3.05,23951,3.032804,2025-09-02 16:13:00+00:00
