timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742823000000,0.94,0.94,0.94,2,0.94,1559,0.94,2025-03-24 13:30:00+00:00
1742823060000,0.94,0.9458,0.93,6,0.93,4175,0.934598,2025-03-24 13:31:00+00:00
1742823120000,0.9416,0.95,0.935,8,0.935,3606,0.942934,2025-03-24 13:32:00+00:00
1742823180000,0.92,0.92,0.92,1,0.92,109,0.92,2025-03-24 13:33:00+00:00
1742823240000,0.93,0.93,0.93,1,0.93,489,0.93,2025-03-24 13:34:00+00:00
1742823300000,0.93,0.93,0.92,2,0.92,816,0.927549,2025-03-24 13:35:00+00:00
1742823420000,0.91,0.93,0.91,3,0.93,602,0.92,2025-03-24 13:37:00+00:00
1742823540000,0.9001,0.9106,0.9,8,0.9106,3536,0.905619,2025-03-24 13:39:00+00:00
1742823600000,0.9,0.9,0.9,5,0.9,912,0.9,2025-03-24 13:40:00+00:00
1742823660000,0.8932,0.8932,0.88,166,0.88,2120,0.88623,2025-03-24 13:41:00+00:00
1742823780000,0.88,0.89,0.88,10,0.89,11653,0.883765,2025-03-24 13:43:00+00:00
1742823840000,0.88,0.88,0.88,1,0.88,5000,0.88,2025-03-24 13:44:00+00:00
1742824020000,0.8998,0.8998,0.8998,2,0.8998,2106,0.8998,2025-03-24 13:47:00+00:00
1742824080000,0.8801,0.8801,0.8801,1,0.8801,200,0.8801,2025-03-24 13:48:00+00:00
1742824440000,0.8305,0.8809,0.8305,25,0.8809,12231,0.85131,2025-03-24 13:54:00+00:00
1742824560000,0.86,0.86,0.86,2,0.86,103,0.86,2025-03-24 13:56:00+00:00
1742824620000,0.85,0.86,0.85,4,0.86,17638,0.852778,2025-03-24 13:57:00+00:00
1742824800000,0.86,0.86,0.86,1,0.86,100,0.86,2025-03-24 14:00:00+00:00
1742825280000,0.8998,0.8998,0.8998,2,0.8998,4037,0.8998,2025-03-24 14:08:00+00:00
1742825460000,0.88,0.8999,0.88,3,0.8999,2001,0.88995,2025-03-24 14:11:00+00:00
1742825580000,0.88,0.88,0.88,3,0.88,502,0.88,2025-03-24 14:13:00+00:00
1742825820000,0.7605,0.8801,0.7605,56,0.8801,31644,0.836006,2025-03-24 14:17:00+00:00
1742825880000,0.8485,0.8485,0.81,5,0.8106,1651,0.834601,2025-03-24 14:18:00+00:00
1742826180000,0.81,0.823,0.81,3,0.823,500,0.81767,2025-03-24 14:23:00+00:00
1742826360000,0.8262,0.8398,0.8262,2,0.8398,1000,0.833,2025-03-24 14:26:00+00:00
1742826420000,0.83,0.84,0.83,4,0.83,1950,0.835128,2025-03-24 14:27:00+00:00
1742826540000,0.8262,0.8262,0.8262,1,0.8262,1500,0.8262,2025-03-24 14:29:00+00:00
1742826900000,0.835,0.835,0.835,1,0.835,200,0.835,2025-03-24 14:35:00+00:00
1742827320000,0.8262,0.8262,0.8262,2,0.8262,520,0.8262,2025-03-24 14:42:00+00:00
1742827800000,0.8263,0.8263,0.8262,2,0.8262,624,0.826284,2025-03-24 14:50:00+00:00
1742827980000,0.8115,0.8115,0.8115,1,0.8115,6368,0.8115,2025-03-24 14:53:00+00:00
1742829360000,0.85,0.85,0.85,1,0.85,100,0.85,2025-03-24 15:16:00+00:00
1742830200000,0.812,0.812,0.812,2,0.812,103,0.812,2025-03-24 15:30:00+00:00
1742830260000,0.8499,0.8499,0.8499,1,0.8499,100,0.8499,2025-03-24 15:31:00+00:00
1742830320000,0.83,0.83,0.83,6,0.83,550,0.83,2025-03-24 15:32:00+00:00
1742830500000,0.84,0.84,0.84,2,0.84,221,0.84,2025-03-24 15:35:00+00:00
1742830800000,0.8401,0.8401,0.8401,2,0.8401,1155,0.8401,2025-03-24 15:40:00+00:00
1742832540000,0.8239,0.84,0.8239,3,0.84,1309,0.825291,2025-03-24 16:09:00+00:00
1742832720000,0.823,0.823,0.823,1,0.823,150,0.823,2025-03-24 16:12:00+00:00
1742832900000,0.8599,0.86,0.84,11,0.84,2332,0.853421,2025-03-24 16:15:00+00:00
1742832960000,0.8699,0.87,0.86,7,0.86,5129,0.869622,2025-03-24 16:16:00+00:00
1742833140000,0.88,0.88,0.88,1,0.88,2600,0.88,2025-03-24 16:19:00+00:00
1742833200000,0.9,0.9,0.88,4,0.88,3100,0.889677,2025-03-24 16:20:00+00:00
1742833260000,0.9001,0.9001,0.9001,1,0.9001,100,0.9001,2025-03-24 16:21:00+00:00
1742833380000,0.9297,0.93,0.91,11,0.91,6227,0.921361,2025-03-24 16:23:00+00:00
1742833440000,0.925,0.9297,0.925,3,0.9297,541,0.927606,2025-03-24 16:24:00+00:00
1742833500000,0.935,0.935,0.93,2,0.93,1200,0.934167,2025-03-24 16:25:00+00:00
1742833560000,0.935,0.94,0.935,7,0.94,1048,0.937681,2025-03-24 16:26:00+00:00
1742833620000,0.935,0.9355,0.935,3,0.9355,1000,0.93514,2025-03-24 16:27:00+00:00
1742833920000,0.935,0.935,0.935,2,0.935,255,0.935,2025-03-24 16:32:00+00:00
1742834160000,0.94,0.94,0.9349,9,0.935,1085,0.935872,2025-03-24 16:36:00+00:00
1742834340000,0.93,0.93,0.93,1,0.93,3000,0.93,2025-03-24 16:39:00+00:00
1742834760000,0.929,0.929,0.92,2,0.92,647,0.927442,2025-03-24 16:46:00+00:00
1742834820000,0.9381,0.9381,0.9381,1,0.9381,320,0.9381,2025-03-24 16:47:00+00:00
1742835120000,0.92,0.92,0.92,1,0.92,600,0.92,2025-03-24 16:52:00+00:00
1742835180000,0.92,0.92,0.92,1,0.92,600,0.92,2025-03-24 16:53:00+00:00
1742835420000,0.92,0.92,0.92,2,0.92,177,0.92,2025-03-24 16:57:00+00:00
1742835780000,0.92,0.9202,0.92,2,0.9202,630,0.9201,2025-03-24 17:03:00+00:00
1742836320000,0.9289,0.9289,0.9213,4,0.9289,375,0.926729,2025-03-24 17:12:00+00:00
1742836800000,0.929,0.929,0.92,3,0.9201,600,0.921533,2025-03-24 17:20:00+00:00
1742837220000,0.9159,0.9159,0.9159,1,0.9159,500,0.9159,2025-03-24 17:27:00+00:00
1742837580000,0.916,0.916,0.916,1,0.916,500,0.916,2025-03-24 17:33:00+00:00
1742837700000,0.89,0.9,0.89,2,0.9,1200,0.899167,2025-03-24 17:35:00+00:00
1742839800000,0.9137,0.9137,0.9137,4,0.9137,202,0.9137,2025-03-24 18:10:00+00:00
1742840400000,0.898,0.898,0.898,1,0.898,300,0.898,2025-03-24 18:20:00+00:00
1742842560000,0.9232,0.9232,0.9232,8,0.9232,1000,0.9232,2025-03-24 18:56:00+00:00
1742843160000,0.9,0.9241,0.9,3,0.9241,4200,0.914363,2025-03-24 19:06:00+00:00
1742844180000,0.91,0.91,0.91,4,0.91,458,0.91,2025-03-24 19:23:00+00:00
1742844900000,0.9191,0.9191,0.9191,3,0.9191,300,0.9191,2025-03-24 19:35:00+00:00
1742845380000,0.89,0.89,0.89,1,0.89,458,0.89,2025-03-24 19:43:00+00:00
1742845440000,0.9256,0.9256,0.9078,3,0.9078,1066,0.911023,2025-03-24 19:44:00+00:00
1742846040000,0.88,0.88,0.88,3,0.88,800,0.88,2025-03-24 19:54:00+00:00
1742846100000,0.895,0.8953,0.8701,14,0.8892,1372,0.887845,2025-03-24 19:55:00+00:00
1742846160000,0.9001,0.9001,0.895,6,0.895,2100,0.896329,2025-03-24 19:56:00+00:00
1742846220000,0.8953,0.8953,0.8701,7,0.895,1600,0.887056,2025-03-24 19:57:00+00:00
1742846340000,0.9,0.9,0.9,3,0.9,219,0.9,2025-03-24 19:59:00+00:00
1742846400000,0.91,0.91,0.91,1,0.91,1329,0.91,2025-03-24 20:00:00+00:00
1742909400000,0.9,0.9,0.9,2,0.9,318,0.9,2025-03-25 13:30:00+00:00
1742909460000,0.86,0.86,0.86,1,0.86,489,0.86,2025-03-25 13:31:00+00:00
1742909520000,0.907,0.9199,0.9,5,0.9,704,0.914589,2025-03-25 13:32:00+00:00
1742910000000,0.9,0.9,0.9,2,0.9,720,0.9,2025-03-25 13:40:00+00:00
1742910120000,0.9,0.9,0.9,1,0.9,1058,0.9,2025-03-25 13:42:00+00:00
1742910300000,0.9,0.9,0.9,3,0.9,2698,0.9,2025-03-25 13:45:00+00:00
1742910480000,0.9,0.91,0.9,3,0.91,2387,0.900419,2025-03-25 13:48:00+00:00
1742910720000,0.9001,0.9001,0.9001,1,0.9001,200,0.9001,2025-03-25 13:52:00+00:00
1742911500000,0.9,0.9,0.9,1,0.9,333,0.9,2025-03-25 14:05:00+00:00
1742912040000,0.9,0.9,0.9,2,0.9,2000,0.9,2025-03-25 14:14:00+00:00
1742912100000,0.9102,0.9102,0.9102,1,0.9102,1224,0.9102,2025-03-25 14:15:00+00:00
1742912340000,0.9,0.9,0.9,2,0.9,1646,0.9,2025-03-25 14:19:00+00:00
1742912400000,0.9,0.9,0.9,2,0.9,183,0.9,2025-03-25 14:20:00+00:00
1742912940000,0.9,0.9,0.9,1,0.9,100,0.9,2025-03-25 14:29:00+00:00
1742913420000,0.91,0.91,0.91,7,0.91,1090,0.91,2025-03-25 14:37:00+00:00
1742913540000,0.9001,0.9001,0.9001,1,0.9001,500,0.9001,2025-03-25 14:39:00+00:00
1742913660000,0.9067,0.9067,0.9067,2,0.9067,781,0.9067,2025-03-25 14:41:00+00:00
1742913720000,0.9001,0.9001,0.9001,1,0.9001,800,0.9001,2025-03-25 14:42:00+00:00
1742915160000,0.9,0.9,0.9,1,0.9,100,0.9,2025-03-25 15:06:00+00:00
1742915280000,0.9,0.9,0.9,2,0.9,101,0.9,2025-03-25 15:08:00+00:00
1742915400000,0.9,0.9,0.9,2,0.9,712,0.9,2025-03-25 15:10:00+00:00
1742916060000,0.9198,0.9198,0.9198,1,0.9198,150,0.9198,2025-03-25 15:21:00+00:00
1742917800000,0.91,0.91,0.91,1,0.91,111,0.91,2025-03-25 15:50:00+00:00
1742918220000,0.88,0.88,0.88,1,0.88,100,0.88,2025-03-25 15:57:00+00:00
1742918520000,0.89,0.89,0.89,1,0.89,100,0.89,2025-03-25 16:02:00+00:00
1742919840000,0.88,0.88,0.88,1,0.88,100,0.88,2025-03-25 16:24:00+00:00
1742921280000,0.88,0.88,0.88,1,0.88,600,0.88,2025-03-25 16:48:00+00:00
1742921820000,0.88,0.88,0.88,3,0.88,451,0.88,2025-03-25 16:57:00+00:00
1742922720000,0.88,0.88,0.88,2,0.88,600,0.88,2025-03-25 17:12:00+00:00
1742923440000,0.88,0.8801,0.88,2,0.8801,300,0.88005,2025-03-25 17:24:00+00:00
1742923620000,0.8801,0.8801,0.88,4,0.88,307,0.880067,2025-03-25 17:27:00+00:00
1742923680000,0.88,0.88,0.88,1,0.88,1199,0.88,2025-03-25 17:28:00+00:00
1742927280000,0.8552,0.8552,0.8552,1,0.8552,287,0.8552,2025-03-25 18:28:00+00:00
1742929860000,0.8799,0.8799,0.8799,1,0.8799,470,0.8799,2025-03-25 19:11:00+00:00
1742932800000,0.88,0.88,0.88,1,0.88,144,0.88,2025-03-25 20:00:00+00:00
1742996640000,0.8715,0.8715,0.8715,1,0.8715,264,0.8715,2025-03-26 13:44:00+00:00
1742997480000,0.919,0.919,0.8715,3,0.8715,500,0.89632,2025-03-26 13:58:00+00:00
1742997780000,0.8715,0.8715,0.8715,1,0.8715,100,0.8715,2025-03-26 14:03:00+00:00
1742998200000,0.86,0.86,0.86,1,0.86,100,0.86,2025-03-26 14:10:00+00:00
1742998260000,0.841,0.841,0.841,1,0.841,216,0.841,2025-03-26 14:11:00+00:00
1742998320000,0.8215,0.8215,0.8215,1,0.8215,500,0.8215,2025-03-26 14:12:00+00:00
1742998500000,0.8215,0.8215,0.8215,2,0.8215,111,0.8215,2025-03-26 14:15:00+00:00
1742999040000,0.8216,0.8216,0.8216,1,0.8216,1500,0.8216,2025-03-26 14:24:00+00:00
1742999100000,0.8216,0.8216,0.8216,3,0.8216,1000,0.8216,2025-03-26 14:25:00+00:00
1742999280000,0.8215,0.8215,0.8215,3,0.8215,3400,0.8215,2025-03-26 14:28:00+00:00
1742999400000,0.8215,0.8215,0.8215,1,0.8215,173,0.8215,2025-03-26 14:30:00+00:00
1742999460000,0.8215,0.8215,0.8215,2,0.8215,107,0.8215,2025-03-26 14:31:00+00:00
1743006060000,0.8351,0.8351,0.8351,1,0.8351,1100,0.8351,2025-03-26 16:21:00+00:00
1743007140000,0.86,0.86,0.86,3,0.86,700,0.86,2025-03-26 16:39:00+00:00
1743007740000,0.86,0.86,0.86,1,0.86,100,0.86,2025-03-26 16:49:00+00:00
1743007800000,0.865,0.865,0.865,1,0.865,1250,0.865,2025-03-26 16:50:00+00:00
1743012540000,0.8501,0.8501,0.8501,1,0.8501,605,0.8501,2025-03-26 18:09:00+00:00
1743012780000,0.85,0.851,0.85,14,0.851,3363,0.850171,2025-03-26 18:13:00+00:00
1743014160000,0.8555,0.8668,0.8555,2,0.8668,1500,0.863033,2025-03-26 18:36:00+00:00
1743018960000,0.8791,0.8791,0.8791,1,0.8791,3000,0.8791,2025-03-26 19:56:00+00:00
1743082860000,0.83,0.83,0.83,9,0.83,12076,0.83,2025-03-27 13:41:00+00:00
1743083040000,0.831,0.831,0.831,1,0.831,100,0.831,2025-03-27 13:44:00+00:00
1743083400000,0.8405,0.8424,0.81,39,0.8405,9917,0.836916,2025-03-27 13:50:00+00:00
1743085200000,0.84,0.84,0.84,1,0.84,1000,0.84,2025-03-27 14:20:00+00:00
1743086700000,0.83,0.83,0.83,7,0.83,600,0.83,2025-03-27 14:45:00+00:00
1743087540000,0.8298,0.8298,0.8298,1,0.8298,100,0.8298,2025-03-27 14:59:00+00:00
1743087600000,0.8298,0.8298,0.8298,1,0.8298,100,0.8298,2025-03-27 15:00:00+00:00
1743087780000,0.83,0.83,0.8298,7,0.8298,900,0.829933,2025-03-27 15:03:00+00:00
1743088680000,0.8301,0.8301,0.8301,1,0.8301,420,0.8301,2025-03-27 15:18:00+00:00
1743092160000,0.832,0.832,0.832,1,0.832,200,0.832,2025-03-27 16:16:00+00:00
1743092520000,0.833,0.833,0.833,1,0.833,200,0.833,2025-03-27 16:22:00+00:00
1743094200000,0.86,0.86,0.8571,7,0.86,4500,0.859868,2025-03-27 16:50:00+00:00
1743094320000,0.831,0.8311,0.831,2,0.8311,1150,0.831087,2025-03-27 16:52:00+00:00
1743096060000,0.8311,0.8311,0.8311,1,0.8311,500,0.8311,2025-03-27 17:21:00+00:00
1743097860000,0.85,0.85,0.85,1,0.85,750,0.85,2025-03-27 17:51:00+00:00
