timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,4.927,4.94,4.88,325,4.91,119706,4.910076,2025-09-15 13:30:00+00:00
1757943060000,4.87,4.9114,4.8403,123,4.91,20153,4.880215,2025-09-15 13:31:00+00:00
1757943120000,4.901,4.91,4.87,63,4.87,9726,4.881152,2025-09-15 13:32:00+00:00
1757943180000,4.9,4.9103,4.89,66,4.9,21437,4.902706,2025-09-15 13:33:00+00:00
1757943240000,4.865,4.9084,4.85,143,4.9084,66311,4.888019,2025-09-15 13:34:00+00:00
1757943300000,4.86,4.87,4.85,66,4.8654,9163,4.862724,2025-09-15 13:35:00+00:00
1757943360000,4.8974,4.91,4.86,90,4.87,15406,4.890719,2025-09-15 13:36:00+00:00
1757943420000,4.91,4.93,4.89,71,4.901,8593,4.912022,2025-09-15 13:37:00+00:00
1757943480000,4.925,4.93,4.9183,70,4.92,9330,4.923945,2025-09-15 13:38:00+00:00
1757943540000,4.95,4.965,4.925,112,4.93,19941,4.945823,2025-09-15 13:39:00+00:00
1757943600000,4.98,5.0099,4.93,272,4.945,105149,4.991597,2025-09-15 13:40:00+00:00
1757943660000,5.021,5.04,4.98,230,4.98,116828,5.016106,2025-09-15 13:41:00+00:00
1757943720000,5.0335,5.0363,5.0,128,5.02,24617,5.022205,2025-09-15 13:42:00+00:00
1757943780000,5.01,5.03,5.0029,82,5.03,17891,5.016202,2025-09-15 13:43:00+00:00
1757943840000,4.97,5.011,4.96,92,5.011,22824,4.988477,2025-09-15 13:44:00+00:00
1757943900000,4.985,4.99,4.97,98,4.97,13201,4.979618,2025-09-15 13:45:00+00:00
1757943960000,5.01,5.02,4.982,107,4.985,18432,5.001629,2025-09-15 13:46:00+00:00
1757944020000,5.0103,5.03,5.01,90,5.01,18919,5.022729,2025-09-15 13:47:00+00:00
1757944080000,5.01,5.015,4.9902,61,5.015,11893,5.000227,2025-09-15 13:48:00+00:00
1757944140000,5.03,5.05,5.01,174,5.01,36202,5.028841,2025-09-15 13:49:00+00:00
1757944200000,5.06,5.07,5.03,176,5.03,64004,5.048493,2025-09-15 13:50:00+00:00
1757944260000,5.035,5.061,5.0201,99,5.061,34053,5.034228,2025-09-15 13:51:00+00:00
1757944320000,5.0,5.0392,5.0,128,5.02,29158,5.012798,2025-09-15 13:52:00+00:00
1757944380000,5.015,5.02,5.0,31,5.015,6862,5.014839,2025-09-15 13:53:00+00:00
1757944440000,5.0443,5.05,5.015,108,5.0271,12857,5.031719,2025-09-15 13:54:00+00:00
1757944500000,5.045,5.05,5.0446,45,5.045,3283,5.048226,2025-09-15 13:55:00+00:00
1757944560000,5.02,5.055,5.01,233,5.05,36874,5.039553,2025-09-15 13:56:00+00:00
1757944620000,5.0391,5.04,5.0102,73,5.02,10840,5.023095,2025-09-15 13:57:00+00:00
1757944680000,5.03,5.04,5.0277,35,5.04,5326,5.02914,2025-09-15 13:58:00+00:00
1757944740000,5.025,5.0398,5.01,120,5.03,17455,5.019529,2025-09-15 13:59:00+00:00
1757944800000,5.005,5.0298,4.9912,145,5.025,40434,5.004065,2025-09-15 14:00:00+00:00
1757944860000,4.985,5.005,4.98,159,5.005,25431,4.987294,2025-09-15 14:01:00+00:00
1757944920000,4.93,4.985,4.93,224,4.985,32398,4.960338,2025-09-15 14:02:00+00:00
1757944980000,4.9398,4.94,4.925,80,4.93,17650,4.932226,2025-09-15 14:03:00+00:00
1757945040000,4.92,4.94,4.92,92,4.935,31179,4.929384,2025-09-15 14:04:00+00:00
1757945100000,4.9,4.925,4.9,125,4.925,18426,4.908455,2025-09-15 14:05:00+00:00
1757945160000,4.895,4.915,4.89,147,4.905,26221,4.901557,2025-09-15 14:06:00+00:00
1757945220000,4.905,4.905,4.89,51,4.895,4246,4.898133,2025-09-15 14:07:00+00:00
1757945280000,4.9,4.91,4.9,40,4.9032,19062,4.903657,2025-09-15 14:08:00+00:00
1757945340000,4.91,4.91,4.9035,40,4.9062,6634,4.90583,2025-09-15 14:09:00+00:00
1757945400000,4.9,4.905,4.8946,106,4.905,12392,4.898856,2025-09-15 14:10:00+00:00
1757945460000,4.905,4.915,4.895,116,4.905,13647,4.907234,2025-09-15 14:11:00+00:00
1757945520000,4.905,4.918,4.905,62,4.91,9334,4.910262,2025-09-15 14:12:00+00:00
1757945580000,4.905,4.9099,4.895,97,4.908,34404,4.902284,2025-09-15 14:13:00+00:00
1757945640000,4.937,4.95,4.905,290,4.905,56542,4.940746,2025-09-15 14:14:00+00:00
1757945700000,4.945,4.9494,4.94,55,4.945,6819,4.945648,2025-09-15 14:15:00+00:00
1757945760000,4.935,4.94,4.925,78,4.94,13201,4.932537,2025-09-15 14:16:00+00:00
1757945820000,4.925,4.935,4.925,37,4.9329,5148,4.930285,2025-09-15 14:17:00+00:00
1757945880000,4.92,4.935,4.92,58,4.93,6912,4.929098,2025-09-15 14:18:00+00:00
1757945940000,4.94,4.94,4.93,54,4.93,10031,4.935646,2025-09-15 14:19:00+00:00
1757946000000,4.915,4.935,4.91,88,4.9301,14431,4.928598,2025-09-15 14:20:00+00:00
1757946060000,4.915,4.915,4.91,15,4.915,1223,4.913421,2025-09-15 14:21:00+00:00
1757946120000,4.9038,4.92,4.895,92,4.915,12893,4.905742,2025-09-15 14:22:00+00:00
1757946180000,4.9345,4.945,4.905,241,4.905,23976,4.926995,2025-09-15 14:23:00+00:00
1757946240000,4.9193,4.9361,4.915,36,4.935,7295,4.92518,2025-09-15 14:24:00+00:00
1757946300000,4.905,4.92,4.895,194,4.915,18907,4.909021,2025-09-15 14:25:00+00:00
1757946360000,4.905,4.9098,4.905,23,4.905,1878,4.906988,2025-09-15 14:26:00+00:00
1757946420000,4.911,4.92,4.9,77,4.905,10995,4.910884,2025-09-15 14:27:00+00:00
1757946480000,4.895,4.91,4.895,91,4.91,11906,4.898212,2025-09-15 14:28:00+00:00
1757946540000,4.905,4.905,4.895,46,4.895,7275,4.901911,2025-09-15 14:29:00+00:00
1757946600000,4.915,4.915,4.89,111,4.9,29712,4.901664,2025-09-15 14:30:00+00:00
1757946660000,4.885,4.915,4.8811,92,4.91,20949,4.906317,2025-09-15 14:31:00+00:00
1757946720000,4.885,4.8899,4.8803,74,4.885,21250,4.885543,2025-09-15 14:32:00+00:00
1757946780000,4.885,4.885,4.88,41,4.885,8945,4.88378,2025-09-15 14:33:00+00:00
1757946840000,4.86,4.89,4.855,130,4.885,19210,4.866807,2025-09-15 14:34:00+00:00
1757946900000,4.875,4.875,4.8601,31,4.8601,7805,4.863592,2025-09-15 14:35:00+00:00
1757946960000,4.875,4.875,4.87,17,4.872,4799,4.870857,2025-09-15 14:36:00+00:00
1757947020000,4.91,4.91,4.88,79,4.88,7062,4.887593,2025-09-15 14:37:00+00:00
1757947080000,4.9009,4.905,4.9,38,4.905,4694,4.90369,2025-09-15 14:38:00+00:00
1757947140000,4.9043,4.91,4.9,43,4.905,5017,4.904396,2025-09-15 14:39:00+00:00
1757947200000,4.885,4.905,4.88,97,4.905,8502,4.897492,2025-09-15 14:40:00+00:00
1757947260000,4.905,4.905,4.88,72,4.885,7106,4.892297,2025-09-15 14:41:00+00:00
1757947320000,4.915,4.915,4.91,28,4.91,1783,4.910946,2025-09-15 14:42:00+00:00
1757947380000,4.915,4.92,4.915,40,4.915,2142,4.915455,2025-09-15 14:43:00+00:00
1757947440000,4.905,4.915,4.905,73,4.915,4379,4.910945,2025-09-15 14:44:00+00:00
1757947500000,4.895,4.9,4.89,63,4.9,6500,4.896672,2025-09-15 14:45:00+00:00
1757947560000,4.9108,4.915,4.895,86,4.895,10399,4.906295,2025-09-15 14:46:00+00:00
1757947620000,4.915,4.92,4.915,38,4.915,4108,4.917887,2025-09-15 14:47:00+00:00
1757947680000,4.9111,4.92,4.91,41,4.915,3972,4.913088,2025-09-15 14:48:00+00:00
1757947740000,4.915,4.92,4.91,75,4.915,14040,4.913545,2025-09-15 14:49:00+00:00
1757947800000,4.92,4.93,4.91,88,4.92,9373,4.921758,2025-09-15 14:50:00+00:00
1757947860000,4.915,4.92,4.91,56,4.915,5504,4.9166,2025-09-15 14:51:00+00:00
1757947920000,4.915,4.92,4.905,134,4.9191,24646,4.915637,2025-09-15 14:52:00+00:00
1757947980000,4.91,4.92,4.91,21,4.915,1355,4.915106,2025-09-15 14:53:00+00:00
1757948040000,4.915,4.915,4.91,35,4.915,1788,4.913639,2025-09-15 14:54:00+00:00
1757948100000,4.925,4.925,4.915,64,4.915,7574,4.92034,2025-09-15 14:55:00+00:00
1757948160000,4.93,4.935,4.921,126,4.921,11371,4.928971,2025-09-15 14:56:00+00:00
1757948220000,4.94,4.95,4.93,130,4.935,13043,4.942413,2025-09-15 14:57:00+00:00
1757948280000,4.945,4.95,4.94,34,4.95,4648,4.945338,2025-09-15 14:58:00+00:00
