timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752499800000,2.7,2.7,2.7,14,2.7,828,2.7,2025-07-14 13:30:00+00:00
1752501300000,2.6595,2.6595,2.6595,4,2.6595,388,2.6595,2025-07-14 13:55:00+00:00
1752501540000,2.6445,2.6445,2.6445,2,2.6445,1006,2.6445,2025-07-14 13:59:00+00:00
1752505020000,2.69,2.69,2.69,1,2.69,100,2.69,2025-07-14 14:57:00+00:00
1752505440000,2.61,2.645,2.61,21,2.645,3000,2.629267,2025-07-14 15:04:00+00:00
1752505620000,2.6009,2.6009,2.6009,5,2.6009,1501,2.6009,2025-07-14 15:07:00+00:00
1752506160000,2.68,2.68,2.68,1,2.68,100,2.68,2025-07-14 15:16:00+00:00
1752507300000,2.6895,2.6895,2.68,7,2.68,1000,2.6819,2025-07-14 15:35:00+00:00
1752507360000,2.6899,2.6899,2.68,8,2.68,780,2.681414,2025-07-14 15:36:00+00:00
1752507660000,2.68,2.68,2.68,1,2.68,2000,2.68,2025-07-14 15:41:00+00:00
1752507720000,2.6468,2.6468,2.6468,2,2.6468,2580,2.6468,2025-07-14 15:42:00+00:00
1752509580000,2.6899,2.6899,2.68,6,2.68,1000,2.687755,2025-07-14 16:13:00+00:00
1752509880000,2.68,2.68,2.6,12,2.6,560,2.62454,2025-07-14 16:18:00+00:00
1752511620000,2.6628,2.6628,2.6628,1,2.6628,300,2.6628,2025-07-14 16:47:00+00:00
1752512760000,2.66,2.66,2.66,2,2.66,180,2.66,2025-07-14 17:06:00+00:00
1752513180000,2.68,2.68,2.68,1,2.68,100,2.68,2025-07-14 17:13:00+00:00
1752513300000,2.6499,2.65,2.6499,3,2.65,1475,2.649932,2025-07-14 17:15:00+00:00
1752516960000,2.63,2.63,2.63,1,2.63,125,2.63,2025-07-14 18:16:00+00:00
1752517920000,2.66,2.66,2.66,2,2.66,313,2.66,2025-07-14 18:32:00+00:00
1752518280000,2.68,2.68,2.68,1,2.68,100,2.68,2025-07-14 18:38:00+00:00
1752518520000,2.68,2.69,2.68,4,2.6804,500,2.68416,2025-07-14 18:42:00+00:00
1752520020000,2.66,2.66,2.66,4,2.66,121,2.66,2025-07-14 19:07:00+00:00
1752521280000,2.65,2.65,2.65,4,2.65,428,2.65,2025-07-14 19:28:00+00:00
1752521940000,2.65,2.65,2.65,3,2.65,772,2.65,2025-07-14 19:39:00+00:00
1752522360000,2.67,2.67,2.67,1,2.67,187,2.67,2025-07-14 19:46:00+00:00
1752523200000,2.645,2.645,2.645,1,2.645,117,2.645,2025-07-14 20:00:00+00:00
1752586200000,6.6699,6.8,6.42,7069,6.49,1068968,6.638744,2025-07-15 13:30:00+00:00
1752586260000,6.5381,6.98,6.24,9842,6.6917,1336190,6.61215,2025-07-15 13:31:00+00:00
1752586320000,6.5599,6.63,6.42,3912,6.55,543074,6.560189,2025-07-15 13:32:00+00:00
1752586380000,6.91,7.1,6.39,12289,6.52,1764250,6.819369,2025-07-15 13:33:00+00:00
1752586440000,7.2398,7.8,6.75,18140,6.91,2576860,7.167577,2025-07-15 13:34:00+00:00
