timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755614820000,2.18,2.18,2.18,2,2.18,109,2.18,2025-08-19 14:47:00+00:00
1755614940000,2.12,2.12,2.12,1,2.12,448,2.12,2025-08-19 14:49:00+00:00
1755615120000,2.18,2.18,2.18,1,2.18,100,2.18,2025-08-19 14:52:00+00:00
1755615300000,2.18,2.18,2.18,1,2.18,100,2.18,2025-08-19 14:55:00+00:00
1755615420000,2.18,2.18,2.18,1,2.18,100,2.18,2025-08-19 14:57:00+00:00
1755615600000,2.18,2.18,2.13,3,2.13,550,2.14,2025-08-19 15:00:00+00:00
1755615660000,2.18,2.18,2.18,1,2.18,301,2.18,2025-08-19 15:01:00+00:00
1755615780000,2.18,2.18,2.18,1,2.18,100,2.18,2025-08-19 15:03:00+00:00
1755616080000,2.13,2.14,2.13,3,2.14,220,2.135,2025-08-19 15:08:00+00:00
1755616140000,2.13,2.175,2.13,2,2.175,548,2.138212,2025-08-19 15:09:00+00:00
1755616200000,2.16,2.16,2.14,5,2.14,392,2.146667,2025-08-19 15:10:00+00:00
1755616260000,2.165,2.165,2.165,2,2.165,105,2.165,2025-08-19 15:11:00+00:00
1755616620000,2.16,2.16,2.16,1,2.16,100,2.16,2025-08-19 15:17:00+00:00
1755616800000,2.14,2.165,2.14,3,2.165,508,2.144921,2025-08-19 15:20:00+00:00
1755617160000,2.16,2.16,2.16,1,2.16,100,2.16,2025-08-19 15:26:00+00:00
1755617340000,2.16,2.16,2.16,1,2.16,100,2.16,2025-08-19 15:29:00+00:00
1755617400000,2.14,2.14,2.14,2,2.14,392,2.14,2025-08-19 15:30:00+00:00
1755617760000,2.16,2.16,2.16,1,2.16,100,2.16,2025-08-19 15:36:00+00:00
1755617820000,2.1624,2.1624,2.1624,1,2.1624,100,2.1624,2025-08-19 15:37:00+00:00
1755617880000,2.16,2.16,2.16,1,2.16,100,2.16,2025-08-19 15:38:00+00:00
1755618180000,2.14,2.14,2.14,16,2.14,448,2.14,2025-08-19 15:43:00+00:00
1755618360000,2.155,2.155,2.155,1,2.155,100,2.155,2025-08-19 15:46:00+00:00
1755618540000,2.155,2.155,2.155,1,2.155,100,2.155,2025-08-19 15:49:00+00:00
1755618960000,2.15,2.15,2.15,1,2.15,100,2.15,2025-08-19 15:56:00+00:00
1755619020000,2.14,2.14,2.14,4,2.14,368,2.14,2025-08-19 15:57:00+00:00
1755619560000,2.14,2.14,2.14,1,2.14,804,2.14,2025-08-19 16:06:00+00:00
1755619620000,2.145,2.145,2.14,11,2.14,684,2.141553,2025-08-19 16:07:00+00:00
1755619680000,2.1451,2.1451,2.1438,2,2.1438,300,2.144233,2025-08-19 16:08:00+00:00
1755620040000,2.1401,2.1401,2.1401,2,2.1401,456,2.1401,2025-08-19 16:14:00+00:00
1755620100000,2.17,2.17,2.17,1,2.17,100,2.17,2025-08-19 16:15:00+00:00
1755620160000,2.14,2.14,2.14,23,2.14,221,2.14,2025-08-19 16:16:00+00:00
