timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758208020000,2.6373,2.645,2.63,137,2.64,17227,2.637037,2025-09-18 15:07:00+00:00
1758208080000,2.645,2.645,2.6358,30,2.6358,11375,2.639425,2025-09-18 15:08:00+00:00
1758208140000,2.6427,2.6497,2.6427,12,2.6463,4279,2.648319,2025-09-18 15:09:00+00:00
1758208200000,2.63,2.64,2.63,37,2.64,8920,2.635865,2025-09-18 15:10:00+00:00
1758208260000,2.625,2.64,2.625,72,2.6361,12114,2.636748,2025-09-18 15:11:00+00:00
1758208320000,2.6301,2.64,2.623,36,2.623,12277,2.636574,2025-09-18 15:12:00+00:00
1758208380000,2.6299,2.6399,2.6299,47,2.6346,9145,2.632558,2025-09-18 15:13:00+00:00
1758208440000,2.645,2.645,2.625,49,2.625,40150,2.637809,2025-09-18 15:14:00+00:00
1758208500000,2.655,2.66,2.6499,25,2.65,12722,2.655068,2025-09-18 15:15:00+00:00
1758208560000,2.655,2.6564,2.65,24,2.655,4439,2.652981,2025-09-18 15:16:00+00:00
1758208620000,2.65,2.66,2.65,39,2.66,4984,2.657347,2025-09-18 15:17:00+00:00
1758208680000,2.6578,2.66,2.655,17,2.655,4318,2.656646,2025-09-18 15:18:00+00:00
1758208740000,2.675,2.68,2.655,328,2.6562,114012,2.667441,2025-09-18 15:19:00+00:00
1758208800000,2.685,2.69,2.675,122,2.675,34801,2.680636,2025-09-18 15:20:00+00:00
1758208860000,2.68,2.685,2.6701,80,2.6838,19354,2.676876,2025-09-18 15:21:00+00:00
1758208920000,2.6857,2.69,2.685,23,2.685,7116,2.686604,2025-09-18 15:22:00+00:00
1758208980000,2.6822,2.69,2.68,34,2.6825,6623,2.684442,2025-09-18 15:23:00+00:00
1758209040000,2.675,2.6878,2.67,52,2.6878,14812,2.679981,2025-09-18 15:24:00+00:00
1758209100000,2.6635,2.68,2.6635,61,2.6765,8172,2.671666,2025-09-18 15:25:00+00:00
1758209160000,2.67,2.675,2.6601,44,2.665,100602,2.665748,2025-09-18 15:26:00+00:00
1758209220000,2.645,2.675,2.645,193,2.67,129440,2.657559,2025-09-18 15:27:00+00:00
1758209280000,2.66,2.66,2.63,186,2.645,144191,2.644104,2025-09-18 15:28:00+00:00
1758209340000,2.665,2.6683,2.6501,37,2.66,55096,2.651069,2025-09-18 15:29:00+00:00
1758209400000,2.65,2.6662,2.65,124,2.6662,58673,2.661298,2025-09-18 15:30:00+00:00
1758209460000,2.66,2.66,2.653,22,2.66,17908,2.65909,2025-09-18 15:31:00+00:00
1758209520000,2.665,2.665,2.665,21,2.665,1222,2.665,2025-09-18 15:32:00+00:00
1758209580000,2.67,2.67,2.6629,23,2.665,2074,2.666155,2025-09-18 15:33:00+00:00
1758209640000,2.685,2.685,2.6646,63,2.6679,16829,2.668723,2025-09-18 15:34:00+00:00
1758209700000,2.685,2.6897,2.683,20,2.685,7318,2.684621,2025-09-18 15:35:00+00:00
1758209760000,2.6935,2.7,2.6872,87,2.6872,16379,2.691619,2025-09-18 15:36:00+00:00
1758209820000,2.71,2.71,2.69,69,2.695,17259,2.703026,2025-09-18 15:37:00+00:00
1758209880000,2.715,2.72,2.71,44,2.715,21373,2.717787,2025-09-18 15:38:00+00:00
1758209940000,2.7337,2.74,2.71,165,2.7152,80348,2.721486,2025-09-18 15:39:00+00:00
1758210000000,2.77,2.77,2.73,461,2.73,335201,2.751194,2025-09-18 15:40:00+00:00
