timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758029400000,1.635,1.6566,1.62,16,1.62,15757,1.631095,2025-09-16 13:30:00+00:00
1758029460000,1.6301,1.6387,1.62,7,1.635,7293,1.635932,2025-09-16 13:31:00+00:00
1758029520000,1.6212,1.645,1.62,24,1.6201,13618,1.626841,2025-09-16 13:32:00+00:00
1758029580000,1.62,1.63,1.62,56,1.63,33896,1.622758,2025-09-16 13:33:00+00:00
1758029640000,1.62,1.6299,1.62,22,1.6243,20001,1.622034,2025-09-16 13:34:00+00:00
1758029700000,1.64,1.64,1.62,83,1.62,45816,1.627598,2025-09-16 13:35:00+00:00
1758029760000,1.6459,1.6459,1.6217,16,1.64,6256,1.628319,2025-09-16 13:36:00+00:00
1758029820000,1.6207,1.63,1.6207,11,1.63,15233,1.62245,2025-09-16 13:37:00+00:00
1758029880000,1.6393,1.6393,1.6301,4,1.6301,706,1.634043,2025-09-16 13:38:00+00:00
1758029940000,1.63,1.63,1.6202,5,1.63,1277,1.622441,2025-09-16 13:39:00+00:00
1758030000000,1.6206,1.6298,1.62,16,1.6292,10895,1.62098,2025-09-16 13:40:00+00:00
1758030060000,1.6201,1.625,1.62,40,1.62,26075,1.62184,2025-09-16 13:41:00+00:00
1758030120000,1.62,1.62,1.61,34,1.62,26440,1.617298,2025-09-16 13:42:00+00:00
1758030180000,1.615,1.62,1.61,17,1.6199,10906,1.613094,2025-09-16 13:43:00+00:00
1758030240000,1.6105,1.62,1.61,26,1.6143,15140,1.611886,2025-09-16 13:44:00+00:00
1758030300000,1.6143,1.615,1.61,31,1.61,16124,1.611834,2025-09-16 13:45:00+00:00
1758030360000,1.61,1.6197,1.61,72,1.6105,46785,1.610393,2025-09-16 13:46:00+00:00
1758030420000,1.61,1.615,1.61,19,1.6106,15092,1.61108,2025-09-16 13:47:00+00:00
1758030480000,1.615,1.615,1.61,70,1.61,26274,1.611138,2025-09-16 13:48:00+00:00
1758030540000,1.615,1.62,1.615,4,1.62,844,1.616441,2025-09-16 13:49:00+00:00
1758030600000,1.615,1.6159,1.61,13,1.6146,12166,1.614906,2025-09-16 13:50:00+00:00
1758030660000,1.615,1.615,1.61,14,1.61,13196,1.610472,2025-09-16 13:51:00+00:00
1758030720000,1.6005,1.615,1.6,77,1.6106,45651,1.603171,2025-09-16 13:52:00+00:00
1758030780000,1.6098,1.6098,1.6,7,1.6,1740,1.605455,2025-09-16 13:53:00+00:00
1758030840000,1.605,1.605,1.6,12,1.605,4510,1.602778,2025-09-16 13:54:00+00:00
1758030900000,1.6,1.6063,1.6,20,1.605,17706,1.600907,2025-09-16 13:55:00+00:00
1758030960000,1.6005,1.6064,1.6,21,1.6043,13006,1.601557,2025-09-16 13:56:00+00:00
1758031020000,1.6,1.6067,1.6,25,1.605,23064,1.602843,2025-09-16 13:57:00+00:00
1758031080000,1.5943,1.61,1.5943,174,1.6,81607,1.600071,2025-09-16 13:58:00+00:00
1758031140000,1.59,1.6,1.59,32,1.595,13200,1.593309,2025-09-16 13:59:00+00:00
1758031200000,1.5989,1.5989,1.585,88,1.595,22130,1.589365,2025-09-16 14:00:00+00:00
1758031260000,1.5997,1.5997,1.59,25,1.59,5214,1.590707,2025-09-16 14:01:00+00:00
1758031320000,1.59,1.59,1.59,5,1.59,619,1.59,2025-09-16 14:02:00+00:00
1758031380000,1.5937,1.5999,1.59,7,1.59,2308,1.592686,2025-09-16 14:03:00+00:00
1758031440000,1.5906,1.6,1.5906,3,1.6,1342,1.592983,2025-09-16 14:04:00+00:00
1758031500000,1.5937,1.5937,1.5937,4,1.5937,1019,1.5937,2025-09-16 14:05:00+00:00
1758031560000,1.595,1.595,1.5907,24,1.595,1739,1.591929,2025-09-16 14:06:00+00:00
1758031620000,1.59,1.6,1.59,13,1.59,11216,1.592946,2025-09-16 14:07:00+00:00
1758031680000,1.59,1.595,1.59,21,1.59,14518,1.592084,2025-09-16 14:08:00+00:00
1758031740000,1.59,1.595,1.59,30,1.5943,19464,1.591381,2025-09-16 14:09:00+00:00
