timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758288600000,1.125,1.16,1.12,570,1.15,215476,1.144034,2025-09-19 13:30:00+00:00
1758288660000,1.12,1.1499,1.11,121,1.13,127941,1.12249,2025-09-19 13:31:00+00:00
1758288720000,1.1498,1.15,1.1101,50,1.1484,30247,1.130212,2025-09-19 13:32:00+00:00
1758288780000,1.1296,1.1495,1.12,80,1.14,86340,1.132551,2025-09-19 13:33:00+00:00
1758288840000,1.09,1.1299,1.08,256,1.1256,265491,1.088239,2025-09-19 13:34:00+00:00
1758288900000,1.0707,1.0999,1.0611,224,1.09,119523,1.080002,2025-09-19 13:35:00+00:00
1758288960000,1.08,1.0899,1.06,191,1.0701,91135,1.076464,2025-09-19 13:36:00+00:00
1758289020000,1.0701,1.0899,1.07,255,1.08,150553,1.075387,2025-09-19 13:37:00+00:00
1758289080000,1.08,1.08,1.06,217,1.0709,120361,1.072306,2025-09-19 13:38:00+00:00
1758289140000,1.0799,1.08,1.07,150,1.08,104063,1.073386,2025-09-19 13:39:00+00:00
1758289200000,1.0601,1.0799,1.06,181,1.07,84966,1.069379,2025-09-19 13:40:00+00:00
1758289260000,1.065,1.07,1.06,143,1.065,109658,1.063667,2025-09-19 13:41:00+00:00
1758289320000,1.065,1.07,1.06,183,1.06,132354,1.063152,2025-09-19 13:42:00+00:00
1758289380000,1.055,1.0608,1.05,283,1.0608,176014,1.053256,2025-09-19 13:43:00+00:00
1758289440000,1.0401,1.06,1.04,304,1.05,168455,1.049071,2025-09-19 13:44:00+00:00
1758289500000,1.0,1.0499,1.0,629,1.042,467240,1.018118,2025-09-19 13:45:00+00:00
1758289560000,1.0001,1.01,1.0,485,1.005,458461,1.004708,2025-09-19 13:46:00+00:00
1758289620000,1.015,1.02,1.0,401,1.0087,498841,1.005967,2025-09-19 13:47:00+00:00
1758289680000,1.01,1.03,1.01,283,1.02,187260,1.018849,2025-09-19 13:48:00+00:00
1758289740000,1.0014,1.02,1.0,531,1.0101,313583,1.009168,2025-09-19 13:49:00+00:00
1758289800000,1.01,1.02,1.0,283,1.0,188308,1.009587,2025-09-19 13:50:00+00:00
1758289860000,1.0103,1.02,1.01,235,1.02,174338,1.016923,2025-09-19 13:51:00+00:00
1758289920000,1.0111,1.025,1.01,301,1.01,243869,1.018521,2025-09-19 13:52:00+00:00
1758289980000,1.0101,1.02,1.01,241,1.0175,158825,1.017069,2025-09-19 13:53:00+00:00
1758290040000,1.0199,1.02,1.01,177,1.015,76550,1.016245,2025-09-19 13:54:00+00:00
1758290100000,1.0198,1.02,1.01,123,1.0199,60117,1.015175,2025-09-19 13:55:00+00:00
1758290160000,1.025,1.0287,1.01,208,1.01,135082,1.019307,2025-09-19 13:56:00+00:00
1758290220000,1.025,1.03,1.02,96,1.0299,44899,1.025403,2025-09-19 13:57:00+00:00
1758290280000,1.025,1.04,1.02,123,1.025,103252,1.027324,2025-09-19 13:58:00+00:00
1758290340000,1.0399,1.0499,1.02,147,1.03,252839,1.029379,2025-09-19 13:59:00+00:00
1758290400000,1.0388,1.04,1.03,57,1.0301,21943,1.033889,2025-09-19 14:00:00+00:00
1758290460000,1.0301,1.04,1.025,133,1.04,85986,1.03352,2025-09-19 14:01:00+00:00
1758290520000,1.02,1.0399,1.02,89,1.0301,56666,1.024597,2025-09-19 14:02:00+00:00
1758290580000,1.0201,1.03,1.02,104,1.0298,67024,1.026364,2025-09-19 14:03:00+00:00
1758290640000,1.025,1.04,1.0214,113,1.0292,67161,1.029268,2025-09-19 14:04:00+00:00
