timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750771800000,1.16,1.16,1.16,2,1.16,802,1.16,2025-06-24 13:30:00+00:00
1750773180000,1.18,1.18,1.18,3,1.18,300,1.18,2025-06-24 13:53:00+00:00
1750773300000,1.17,1.17,1.16,4,1.168,2000,1.1633,2025-06-24 13:55:00+00:00
1750773360000,1.16,1.16,1.16,3,1.16,215,1.16,2025-06-24 13:56:00+00:00
1750776360000,1.16,1.16,1.16,1,1.16,300,1.16,2025-06-24 14:46:00+00:00
1750776780000,1.1654,1.17,1.1654,7,1.17,1700,1.169188,2025-06-24 14:53:00+00:00
1750777380000,1.17,1.17,1.17,1,1.17,100,1.17,2025-06-24 15:03:00+00:00
1750778280000,1.1788,1.1788,1.1788,1,1.1788,1000,1.1788,2025-06-24 15:18:00+00:00
1750779540000,1.1685,1.1685,1.1685,2,1.1685,1000,1.1685,2025-06-24 15:39:00+00:00
1750779600000,1.1601,1.1601,1.1601,1,1.1601,1000,1.1601,2025-06-24 15:40:00+00:00
1750779720000,1.1632,1.1632,1.1632,1,1.1632,1000,1.1632,2025-06-24 15:42:00+00:00
1750779840000,1.1661,1.1661,1.1661,2,1.1661,1000,1.1661,2025-06-24 15:44:00+00:00
1750779900000,1.1662,1.1662,1.1662,2,1.1662,1000,1.1662,2025-06-24 15:45:00+00:00
1750779960000,1.16,1.16,1.16,1,1.16,100,1.16,2025-06-24 15:46:00+00:00
1750780380000,1.18,1.18,1.17,2,1.17,200,1.175,2025-06-24 15:53:00+00:00
1750780560000,1.16,1.16,1.16,1,1.16,100,1.16,2025-06-24 15:56:00+00:00
1750781460000,1.1703,1.1703,1.1703,1,1.1703,200,1.1703,2025-06-24 16:11:00+00:00
1750783980000,1.18,1.18,1.18,2,1.18,200,1.18,2025-06-24 16:53:00+00:00
1750784100000,1.1754,1.1754,1.1754,1,1.1754,300,1.1754,2025-06-24 16:55:00+00:00
1750784220000,1.17,1.17,1.17,1,1.17,100,1.17,2025-06-24 16:57:00+00:00
1750785180000,1.17,1.1748,1.17,3,1.1748,570,1.173116,2025-06-24 17:13:00+00:00
1750787400000,1.1709,1.1709,1.1709,1,1.1709,140,1.1709,2025-06-24 17:50:00+00:00
1750787580000,1.18,1.18,1.18,9,1.18,1115,1.18,2025-06-24 17:53:00+00:00
1750787820000,1.17,1.17,1.17,1,1.17,100,1.17,2025-06-24 17:57:00+00:00
1750788360000,1.17,1.18,1.17,6,1.1701,1000,1.17201,2025-06-24 18:06:00+00:00
1750788960000,1.1715,1.1715,1.17,5,1.17,1806,1.170618,2025-06-24 18:16:00+00:00
1750789140000,1.15,1.155,1.15,4,1.155,308,1.15165,2025-06-24 18:19:00+00:00
1750789260000,1.1561,1.1561,1.1561,1,1.1561,2000,1.1561,2025-06-24 18:21:00+00:00
1750789980000,1.1516,1.1516,1.1516,1,1.1516,1000,1.1516,2025-06-24 18:33:00+00:00
1750791360000,1.155,1.155,1.155,1,1.155,100,1.155,2025-06-24 18:56:00+00:00
1750791660000,1.1502,1.1502,1.1502,1,1.1502,165,1.1502,2025-06-24 19:01:00+00:00
1750792860000,1.16,1.18,1.15,7,1.16,9056,1.162995,2025-06-24 19:21:00+00:00
1750793100000,1.15,1.15,1.15,1,1.15,114,1.15,2025-06-24 19:25:00+00:00
1750794240000,1.16,1.17,1.16,4,1.17,541,1.165545,2025-06-24 19:44:00+00:00
1750795200000,1.16,1.16,1.16,1,1.16,200,1.16,2025-06-24 20:00:00+00:00
1750858200000,1.16,1.18,1.16,6,1.18,2608,1.164666,2025-06-25 13:30:00+00:00
1750858380000,1.15,1.15,1.15,1,1.15,100,1.15,2025-06-25 13:33:00+00:00
1750859160000,1.165,1.165,1.165,4,1.165,400,1.165,2025-06-25 13:46:00+00:00
1750859280000,1.169,1.169,1.169,1,1.169,200,1.169,2025-06-25 13:48:00+00:00
1750859400000,1.16,1.16,1.16,1,1.16,100,1.16,2025-06-25 13:50:00+00:00
1750859520000,1.16,1.16,1.16,1,1.16,100,1.16,2025-06-25 13:52:00+00:00
1750860120000,1.169,1.169,1.169,1,1.169,100,1.169,2025-06-25 14:02:00+00:00
