timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,1.14,1.14,1.13,15,1.13,11942,1.130092,2025-09-02 13:30:00+00:00
1756819860000,1.1097,1.1097,1.1097,6,1.1097,105,1.1097,2025-09-02 13:31:00+00:00
1756819920000,1.125,1.125,1.125,4,1.125,1305,1.125,2025-09-02 13:32:00+00:00
1756820040000,1.1227,1.1227,1.1227,3,1.1227,477,1.1227,2025-09-02 13:34:00+00:00
1756820100000,1.12,1.1201,1.12,3,1.12,1542,1.120065,2025-09-02 13:35:00+00:00
1756820160000,1.1,1.1,1.1,7,1.1,2645,1.1,2025-09-02 13:36:00+00:00
1756820220000,1.1002,1.1017,1.1,9,1.1017,7015,1.100873,2025-09-02 13:37:00+00:00
1756820280000,1.0899,1.116,1.08,87,1.116,15453,1.092443,2025-09-02 13:38:00+00:00
1756820340000,1.09,1.09,1.08,67,1.0828,28494,1.086368,2025-09-02 13:39:00+00:00
1756820400000,1.0793,1.09,1.075,26,1.08,7975,1.080084,2025-09-02 13:40:00+00:00
1756820460000,1.0987,1.0987,1.08,10,1.08,19245,1.08015,2025-09-02 13:41:00+00:00
1756820520000,1.0998,1.0998,1.0998,3,1.0998,249,1.0998,2025-09-02 13:42:00+00:00
1756820580000,1.0904,1.0904,1.0904,1,1.0904,100,1.0904,2025-09-02 13:43:00+00:00
1756820640000,1.1,1.1,1.1,1,1.1,120,1.1,2025-09-02 13:44:00+00:00
1756820760000,1.08,1.1,1.08,8,1.09,3306,1.089394,2025-09-02 13:46:00+00:00
1756820820000,1.093,1.0997,1.093,3,1.0997,1208,1.093848,2025-09-02 13:47:00+00:00
1756820880000,1.09,1.09,1.09,2,1.09,201,1.09,2025-09-02 13:48:00+00:00
1756821000000,1.09,1.09,1.09,2,1.09,201,1.09,2025-09-02 13:50:00+00:00
1756821060000,1.09,1.09,1.09,4,1.09,251,1.09,2025-09-02 13:51:00+00:00
1756821180000,1.09,1.09,1.08,6,1.08,1625,1.080625,2025-09-02 13:53:00+00:00
1756821240000,1.08,1.08,1.08,26,1.08,2186,1.08,2025-09-02 13:54:00+00:00
1756821360000,1.075,1.075,1.075,2,1.075,1001,1.075,2025-09-02 13:56:00+00:00
1756821420000,1.075,1.075,1.07,57,1.07,8090,1.07015,2025-09-02 13:57:00+00:00
1756821540000,1.075,1.075,1.075,4,1.075,321,1.075,2025-09-02 13:59:00+00:00
1756821600000,1.0995,1.0995,1.075,8,1.075,1302,1.08836,2025-09-02 14:00:00+00:00
1756821840000,1.09,1.09,1.09,7,1.09,3304,1.09,2025-09-02 14:04:00+00:00
1756821960000,1.08,1.08,1.08,1,1.08,200,1.08,2025-09-02 14:06:00+00:00
1756822020000,1.09,1.09,1.09,21,1.09,4522,1.09,2025-09-02 14:07:00+00:00
1756822140000,1.08,1.0901,1.08,19,1.09,2267,1.087337,2025-09-02 14:09:00+00:00
1756822200000,1.0704,1.0709,1.0704,4,1.0709,1085,1.070816,2025-09-02 14:10:00+00:00
1756822260000,1.0789,1.0789,1.0789,1,1.0789,463,1.0789,2025-09-02 14:11:00+00:00
1756822320000,1.0785,1.0785,1.0785,1,1.0785,200,1.0785,2025-09-02 14:12:00+00:00
1756822380000,1.0701,1.0701,1.0701,2,1.0701,900,1.0701,2025-09-02 14:13:00+00:00
1756822440000,1.0787,1.0787,1.0787,1,1.0787,139,1.0787,2025-09-02 14:14:00+00:00
1756822500000,1.0699,1.075,1.0699,42,1.075,10604,1.071036,2025-09-02 14:15:00+00:00
1756822560000,1.065,1.065,1.065,2,1.065,190,1.065,2025-09-02 14:16:00+00:00
1756822620000,1.065,1.07,1.0613,3,1.0613,669,1.065194,2025-09-02 14:17:00+00:00
1756822680000,1.055,1.065,1.05,60,1.065,23404,1.053974,2025-09-02 14:18:00+00:00
1756822740000,1.051,1.0595,1.051,9,1.0595,5842,1.053834,2025-09-02 14:19:00+00:00
