timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753717620000,0.5248,0.525,0.5248,10,0.525,954,0.524956,2025-07-28 15:47:00+00:00
1753717680000,0.5209,0.5209,0.52,22,0.5201,6762,0.520134,2025-07-28 15:48:00+00:00
1753718160000,0.5283,0.5283,0.5283,1,0.5283,150,0.5283,2025-07-28 15:56:00+00:00
1753718400000,0.5246,0.5246,0.5246,2,0.5246,420,0.5246,2025-07-28 16:00:00+00:00
1753718580000,0.5204,0.5204,0.5204,1,0.5204,100,0.5204,2025-07-28 16:03:00+00:00
1753718640000,0.5311,0.5311,0.5311,2,0.5311,102,0.5311,2025-07-28 16:04:00+00:00
1753718760000,0.5246,0.5246,0.5246,1,0.5246,225,0.5246,2025-07-28 16:06:00+00:00
1753718820000,0.5303,0.5303,0.5248,2,0.5248,1600,0.529956,2025-07-28 16:07:00+00:00
1753718880000,0.5304,0.5304,0.5304,1,0.5304,250,0.5304,2025-07-28 16:08:00+00:00
1753719000000,0.5252,0.5252,0.5252,1,0.5252,128,0.5252,2025-07-28 16:10:00+00:00
1753719480000,0.5278,0.5278,0.5278,1,0.5278,100,0.5278,2025-07-28 16:18:00+00:00
1753719600000,0.5282,0.5282,0.5282,1,0.5282,720,0.5282,2025-07-28 16:20:00+00:00
1753719660000,0.5247,0.5247,0.5247,2,0.5247,675,0.5247,2025-07-28 16:21:00+00:00
1753719840000,0.5246,0.5246,0.5246,1,0.5246,300,0.5246,2025-07-28 16:24:00+00:00
1753720020000,0.5246,0.5246,0.5246,1,0.5246,5000,0.5246,2025-07-28 16:27:00+00:00
1753720320000,0.5246,0.5246,0.5246,4,0.5246,1548,0.5246,2025-07-28 16:32:00+00:00
1753720380000,0.5209,0.5209,0.5209,3,0.5209,400,0.5209,2025-07-28 16:33:00+00:00
1753720440000,0.5209,0.5209,0.5209,2,0.5209,141,0.5209,2025-07-28 16:34:00+00:00
1753720740000,0.5218,0.5218,0.5218,8,0.5218,700,0.5218,2025-07-28 16:39:00+00:00
1753720920000,0.5231,0.5231,0.5231,1,0.5231,175,0.5231,2025-07-28 16:42:00+00:00
1753721160000,0.5208,0.5208,0.5208,2,0.5208,204,0.5208,2025-07-28 16:46:00+00:00
1753721520000,0.5283,0.5283,0.5283,1,0.5283,318,0.5283,2025-07-28 16:52:00+00:00
1753721700000,0.5283,0.5283,0.5283,1,0.5283,251,0.5283,2025-07-28 16:55:00+00:00
1753722300000,0.5279,0.5279,0.5279,1,0.5279,960,0.5279,2025-07-28 17:05:00+00:00
1753722720000,0.5224,0.5224,0.5197,18,0.5224,8393,0.520185,2025-07-28 17:12:00+00:00
1753722780000,0.519,0.5209,0.519,19,0.5209,4407,0.520112,2025-07-28 17:13:00+00:00
1753722900000,0.5151,0.5151,0.5151,4,0.5151,397,0.5151,2025-07-28 17:15:00+00:00
1753722960000,0.5151,0.5151,0.5151,2,0.5151,310,0.5151,2025-07-28 17:16:00+00:00
1753723200000,0.5101,0.5151,0.51,25,0.5151,18405,0.513049,2025-07-28 17:20:00+00:00
1753723500000,0.51,0.5124,0.51,19,0.5107,33851,0.510504,2025-07-28 17:25:00+00:00
1753723560000,0.51,0.51,0.51,2,0.51,400,0.51,2025-07-28 17:26:00+00:00
1753723800000,0.5101,0.5101,0.5101,1,0.5101,100,0.5101,2025-07-28 17:30:00+00:00
1753723860000,0.51,0.51,0.51,2,0.51,1007,0.51,2025-07-28 17:31:00+00:00
1753723920000,0.5083,0.51,0.5082,15,0.51,4273,0.509527,2025-07-28 17:32:00+00:00
1753724160000,0.5087,0.5089,0.5087,2,0.5089,2125,0.508712,2025-07-28 17:36:00+00:00
1753724280000,0.5133,0.5133,0.5081,11,0.5081,1863,0.511098,2025-07-28 17:38:00+00:00
1753724340000,0.5087,0.5087,0.5081,10,0.5081,3325,0.508456,2025-07-28 17:39:00+00:00
1753724700000,0.5087,0.5087,0.5087,2,0.5087,101,0.5087,2025-07-28 17:45:00+00:00
1753724880000,0.5145,0.5145,0.5145,2,0.5145,106,0.5145,2025-07-28 17:48:00+00:00
1753725360000,0.5132,0.5132,0.5132,2,0.5132,205,0.5132,2025-07-28 17:56:00+00:00
1753725480000,0.508,0.508,0.508,3,0.508,1110,0.508,2025-07-28 17:58:00+00:00
1753725780000,0.508,0.508,0.508,1,0.508,100,0.508,2025-07-28 18:03:00+00:00
1753725840000,0.508,0.508,0.508,2,0.508,200,0.508,2025-07-28 18:04:00+00:00
1753725900000,0.508,0.508,0.508,4,0.508,679,0.508,2025-07-28 18:05:00+00:00
1753726140000,0.5049,0.5049,0.5049,1,0.5049,1800,0.5049,2025-07-28 18:09:00+00:00
1753726380000,0.5044,0.5044,0.5042,3,0.5042,1000,0.50436,2025-07-28 18:13:00+00:00
1753726440000,0.5114,0.5114,0.5114,2,0.5114,115,0.5114,2025-07-28 18:14:00+00:00
1753726560000,0.504,0.504,0.504,1,0.504,400,0.504,2025-07-28 18:16:00+00:00
1753726620000,0.51,0.51,0.51,4,0.51,196,0.51,2025-07-28 18:17:00+00:00
1753726680000,0.5113,0.5113,0.5053,3,0.5053,250,0.5083,2025-07-28 18:18:00+00:00
1753726920000,0.5077,0.5077,0.5077,1,0.5077,1500,0.5077,2025-07-28 18:22:00+00:00
1753727040000,0.5113,0.5113,0.5113,1,0.5113,1500,0.5113,2025-07-28 18:24:00+00:00
1753727100000,0.5058,0.5058,0.5058,2,0.5058,110,0.5058,2025-07-28 18:25:00+00:00
1753727640000,0.505,0.505,0.505,3,0.505,345,0.505,2025-07-28 18:34:00+00:00
1753727700000,0.5039,0.5039,0.5039,2,0.5039,361,0.5039,2025-07-28 18:35:00+00:00
1753727760000,0.5039,0.5039,0.5039,5,0.5039,405,0.5039,2025-07-28 18:36:00+00:00
1753727820000,0.5028,0.5028,0.5028,3,0.5028,300,0.5028,2025-07-28 18:37:00+00:00
1753727940000,0.5047,0.5047,0.5047,1,0.5047,100,0.5047,2025-07-28 18:39:00+00:00
1753728060000,0.5056,0.5056,0.5056,2,0.5056,3001,0.5056,2025-07-28 18:41:00+00:00
1753728600000,0.5048,0.5048,0.5048,2,0.5048,200,0.5048,2025-07-28 18:50:00+00:00
1753728660000,0.5038,0.5048,0.5038,2,0.5048,250,0.5044,2025-07-28 18:51:00+00:00
1753728780000,0.5027,0.5028,0.5027,3,0.5028,1010,0.50271,2025-07-28 18:53:00+00:00
1753728960000,0.5039,0.5086,0.5028,6,0.5028,1864,0.504063,2025-07-28 18:56:00+00:00
1753729200000,0.5117,0.5117,0.5117,4,0.5117,3396,0.5117,2025-07-28 19:00:00+00:00
1753729500000,0.5039,0.5039,0.5039,1,0.5039,206,0.5039,2025-07-28 19:05:00+00:00
1753729680000,0.5096,0.5096,0.5096,1,0.5096,2500,0.5096,2025-07-28 19:08:00+00:00
1753729740000,0.5015,0.5039,0.5015,9,0.5039,1914,0.50259,2025-07-28 19:09:00+00:00
1753729800000,0.5068,0.5068,0.5016,3,0.5068,3200,0.506638,2025-07-28 19:10:00+00:00
1753730460000,0.5066,0.5066,0.5066,1,0.5066,100,0.5066,2025-07-28 19:21:00+00:00
1753730580000,0.5026,0.5066,0.5026,4,0.5066,1224,0.504433,2025-07-28 19:23:00+00:00
1753730820000,0.5065,0.5065,0.5065,1,0.5065,100,0.5065,2025-07-28 19:27:00+00:00
1753730940000,0.5065,0.5065,0.5065,1,0.5065,500,0.5065,2025-07-28 19:29:00+00:00
1753731120000,0.5021,0.5065,0.5021,4,0.5065,1614,0.503475,2025-07-28 19:32:00+00:00
1753731180000,0.502,0.5066,0.502,16,0.5021,10300,0.506209,2025-07-28 19:33:00+00:00
1753731240000,0.5021,0.5021,0.5021,7,0.5021,900,0.5021,2025-07-28 19:34:00+00:00
1753731300000,0.5066,0.5066,0.5066,3,0.5066,514,0.5066,2025-07-28 19:35:00+00:00
1753731600000,0.5021,0.5044,0.5021,3,0.5044,601,0.504017,2025-07-28 19:40:00+00:00
1753731660000,0.5043,0.5043,0.5043,1,0.5043,190,0.5043,2025-07-28 19:41:00+00:00
1753731900000,0.502,0.5066,0.502,5,0.5066,1004,0.50612,2025-07-28 19:45:00+00:00
1753732140000,0.5043,0.5043,0.5043,11,0.5043,410,0.5043,2025-07-28 19:49:00+00:00
