timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757947920000,45.77,45.77,45.6348,20,45.6348,1470,45.702475,2025-09-15 14:52:00+00:00
1757947980000,45.775,45.8,45.7562,20,45.7562,1118,45.783738,2025-09-15 14:53:00+00:00
1757948040000,45.7874,45.7999,45.78,15,45.785,2435,45.789922,2025-09-15 14:54:00+00:00
1757948100000,45.78,45.78,45.74,12,45.74,1456,45.752923,2025-09-15 14:55:00+00:00
1757948160000,45.85,45.8599,45.82,16,45.85,1028,45.84743,2025-09-15 14:56:00+00:00
1757948220000,45.85,45.865,45.78,37,45.82,5777,45.845385,2025-09-15 14:57:00+00:00
1757948280000,45.87,45.87,45.87,5,45.87,187,45.87,2025-09-15 14:58:00+00:00
1757948340000,45.66,45.84,45.66,9,45.84,630,45.78958,2025-09-15 14:59:00+00:00
1757948400000,45.5,45.59,45.5,16,45.59,1689,45.549371,2025-09-15 15:00:00+00:00
1757948460000,45.5,45.5099,45.44,54,45.49,14550,45.485258,2025-09-15 15:01:00+00:00
1757948520000,45.46,45.46,45.45,23,45.46,1560,45.454877,2025-09-15 15:02:00+00:00
1757948580000,45.49,45.49,45.49,7,45.49,140,45.49,2025-09-15 15:03:00+00:00
1757948640000,45.34,45.49,45.34,15,45.49,1094,45.395556,2025-09-15 15:04:00+00:00
1757948700000,45.22,45.35,45.205,35,45.33,10751,45.25043,2025-09-15 15:05:00+00:00
1757948760000,45.17,45.24,45.17,16,45.2148,997,45.215797,2025-09-15 15:06:00+00:00
1757948820000,45.015,45.06,44.97,55,45.05,3056,45.02383,2025-09-15 15:07:00+00:00
1757948880000,45.0,45.015,44.95,43,45.0,3145,44.997103,2025-09-15 15:08:00+00:00
1757948940000,45.06,45.07,45.032,18,45.05,2655,45.03828,2025-09-15 15:09:00+00:00
1757949000000,45.1,45.16,45.1,18,45.15,1972,45.143411,2025-09-15 15:10:00+00:00
1757949060000,45.0495,45.15,45.01,21,45.13,2599,45.071667,2025-09-15 15:11:00+00:00
1757949120000,45.05,45.07,45.05,15,45.05,629,45.0575,2025-09-15 15:12:00+00:00
1757949180000,44.93,45.05,44.93,23,45.05,2988,44.938279,2025-09-15 15:13:00+00:00
1757949240000,44.93,44.9306,44.8718,38,44.9306,7530,44.904744,2025-09-15 15:14:00+00:00
1757949300000,44.971,44.99,44.9,21,44.9181,2095,44.965922,2025-09-15 15:15:00+00:00
1757949360000,44.92,45.0,44.92,13,44.99,3743,44.985774,2025-09-15 15:16:00+00:00
1757949420000,44.92,44.93,44.915,36,44.93,6547,44.926474,2025-09-15 15:17:00+00:00
1757949480000,44.97,44.97,44.9,18,44.9,1091,44.928526,2025-09-15 15:18:00+00:00
1757949540000,44.9275,44.93,44.92,9,44.93,1155,44.926495,2025-09-15 15:19:00+00:00
1757949600000,44.91,44.985,44.91,16,44.98,1804,44.962893,2025-09-15 15:20:00+00:00
1757949660000,45.0,45.0,44.84,24,44.9,2856,44.920655,2025-09-15 15:21:00+00:00
1757949720000,44.95,45.05,44.95,13,45.035,895,45.001028,2025-09-15 15:22:00+00:00
1757949780000,44.8,44.95,44.8,19,44.95,2761,44.851542,2025-09-15 15:23:00+00:00
1757949840000,44.9609,44.9609,44.79,32,44.79,4811,44.92903,2025-09-15 15:24:00+00:00
1757949900000,45.01,45.02,44.9604,12,44.9604,833,44.999677,2025-09-15 15:25:00+00:00
1757949960000,45.15,45.15,45.07,12,45.07,1010,45.091176,2025-09-15 15:26:00+00:00
1757950020000,45.17,45.17,45.14,15,45.16,1657,45.158571,2025-09-15 15:27:00+00:00
1757950080000,45.18,45.1993,45.13,22,45.16,2126,45.170007,2025-09-15 15:28:00+00:00
1757950140000,45.165,45.2,45.165,12,45.2,889,45.179464,2025-09-15 15:29:00+00:00
1757950200000,45.23,45.23,45.1562,15,45.1562,658,45.21424,2025-09-15 15:30:00+00:00
1757950260000,45.19,45.2099,45.16,16,45.2099,1881,45.194647,2025-09-15 15:31:00+00:00
1757950320000,45.07,45.19,45.07,8,45.19,773,45.094286,2025-09-15 15:32:00+00:00
1757950380000,45.104,45.104,45.03,15,45.05,4295,45.035453,2025-09-15 15:33:00+00:00
1757950440000,45.105,45.105,45.09,7,45.0994,519,45.098689,2025-09-15 15:34:00+00:00
1757950500000,45.19,45.19,45.08,16,45.1036,2216,45.096686,2025-09-15 15:35:00+00:00
1757950560000,45.165,45.165,45.165,3,45.165,203,45.165,2025-09-15 15:36:00+00:00
