timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742827320000,6.1,6.1,6.0,15,6.0,1156,6.043636,2025-03-24 14:42:00+00:00
1742827440000,6.6,6.6,6.6,11,6.6,208,6.6,2025-03-24 14:44:00+00:00
1742827620000,6.28,6.57,6.28,21,6.57,1748,6.46125,2025-03-24 14:47:00+00:00
1742827680000,6.44,6.51,6.44,6,6.51,1318,6.504466,2025-03-24 14:48:00+00:00
1742829420000,6.59,6.59,6.3,21,6.59,2682,6.4972,2025-03-24 15:17:00+00:00
1742829480000,6.4,6.4,6.4,6,6.4,505,6.4,2025-03-24 15:18:00+00:00
1742829540000,6.0,6.32,5.99,16,6.32,858,6.067863,2025-03-24 15:19:00+00:00
1742831160000,6.05,6.05,6.05,11,6.05,431,6.05,2025-03-24 15:46:00+00:00
1742833680000,6.07,6.07,6.07,1,6.07,100,6.07,2025-03-24 16:28:00+00:00
1742911260000,6.0,6.0,6.0,3,6.0,906,6.0,2025-03-25 14:01:00+00:00
1742932680000,5.79,5.8,5.79,5,5.8,255,5.795,2025-03-25 19:58:00+00:00
1742995980000,5.818,5.818,5.818,4,5.818,326,5.818,2025-03-26 13:33:00+00:00
1743001080000,5.75,5.75,5.75,5,5.75,542,5.75,2025-03-26 14:58:00+00:00
1743001380000,5.75,5.75,5.75,1,5.75,100,5.75,2025-03-26 15:03:00+00:00
1743011520000,5.885,5.885,5.885,1,5.885,100,5.885,2025-03-26 17:52:00+00:00
1743018420000,5.885,5.885,5.7501,3,5.7501,350,5.823314,2025-03-26 19:47:00+00:00
1743082980000,5.93,5.93,5.93,3,5.93,102,5.93,2025-03-27 13:43:00+00:00
1743090060000,5.82,5.82,5.82,2,5.82,141,5.82,2025-03-27 15:41:00+00:00
1743168900000,5.9,5.9,5.85,19,5.85,990,5.87125,2025-03-28 13:35:00+00:00
1743170340000,6.08,6.08,6.08,10,6.08,207,6.08,2025-03-28 13:59:00+00:00
1743170400000,6.39,6.39,6.08,19,6.08,894,6.151502,2025-03-28 14:00:00+00:00
1743170520000,6.3,6.3,6.3,17,6.3,136,6.3,2025-03-28 14:02:00+00:00
1743170700000,6.19,6.2307,6.19,16,6.2307,351,6.214986,2025-03-28 14:05:00+00:00
1743171120000,6.26,6.59,6.26,3,6.59,300,6.383333,2025-03-28 14:12:00+00:00
1743171180000,6.3,6.59,6.3,6,6.59,206,6.445,2025-03-28 14:13:00+00:00
1743171240000,6.26,6.55,6.26,11,6.55,212,6.405,2025-03-28 14:14:00+00:00
1743171300000,6.26,6.55,6.26,3,6.55,202,6.405,2025-03-28 14:15:00+00:00
1743171420000,6.26,6.55,6.26,9,6.55,433,6.405,2025-03-28 14:17:00+00:00
1743171480000,6.3,6.3,6.3,5,6.3,1486,6.3,2025-03-28 14:18:00+00:00
1743171720000,6.3,6.59,6.3,17,6.59,218,6.445,2025-03-28 14:22:00+00:00
1743171780000,6.26,6.59,6.26,8,6.59,602,6.431667,2025-03-28 14:23:00+00:00
1743171840000,6.24,6.53,6.24,10,6.53,879,6.385,2025-03-28 14:24:00+00:00
1743172020000,6.4,6.45,6.4,9,6.45,954,6.44472,2025-03-28 14:27:00+00:00
1743172080000,6.4,6.4,6.4,10,6.4,711,6.4,2025-03-28 14:28:00+00:00
