timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753211880000,6.78,6.78,6.78,18,6.78,355,6.78,2025-07-22 19:18:00+00:00
1753212180000,6.8,6.8,6.8,5,6.8,423,6.8,2025-07-22 19:23:00+00:00
1753212240000,6.8,6.8,6.77,8,6.77,510,6.7925,2025-07-22 19:24:00+00:00
1753212780000,6.75,6.78,6.69,29,6.755,2172,6.75491,2025-07-22 19:33:00+00:00
1753212840000,6.74,6.79,6.74,13,6.77,600,6.772,2025-07-22 19:34:00+00:00
1753212900000,6.77,6.79,6.74,23,6.78,1302,6.77798,2025-07-22 19:35:00+00:00
1753212960000,6.77,6.77,6.77,3,6.77,255,6.77,2025-07-22 19:36:00+00:00
1753213020000,6.76,6.78,6.74,16,6.77,1292,6.765025,2025-07-22 19:37:00+00:00
1753213080000,6.755,6.78,6.74,27,6.76,2453,6.759803,2025-07-22 19:38:00+00:00
1753213140000,6.755,6.755,6.755,4,6.755,213,6.755,2025-07-22 19:39:00+00:00
1753213200000,6.75,6.76,6.75,11,6.755,1187,6.754565,2025-07-22 19:40:00+00:00
1753213260000,6.74,6.755,6.74,2,6.755,200,6.7475,2025-07-22 19:41:00+00:00
1753213320000,6.755,6.755,6.755,5,6.755,222,6.755,2025-07-22 19:42:00+00:00
1753213380000,6.755,6.755,6.74,6,6.74,332,6.747823,2025-07-22 19:43:00+00:00
1753213440000,6.77,6.77,6.74,21,6.74,962,6.755,2025-07-22 19:44:00+00:00
1753213500000,6.74,6.74,6.74,5,6.74,190,6.74,2025-07-22 19:45:00+00:00
1753213680000,6.75,6.755,6.75,25,6.755,910,6.752,2025-07-22 19:48:00+00:00
1753213740000,6.72,6.75,6.72,9,6.75,794,6.74018,2025-07-22 19:49:00+00:00
1753213800000,6.72,6.75,6.72,5,6.75,301,6.7331,2025-07-22 19:50:00+00:00
1753213920000,6.735,6.735,6.735,16,6.735,424,6.735,2025-07-22 19:52:00+00:00
1753214100000,6.75,6.75,6.75,16,6.75,792,6.75,2025-07-22 19:55:00+00:00
1753214160000,6.72,6.72,6.72,4,6.72,191,6.72,2025-07-22 19:56:00+00:00
1753214220000,6.735,6.735,6.735,31,6.735,308,6.735,2025-07-22 19:57:00+00:00
1753214280000,6.72,6.72,6.72,54,6.72,462,6.72,2025-07-22 19:58:00+00:00
1753214340000,6.72,6.755,6.72,71,6.75,2100,6.740786,2025-07-22 19:59:00+00:00
1753214400000,6.81,6.81,6.81,3,6.81,1480,6.81,2025-07-22 20:00:00+00:00
1753277400000,6.84,6.85,6.84,12,6.85,772,6.845268,2025-07-23 13:30:00+00:00
1753277460000,6.84,6.84,6.84,2,6.84,299,6.84,2025-07-23 13:31:00+00:00
1753277520000,6.81,6.88,6.75,37,6.85,3846,6.839189,2025-07-23 13:32:00+00:00
1753277580000,6.75,6.75,6.75,3,6.75,118,6.75,2025-07-23 13:33:00+00:00
1753277700000,6.78,6.78,6.78,5,6.78,365,6.78,2025-07-23 13:35:00+00:00
1753277760000,6.75,6.75,6.75,1,6.75,100,6.75,2025-07-23 13:36:00+00:00
1753277940000,6.7801,6.7801,6.7801,1,6.7801,100,6.7801,2025-07-23 13:39:00+00:00
1753278000000,6.77,6.77,6.77,4,6.77,147,6.77,2025-07-23 13:40:00+00:00
1753278180000,6.75,6.775,6.75,4,6.775,1301,6.773077,2025-07-23 13:43:00+00:00
1753278300000,6.75,6.75,6.75,2,6.75,101,6.75,2025-07-23 13:45:00+00:00
1753278480000,6.75,6.75,6.75,2,6.75,106,6.75,2025-07-23 13:48:00+00:00
1753278600000,6.795,6.82,6.75,61,6.7898,6146,6.794089,2025-07-23 13:50:00+00:00
1753278660000,6.75,6.75,6.75,15,6.75,916,6.75,2025-07-23 13:51:00+00:00
1753278720000,6.795,6.795,6.76,12,6.76,704,6.789167,2025-07-23 13:52:00+00:00
1753278780000,6.75,6.75,6.75,11,6.75,516,6.75,2025-07-23 13:53:00+00:00
1753278840000,6.75,6.75,6.75,8,6.75,310,6.75,2025-07-23 13:54:00+00:00
1753279080000,6.81,6.81,6.81,6,6.81,205,6.81,2025-07-23 13:58:00+00:00
1753279200000,6.79,6.79,6.79,6,6.79,282,6.79,2025-07-23 14:00:00+00:00
1753279260000,6.81,6.82,6.81,10,6.82,518,6.815,2025-07-23 14:01:00+00:00
1753279740000,6.79,6.79,6.79,2,6.79,105,6.79,2025-07-23 14:09:00+00:00
1753280220000,6.81,6.83,6.81,7,6.81,700,6.819091,2025-07-23 14:17:00+00:00
1753280280000,6.75,6.79,6.75,12,6.79,565,6.77,2025-07-23 14:18:00+00:00
1753280400000,6.7821,6.7821,6.7821,3,6.7821,902,6.7821,2025-07-23 14:20:00+00:00
1753280460000,6.75,6.75,6.75,1,6.75,100,6.75,2025-07-23 14:21:00+00:00
1753280580000,6.8028,6.8028,6.8028,3,6.8028,125,6.8028,2025-07-23 14:23:00+00:00
1753280880000,6.875,6.875,6.81,7,6.81,317,6.832237,2025-07-23 14:28:00+00:00
1753281000000,6.78,6.85,6.78,3,6.85,300,6.803333,2025-07-23 14:30:00+00:00
1753281120000,6.85,6.85,6.85,8,6.85,1244,6.85,2025-07-23 14:32:00+00:00
1753281180000,6.89,6.89,6.8,2,6.8,200,6.845,2025-07-23 14:33:00+00:00
1753281360000,6.8,6.8,6.8,3,6.8,109,6.8,2025-07-23 14:36:00+00:00
1753282020000,6.83,6.83,6.83,4,6.83,302,6.83,2025-07-23 14:47:00+00:00
1753282500000,6.8772,6.8772,6.8772,2,6.8772,101,6.8772,2025-07-23 14:55:00+00:00
1753282620000,6.81,6.81,6.81,4,6.81,116,6.81,2025-07-23 14:57:00+00:00
1753282800000,6.84,6.84,6.84,3,6.84,169,6.84,2025-07-23 15:00:00+00:00
1753283220000,6.845,6.845,6.845,5,6.845,260,6.845,2025-07-23 15:07:00+00:00
1753283520000,6.845,6.845,6.845,2,6.845,101,6.845,2025-07-23 15:12:00+00:00
1753283640000,6.845,6.845,6.845,3,6.845,113,6.845,2025-07-23 15:14:00+00:00
1753284360000,6.845,6.845,6.845,2,6.845,101,6.845,2025-07-23 15:26:00+00:00
1753284420000,6.81,6.81,6.81,2,6.81,101,6.81,2025-07-23 15:27:00+00:00
1753286520000,6.81,6.88,6.81,47,6.88,1476,6.873377,2025-07-23 16:02:00+00:00
1753287840000,6.84,6.84,6.84,6,6.84,406,6.84,2025-07-23 16:24:00+00:00
1753287960000,6.8,6.8,6.8,2,6.8,101,6.8,2025-07-23 16:26:00+00:00
1753291800000,6.66,6.809,6.66,31,6.809,2469,6.782165,2025-07-23 17:30:00+00:00
1753291920000,6.74,6.74,6.74,9,6.74,321,6.74,2025-07-23 17:32:00+00:00
1753292640000,6.8,6.8,6.78,36,6.78,1574,6.796112,2025-07-23 17:44:00+00:00
1753292760000,6.77,6.77,6.74,19,6.74,683,6.752,2025-07-23 17:46:00+00:00
1753292940000,6.74,6.74,6.74,4,6.74,108,6.74,2025-07-23 17:49:00+00:00
1753293780000,6.76,6.8,6.7401,9,6.7401,5384,6.745206,2025-07-23 18:03:00+00:00
1753293840000,6.75,6.76,6.75,8,6.76,419,6.754566,2025-07-23 18:04:00+00:00
1753293900000,6.7,6.74,6.7,25,6.74,3059,6.728228,2025-07-23 18:05:00+00:00
1753293960000,6.7,6.7,6.7,6,6.7,318,6.7,2025-07-23 18:06:00+00:00
1753294260000,6.7,6.7,6.7,8,6.7,240,6.7,2025-07-23 18:11:00+00:00
1753294440000,6.74,6.74,6.74,3,6.74,102,6.74,2025-07-23 18:14:00+00:00
1753294560000,6.7,6.7,6.7,1,6.7,100,6.7,2025-07-23 18:16:00+00:00
1753295220000,6.7372,6.74,6.7372,11,6.74,747,6.739481,2025-07-23 18:27:00+00:00
1753295340000,6.72,6.72,6.72,3,6.72,107,6.72,2025-07-23 18:29:00+00:00
1753295460000,6.74,6.74,6.74,1,6.74,100,6.74,2025-07-23 18:31:00+00:00
1753295820000,6.74,6.74,6.74,3,6.74,513,6.74,2025-07-23 18:37:00+00:00
1753295880000,6.795,6.795,6.74,9,6.74,5281,6.762226,2025-07-23 18:38:00+00:00
1753296000000,6.71,6.71,6.71,3,6.71,625,6.71,2025-07-23 18:40:00+00:00
1753296120000,6.71,6.71,6.71,1,6.71,100,6.71,2025-07-23 18:42:00+00:00
1753297020000,6.806,6.806,6.806,1,6.806,682,6.806,2025-07-23 18:57:00+00:00
1753297140000,6.74,6.79,6.74,16,6.77,1508,6.765385,2025-07-23 18:59:00+00:00
1753298400000,6.7501,6.7501,6.7501,1,6.7501,1700,6.7501,2025-07-23 19:20:00+00:00
1753298520000,6.76,6.76,6.76,10,6.76,406,6.76,2025-07-23 19:22:00+00:00
1753298640000,6.76,6.76,6.76,7,6.76,215,6.76,2025-07-23 19:24:00+00:00
1753299300000,6.795,6.795,6.795,6,6.795,120,6.795,2025-07-23 19:35:00+00:00
1753299420000,6.75,6.77,6.75,39,6.77,630,6.7625,2025-07-23 19:37:00+00:00
1753299720000,6.75,6.75,6.75,7,6.75,250,6.75,2025-07-23 19:42:00+00:00
1753299780000,6.75,6.788,6.75,44,6.7632,1571,6.769096,2025-07-23 19:43:00+00:00
1753299900000,6.75,6.75,6.75,21,6.75,324,6.75,2025-07-23 19:45:00+00:00
1753300020000,6.75,6.75,6.75,18,6.75,424,6.75,2025-07-23 19:47:00+00:00
1753300080000,6.76,6.76,6.76,14,6.76,131,6.76,2025-07-23 19:48:00+00:00
1753300200000,6.79,6.79,6.79,19,6.79,530,6.79,2025-07-23 19:50:00+00:00
1753300260000,6.79,6.79,6.775,53,6.775,1322,6.788418,2025-07-23 19:51:00+00:00
1753300320000,6.78,6.78,6.78,2,6.78,204,6.78,2025-07-23 19:52:00+00:00
1753300500000,6.815,6.815,6.79,11,6.815,734,6.81,2025-07-23 19:55:00+00:00
1753300620000,6.795,6.815,6.78,35,6.815,828,6.80125,2025-07-23 19:57:00+00:00
1753300680000,6.79,6.82,6.79,83,6.8,1288,6.805126,2025-07-23 19:58:00+00:00
1753300740000,6.79,6.84,6.79,90,6.84,3838,6.826423,2025-07-23 19:59:00+00:00
1753300800000,6.84,6.84,6.84,2,6.84,1281,6.84,2025-07-23 20:00:00+00:00
1753363800000,6.87,6.87,6.87,11,6.87,998,6.87,2025-07-24 13:30:00+00:00
1753364040000,6.86,6.86,6.86,2,6.86,101,6.86,2025-07-24 13:34:00+00:00
1753364100000,6.78,6.78,6.78,1,6.78,173,6.78,2025-07-24 13:35:00+00:00
1753364400000,6.77,6.8,6.77,4,6.8,852,6.789412,2025-07-24 13:40:00+00:00
1753364460000,6.83,6.83,6.77,3,6.77,377,6.79,2025-07-24 13:41:00+00:00
1753364580000,6.7742,6.82,6.7742,3,6.82,401,6.78565,2025-07-24 13:43:00+00:00
1753365660000,6.84,6.84,6.8,6,6.8,700,6.82,2025-07-24 14:01:00+00:00
1753365720000,6.82,6.82,6.82,3,6.82,170,6.82,2025-07-24 14:02:00+00:00
1753365900000,6.8,6.8054,6.8,5,6.8054,410,6.80405,2025-07-24 14:05:00+00:00
1753366020000,6.76,6.8,6.76,7,6.8,1364,6.793072,2025-07-24 14:07:00+00:00
1753366620000,6.76,6.766,6.76,7,6.766,762,6.764286,2025-07-24 14:17:00+00:00
1753366740000,6.83,6.83,6.83,1,6.83,371,6.83,2025-07-24 14:19:00+00:00
1753366860000,6.785,6.785,6.785,1,6.785,100,6.785,2025-07-24 14:21:00+00:00
1753366980000,6.74,6.74,6.74,1,6.74,100,6.74,2025-07-24 14:23:00+00:00
1753367040000,6.78,6.78,6.78,5,6.78,217,6.78,2025-07-24 14:24:00+00:00
1753367100000,6.73,6.81,6.73,13,6.75,910,6.788222,2025-07-24 14:25:00+00:00
1753367220000,6.7564,6.7564,6.7564,3,6.7564,303,6.7564,2025-07-24 14:27:00+00:00
