timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756920240000,10.195,10.195,10.195,13,10.195,298,10.195,2025-09-03 17:24:00+00:00
1756920300000,10.18,10.18,10.18,51,10.18,1464,10.18,2025-09-03 17:25:00+00:00
1756920420000,10.17,10.17,10.17,6,10.17,252,10.17,2025-09-03 17:27:00+00:00
1756920480000,10.15,10.15,10.14,20,10.15,993,10.145,2025-09-03 17:28:00+00:00
1756920600000,10.165,10.165,10.165,6,10.165,106,10.165,2025-09-03 17:30:00+00:00
1756920720000,10.165,10.165,10.165,3,10.165,117,10.165,2025-09-03 17:32:00+00:00
1756920780000,10.165,10.165,10.165,3,10.165,201,10.165,2025-09-03 17:33:00+00:00
1756920840000,10.1401,10.1401,10.1401,14,10.1401,201,10.1401,2025-09-03 17:34:00+00:00
1756921140000,10.14,10.14,10.14,25,10.14,558,10.14,2025-09-03 17:39:00+00:00
1756921380000,10.145,10.145,10.145,4,10.145,248,10.145,2025-09-03 17:43:00+00:00
1756921440000,10.14,10.14,10.14,16,10.14,2420,10.14,2025-09-03 17:44:00+00:00
1756921680000,10.14,10.14,10.135,19,10.135,496,10.1375,2025-09-03 17:48:00+00:00
1756921740000,10.14,10.14,10.14,6,10.14,554,10.14,2025-09-03 17:49:00+00:00
1756921860000,10.14,10.14,10.14,18,10.14,579,10.14,2025-09-03 17:51:00+00:00
1756921920000,10.14,10.17,10.14,7,10.17,631,10.157228,2025-09-03 17:52:00+00:00
1756921980000,10.15,10.15,10.15,11,10.15,260,10.15,2025-09-03 17:53:00+00:00
1756922100000,10.16,10.16,10.16,8,10.16,196,10.16,2025-09-03 17:55:00+00:00
1756922160000,10.14,10.15,10.14,35,10.14,1045,10.1425,2025-09-03 17:56:00+00:00
1756922280000,10.1315,10.1315,10.1315,9,10.1315,494,10.1315,2025-09-03 17:58:00+00:00
1756922400000,10.13,10.13,10.13,15,10.13,366,10.13,2025-09-03 18:00:00+00:00
1756922520000,10.14,10.14,10.14,3,10.14,117,10.14,2025-09-03 18:02:00+00:00
1756922580000,10.125,10.125,10.125,3,10.125,105,10.125,2025-09-03 18:03:00+00:00
1756922820000,10.12,10.12,10.12,5,10.12,1722,10.12,2025-09-03 18:07:00+00:00
1756923120000,10.1303,10.1303,10.1303,5,10.1303,133,10.1303,2025-09-03 18:12:00+00:00
1756923300000,10.125,10.125,10.125,19,10.125,807,10.125,2025-09-03 18:15:00+00:00
1756923360000,10.13,10.13,10.1132,32,10.1132,1602,10.121518,2025-09-03 18:16:00+00:00
1756923420000,10.14,10.14,10.14,22,10.14,1086,10.14,2025-09-03 18:17:00+00:00
1756923480000,10.145,10.15,10.145,3,10.15,201,10.1475,2025-09-03 18:18:00+00:00
1756923540000,10.145,10.145,10.145,4,10.145,212,10.145,2025-09-03 18:19:00+00:00
1756923600000,10.12,10.14,10.11,38,10.14,2313,10.135592,2025-09-03 18:20:00+00:00
1756924020000,10.17,10.17,10.135,46,10.135,2297,10.154638,2025-09-03 18:27:00+00:00
1756924080000,10.155,10.155,10.155,9,10.155,230,10.155,2025-09-03 18:28:00+00:00
1756924200000,10.13,10.155,10.13,3,10.155,201,10.1425,2025-09-03 18:30:00+00:00
1756924260000,10.15,10.15,10.15,7,10.15,219,10.15,2025-09-03 18:31:00+00:00
1756924380000,10.15,10.15,10.15,16,10.15,487,10.15,2025-09-03 18:33:00+00:00
1756924440000,10.15,10.15,10.15,5,10.15,227,10.15,2025-09-03 18:34:00+00:00
1756924500000,10.16,10.16,10.14,5,10.14,206,10.15,2025-09-03 18:35:00+00:00
1756924620000,10.169,10.169,10.169,10,10.169,2140,10.169,2025-09-03 18:37:00+00:00
1756924680000,10.15,10.15,10.15,7,10.15,125,10.15,2025-09-03 18:38:00+00:00
1756924920000,10.135,10.145,10.135,8,10.145,609,10.136996,2025-09-03 18:42:00+00:00
1756924980000,10.145,10.145,10.145,10,10.145,203,10.145,2025-09-03 18:43:00+00:00
1756925160000,10.15,10.16,10.139,34,10.145,2989,10.146021,2025-09-03 18:46:00+00:00
1756925220000,10.155,10.155,10.155,5,10.155,131,10.155,2025-09-03 18:47:00+00:00
1756925280000,10.155,10.155,10.155,15,10.155,184,10.155,2025-09-03 18:48:00+00:00
1756925460000,10.14,10.14,10.14,30,10.14,853,10.14,2025-09-03 18:51:00+00:00
1756925580000,10.1332,10.1332,10.13,16,10.13,911,10.131864,2025-09-03 18:53:00+00:00
1756925640000,10.13,10.13,10.13,9,10.13,165,10.13,2025-09-03 18:54:00+00:00
1756925700000,10.14,10.14,10.12,28,10.13,1574,10.137569,2025-09-03 18:55:00+00:00
1756925760000,10.15,10.15,10.15,24,10.15,694,10.15,2025-09-03 18:56:00+00:00
1756925820000,10.1546,10.1546,10.1546,8,10.1546,261,10.1546,2025-09-03 18:57:00+00:00
1756925880000,10.15,10.1558,10.15,38,10.1508,3984,10.152811,2025-09-03 18:58:00+00:00
1756925940000,10.165,10.165,10.15,31,10.15,975,10.157646,2025-09-03 18:59:00+00:00
1756926000000,10.15,10.16,10.14,27,10.16,1161,10.15,2025-09-03 19:00:00+00:00
1756926060000,10.15,10.15,10.145,13,10.145,412,10.1475,2025-09-03 19:01:00+00:00
1756926120000,10.16,10.16,10.16,15,10.16,615,10.16,2025-09-03 19:02:00+00:00
1756926420000,10.15,10.16,10.15,37,10.16,922,10.1575,2025-09-03 19:07:00+00:00
1756926480000,10.155,10.155,10.14,5,10.14,3007,10.141,2025-09-03 19:08:00+00:00
1756926540000,10.1505,10.1505,10.1505,4,10.1505,3026,10.1505,2025-09-03 19:09:00+00:00
1756926600000,10.17,10.17,10.17,14,10.17,1172,10.17,2025-09-03 19:10:00+00:00
1756926660000,10.16,10.16,10.16,5,10.16,247,10.16,2025-09-03 19:11:00+00:00
1756926780000,10.16,10.16,10.16,12,10.16,915,10.16,2025-09-03 19:13:00+00:00
1756926840000,10.15,10.15,10.15,20,10.15,717,10.15,2025-09-03 19:14:00+00:00
1756926900000,10.14,10.14,10.14,22,10.14,629,10.14,2025-09-03 19:15:00+00:00
1756926960000,10.14,10.14,10.14,4,10.14,451,10.14,2025-09-03 19:16:00+00:00
1756927020000,10.14,10.14,10.14,10,10.14,511,10.14,2025-09-03 19:17:00+00:00
1756927140000,10.15,10.15,10.15,20,10.15,852,10.15,2025-09-03 19:19:00+00:00
1756927200000,10.15,10.15,10.15,7,10.15,2806,10.15,2025-09-03 19:20:00+00:00
1756927260000,10.17,10.17,10.15,28,10.15,1097,10.16,2025-09-03 19:21:00+00:00
1756927320000,10.17,10.17,10.17,9,10.17,287,10.17,2025-09-03 19:22:00+00:00
1756927500000,10.1681,10.1681,10.1681,14,10.1681,1137,10.1681,2025-09-03 19:25:00+00:00
1756927560000,10.16,10.16,10.16,10,10.16,192,10.16,2025-09-03 19:26:00+00:00
1756927620000,10.16,10.16,10.16,7,10.16,463,10.16,2025-09-03 19:27:00+00:00
1756927680000,10.15,10.15,10.15,17,10.15,700,10.15,2025-09-03 19:28:00+00:00
