timeStamp,close,high,low,trade_count,open,volume,vwap,date
1749477960000,3.09,3.09,3.09,2,3.09,115,3.09,2025-06-09 14:06:00+00:00
1749479040000,3.165,3.165,3.165,14,3.165,322,3.165,2025-06-09 14:24:00+00:00
1749480600000,3.0802,3.0802,3.0802,4,3.0802,2121,3.0802,2025-06-09 14:50:00+00:00
1749481320000,3.1,3.1,3.1,2,3.1,115,3.1,2025-06-09 15:02:00+00:00
1749483660000,3.1106,3.1106,3.1106,1,3.1106,100,3.1106,2025-06-09 15:41:00+00:00
1749487740000,3.249,3.249,3.249,2,3.249,989,3.249,2025-06-09 16:49:00+00:00
1749487860000,3.1362,3.1362,3.1362,1,3.1362,311,3.1362,2025-06-09 16:51:00+00:00
1749488160000,3.178,3.178,3.178,13,3.178,177,3.178,2025-06-09 16:56:00+00:00
1749489960000,3.12,3.12,3.12,1,3.12,100,3.12,2025-06-09 17:26:00+00:00
1749490740000,3.19,3.19,3.19,1,3.19,100,3.19,2025-06-09 17:39:00+00:00
1749491040000,3.1401,3.1401,3.1401,1,3.1401,600,3.1401,2025-06-09 17:44:00+00:00
1749494220000,3.14,3.14,3.14,1,3.14,120,3.14,2025-06-09 18:37:00+00:00
1749497760000,3.2,3.2,3.2,15,3.2,600,3.2,2025-06-09 19:36:00+00:00
1749498660000,3.144,3.144,3.144,2,3.144,501,3.144,2025-06-09 19:51:00+00:00
1749562200000,3.11,3.11,3.11,4,3.11,137,3.11,2025-06-10 13:30:00+00:00
1749562560000,3.2176,3.2176,3.2176,1,3.2176,750,3.2176,2025-06-10 13:36:00+00:00
1749562620000,3.21,3.21,3.21,1,3.21,256,3.21,2025-06-10 13:37:00+00:00
1749563880000,3.12,3.12,3.12,2,3.12,150,3.12,2025-06-10 13:58:00+00:00
1749564900000,3.1757,3.215,3.1101,3,3.215,2600,3.171142,2025-06-10 14:15:00+00:00
1749567120000,3.115,3.115,3.115,1,3.115,100,3.115,2025-06-10 14:52:00+00:00
1749568320000,3.2822,3.2822,3.2822,1,3.2822,253,3.2822,2025-06-10 15:12:00+00:00
1749568440000,3.3094,3.3094,3.3094,2,3.3094,1517,3.3094,2025-06-10 15:14:00+00:00
1749568740000,3.1789,3.1789,3.1789,1,3.1789,102,3.1789,2025-06-10 15:19:00+00:00
1749574140000,3.115,3.115,3.115,1,3.115,100,3.115,2025-06-10 16:49:00+00:00
1749582000000,3.115,3.115,3.115,2,3.115,105,3.115,2025-06-10 19:00:00+00:00
1749584580000,3.13,3.13,3.13,5,3.13,258,3.13,2025-06-10 19:43:00+00:00
1749585300000,3.13,3.1384,3.13,4,3.1384,240,3.1342,2025-06-10 19:55:00+00:00
1749585420000,3.15,3.15,3.15,2,3.15,101,3.15,2025-06-10 19:57:00+00:00
1749585540000,3.1414,3.1414,3.1414,7,3.1414,141,3.1414,2025-06-10 19:59:00+00:00
1749585600000,3.14,3.14,3.14,2,3.14,282,3.14,2025-06-10 20:00:00+00:00
1749648600000,3.065,3.131,3.02,8,3.09,2233,3.093576,2025-06-11 13:30:00+00:00
1749650820000,2.97,2.97,2.94,2,2.94,1283,2.946617,2025-06-11 14:07:00+00:00
1749651840000,2.97,2.97,2.97,4,2.97,131,2.97,2025-06-11 14:24:00+00:00
1749652380000,2.99,2.9991,2.99,4,2.9991,278,2.995431,2025-06-11 14:33:00+00:00
1749652980000,2.955,2.955,2.955,4,2.955,310,2.955,2025-06-11 14:43:00+00:00
1749653220000,2.99,2.99,2.99,1,2.99,100,2.99,2025-06-11 14:47:00+00:00
1749655020000,3.0999,3.0999,2.985,20,3.03,4868,3.051274,2025-06-11 15:17:00+00:00
1749655200000,3.197,3.197,3.197,1,3.197,525,3.197,2025-06-11 15:20:00+00:00
1749657660000,3.19,3.19,3.19,1,3.19,100,3.19,2025-06-11 16:01:00+00:00
1749658620000,3.0194,3.0194,3.0194,2,3.0194,119,3.0194,2025-06-11 16:17:00+00:00
1749661680000,3.1,3.103,3.0909,14,3.103,714,3.097306,2025-06-11 17:08:00+00:00
1749662460000,3.1208,3.1208,3.1208,2,3.1208,134,3.1208,2025-06-11 17:21:00+00:00
1749663120000,3.1,3.1,3.1,1,3.1,100,3.1,2025-06-11 17:32:00+00:00
1749666480000,3.01,3.01,3.01,11,3.01,1024,3.01,2025-06-11 18:28:00+00:00
1749735000000,3.13,3.13,3.13,4,3.13,646,3.13,2025-06-12 13:30:00+00:00
