timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755610200000,2.62,2.63,2.6,13,2.6,909,2.621223,2025-08-19 13:30:00+00:00
1755610380000,2.5,2.52,2.5,21,2.51,25448,2.500514,2025-08-19 13:33:00+00:00
1755610500000,2.3784,2.4,2.3784,9,2.4,982,2.39748,2025-08-19 13:35:00+00:00
1755610560000,2.29,2.29,2.29,5,2.29,535,2.29,2025-08-19 13:36:00+00:00
1755611520000,2.27,2.28,2.27,2,2.28,1000,2.279,2025-08-19 13:52:00+00:00
1755611640000,2.28,2.28,2.27,18,2.278,1727,2.277867,2025-08-19 13:54:00+00:00
1755611700000,2.29,2.29,2.28,7,2.28,236,2.285,2025-08-19 13:55:00+00:00
1755612000000,2.32,2.32,2.32,3,2.32,1040,2.32,2025-08-19 14:00:00+00:00
1755612660000,2.32,2.32,2.32,1,2.32,100,2.32,2025-08-19 14:11:00+00:00
1755612720000,2.32,2.32,2.32,2,2.32,109,2.32,2025-08-19 14:12:00+00:00
1755612840000,2.32,2.32,2.32,2,2.32,120,2.32,2025-08-19 14:14:00+00:00
1755613380000,2.36,2.39,2.36,4,2.38,400,2.376904,2025-08-19 14:23:00+00:00
1755614220000,2.4,2.4,2.4,1,2.4,225,2.4,2025-08-19 14:37:00+00:00
1755614280000,2.4,2.4,2.4,3,2.4,175,2.4,2025-08-19 14:38:00+00:00
1755615060000,2.4,2.4,2.4,5,2.4,340,2.4,2025-08-19 14:51:00+00:00
1755615360000,2.4,2.4,2.39,5,2.4,420,2.3975,2025-08-19 14:56:00+00:00
1755618300000,2.45,2.45,2.45,2,2.45,1020,2.45,2025-08-19 15:45:00+00:00
1755619260000,2.43,2.43,2.43,4,2.43,2506,2.43,2025-08-19 16:01:00+00:00
1755621060000,2.38,2.39,2.38,13,2.38,820,2.3825,2025-08-19 16:31:00+00:00
1755621120000,2.38,2.39,2.38,3,2.39,300,2.383333,2025-08-19 16:32:00+00:00
1755628860000,2.38,2.38,2.38,5,2.38,444,2.38,2025-08-19 18:41:00+00:00
1755630000000,2.3044,2.37,2.3044,6,2.37,867,2.361277,2025-08-19 19:00:00+00:00
1755631140000,2.31,2.31,2.31,1,2.31,100,2.31,2025-08-19 19:19:00+00:00
1755633540000,2.305,2.305,2.305,2,2.305,627,2.305,2025-08-19 19:59:00+00:00
1755696600000,2.26,2.26,2.14,2,2.14,20566,2.140583,2025-08-20 13:30:00+00:00
1755696660000,2.23,2.23,2.23,2,2.23,134,2.23,2025-08-20 13:31:00+00:00
1755697020000,2.22,2.22,2.22,1,2.22,207,2.22,2025-08-20 13:37:00+00:00
1755697080000,2.14,2.19,2.14,16,2.19,2390,2.166829,2025-08-20 13:38:00+00:00
1755697140000,2.22,2.22,2.2,7,2.2,1500,2.216,2025-08-20 13:39:00+00:00
1755699780000,2.2294,2.2294,2.2294,2,2.2294,1090,2.2294,2025-08-20 14:23:00+00:00
1755700740000,2.2,2.2,2.2,2,2.2,5090,2.2,2025-08-20 14:39:00+00:00
1755701220000,2.17,2.17,2.17,9,2.17,850,2.17,2025-08-20 14:47:00+00:00
1755701340000,2.18,2.18,2.18,4,2.18,1100,2.18,2025-08-20 14:49:00+00:00
1755702120000,2.16,2.16,2.16,3,2.16,700,2.16,2025-08-20 15:02:00+00:00
1755702240000,2.14,2.14,2.14,1,2.14,128,2.14,2025-08-20 15:04:00+00:00
1755703320000,2.15,2.15,2.15,4,2.15,19572,2.15,2025-08-20 15:22:00+00:00
1755703380000,2.15,2.15,2.15,6,2.15,516,2.15,2025-08-20 15:23:00+00:00
1755704160000,2.17,2.17,2.17,1,2.17,1000,2.17,2025-08-20 15:36:00+00:00
1755704340000,2.14,2.14,2.14,1,2.14,144,2.14,2025-08-20 15:39:00+00:00
1755704820000,2.14,2.14,2.14,2,2.14,130,2.14,2025-08-20 15:47:00+00:00
1755705900000,2.15,2.15,2.15,1,2.15,100,2.15,2025-08-20 16:05:00+00:00
1755706560000,2.155,2.155,2.155,3,2.155,1016,2.155,2025-08-20 16:16:00+00:00
1755707820000,2.14,2.14,2.14,11,2.14,5672,2.14,2025-08-20 16:37:00+00:00
1755707940000,2.1,2.1,2.1,6,2.1,638,2.1,2025-08-20 16:39:00+00:00
1755708000000,2.06,2.07,2.06,5,2.07,391,2.066667,2025-08-20 16:40:00+00:00
1755714720000,2.07,2.07,2.07,1,2.07,100,2.07,2025-08-20 18:32:00+00:00
1755715260000,2.08,2.08,2.08,3,2.08,166,2.08,2025-08-20 18:41:00+00:00
1755715680000,2.07,2.07,2.07,2,2.07,234,2.07,2025-08-20 18:48:00+00:00
1755716460000,2.08,2.08,2.08,1,2.08,200,2.08,2025-08-20 19:01:00+00:00
1755718920000,2.067,2.067,2.067,1,2.067,180,2.067,2025-08-20 19:42:00+00:00
1755719940000,2.06,2.06,2.06,5,2.06,343,2.06,2025-08-20 19:59:00+00:00
1755720000000,2.06,2.06,2.06,1,2.06,975,2.06,2025-08-20 20:00:00+00:00
1755783000000,2.25,2.25,2.25,2,2.25,5975,2.25,2025-08-21 13:30:00+00:00
1755783120000,2.26,2.26,2.26,5,2.26,521,2.26,2025-08-21 13:32:00+00:00
1755783180000,2.26,2.26,2.26,1,2.26,100,2.26,2025-08-21 13:33:00+00:00
1755784080000,2.25,2.25,2.25,6,2.25,3416,2.25,2025-08-21 13:48:00+00:00
1755784440000,2.28,2.3,2.27,19,2.27,1715,2.283529,2025-08-21 13:54:00+00:00
1755784500000,2.3,2.3,2.3,6,2.3,820,2.3,2025-08-21 13:55:00+00:00
1755786000000,2.48,2.5,2.4,5,2.4,1518,2.473984,2025-08-21 14:20:00+00:00
1755786120000,2.4,2.4,2.4,4,2.4,190,2.4,2025-08-21 14:22:00+00:00
1755786180000,2.47,2.47,2.41,19,2.41,2316,2.4576,2025-08-21 14:23:00+00:00
1755786240000,2.41,2.458,2.41,13,2.458,756,2.429181,2025-08-21 14:24:00+00:00
1755786960000,2.41,2.41,2.41,14,2.41,1020,2.41,2025-08-21 14:36:00+00:00
1755788340000,2.385,2.385,2.385,3,2.385,520,2.385,2025-08-21 14:59:00+00:00
1755789720000,2.46,2.46,2.46,1,2.46,1000,2.46,2025-08-21 15:22:00+00:00
