timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742829240000,2.3,2.3,2.3,5,2.3,1503,2.3,2025-03-24 15:14:00+00:00
1742829300000,2.35,2.45,2.35,23,2.37,2953,2.361048,2025-03-24 15:15:00+00:00
1742829360000,2.4,2.4,2.4,6,2.4,1917,2.4,2025-03-24 15:16:00+00:00
1742829420000,2.37,2.37,2.37,6,2.37,105,2.37,2025-03-24 15:17:00+00:00
1742831100000,2.38,2.38,2.38,3,2.38,554,2.38,2025-03-24 15:45:00+00:00
1742831220000,2.37,2.37,2.37,1,2.37,125,2.37,2025-03-24 15:47:00+00:00
1742831820000,2.3755,2.3755,2.3755,1,2.3755,200,2.3755,2025-03-24 15:57:00+00:00
1742835960000,2.37,2.37,2.37,3,2.37,290,2.37,2025-03-24 17:06:00+00:00
1742836680000,2.26,2.26,2.25,12,2.25,1010,2.255,2025-03-24 17:18:00+00:00
1742836800000,2.38,2.38,2.35,14,2.35,3018,2.365,2025-03-24 17:20:00+00:00
1742846100000,2.37,2.37,2.37,7,2.37,261,2.37,2025-03-24 19:55:00+00:00
1742846160000,2.4,2.41,2.4,2,2.41,1170,2.408547,2025-03-24 19:56:00+00:00
1742846280000,2.37,2.37,2.37,1,2.37,100,2.37,2025-03-24 19:58:00+00:00
1742909400000,2.47,2.47,2.47,2,2.47,101,2.47,2025-03-25 13:30:00+00:00
1742910780000,2.42,2.42,2.42,1,2.42,200,2.42,2025-03-25 13:53:00+00:00
1742911500000,2.4,2.4,2.4,1,2.4,104,2.4,2025-03-25 14:05:00+00:00
1742913780000,2.2501,2.2501,2.2501,1,2.2501,1722,2.2501,2025-03-25 14:43:00+00:00
1742913960000,2.36,2.37,2.2591,4,2.2591,1563,2.345661,2025-03-25 14:46:00+00:00
1742914020000,2.25,2.25,2.25,2,2.25,101,2.25,2025-03-25 14:47:00+00:00
1742914260000,2.4,2.4,2.4,2,2.4,195,2.4,2025-03-25 14:51:00+00:00
1742927160000,2.377,2.377,2.377,1,2.377,100,2.377,2025-03-25 18:26:00+00:00
1743017220000,2.3708,2.3708,2.3708,1,2.3708,702,2.3708,2025-03-26 19:27:00+00:00
1743168600000,2.18,2.18,2.18,2,2.18,101,2.18,2025-03-28 13:30:00+00:00
1743181680000,2.18,2.1801,2.18,28,2.18,8364,2.180023,2025-03-28 17:08:00+00:00
1743427800000,2.16,2.16,2.16,1,2.16,100,2.16,2025-03-31 13:30:00+00:00
1743428700000,2.16,2.16,2.16,3,2.16,105,2.16,2025-03-31 13:45:00+00:00
1743430320000,2.3074,2.3074,2.3074,4,2.3074,500,2.3074,2025-03-31 14:12:00+00:00
1743430740000,2.14,2.18,2.14,9,2.18,400,2.153333,2025-03-31 14:19:00+00:00
1743430800000,2.15,2.15,2.15,1,2.15,100,2.15,2025-03-31 14:20:00+00:00
1743430860000,2.1,2.1,2.1,2,2.1,200,2.1,2025-03-31 14:21:00+00:00
1743430920000,2.25,2.25,2.25,12,2.25,125,2.25,2025-03-31 14:22:00+00:00
1743434340000,2.2,2.2,2.1,8,2.1,3001,2.18461,2025-03-31 15:19:00+00:00
1743435240000,2.2,2.2,2.2,4,2.2,1200,2.2,2025-03-31 15:34:00+00:00
1743435300000,2.3,2.3,2.3,20,2.3,1116,2.3,2025-03-31 15:35:00+00:00
1743435360000,2.24,2.24,2.24,1,2.24,100,2.24,2025-03-31 15:36:00+00:00
1743436080000,2.1,2.1,2.1,6,2.1,565,2.1,2025-03-31 15:48:00+00:00
1743438540000,2.12,2.12,2.12,1,2.12,100,2.12,2025-03-31 16:29:00+00:00
1743439800000,2.25,2.25,2.24,12,2.24,324,2.246667,2025-03-31 16:50:00+00:00
1743443220000,2.12,2.12,2.12,1,2.12,100,2.12,2025-03-31 17:47:00+00:00
1743444660000,2.3,2.3,2.3,27,2.3,1100,2.3,2025-03-31 18:11:00+00:00
1743444720000,2.18,2.18,2.18,2,2.18,101,2.18,2025-03-31 18:12:00+00:00
1743448140000,2.18,2.18,2.18,11,2.18,317,2.18,2025-03-31 19:09:00+00:00
1743448380000,2.19,2.19,2.19,4,2.19,103,2.19,2025-03-31 19:13:00+00:00
1743448680000,2.23,2.23,2.19,8,2.19,298,2.21,2025-03-31 19:18:00+00:00
1743450240000,2.14,2.14,2.14,3,2.14,635,2.14,2025-03-31 19:44:00+00:00
1743451140000,2.33,2.33,2.32,3,2.32,881,2.322182,2025-03-31 19:59:00+00:00
1743517140000,2.22,2.22,2.22,8,2.22,2005,2.22,2025-04-01 14:19:00+00:00
1743518940000,2.21,2.21,2.21,5,2.21,525,2.21,2025-04-01 14:49:00+00:00
1743523680000,2.22,2.22,2.22,1,2.22,100,2.22,2025-04-01 16:08:00+00:00
1743527220000,2.17,2.17,2.17,2,2.17,800,2.17,2025-04-01 17:07:00+00:00
1743527280000,2.2,2.24,2.2,9,2.24,635,2.233506,2025-04-01 17:08:00+00:00
1743527340000,2.24,2.24,2.21,5,2.21,240,2.225,2025-04-01 17:09:00+00:00
1743530520000,2.28,2.28,2.28,1,2.28,250,2.28,2025-04-01 18:02:00+00:00
1743535440000,2.12,2.12,2.12,1,2.12,100,2.12,2025-04-01 19:24:00+00:00
1743535500000,2.15,2.15,2.15,3,2.15,221,2.15,2025-04-01 19:25:00+00:00
1743620100000,2.2455,2.2455,2.2455,1,2.2455,100,2.2455,2025-04-02 18:55:00+00:00
1743691380000,2.11,2.11,2.11,1,2.11,100,2.11,2025-04-03 14:43:00+00:00
1743698580000,2.1,2.1,2.1,2,2.1,117,2.1,2025-04-03 16:43:00+00:00
1743701160000,2.12,2.12,2.12,6,2.12,431,2.12,2025-04-03 17:26:00+00:00
1743705000000,2.102,2.102,2.102,2,2.102,193,2.102,2025-04-03 18:30:00+00:00
1743708540000,2.11,2.11,2.11,1,2.11,100,2.11,2025-04-03 19:29:00+00:00
1743710400000,2.17,2.17,2.17,1,2.17,100,2.17,2025-04-03 20:00:00+00:00
1743773400000,2.1,2.1,2.1,2,2.1,101,2.1,2025-04-04 13:30:00+00:00
1743774060000,2.1,2.1,2.1,3,2.1,270,2.1,2025-04-04 13:41:00+00:00
1743774960000,2.1,2.1,2.1,2,2.1,2732,2.1,2025-04-04 13:56:00+00:00
1743777000000,2.0,2.05,2.0,15,2.01,6201,2.016607,2025-04-04 14:30:00+00:00
1743777120000,2.0,2.0,2.0,2,2.0,2017,2.0,2025-04-04 14:32:00+00:00
1743777360000,2.0,2.01,2.0,2,2.01,583,2.001715,2025-04-04 14:36:00+00:00
1743777660000,1.99,2.0,1.99,2,2.0,200,1.995,2025-04-04 14:41:00+00:00
1743782220000,2.0544,2.0544,2.0544,1,2.0544,120,2.0544,2025-04-04 15:57:00+00:00
1743782280000,2.025,2.025,2.025,1,2.025,102,2.025,2025-04-04 15:58:00+00:00
1743785160000,1.99,1.99,1.99,3,1.99,1939,1.99,2025-04-04 16:46:00+00:00
1743786720000,2.0,2.0,2.0,2,2.0,200,2.0,2025-04-04 17:12:00+00:00
1743786900000,1.99,2.0,1.99,7,2.0,700,1.991429,2025-04-04 17:15:00+00:00
1743786960000,1.99,2.0,1.99,3,2.0,285,1.995,2025-04-04 17:16:00+00:00
1743788100000,1.9,1.97,1.9,10,1.96,11500,1.903217,2025-04-04 17:35:00+00:00
1743788220000,1.87,1.87,1.87,1,1.87,100,1.87,2025-04-04 17:37:00+00:00
1743789120000,1.8665,1.8665,1.8665,1,1.8665,105,1.8665,2025-04-04 17:52:00+00:00
1743790020000,1.86,1.88,1.86,5,1.88,924,1.876667,2025-04-04 18:07:00+00:00
1743790740000,1.8593,1.8593,1.8593,2,1.8593,2000,1.8593,2025-04-04 18:19:00+00:00
1743790800000,1.8569,1.86,1.855,6,1.855,5325,1.859124,2025-04-04 18:20:00+00:00
1743795120000,1.95,1.95,1.95,4,1.95,1206,1.95,2025-04-04 19:32:00+00:00
1743795180000,2.15,2.15,1.95,6,2.1,8600,2.067791,2025-04-04 19:33:00+00:00
1743795240000,2.025,2.025,2.025,5,2.025,406,2.025,2025-04-04 19:34:00+00:00
1744032660000,1.81,1.81,1.81,2,1.81,2921,1.81,2025-04-07 13:31:00+00:00
1744033740000,1.8558,1.8558,1.8558,1,1.8558,500,1.8558,2025-04-07 13:49:00+00:00
1744034280000,1.8558,1.8558,1.8558,1,1.8558,500,1.8558,2025-04-07 13:58:00+00:00
1744035120000,1.81,1.81,1.81,1,1.81,877,1.81,2025-04-07 14:12:00+00:00
1744035180000,1.85,1.86,1.835,4,1.835,400,1.845,2025-04-07 14:13:00+00:00
1744035780000,1.8599,1.86,1.8599,3,1.86,237,1.85995,2025-04-07 14:23:00+00:00
1744047300000,2.0,2.0,2.0,2,2.0,338,2.0,2025-04-07 17:35:00+00:00
1744119000000,1.89,1.89,1.89,5,1.89,107,1.89,2025-04-08 13:30:00+00:00
1744122900000,1.925,1.925,1.925,2,1.925,110,1.925,2025-04-08 14:35:00+00:00
1744124340000,1.9374,1.9374,1.9374,1,1.9374,500,1.9374,2025-04-08 14:59:00+00:00
1744127160000,1.91,1.91,1.91,1,1.91,120,1.91,2025-04-08 15:46:00+00:00
1744132380000,1.83,1.8858,1.83,4,1.8858,402,1.844158,2025-04-08 17:13:00+00:00
1744134660000,1.83,1.83,1.83,3,1.83,260,1.83,2025-04-08 17:51:00+00:00
1744138560000,1.82,1.83,1.82,8,1.83,1236,1.825833,2025-04-08 18:56:00+00:00
1744140240000,1.8,1.8,1.8,3,1.8,2301,1.8,2025-04-08 19:24:00+00:00
1744140900000,1.79,1.8,1.79,5,1.8,550,1.792222,2025-04-08 19:35:00+00:00
1744141560000,1.77,1.77,1.77,1,1.77,500,1.77,2025-04-08 19:46:00+00:00
1744205520000,1.77,1.77,1.77,2,1.77,320,1.77,2025-04-09 13:32:00+00:00
1744207920000,1.7284,1.7284,1.69,5,1.72,1100,1.717891,2025-04-09 14:12:00+00:00
1744207980000,1.6421,1.65,1.6421,4,1.65,964,1.645688,2025-04-09 14:13:00+00:00
1744208040000,1.61,1.64,1.61,3,1.64,300,1.63,2025-04-09 14:14:00+00:00
1744208100000,1.5347,1.5347,1.5347,1,1.5347,166,1.5347,2025-04-09 14:15:00+00:00
1744208160000,1.615,1.615,1.6,2,1.6,400,1.6075,2025-04-09 14:16:00+00:00
1744208220000,1.6691,1.6787,1.6,6,1.6,564,1.64938,2025-04-09 14:17:00+00:00
1744208340000,1.67,1.67,1.6,8,1.63,3200,1.634625,2025-04-09 14:19:00+00:00
1744208700000,1.7,1.7,1.7,4,1.7,330,1.7,2025-04-09 14:25:00+00:00
1744208760000,1.6494,1.6494,1.6494,1,1.6494,102,1.6494,2025-04-09 14:26:00+00:00
1744208880000,1.6,1.6,1.6,1,1.6,100,1.6,2025-04-09 14:28:00+00:00
1744209300000,1.645,1.645,1.645,1,1.645,523,1.645,2025-04-09 14:35:00+00:00
1744210200000,1.6,1.62,1.6,3,1.62,300,1.613333,2025-04-09 14:50:00+00:00
1744210260000,1.6,1.6,1.6,4,1.6,900,1.6,2025-04-09 14:51:00+00:00
1744210380000,1.6304,1.6304,1.6,4,1.6,2000,1.62083,2025-04-09 14:53:00+00:00
1744210440000,1.5908,1.6249,1.5908,3,1.6249,900,1.605956,2025-04-09 14:54:00+00:00
1744210500000,1.67,1.67,1.63,2,1.63,500,1.646,2025-04-09 14:55:00+00:00
1744210560000,1.6,1.67,1.6,5,1.6,1500,1.609333,2025-04-09 14:56:00+00:00
1744210620000,1.6239,1.6239,1.5908,4,1.6,3000,1.599507,2025-04-09 14:57:00+00:00
1744210680000,1.6304,1.6304,1.6304,1,1.6304,400,1.6304,2025-04-09 14:58:00+00:00
1744210740000,1.6,1.6,1.6,1,1.6,2396,1.6,2025-04-09 14:59:00+00:00
1744210800000,1.69,1.69,1.67,4,1.67,600,1.676301,2025-04-09 15:00:00+00:00
1744210860000,1.65,1.7,1.65,9,1.7,2629,1.673846,2025-04-09 15:01:00+00:00
1744210920000,1.65,1.72,1.65,15,1.7,2017,1.669544,2025-04-09 15:02:00+00:00
1744210980000,1.65,1.69,1.65,2,1.69,492,1.66626,2025-04-09 15:03:00+00:00
1744211040000,1.6639,1.6639,1.6349,2,1.6349,800,1.6494,2025-04-09 15:04:00+00:00
1744211100000,1.6355,1.6355,1.59,6,1.63,596,1.61637,2025-04-09 15:05:00+00:00
1744211160000,1.635,1.635,1.635,2,1.635,200,1.635,2025-04-09 15:06:00+00:00
1744211220000,1.5958,1.5958,1.5958,1,1.5958,400,1.5958,2025-04-09 15:07:00+00:00
1744211280000,1.5909,1.5909,1.59,3,1.59,640,1.59045,2025-04-09 15:08:00+00:00
1744211340000,1.635,1.635,1.635,1,1.635,100,1.635,2025-04-09 15:09:00+00:00
1744211400000,1.5802,1.5802,1.5802,3,1.5802,200,1.5802,2025-04-09 15:10:00+00:00
1744211520000,1.68,1.68,1.57,3,1.58,579,1.643731,2025-04-09 15:12:00+00:00
1744211580000,1.5804,1.5804,1.5804,1,1.5804,300,1.5804,2025-04-09 15:13:00+00:00
1744211640000,1.63,1.63,1.63,1,1.63,300,1.63,2025-04-09 15:14:00+00:00
1744211880000,1.57,1.57,1.57,3,1.57,600,1.57,2025-04-09 15:18:00+00:00
1744212000000,1.5712,1.5712,1.5712,3,1.5712,273,1.5712,2025-04-09 15:20:00+00:00
1744212360000,1.54,1.6306,1.54,7,1.63,1041,1.574514,2025-04-09 15:26:00+00:00
1744212420000,1.53,1.55,1.53,3,1.54,700,1.541429,2025-04-09 15:27:00+00:00
1744212540000,1.6,1.6,1.6,1,1.6,500,1.6,2025-04-09 15:29:00+00:00
1744214460000,1.535,1.55,1.53,9,1.55,5400,1.532048,2025-04-09 16:01:00+00:00
1744214820000,1.51,1.52,1.51,3,1.52,871,1.518783,2025-04-09 16:07:00+00:00
1744216020000,1.44,1.44,1.37,22,1.43,3406,1.40305,2025-04-09 16:27:00+00:00
1744216080000,1.3901,1.4201,1.3901,13,1.4201,2623,1.405112,2025-04-09 16:28:00+00:00
1744216140000,1.35,1.35,1.2999,7,1.2999,3800,1.301221,2025-04-09 16:29:00+00:00
1744216200000,1.36,1.3904,1.2999,15,1.2999,1609,1.357341,2025-04-09 16:30:00+00:00
1744216260000,1.31,1.3504,1.29,23,1.3504,5972,1.335498,2025-04-09 16:31:00+00:00
1744216320000,1.3,1.36,1.29,17,1.36,1390,1.311675,2025-04-09 16:32:00+00:00
1744216380000,1.32,1.32,1.31,15,1.31,1414,1.31745,2025-04-09 16:33:00+00:00
1744216440000,1.31,1.32,1.29,18,1.3,3338,1.303422,2025-04-09 16:34:00+00:00
1744216500000,1.29,1.35,1.29,17,1.32,4576,1.313483,2025-04-09 16:35:00+00:00
1744216560000,1.33,1.33,1.28,11,1.31,1350,1.306797,2025-04-09 16:36:00+00:00
1744216620000,1.2899,1.335,1.285,12,1.3303,5903,1.306049,2025-04-09 16:37:00+00:00
1744216680000,1.3303,1.3303,1.31,6,1.32,3350,1.329061,2025-04-09 16:38:00+00:00
1744216740000,1.29,1.3101,1.2899,12,1.3101,2729,1.292088,2025-04-09 16:39:00+00:00
1744216800000,1.3,1.3202,1.29,8,1.29,2950,1.314885,2025-04-09 16:40:00+00:00
1744216860000,1.3902,1.3902,1.32,4,1.32,712,1.371571,2025-04-09 16:41:00+00:00
1744216920000,1.4101,1.4101,1.3099,8,1.3099,6223,1.31766,2025-04-09 16:42:00+00:00
1744216980000,1.3801,1.41,1.3801,15,1.41,5313,1.384675,2025-04-09 16:43:00+00:00
1744217040000,1.315,1.34,1.3,10,1.337,1533,1.3325,2025-04-09 16:44:00+00:00
1744217100000,1.35,1.4,1.3499,12,1.3499,3303,1.35246,2025-04-09 16:45:00+00:00
1744217160000,1.42,1.46,1.35,10,1.35,1253,1.409091,2025-04-09 16:46:00+00:00
1744217220000,1.41,1.44,1.35,18,1.35,4005,1.369197,2025-04-09 16:47:00+00:00
1744217280000,1.4105,1.42,1.41,9,1.42,5671,1.410942,2025-04-09 16:48:00+00:00
1744217340000,1.36,1.37,1.35,18,1.37,1593,1.35746,2025-04-09 16:49:00+00:00
1744217400000,1.4102,1.4102,1.3598,17,1.3598,17607,1.387164,2025-04-09 16:50:00+00:00
1744217460000,1.38,1.4,1.36,9,1.37,818,1.378541,2025-04-09 16:51:00+00:00
1744217520000,1.39,1.42,1.37,24,1.37,3690,1.388029,2025-04-09 16:52:00+00:00
1744217580000,1.46,1.47,1.38,22,1.39,2949,1.412216,2025-04-09 16:53:00+00:00
1744217640000,1.4,1.4406,1.39,14,1.44,2778,1.435033,2025-04-09 16:54:00+00:00
1744217700000,1.4501,1.5,1.3998,21,1.4,7519,1.430345,2025-04-09 16:55:00+00:00
1744217760000,1.46,1.46,1.405,31,1.405,16713,1.410016,2025-04-09 16:56:00+00:00
1744217820000,1.45,1.46,1.42,26,1.45,2401,1.445455,2025-04-09 16:57:00+00:00
1744217880000,1.45,1.47,1.4,17,1.47,1800,1.446667,2025-04-09 16:58:00+00:00
1744218000000,1.44,1.4404,1.4,22,1.44,15520,1.424675,2025-04-09 17:00:00+00:00
1744218060000,1.4005,1.46,1.39,12,1.46,2985,1.42924,2025-04-09 17:01:00+00:00
1744218120000,1.34,1.34,1.34,3,1.34,507,1.34,2025-04-09 17:02:00+00:00
1744218180000,1.4,1.4,1.4,2,1.4,524,1.4,2025-04-09 17:03:00+00:00
1744218540000,1.5,1.5,1.45,2,1.45,4300,1.476744,2025-04-09 17:09:00+00:00
1744218660000,1.45,1.45,1.45,1,1.45,1000,1.45,2025-04-09 17:11:00+00:00
1744220100000,1.53,1.53,1.53,1,1.53,100,1.53,2025-04-09 17:35:00+00:00
1744220160000,1.58,1.58,1.58,1,1.58,100,1.58,2025-04-09 17:36:00+00:00
1744220460000,1.53,1.53,1.53,6,1.53,304,1.53,2025-04-09 17:41:00+00:00
1744220700000,1.56,1.56,1.53,3,1.53,436,1.536881,2025-04-09 17:45:00+00:00
1744221120000,1.56,1.56,1.56,2,1.56,1095,1.56,2025-04-09 17:52:00+00:00
1744222500000,1.66,1.66,1.6016,2,1.6016,5041,1.603083,2025-04-09 18:15:00+00:00
1744222560000,1.7188,1.7188,1.7188,1,1.7188,285,1.7188,2025-04-09 18:16:00+00:00
1744224000000,1.7,1.7,1.7,3,1.7,300,1.7,2025-04-09 18:40:00+00:00
1744224360000,1.6248,1.6248,1.6248,1,1.6248,8126,1.6248,2025-04-09 18:46:00+00:00
1744226820000,1.68,1.68,1.68,3,1.68,199,1.68,2025-04-09 19:27:00+00:00
1744227300000,1.64,1.64,1.64,1,1.64,100,1.64,2025-04-09 19:35:00+00:00
1744227900000,1.68,1.68,1.68,1,1.68,100,1.68,2025-04-09 19:45:00+00:00
1744228680000,1.6301,1.6309,1.6301,2,1.6309,1600,1.6305,2025-04-09 19:58:00+00:00
1744291800000,1.63,1.63,1.63,1,1.63,100,1.63,2025-04-10 13:30:00+00:00
1744292220000,1.66,1.66,1.66,3,1.66,300,1.66,2025-04-10 13:37:00+00:00
1744297800000,1.73,1.73,1.6399,19,1.6399,4247,1.669372,2025-04-10 15:10:00+00:00
1744297860000,1.73,1.73,1.73,3,1.73,298,1.73,2025-04-10 15:11:00+00:00
1744301580000,1.6381,1.6381,1.6381,1,1.6381,385,1.6381,2025-04-10 16:13:00+00:00
1744310220000,1.65,1.65,1.6499,9,1.6499,207,1.64995,2025-04-10 18:37:00+00:00
1744310280000,1.6597,1.6599,1.65,9,1.65,2706,1.659419,2025-04-10 18:38:00+00:00
1744310340000,1.72,1.74,1.6597,22,1.6597,4257,1.700145,2025-04-10 18:39:00+00:00
1744310400000,1.7301,1.7301,1.73,12,1.7301,4404,1.730095,2025-04-10 18:40:00+00:00
1744310520000,1.7201,1.73,1.6597,21,1.6597,10168,1.684685,2025-04-10 18:42:00+00:00
