timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757604240000,8.57,8.59,8.57,126,8.575,9198,8.575989,2025-09-11 15:24:00+00:00
1757604300000,8.59,8.59,8.59,9,8.59,244,8.59,2025-09-11 15:25:00+00:00
1757604360000,8.59,8.59,8.59,15,8.59,285,8.59,2025-09-11 15:26:00+00:00
1757604420000,8.59,8.59,8.59,12,8.59,818,8.59,2025-09-11 15:27:00+00:00
1757604540000,8.605,8.605,8.59,66,8.59,5043,8.594681,2025-09-11 15:29:00+00:00
1757604600000,8.61,8.61,8.61,4,8.61,108,8.61,2025-09-11 15:30:00+00:00
1757604660000,8.62,8.62,8.605,76,8.609,6636,8.610295,2025-09-11 15:31:00+00:00
1757604720000,8.625,8.625,8.625,11,8.625,430,8.625,2025-09-11 15:32:00+00:00
1757604780000,8.625,8.625,8.625,14,8.625,457,8.625,2025-09-11 15:33:00+00:00
1757604840000,8.625,8.625,8.625,7,8.625,212,8.625,2025-09-11 15:34:00+00:00
1757604900000,8.625,8.625,8.625,19,8.625,550,8.625,2025-09-11 15:35:00+00:00
1757604960000,8.615,8.63,8.615,69,8.625,3148,8.62025,2025-09-11 15:36:00+00:00
1757605020000,8.615,8.615,8.61,15,8.61,549,8.612725,2025-09-11 15:37:00+00:00
1757605080000,8.605,8.61,8.6,54,8.61,2879,8.608636,2025-09-11 15:38:00+00:00
1757605140000,8.605,8.605,8.605,21,8.605,1966,8.605,2025-09-11 15:39:00+00:00
1757605200000,8.605,8.605,8.605,12,8.605,729,8.605,2025-09-11 15:40:00+00:00
1757605320000,8.605,8.605,8.605,12,8.605,483,8.605,2025-09-11 15:42:00+00:00
1757605380000,8.605,8.6099,8.6,25,8.6099,1359,8.607438,2025-09-11 15:43:00+00:00
1757605500000,8.6,8.605,8.595,24,8.605,1035,8.6,2025-09-11 15:45:00+00:00
1757605560000,8.6,8.6,8.6,7,8.6,129,8.6,2025-09-11 15:46:00+00:00
1757605620000,8.595,8.6,8.59,26,8.6,912,8.595312,2025-09-11 15:47:00+00:00
1757605680000,8.595,8.595,8.595,14,8.595,258,8.595,2025-09-11 15:48:00+00:00
1757605740000,8.585,8.595,8.585,43,8.59,2649,8.589726,2025-09-11 15:49:00+00:00
1757605800000,8.57,8.595,8.565,143,8.59,16341,8.583377,2025-09-11 15:50:00+00:00
1757605860000,8.57,8.575,8.57,31,8.57,2090,8.570554,2025-09-11 15:51:00+00:00
1757605920000,8.575,8.575,8.575,11,8.575,263,8.575,2025-09-11 15:52:00+00:00
1757606040000,8.58,8.58,8.575,20,8.575,546,8.577629,2025-09-11 15:54:00+00:00
1757606100000,8.575,8.575,8.575,10,8.575,390,8.575,2025-09-11 15:55:00+00:00
1757606160000,8.575,8.58,8.575,25,8.58,2645,8.579333,2025-09-11 15:56:00+00:00
1757606220000,8.58,8.58,8.58,11,8.58,268,8.58,2025-09-11 15:57:00+00:00
1757606280000,8.575,8.575,8.57,27,8.575,1262,8.572917,2025-09-11 15:58:00+00:00
1757606340000,8.585,8.585,8.575,95,8.575,9863,8.580509,2025-09-11 15:59:00+00:00
1757606400000,8.59,8.59,8.59,8,8.59,124,8.59,2025-09-11 16:00:00+00:00
1757606460000,8.59,8.59,8.59,7,8.59,111,8.59,2025-09-11 16:01:00+00:00
1757606520000,8.585,8.59,8.585,7,8.59,245,8.5875,2025-09-11 16:02:00+00:00
1757606580000,8.585,8.59,8.585,43,8.5893,1744,8.58809,2025-09-11 16:03:00+00:00
1757606640000,8.59,8.59,8.585,15,8.585,291,8.5875,2025-09-11 16:04:00+00:00
1757606700000,8.585,8.585,8.585,16,8.585,512,8.585,2025-09-11 16:05:00+00:00
1757606760000,8.585,8.59,8.585,19,8.59,3515,8.585152,2025-09-11 16:06:00+00:00
1757606820000,8.575,8.5875,8.575,47,8.585,2249,8.578833,2025-09-11 16:07:00+00:00
1757606880000,8.565,8.575,8.565,45,8.575,2743,8.569348,2025-09-11 16:08:00+00:00
1757606940000,8.565,8.565,8.565,19,8.565,973,8.565,2025-09-11 16:09:00+00:00
1757607000000,8.565,8.57,8.565,15,8.565,560,8.566667,2025-09-11 16:10:00+00:00
1757607060000,8.565,8.565,8.565,7,8.565,145,8.565,2025-09-11 16:11:00+00:00
1757607240000,8.565,8.565,8.565,17,8.565,1271,8.565,2025-09-11 16:14:00+00:00
1757607300000,8.57,8.57,8.565,11,8.565,2177,8.56949,2025-09-11 16:15:00+00:00
1757607360000,8.565,8.565,8.56,41,8.56,2097,8.560769,2025-09-11 16:16:00+00:00
1757607420000,8.575,8.575,8.565,52,8.565,5651,8.57031,2025-09-11 16:17:00+00:00
1757607480000,8.58,8.58,8.58,17,8.58,268,8.58,2025-09-11 16:18:00+00:00
1757607540000,8.5775,8.5775,8.575,22,8.575,1683,8.575155,2025-09-11 16:19:00+00:00
1757607600000,8.5775,8.5775,8.575,11,8.5775,468,8.57625,2025-09-11 16:20:00+00:00
1757607660000,8.5775,8.579,8.575,14,8.575,1649,8.578095,2025-09-11 16:21:00+00:00
1757607720000,8.575,8.5775,8.575,10,8.5775,268,8.57625,2025-09-11 16:22:00+00:00
1757607780000,8.5703,8.5775,8.5703,22,8.575,630,8.574019,2025-09-11 16:23:00+00:00
1757607840000,8.575,8.5775,8.575,10,8.5775,373,8.575833,2025-09-11 16:24:00+00:00
1757607900000,8.5775,8.5775,8.5775,9,8.5775,278,8.5775,2025-09-11 16:25:00+00:00
1757607960000,8.565,8.575,8.565,64,8.575,4393,8.568551,2025-09-11 16:26:00+00:00
1757608020000,8.585,8.585,8.57,73,8.57,5609,8.571325,2025-09-11 16:27:00+00:00
1757608080000,8.585,8.585,8.585,9,8.585,147,8.585,2025-09-11 16:28:00+00:00
1757608200000,8.585,8.585,8.585,24,8.585,312,8.585,2025-09-11 16:30:00+00:00
1757608260000,8.59,8.59,8.59,10,8.59,153,8.59,2025-09-11 16:31:00+00:00
1757608320000,8.59,8.5925,8.59,44,8.59,3995,8.590068,2025-09-11 16:32:00+00:00
1757608380000,8.59,8.59,8.59,18,8.59,714,8.59,2025-09-11 16:33:00+00:00
1757608440000,8.59,8.6,8.59,80,8.5925,7894,8.590462,2025-09-11 16:34:00+00:00
1757608500000,8.59,8.595,8.58,123,8.59,10663,8.589434,2025-09-11 16:35:00+00:00
1757608560000,8.575,8.585,8.575,24,8.585,713,8.578333,2025-09-11 16:36:00+00:00
1757608620000,8.575,8.575,8.575,15,8.575,387,8.575,2025-09-11 16:37:00+00:00
1757608680000,8.575,8.575,8.57,15,8.57,3383,8.570304,2025-09-11 16:38:00+00:00
1757608740000,8.575,8.575,8.575,9,8.575,250,8.575,2025-09-11 16:39:00+00:00
1757608800000,8.555,8.575,8.55,76,8.575,7428,8.554071,2025-09-11 16:40:00+00:00
1757608860000,8.555,8.555,8.55,14,8.55,532,8.551667,2025-09-11 16:41:00+00:00
1757608920000,8.555,8.555,8.555,4,8.555,133,8.555,2025-09-11 16:42:00+00:00
1757608980000,8.555,8.56,8.545,85,8.55,5127,8.551733,2025-09-11 16:43:00+00:00
1757609040000,8.56,8.56,8.56,34,8.56,3138,8.56,2025-09-11 16:44:00+00:00
1757609160000,8.56,8.56,8.56,15,8.56,577,8.56,2025-09-11 16:46:00+00:00
1757609220000,8.565,8.57,8.5563,24,8.56,1344,8.562426,2025-09-11 16:47:00+00:00
1757609280000,8.565,8.565,8.565,21,8.565,373,8.565,2025-09-11 16:48:00+00:00
1757609340000,8.57,8.57,8.57,8,8.57,165,8.57,2025-09-11 16:49:00+00:00
1757609400000,8.5675,8.5675,8.565,14,8.565,720,8.56541,2025-09-11 16:50:00+00:00
1757609460000,8.57,8.57,8.565,20,8.565,1014,8.567817,2025-09-11 16:51:00+00:00
1757609520000,8.565,8.57,8.565,12,8.565,456,8.56625,2025-09-11 16:52:00+00:00
1757609580000,8.5675,8.5675,8.5675,10,8.5675,245,8.5675,2025-09-11 16:53:00+00:00
1757609640000,8.56,8.5675,8.56,18,8.565,1007,8.56285,2025-09-11 16:54:00+00:00
1757609700000,8.57,8.57,8.565,9,8.5675,323,8.567611,2025-09-11 16:55:00+00:00
1757609760000,8.565,8.5675,8.565,12,8.565,336,8.565833,2025-09-11 16:56:00+00:00
1757609820000,8.5675,8.5675,8.565,9,8.5675,503,8.566667,2025-09-11 16:57:00+00:00
1757609880000,8.57,8.57,8.565,24,8.565,1303,8.565466,2025-09-11 16:58:00+00:00
1757609940000,8.57,8.57,8.565,39,8.565,1340,8.568098,2025-09-11 16:59:00+00:00
1757610000000,8.565,8.565,8.565,20,8.565,768,8.565,2025-09-11 17:00:00+00:00
1757610060000,8.565,8.57,8.565,9,8.57,351,8.568333,2025-09-11 17:01:00+00:00
1757610120000,8.565,8.565,8.565,10,8.565,273,8.565,2025-09-11 17:02:00+00:00
1757610180000,8.575,8.575,8.57,45,8.57,2456,8.570667,2025-09-11 17:03:00+00:00
1757610240000,8.58,8.58,8.58,13,8.58,331,8.58,2025-09-11 17:04:00+00:00
1757610300000,8.575,8.58,8.575,18,8.58,822,8.576667,2025-09-11 17:05:00+00:00
1757610360000,8.575,8.575,8.575,13,8.575,323,8.575,2025-09-11 17:06:00+00:00
1757610420000,8.565,8.5784,8.565,59,8.575,4662,8.570895,2025-09-11 17:07:00+00:00
1757610480000,8.565,8.565,8.565,10,8.565,321,8.565,2025-09-11 17:08:00+00:00
1757610540000,8.565,8.57,8.565,11,8.57,481,8.566111,2025-09-11 17:09:00+00:00
1757610600000,8.565,8.57,8.5609,17,8.57,1426,8.563816,2025-09-11 17:10:00+00:00
1757610660000,8.565,8.57,8.565,16,8.57,1173,8.566,2025-09-11 17:11:00+00:00
1757610720000,8.565,8.565,8.565,10,8.565,252,8.565,2025-09-11 17:12:00+00:00
1757610780000,8.565,8.565,8.565,18,8.565,350,8.565,2025-09-11 17:13:00+00:00
1757610840000,8.565,8.565,8.565,18,8.565,423,8.565,2025-09-11 17:14:00+00:00
1757610900000,8.565,8.565,8.565,15,8.565,319,8.565,2025-09-11 17:15:00+00:00
1757610960000,8.57,8.57,8.565,13,8.565,301,8.5675,2025-09-11 17:16:00+00:00
1757611020000,8.57,8.57,8.565,10,8.565,516,8.566613,2025-09-11 17:17:00+00:00
1757611080000,8.57,8.57,8.565,11,8.565,299,8.5675,2025-09-11 17:18:00+00:00
1757611140000,8.565,8.565,8.565,13,8.565,531,8.565,2025-09-11 17:19:00+00:00
1757611200000,8.565,8.57,8.565,23,8.565,734,8.5669,2025-09-11 17:20:00+00:00
1757611260000,8.555,8.565,8.555,78,8.565,5165,8.559447,2025-09-11 17:21:00+00:00
1757611320000,8.555,8.56,8.555,19,8.555,1601,8.555692,2025-09-11 17:22:00+00:00
1757611380000,8.555,8.555,8.555,29,8.555,2035,8.555,2025-09-11 17:23:00+00:00
1757611440000,8.565,8.565,8.554,60,8.554,11589,8.556889,2025-09-11 17:24:00+00:00
1757611500000,8.565,8.565,8.565,6,8.565,164,8.565,2025-09-11 17:25:00+00:00
1757611620000,8.565,8.565,8.565,5,8.565,114,8.565,2025-09-11 17:27:00+00:00
1757611680000,8.565,8.565,8.565,11,8.565,332,8.565,2025-09-11 17:28:00+00:00
1757611740000,8.56,8.565,8.555,93,8.565,7216,8.559892,2025-09-11 17:29:00+00:00
1757611800000,8.565,8.57,8.565,13,8.57,867,8.566429,2025-09-11 17:30:00+00:00
1757611860000,8.57,8.57,8.565,74,8.565,5938,8.566383,2025-09-11 17:31:00+00:00
1757611920000,8.575,8.575,8.575,14,8.575,523,8.575,2025-09-11 17:32:00+00:00
1757611980000,8.575,8.575,8.575,18,8.575,999,8.575,2025-09-11 17:33:00+00:00
1757612040000,8.575,8.58,8.575,17,8.58,602,8.578,2025-09-11 17:34:00+00:00
1757612100000,8.585,8.59,8.58,30,8.58,1432,8.5815,2025-09-11 17:35:00+00:00
1757612160000,8.585,8.585,8.585,12,8.585,370,8.585,2025-09-11 17:36:00+00:00
1757612220000,8.59,8.59,8.585,24,8.585,1416,8.585809,2025-09-11 17:37:00+00:00
1757612280000,8.5835,8.585,8.5835,19,8.585,1365,8.583967,2025-09-11 17:38:00+00:00
1757612340000,8.585,8.585,8.58,19,8.585,905,8.583333,2025-09-11 17:39:00+00:00
1757612400000,8.58,8.58,8.58,14,8.58,838,8.58,2025-09-11 17:40:00+00:00
1757612460000,8.585,8.585,8.585,20,8.585,869,8.585,2025-09-11 17:41:00+00:00
1757612520000,8.585,8.585,8.585,18,8.585,897,8.585,2025-09-11 17:42:00+00:00
1757612580000,8.585,8.585,8.585,13,8.585,434,8.585,2025-09-11 17:43:00+00:00
1757612640000,8.585,8.585,8.585,19,8.585,459,8.585,2025-09-11 17:44:00+00:00
1757612700000,8.585,8.585,8.585,15,8.585,325,8.585,2025-09-11 17:45:00+00:00
1757612760000,8.585,8.59,8.585,17,8.59,704,8.586812,2025-09-11 17:46:00+00:00
1757612820000,8.585,8.585,8.585,23,8.585,1835,8.585,2025-09-11 17:47:00+00:00
1757612880000,8.585,8.585,8.585,26,8.585,2077,8.585,2025-09-11 17:48:00+00:00
1757612940000,8.62,8.62,8.585,391,8.585,40215,8.598059,2025-09-11 17:49:00+00:00
1757613000000,8.62,8.62,8.62,21,8.62,800,8.62,2025-09-11 17:50:00+00:00
1757613060000,8.62,8.62,8.62,46,8.62,3323,8.62,2025-09-11 17:51:00+00:00
1757613120000,8.635,8.635,8.63,23,8.63,1323,8.630943,2025-09-11 17:52:00+00:00
1757613180000,8.61,8.635,8.6,158,8.635,11711,8.617135,2025-09-11 17:53:00+00:00
1757613240000,8.6135,8.6135,8.6135,14,8.6135,1429,8.6135,2025-09-11 17:54:00+00:00
1757613300000,8.615,8.615,8.615,13,8.615,355,8.615,2025-09-11 17:55:00+00:00
1757613360000,8.615,8.615,8.615,8,8.615,129,8.615,2025-09-11 17:56:00+00:00
