timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742833920000,23.34,23.34,23.34,1,23.34,172,23.34,2025-03-24 16:32:00+00:00
1742844600000,23.319,23.319,23.319,1,23.319,100,23.319,2025-03-24 19:30:00+00:00
1742909400000,22.99,22.99,22.99,1,22.99,900,22.99,2025-03-25 13:30:00+00:00
1742909580000,23.099,23.099,23.06,9,23.061,955,23.079875,2025-03-25 13:33:00+00:00
1742909760000,23.0657,23.0657,23.03,8,23.031,1000,23.04805,2025-03-25 13:36:00+00:00
1742910180000,23.17,23.17,23.17,1,23.17,300,23.17,2025-03-25 13:43:00+00:00
1742914920000,23.29,23.29,23.29,1,23.29,300,23.29,2025-03-25 15:02:00+00:00
1742915340000,23.24,23.24,23.24,5,23.24,500,23.24,2025-03-25 15:09:00+00:00
1742997060000,22.55,22.55,22.55,1,22.55,150,22.55,2025-03-26 13:51:00+00:00
1742998560000,22.25,22.25,22.25,1,22.25,150,22.25,2025-03-26 14:16:00+00:00
1742999340000,22.1101,22.1101,22.11,7,22.11,995,22.11005,2025-03-26 14:29:00+00:00
1742999400000,22.28,22.28,22.28,1,22.28,100,22.28,2025-03-26 14:30:00+00:00
1742999940000,22.62,22.62,22.62,3,22.62,200,22.62,2025-03-26 14:39:00+00:00
1743000360000,22.69,22.69,22.69,2,22.69,200,22.69,2025-03-26 14:46:00+00:00
1743001380000,22.95,22.95,22.95,1,22.95,100,22.95,2025-03-26 15:03:00+00:00
1743016440000,22.3667,22.3667,22.3667,2,22.3667,703,22.3667,2025-03-26 19:14:00+00:00
1743017820000,22.33,22.33,22.33,1,22.33,100,22.33,2025-03-26 19:37:00+00:00
1743082200000,22.88,22.88,22.88,1,22.88,501,22.88,2025-03-27 13:30:00+00:00
1743083580000,23.5,23.5,23.5,1,23.5,100,23.5,2025-03-27 13:53:00+00:00
1743084180000,23.53,23.53,23.53,1,23.53,200,23.53,2025-03-27 14:03:00+00:00
1743084900000,23.46,23.46,23.46,1,23.46,100,23.46,2025-03-27 14:15:00+00:00
1743085800000,23.9417,23.9417,23.9417,1,23.9417,100,23.9417,2025-03-27 14:30:00+00:00
1743086640000,24.05,24.05,24.05,1,24.05,194,24.05,2025-03-27 14:44:00+00:00
1743086700000,23.989,23.989,23.989,1,23.989,100,23.989,2025-03-27 14:45:00+00:00
1743087780000,23.75,23.75,23.75,1,23.75,100,23.75,2025-03-27 15:03:00+00:00
1743087840000,23.6901,23.6901,23.6901,1,23.6901,200,23.6901,2025-03-27 15:04:00+00:00
1743101340000,24.045,24.045,24.045,1,24.045,500,24.045,2025-03-27 18:49:00+00:00
1743168600000,22.96,22.96,22.81,16,22.94,7849,22.94154,2025-03-28 13:30:00+00:00
1743168780000,22.755,22.77,22.755,9,22.77,930,22.768,2025-03-28 13:33:00+00:00
1743170400000,22.62,22.7512,21.61,72,22.52,9391,22.22147,2025-03-28 14:00:00+00:00
1743171240000,22.17,22.17,22.17,2,22.17,138,22.17,2025-03-28 14:14:00+00:00
1743172140000,22.13,22.14,22.13,10,22.14,1000,22.139,2025-03-28 14:29:00+00:00
1743172620000,22.28,22.28,22.28,3,22.28,273,22.28,2025-03-28 14:37:00+00:00
1743172980000,22.36,22.37,22.36,8,22.37,753,22.368571,2025-03-28 14:43:00+00:00
1743176940000,22.575,22.575,22.575,1,22.575,100,22.575,2025-03-28 15:49:00+00:00
1743178500000,22.41,22.41,22.41,1,22.41,100,22.41,2025-03-28 16:15:00+00:00
1743191340000,22.4,22.4,22.4,2,22.4,200,22.4,2025-03-28 19:49:00+00:00
1743427800000,21.68,21.68,21.53,4,21.53,401,21.57,2025-03-31 13:30:00+00:00
1743514200000,22.79,22.94,22.79,34,22.93,4400,22.894186,2025-04-01 13:30:00+00:00
1743533640000,22.33,22.33,22.33,1,22.33,100,22.33,2025-04-01 18:54:00+00:00
1743614460000,21.81,21.81,21.81,1,21.81,450,21.81,2025-04-02 17:21:00+00:00
1743692640000,21.13,21.13,21.13,1,21.13,376,21.13,2025-04-03 15:04:00+00:00
1743773400000,17.51,17.51,17.51,2,17.51,106,17.51,2025-04-04 13:30:00+00:00
1743773580000,17.65,17.65,17.65,4,17.65,363,17.65,2025-04-04 13:33:00+00:00
1743774720000,17.64,17.64,17.64,1,17.64,100,17.64,2025-04-04 13:52:00+00:00
1743775140000,17.24,17.24,17.24,1,17.24,100,17.24,2025-04-04 13:59:00+00:00
1743775200000,17.57,17.57,17.57,1,17.57,100,17.57,2025-04-04 14:00:00+00:00
1743775320000,17.46,17.46,17.46,1,17.46,100,17.46,2025-04-04 14:02:00+00:00
1743775440000,17.6,17.6,17.6,1,17.6,100,17.6,2025-04-04 14:04:00+00:00
1743775620000,17.51,17.51,17.51,1,17.51,100,17.51,2025-04-04 14:07:00+00:00
1743775860000,17.16,17.16,17.16,1,17.16,100,17.16,2025-04-04 14:11:00+00:00
1743775980000,17.12,17.12,17.12,1,17.12,100,17.12,2025-04-04 14:13:00+00:00
1743776100000,16.97,16.97,16.97,1,16.97,100,16.97,2025-04-04 14:15:00+00:00
1743776280000,16.92,16.92,16.92,1,16.92,100,16.92,2025-04-04 14:18:00+00:00
1743776520000,17.06,17.06,17.06,1,17.06,100,17.06,2025-04-04 14:22:00+00:00
1743776580000,16.88,16.88,16.88,2,16.88,140,16.88,2025-04-04 14:23:00+00:00
1743776640000,16.89,16.89,16.89,1,16.89,100,16.89,2025-04-04 14:24:00+00:00
1743776820000,16.69,16.69,16.69,2,16.69,102,16.69,2025-04-04 14:27:00+00:00
1743777000000,16.8,16.8,16.8,1,16.8,100,16.8,2025-04-04 14:30:00+00:00
1743777180000,16.7,16.7,16.7,1,16.7,100,16.7,2025-04-04 14:33:00+00:00
1743777240000,16.5,16.5,16.5,1,16.5,200,16.5,2025-04-04 14:34:00+00:00
1743777360000,16.41,16.41,16.41,1,16.41,100,16.41,2025-04-04 14:36:00+00:00
1743777540000,16.28,16.28,16.28,1,16.28,100,16.28,2025-04-04 14:39:00+00:00
1743777720000,16.31,16.31,16.31,1,16.31,100,16.31,2025-04-04 14:42:00+00:00
1743777840000,16.065,16.065,16.065,1,16.065,228,16.065,2025-04-04 14:44:00+00:00
1743777900000,15.8588,15.96,15.8588,2,15.96,550,15.8772,2025-04-04 14:45:00+00:00
