timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757944140000,2.906,2.91,2.9002,14,2.9002,1720,2.902695,2025-09-15 13:49:00+00:00
1757944200000,2.905,2.91,2.9043,12,2.9043,931,2.906068,2025-09-15 13:50:00+00:00
1757944260000,2.9038,2.91,2.9038,13,2.9087,2477,2.905426,2025-09-15 13:51:00+00:00
1757944320000,2.9023,2.9084,2.9023,11,2.9084,1777,2.905368,2025-09-15 13:52:00+00:00
1757944380000,2.9257,2.926,2.9099,144,2.9099,96654,2.918613,2025-09-15 13:53:00+00:00
1757944440000,2.925,2.9299,2.92,27,2.925,24559,2.924603,2025-09-15 13:54:00+00:00
1757944500000,2.9449,2.95,2.93,104,2.93,429809,2.93373,2025-09-15 13:55:00+00:00
1757944560000,2.9599,2.9599,2.94,93,2.9451,91393,2.946742,2025-09-15 13:56:00+00:00
1757944620000,2.96,2.96,2.95,47,2.95,23235,2.955043,2025-09-15 13:57:00+00:00
1757944680000,2.9515,2.96,2.9515,28,2.955,9622,2.955919,2025-09-15 13:58:00+00:00
1757944740000,2.9549,2.965,2.9523,157,2.9523,141158,2.959363,2025-09-15 13:59:00+00:00
1757944800000,2.955,2.96,2.9532,35,2.96,13001,2.956895,2025-09-15 14:00:00+00:00
1757944860000,2.955,2.9593,2.9513,30,2.955,13939,2.954476,2025-09-15 14:01:00+00:00
1757944920000,2.96,2.96,2.95,169,2.955,130431,2.951491,2025-09-15 14:02:00+00:00
1757944980000,2.955,2.97,2.95,158,2.955,184036,2.958697,2025-09-15 14:03:00+00:00
1757945040000,2.955,2.955,2.955,27,2.955,6741,2.955,2025-09-15 14:04:00+00:00
1757945100000,2.96,2.96,2.9515,66,2.9538,116874,2.958807,2025-09-15 14:05:00+00:00
1757945160000,2.9543,2.96,2.95,25,2.955,11906,2.954558,2025-09-15 14:06:00+00:00
1757945220000,2.95,2.9565,2.95,17,2.955,3715,2.954345,2025-09-15 14:07:00+00:00
1757945280000,2.96,2.9753,2.9543,243,2.955,213184,2.966983,2025-09-15 14:08:00+00:00
1757945340000,2.96,2.96,2.9531,67,2.9552,130588,2.959596,2025-09-15 14:09:00+00:00
1757945400000,2.97,2.97,2.96,48,2.96,24059,2.96317,2025-09-15 14:10:00+00:00
1757945460000,2.965,2.97,2.96,34,2.97,13872,2.961618,2025-09-15 14:11:00+00:00
1757945520000,2.96,2.97,2.96,22,2.968,7280,2.963893,2025-09-15 14:12:00+00:00
1757945580000,2.965,2.9651,2.9635,18,2.965,10882,2.964099,2025-09-15 14:13:00+00:00
1757945640000,2.965,2.97,2.9635,25,2.965,11800,2.964309,2025-09-15 14:14:00+00:00
1757945700000,2.97,2.97,2.9648,24,2.965,14669,2.967023,2025-09-15 14:15:00+00:00
1757945760000,2.9647,2.97,2.9641,32,2.97,9527,2.966896,2025-09-15 14:16:00+00:00
1757945820000,2.969,2.97,2.9601,30,2.97,12914,2.968379,2025-09-15 14:17:00+00:00
1757945880000,2.965,2.97,2.96,27,2.9651,14595,2.964028,2025-09-15 14:18:00+00:00
1757945940000,2.97,2.97,2.9603,21,2.965,12809,2.964961,2025-09-15 14:19:00+00:00
1757946000000,2.97,2.97,2.9637,12,2.9677,3269,2.966752,2025-09-15 14:20:00+00:00
1757946060000,2.9684,2.97,2.9601,31,2.9657,9170,2.96782,2025-09-15 14:21:00+00:00
1757946120000,2.98,2.9851,2.965,317,2.97,222998,2.972937,2025-09-15 14:22:00+00:00
1757946180000,2.999,3.0,2.99,139,2.99,91841,2.99312,2025-09-15 14:23:00+00:00
1757946240000,2.995,2.995,2.9935,14,2.9935,2274,2.993929,2025-09-15 14:24:00+00:00
1757946300000,2.985,3.0,2.98,105,2.995,59112,2.989734,2025-09-15 14:25:00+00:00
1757946360000,2.9868,2.99,2.985,15,2.985,13219,2.986363,2025-09-15 14:26:00+00:00
1757946420000,2.98,2.9851,2.98,20,2.9838,7796,2.984784,2025-09-15 14:27:00+00:00
1757946480000,2.9892,2.99,2.98,20,2.985,13246,2.981282,2025-09-15 14:28:00+00:00
1757946540000,2.9895,2.99,2.985,32,2.99,7255,2.986558,2025-09-15 14:29:00+00:00
1757946600000,2.985,2.988,2.98,20,2.988,14713,2.981665,2025-09-15 14:30:00+00:00
1757946660000,2.9811,2.99,2.98,38,2.985,25164,2.981727,2025-09-15 14:31:00+00:00
1757946720000,2.9808,2.99,2.97,139,2.9851,90050,2.981257,2025-09-15 14:32:00+00:00
1757946780000,2.995,2.9999,2.99,69,2.99,32931,2.992193,2025-09-15 14:33:00+00:00
1757946840000,2.995,3.0,2.995,24,2.995,8811,2.997291,2025-09-15 14:34:00+00:00
1757946900000,2.99,2.995,2.98,61,2.9931,29830,2.989986,2025-09-15 14:35:00+00:00
1757946960000,2.9851,2.9889,2.98,27,2.985,10339,2.985025,2025-09-15 14:36:00+00:00
1757947020000,2.98,2.985,2.98,21,2.985,5952,2.981767,2025-09-15 14:37:00+00:00
1757947080000,2.985,2.985,2.98,22,2.985,10612,2.982619,2025-09-15 14:38:00+00:00
1757947140000,2.9899,2.99,2.9811,22,2.9862,1687,2.986173,2025-09-15 14:39:00+00:00
1757947200000,3.0,3.0,2.981,67,2.985,148433,2.991304,2025-09-15 14:40:00+00:00
1757947260000,2.995,3.0,2.9901,18,2.995,7869,2.994735,2025-09-15 14:41:00+00:00
1757947320000,3.0,3.0,2.99,51,2.995,33721,2.996573,2025-09-15 14:42:00+00:00
1757947380000,2.995,3.0,2.99,50,3.0,34053,2.991223,2025-09-15 14:43:00+00:00
1757947440000,2.995,2.995,2.99,49,2.9932,27836,2.991361,2025-09-15 14:44:00+00:00
1757947500000,2.995,2.995,2.99,26,2.995,6072,2.994227,2025-09-15 14:45:00+00:00
1757947560000,2.9998,3.0,2.9912,35,2.995,18736,2.994434,2025-09-15 14:46:00+00:00
