timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752586200000,7.67,7.67,7.67,2,7.67,589,7.67,2025-07-15 13:30:00+00:00
1752586680000,7.5246,7.5246,7.5246,2,7.5246,372,7.5246,2025-07-15 13:38:00+00:00
1752586860000,7.505,7.505,7.505,2,7.505,129,7.505,2025-07-15 13:41:00+00:00
1752586920000,7.4854,7.4854,7.4854,1,7.4854,100,7.4854,2025-07-15 13:42:00+00:00
1752587340000,7.64,7.64,7.525,2,7.525,250,7.594,2025-07-15 13:49:00+00:00
1752587400000,7.525,7.525,7.525,1,7.525,150,7.525,2025-07-15 13:50:00+00:00
1752587640000,7.5178,7.5178,7.5178,1,7.5178,200,7.5178,2025-07-15 13:54:00+00:00
1752587700000,7.533,7.533,7.533,1,7.533,100,7.533,2025-07-15 13:55:00+00:00
1752588000000,7.64,7.64,7.64,3,7.64,200,7.64,2025-07-15 14:00:00+00:00
1752588120000,7.5593,7.5593,7.5593,1,7.5593,100,7.5593,2025-07-15 14:02:00+00:00
1752589020000,7.5,7.5,7.5,2,7.5,1002,7.5,2025-07-15 14:17:00+00:00
1752589140000,7.35,7.35,7.35,1,7.35,100,7.35,2025-07-15 14:19:00+00:00
1752589260000,7.6758,7.6758,7.6758,1,7.6758,100,7.6758,2025-07-15 14:21:00+00:00
1752589500000,7.4702,7.4702,7.4702,2,7.4702,127,7.4702,2025-07-15 14:25:00+00:00
1752591420000,7.5539,7.5539,7.5539,1,7.5539,100,7.5539,2025-07-15 14:57:00+00:00
1752591480000,7.2601,7.2601,7.2601,2,7.2601,150,7.2601,2025-07-15 14:58:00+00:00
1752591780000,7.75,7.75,7.75,1,7.75,1000,7.75,2025-07-15 15:03:00+00:00
1752591900000,7.5338,7.5338,7.5338,2,7.5338,102,7.5338,2025-07-15 15:05:00+00:00
1752592140000,7.5878,7.5878,7.5878,1,7.5878,100,7.5878,2025-07-15 15:09:00+00:00
1752593340000,7.595,7.595,7.595,1,7.595,1000,7.595,2025-07-15 15:29:00+00:00
1752593880000,7.585,7.585,7.585,1,7.585,100,7.585,2025-07-15 15:38:00+00:00
1752598500000,7.4,7.4,7.4,2,7.4,2022,7.4,2025-07-15 16:55:00+00:00
1752599640000,7.4,7.4,7.4,1,7.4,1000,7.4,2025-07-15 17:14:00+00:00
1752601800000,7.7681,7.7681,7.7681,1,7.7681,100,7.7681,2025-07-15 17:50:00+00:00
1752601860000,7.58,7.58,7.58,1,7.58,100,7.58,2025-07-15 17:51:00+00:00
1752602700000,7.85,7.85,7.85,2,7.85,316,7.85,2025-07-15 18:05:00+00:00
1752603600000,7.3,7.3,7.3,1,7.3,1000,7.3,2025-07-15 18:20:00+00:00
1752603720000,7.3,7.3,7.3,1,7.3,1000,7.3,2025-07-15 18:22:00+00:00
1752604140000,7.62,7.62,7.62,1,7.62,200,7.62,2025-07-15 18:29:00+00:00
1752609600000,7.3,7.3,7.3,1,7.3,461,7.3,2025-07-15 20:00:00+00:00
1752672600000,7.28,7.28,7.28,5,7.28,265,7.28,2025-07-16 13:30:00+00:00
1752673080000,7.5138,7.5138,7.5138,1,7.5138,100,7.5138,2025-07-16 13:38:00+00:00
1752673320000,7.495,7.495,7.495,3,7.495,141,7.495,2025-07-16 13:42:00+00:00
1752674040000,7.7967,7.7967,7.7967,1,7.7967,1000,7.7967,2025-07-16 13:54:00+00:00
1752674100000,7.3,7.3,7.3,1,7.3,400,7.3,2025-07-16 13:55:00+00:00
1752674700000,7.5,7.5,7.5,2,7.5,181,7.5,2025-07-16 14:05:00+00:00
1752675660000,7.31,7.31,7.31,1,7.31,1000,7.31,2025-07-16 14:21:00+00:00
1752675840000,7.573,7.573,7.573,1,7.573,166,7.573,2025-07-16 14:24:00+00:00
1752676020000,7.35,7.35,7.35,3,7.35,513,7.35,2025-07-16 14:27:00+00:00
1752677520000,7.5,7.5,7.5,4,7.5,310,7.5,2025-07-16 14:52:00+00:00
1752678300000,7.6,7.6,7.6,1,7.6,500,7.6,2025-07-16 15:05:00+00:00
1752679020000,7.75,7.75,7.75,2,7.75,200,7.75,2025-07-16 15:17:00+00:00
1752680760000,7.8,7.8,7.8,1,7.8,100,7.8,2025-07-16 15:46:00+00:00
1752681120000,7.6092,7.6092,7.6092,4,7.6092,600,7.6092,2025-07-16 15:52:00+00:00
1752681540000,7.7,7.7,7.7,2,7.7,166,7.7,2025-07-16 15:59:00+00:00
1752681960000,7.6035,7.6035,7.6035,2,7.6035,572,7.6035,2025-07-16 16:06:00+00:00
1752682260000,7.7,7.7,7.7,5,7.7,298,7.7,2025-07-16 16:11:00+00:00
1752682320000,7.65,7.7,7.65,4,7.7,345,7.675833,2025-07-16 16:12:00+00:00
1752684000000,7.6871,7.6871,7.6871,1,7.6871,100,7.6871,2025-07-16 16:40:00+00:00
1752684480000,7.67,7.7,7.67,4,7.7,1472,7.68981,2025-07-16 16:48:00+00:00
1752684660000,7.61,7.7,7.61,17,7.7,545,7.655,2025-07-16 16:51:00+00:00
1752685020000,7.75,7.75,7.75,1,7.75,1500,7.75,2025-07-16 16:57:00+00:00
1752685080000,7.7612,7.7612,7.7612,1,7.7612,150,7.7612,2025-07-16 16:58:00+00:00
1752685260000,7.6,7.6,7.6,1,7.6,350,7.6,2025-07-16 17:01:00+00:00
1752686400000,7.705,7.705,7.705,1,7.705,200,7.705,2025-07-16 17:20:00+00:00
1752691440000,7.7981,7.7981,7.7981,1,7.7981,150,7.7981,2025-07-16 18:44:00+00:00
1752692580000,7.7514,7.7514,7.7514,1,7.7514,1150,7.7514,2025-07-16 19:03:00+00:00
1752692640000,7.9299,7.9299,7.705,7,7.8,1498,7.798255,2025-07-16 19:04:00+00:00
1752693180000,8.0199,8.0199,8.0199,1,8.0199,626,8.0199,2025-07-16 19:13:00+00:00
1752693300000,7.85,7.85,7.85,7,7.85,174,7.85,2025-07-16 19:15:00+00:00
1752694320000,7.74,7.74,7.72,7,7.72,301,7.73,2025-07-16 19:32:00+00:00
1752694500000,7.8,7.8,7.8,1,7.8,500,7.8,2025-07-16 19:35:00+00:00
1752694920000,7.7101,7.8,7.7101,4,7.8,1653,7.772807,2025-07-16 19:42:00+00:00
1752696000000,7.76,7.76,7.76,1,7.76,348,7.76,2025-07-16 20:00:00+00:00
1752759000000,7.85,7.85,7.85,10,7.85,2085,7.85,2025-07-17 13:30:00+00:00
1752759300000,7.7108,7.7108,7.7108,1,7.7108,200,7.7108,2025-07-17 13:35:00+00:00
1752759480000,7.8574,7.8574,7.8574,1,7.8574,2000,7.8574,2025-07-17 13:38:00+00:00
1752760680000,7.895,7.895,7.895,1,7.895,130,7.895,2025-07-17 13:58:00+00:00
1752760860000,7.96,7.96,7.96,2,7.96,1000,7.96,2025-07-17 14:01:00+00:00
1752760980000,7.895,7.895,7.895,1,7.895,208,7.895,2025-07-17 14:03:00+00:00
1752761580000,7.7901,7.7901,7.7901,1,7.7901,250,7.7901,2025-07-17 14:13:00+00:00
1752761880000,7.9,7.9,7.9,1,7.9,100,7.9,2025-07-17 14:18:00+00:00
1752762360000,7.78,7.8,7.78,6,7.8,1001,7.785,2025-07-17 14:26:00+00:00
1752763620000,7.47,7.775,7.46,25,7.7,3761,7.652973,2025-07-17 14:47:00+00:00
1752763680000,7.9,7.9,7.9,1,7.9,300,7.9,2025-07-17 14:48:00+00:00
1752763980000,7.6286,7.6286,7.6286,1,7.6286,250,7.6286,2025-07-17 14:53:00+00:00
1752764040000,7.9,7.9,7.9,1,7.9,250,7.9,2025-07-17 14:54:00+00:00
1752767340000,7.8999,7.8999,7.8999,2,7.8999,130,7.8999,2025-07-17 15:49:00+00:00
1752767760000,7.45,7.45,7.45,2,7.45,2000,7.45,2025-07-17 15:56:00+00:00
1752769560000,7.5009,7.5009,7.5009,1,7.5009,100,7.5009,2025-07-17 16:26:00+00:00
1752769620000,7.58,7.58,7.58,5,7.58,1039,7.58,2025-07-17 16:27:00+00:00
1752770940000,7.58,7.58,7.58,2,7.58,370,7.58,2025-07-17 16:49:00+00:00
1752771060000,7.5194,7.5194,7.5194,1,7.5194,250,7.5194,2025-07-17 16:51:00+00:00
1752772860000,7.58,7.58,7.58,3,7.58,102,7.58,2025-07-17 17:21:00+00:00
1752775140000,7.56,7.56,7.56,2,7.56,101,7.56,2025-07-17 17:59:00+00:00
1752776220000,7.55,7.55,7.55,3,7.55,216,7.55,2025-07-17 18:17:00+00:00
1752776700000,7.56,7.56,7.56,3,7.56,132,7.56,2025-07-17 18:25:00+00:00
1752777420000,7.5764,7.5764,7.5764,3,7.5764,1022,7.5764,2025-07-17 18:37:00+00:00
1752779280000,7.5706,7.5706,7.5706,2,7.5706,176,7.5706,2025-07-17 19:08:00+00:00
1752779400000,7.58,7.58,7.58,6,7.58,383,7.58,2025-07-17 19:10:00+00:00
1752779520000,7.58,7.58,7.58,3,7.58,163,7.58,2025-07-17 19:12:00+00:00
1752781080000,7.6372,7.6372,7.6372,2,7.6372,101,7.6372,2025-07-17 19:38:00+00:00
1752781560000,7.8,7.8,7.8,2,7.8,1933,7.8,2025-07-17 19:46:00+00:00
1752781980000,7.8,7.8,7.8,3,7.8,300,7.8,2025-07-17 19:53:00+00:00
1752782040000,7.76,7.8,7.76,7,7.8,601,7.793333,2025-07-17 19:54:00+00:00
1752782100000,7.8,7.8,7.77,29,7.8,2006,7.791333,2025-07-17 19:55:00+00:00
1752782160000,7.8,7.8,7.78,27,7.8,2238,7.796316,2025-07-17 19:56:00+00:00
1752782220000,7.89,7.9,7.76,23,7.8,1909,7.861176,2025-07-17 19:57:00+00:00
1752782280000,8.0,8.0,7.88,21,7.89,1934,7.942105,2025-07-17 19:58:00+00:00
1752782340000,8.0,8.0,7.92,24,8.0,1961,7.986667,2025-07-17 19:59:00+00:00
1752782400000,7.84,7.84,7.84,1,7.84,959,7.84,2025-07-17 20:00:00+00:00
1752845400000,7.45,7.98,7.45,42,7.98,5702,7.647722,2025-07-18 13:30:00+00:00
1752845520000,7.73,7.73,7.73,1,7.73,100,7.73,2025-07-18 13:32:00+00:00
1752846000000,7.79,7.79,7.79,2,7.79,104,7.79,2025-07-18 13:40:00+00:00
1752847140000,7.7608,7.7608,7.7608,1,7.7608,701,7.7608,2025-07-18 13:59:00+00:00
1752847200000,8.0,8.0,8.0,1,8.0,1150,8.0,2025-07-18 14:00:00+00:00
1752847440000,7.74,7.74,7.74,6,7.74,306,7.74,2025-07-18 14:04:00+00:00
1752848160000,7.74,7.74,7.74,1,7.74,100,7.74,2025-07-18 14:16:00+00:00
1752849480000,7.9,7.9,7.9,2,7.9,201,7.9,2025-07-18 14:38:00+00:00
1752851580000,7.815,7.87,7.815,6,7.815,1100,7.859843,2025-07-18 15:13:00+00:00
1752851940000,7.74,7.74,7.74,1,7.74,100,7.74,2025-07-18 15:19:00+00:00
1752852480000,7.815,7.815,7.815,3,7.815,1001,7.815,2025-07-18 15:28:00+00:00
1752854100000,7.7379,7.7379,7.7379,1,7.7379,250,7.7379,2025-07-18 15:55:00+00:00
1752854940000,7.8804,7.8804,7.8804,1,7.8804,125,7.8804,2025-07-18 16:09:00+00:00
1752856680000,7.74,7.74,7.74,1,7.74,100,7.74,2025-07-18 16:38:00+00:00
1752858960000,7.755,7.755,7.755,2,7.755,101,7.755,2025-07-18 17:16:00+00:00
1752861900000,7.8894,7.8894,7.8894,2,7.8894,700,7.8894,2025-07-18 18:05:00+00:00
1752862380000,7.84,7.85,7.84,3,7.85,226,7.845,2025-07-18 18:13:00+00:00
1752864720000,7.7853,7.7853,7.7853,1,7.7853,200,7.7853,2025-07-18 18:52:00+00:00
1752866220000,7.8177,7.8177,7.8177,3,7.8177,251,7.8177,2025-07-18 19:17:00+00:00
1752866580000,7.825,7.825,7.825,1,7.825,191,7.825,2025-07-18 19:23:00+00:00
1752867180000,7.755,7.755,7.755,1,7.755,100,7.755,2025-07-18 19:33:00+00:00
1752867240000,7.7995,7.7995,7.7995,2,7.7995,245,7.7995,2025-07-18 19:34:00+00:00
1752868080000,7.77,7.77,7.77,1,7.77,100,7.77,2025-07-18 19:48:00+00:00
1752868200000,7.75,7.75,7.75,2,7.75,170,7.75,2025-07-18 19:50:00+00:00
1752868800000,7.8,7.8,7.8,1,7.8,120,7.8,2025-07-18 20:00:00+00:00
1753104600000,7.8,7.8,7.8,10,7.8,2005,7.8,2025-07-21 13:30:00+00:00
1753104660000,7.8,7.81,7.8,6,7.81,391,7.802976,2025-07-21 13:31:00+00:00
1753104720000,7.6852,7.6852,7.6852,3,7.6852,210,7.6852,2025-07-21 13:32:00+00:00
1753105140000,8.0,8.0,7.85,20,7.9106,3894,7.941639,2025-07-21 13:39:00+00:00
1753105200000,8.0999,8.0999,7.96,5,7.96,731,8.031386,2025-07-21 13:40:00+00:00
1753105260000,8.055,8.1,8.055,12,8.1,1069,8.079916,2025-07-21 13:41:00+00:00
1753105320000,8.1,8.1,8.055,7,8.055,689,8.08913,2025-07-21 13:42:00+00:00
1753105380000,8.1,8.1,8.1,1,8.1,2000,8.1,2025-07-21 13:43:00+00:00
1753105500000,8.08,8.08,8.08,1,8.08,126,8.08,2025-07-21 13:45:00+00:00
1753105560000,8.0953,8.0953,8.0953,1,8.0953,300,8.0953,2025-07-21 13:46:00+00:00
1753105620000,8.12,8.12,8.1,2,8.1,300,8.113333,2025-07-21 13:47:00+00:00
1753106760000,8.12,8.12,8.065,6,8.065,384,8.0925,2025-07-21 14:06:00+00:00
1753106880000,8.15,8.15,8.11,8,8.11,2123,8.120952,2025-07-21 14:08:00+00:00
1753106940000,8.1,8.1,8.1,2,8.1,773,8.1,2025-07-21 14:09:00+00:00
1753107240000,8.1499,8.15,8.1,5,8.1,1786,8.115137,2025-07-21 14:14:00+00:00
1753107780000,8.15,8.15,8.15,6,8.15,623,8.15,2025-07-21 14:23:00+00:00
1753107900000,8.042,8.1262,8.042,4,8.1262,202,8.0841,2025-07-21 14:25:00+00:00
1753108380000,8.15,8.15,8.15,1,8.15,100,8.15,2025-07-21 14:33:00+00:00
1753108440000,8.18,8.18,8.15,15,8.15,2004,8.162645,2025-07-21 14:34:00+00:00
1753108500000,8.125,8.18,8.125,7,8.18,840,8.1721,2025-07-21 14:35:00+00:00
1753108980000,8.0873,8.0873,8.0873,2,8.0873,160,8.0873,2025-07-21 14:43:00+00:00
1753109160000,8.18,8.18,8.126,3,8.126,392,8.144,2025-07-21 14:46:00+00:00
1753109400000,8.18,8.18,8.18,4,8.18,400,8.18,2025-07-21 14:50:00+00:00
1753109520000,8.18,8.18,8.1799,14,8.1799,2045,8.179918,2025-07-21 14:52:00+00:00
1753109640000,8.18,8.18,8.18,4,8.18,180,8.18,2025-07-21 14:54:00+00:00
1753109820000,8.135,8.16,8.09,50,8.16,6377,8.103301,2025-07-21 14:57:00+00:00
1753109880000,8.07,8.09,8.07,17,8.09,1460,8.082647,2025-07-21 14:58:00+00:00
1753110120000,7.98,7.98,7.98,4,7.98,587,7.98,2025-07-21 15:02:00+00:00
1753110840000,7.998,7.998,7.998,1,7.998,100,7.998,2025-07-21 15:14:00+00:00
1753111440000,8.08,8.09,8.08,12,8.08,1923,8.081136,2025-07-21 15:24:00+00:00
1753111620000,8.09,8.09,8.09,8,8.09,1070,8.09,2025-07-21 15:27:00+00:00
1753111680000,8.0835,8.0835,8.0835,3,8.0835,115,8.0835,2025-07-21 15:28:00+00:00
1753113240000,8.08,8.08,8.08,4,8.08,546,8.08,2025-07-21 15:54:00+00:00
1753113420000,8.085,8.085,8.085,1,8.085,100,8.085,2025-07-21 15:57:00+00:00
1753113780000,8.0825,8.0825,8.08,7,8.08,12417,8.081006,2025-07-21 16:03:00+00:00
1753113840000,7.98,8.0,7.98,4,8.0,304,7.99,2025-07-21 16:04:00+00:00
1753114260000,8.0136,8.0136,8.0136,1,8.0136,100,8.0136,2025-07-21 16:11:00+00:00
1753114560000,7.98,7.98,7.98,2,7.98,186,7.98,2025-07-21 16:16:00+00:00
1753116120000,7.9004,7.9004,7.9004,5,7.9004,239,7.9004,2025-07-21 16:42:00+00:00
1753116600000,7.3201,7.68,7.3201,17,7.68,1164,7.467772,2025-07-21 16:50:00+00:00
1753116720000,7.427,7.427,7.427,2,7.427,610,7.427,2025-07-21 16:52:00+00:00
1753117620000,7.54,7.54,7.54,6,7.54,300,7.54,2025-07-21 17:07:00+00:00
1753119600000,7.97,7.97,7.97,1,7.97,100,7.97,2025-07-21 17:40:00+00:00
1753119900000,7.6784,7.6784,7.6784,1,7.6784,100,7.6784,2025-07-21 17:45:00+00:00
1753122960000,7.5466,7.5466,7.5466,3,7.5466,152,7.5466,2025-07-21 18:36:00+00:00
1753123440000,7.717,7.717,7.717,1,7.717,499,7.717,2025-07-21 18:44:00+00:00
1753124220000,7.69,7.69,7.69,1,7.69,100,7.69,2025-07-21 18:57:00+00:00
1753124760000,7.68,7.68,7.68,1,7.68,100,7.68,2025-07-21 19:06:00+00:00
