timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750167000000,5.13,5.13,5.13,5,5.13,136,5.13,2025-06-17 13:30:00+00:00
1750167720000,5.49,5.49,5.46,9,5.46,457,5.468216,2025-06-17 13:42:00+00:00
1750167780000,5.51,5.51,5.49,20,5.51,353,5.503333,2025-06-17 13:43:00+00:00
1750167900000,5.51,5.51,5.51,8,5.51,929,5.51,2025-06-17 13:45:00+00:00
1750168980000,5.39,5.5498,5.39,4,5.47,500,5.484245,2025-06-17 14:03:00+00:00
1750171020000,5.81,5.81,5.5,15,5.5,1146,5.666,2025-06-17 14:37:00+00:00
1750171080000,6.0,6.0,5.63,11,5.63,1821,5.949534,2025-06-17 14:38:00+00:00
1750171140000,5.99,6.0,5.99,25,5.99,1564,5.993913,2025-06-17 14:39:00+00:00
1750171200000,6.1,6.1,6.01,13,6.01,861,6.082857,2025-06-17 14:40:00+00:00
1750171260000,6.01,6.15,6.01,8,6.01,571,6.056939,2025-06-17 14:41:00+00:00
1750171320000,5.825,6.01,5.825,16,6.01,566,5.93875,2025-06-17 14:42:00+00:00
1750171680000,6.09,6.09,6.09,2,6.09,102,6.09,2025-06-17 14:48:00+00:00
1750171740000,6.09,6.09,6.09,17,6.09,414,6.09,2025-06-17 14:49:00+00:00
1750171800000,6.3,6.3,6.3,5,6.3,121,6.3,2025-06-17 14:50:00+00:00
1750171860000,6.31,6.325,6.3,21,6.3,3720,6.30125,2025-06-17 14:51:00+00:00
1750171920000,6.27,6.27,6.2,13,6.2,496,6.233824,2025-06-17 14:52:00+00:00
1750171980000,6.1,6.1,6.1,11,6.1,422,6.1,2025-06-17 14:53:00+00:00
1750172160000,6.02,6.11,6.01,15,6.11,880,6.064126,2025-06-17 14:56:00+00:00
1750172280000,6.1,6.1,6.1,3,6.1,1171,6.1,2025-06-17 14:58:00+00:00
1750172460000,6.22,6.22,6.1,4,6.1,403,6.19,2025-06-17 15:01:00+00:00
1750172640000,6.18,6.18,6.18,3,6.18,152,6.18,2025-06-17 15:04:00+00:00
1750172760000,5.97,5.97,5.97,6,5.97,425,5.97,2025-06-17 15:06:00+00:00
1750172940000,5.94,5.94,5.94,11,5.94,552,5.94,2025-06-17 15:09:00+00:00
1750173000000,5.94,5.94,5.94,5,5.94,254,5.94,2025-06-17 15:10:00+00:00
1750173180000,5.92,5.92,5.92,6,5.92,197,5.92,2025-06-17 15:13:00+00:00
1750173300000,6.14,6.14,5.88,22,5.9,2455,5.944257,2025-06-17 15:15:00+00:00
