timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757446260000,5.1,5.11,5.1,6,5.11,268,5.105,2025-09-09 19:31:00+00:00
1757446320000,5.07,5.11,5.07,32,5.11,2035,5.093417,2025-09-09 19:32:00+00:00
1757446380000,5.085,5.085,5.07,35,5.08,2193,5.079893,2025-09-09 19:33:00+00:00
1757446440000,5.1,5.1,5.085,38,5.085,5622,5.087276,2025-09-09 19:34:00+00:00
1757446500000,5.13,5.13,5.12,10,5.12,696,5.122,2025-09-09 19:35:00+00:00
1757446560000,5.125,5.125,5.125,8,5.125,388,5.125,2025-09-09 19:36:00+00:00
1757446620000,5.14,5.14,5.125,9,5.13,800,5.130714,2025-09-09 19:37:00+00:00
1757446680000,5.13,5.13,5.13,6,5.13,290,5.13,2025-09-09 19:38:00+00:00
1757446740000,5.14,5.14,5.14,5,5.14,363,5.14,2025-09-09 19:39:00+00:00
1757446800000,5.13,5.13,5.13,18,5.13,389,5.13,2025-09-09 19:40:00+00:00
1757446860000,5.13,5.13,5.13,3,5.13,500,5.13,2025-09-09 19:41:00+00:00
1757446920000,5.13,5.14,5.13,5,5.14,322,5.135,2025-09-09 19:42:00+00:00
1757446980000,5.14,5.14,5.125,18,5.125,1674,5.129384,2025-09-09 19:43:00+00:00
1757447040000,5.15,5.15,5.13,9,5.13,527,5.14,2025-09-09 19:44:00+00:00
1757447100000,5.15,5.15,5.14,28,5.14,1037,5.146,2025-09-09 19:45:00+00:00
1757447160000,5.16,5.16,5.15,15,5.15,1013,5.155926,2025-09-09 19:46:00+00:00
1757447220000,5.16,5.17,5.16,15,5.16,720,5.161873,2025-09-09 19:47:00+00:00
1757447280000,5.16,5.16,5.155,14,5.16,1752,5.159401,2025-09-09 19:48:00+00:00
1757447340000,5.16,5.17,5.15,17,5.16,1391,5.162521,2025-09-09 19:49:00+00:00
1757447400000,5.16,5.17,5.15,29,5.16,1033,5.156614,2025-09-09 19:50:00+00:00
1757447460000,5.15,5.16,5.15,16,5.16,888,5.158551,2025-09-09 19:51:00+00:00
1757447520000,5.155,5.16,5.15,23,5.16,1838,5.154356,2025-09-09 19:52:00+00:00
1757447580000,5.165,5.165,5.15,50,5.155,2727,5.158129,2025-09-09 19:53:00+00:00
1757447640000,5.17,5.17,5.17,42,5.17,759,5.17,2025-09-09 19:54:00+00:00
1757447700000,5.17,5.17,5.17,37,5.17,2801,5.17,2025-09-09 19:55:00+00:00
1757447760000,5.165,5.165,5.165,20,5.165,1194,5.165,2025-09-09 19:56:00+00:00
1757447820000,5.19,5.19,5.17,75,5.17,4516,5.179394,2025-09-09 19:57:00+00:00
1757447880000,5.185,5.19,5.185,46,5.185,2314,5.186923,2025-09-09 19:58:00+00:00
1757447940000,5.19,5.2,5.185,93,5.185,6804,5.191912,2025-09-09 19:59:00+00:00
1757448000000,5.25,5.25,5.19,8,5.19,25879,5.192087,2025-09-09 20:00:00+00:00
