timeStamp,close,high,low,trade_count,open,volume,vwap,date
1746457140000,0.7501,0.7501,0.7501,4,0.7501,278,0.7501,2025-05-05 14:59:00+00:00
1746457260000,0.75,0.75,0.75,2,0.75,110,0.75,2025-05-05 15:01:00+00:00
1746458580000,0.75,0.75,0.75,1,0.75,150,0.75,2025-05-05 15:23:00+00:00
1746459000000,0.75,0.75,0.75,2,0.75,301,0.75,2025-05-05 15:30:00+00:00
1746459300000,0.7501,0.7501,0.7501,2,0.7501,121,0.7501,2025-05-05 15:35:00+00:00
1746460020000,0.7501,0.7501,0.7501,11,0.7501,712,0.7501,2025-05-05 15:47:00+00:00
1746460080000,0.7507,0.7507,0.7507,2,0.7507,103,0.7507,2025-05-05 15:48:00+00:00
1746463140000,0.8234,0.8234,0.8234,2,0.8234,200,0.8234,2025-05-05 16:39:00+00:00
1746467220000,0.75,0.75,0.75,2,0.75,3563,0.75,2025-05-05 17:47:00+00:00
1746468240000,0.7871,0.7871,0.7871,1,0.7871,225,0.7871,2025-05-05 18:04:00+00:00
1746474720000,0.79,0.79,0.79,1,0.79,100,0.79,2025-05-05 19:52:00+00:00
1746538200000,0.75,0.7875,0.75,11,0.75,1347,0.758039,2025-05-06 13:30:00+00:00
1746539220000,0.75,0.75,0.75,4,0.75,4070,0.75,2025-05-06 13:47:00+00:00
1746540720000,0.7474,0.7474,0.7474,2,0.7474,317,0.7474,2025-05-06 14:12:00+00:00
1746541740000,0.75,0.75,0.75,1,0.75,100,0.75,2025-05-06 14:29:00+00:00
1746544740000,0.75,0.75,0.75,1,0.75,100,0.75,2025-05-06 15:19:00+00:00
1746545940000,0.75,0.75,0.75,1,0.75,100,0.75,2025-05-06 15:39:00+00:00
1746549060000,0.75,0.75,0.75,1,0.75,503,0.75,2025-05-06 16:31:00+00:00
1746555720000,0.75,0.75,0.75,6,0.75,478,0.75,2025-05-06 18:22:00+00:00
1746558900000,0.72,0.72,0.72,3,0.72,133,0.72,2025-05-06 19:15:00+00:00
1746560880000,0.73,0.73,0.73,1,0.73,100,0.73,2025-05-06 19:48:00+00:00
1746624600000,0.9199,0.9199,0.835,26,0.835,4419,0.878052,2025-05-07 13:30:00+00:00
1746624660000,0.8988,0.92,0.8801,33,0.9199,7007,0.905419,2025-05-07 13:31:00+00:00
1746624720000,0.9026,0.9175,0.8801,22,0.8801,8046,0.901622,2025-05-07 13:32:00+00:00
1746624780000,0.793,0.9007,0.75,54,0.9007,17767,0.830961,2025-05-07 13:33:00+00:00
1746624840000,0.8185,0.8354,0.7635,61,0.778,10756,0.789056,2025-05-07 13:34:00+00:00
1746624900000,0.763,0.8,0.763,5,0.8,746,0.793511,2025-05-07 13:35:00+00:00
1746624960000,0.8081,0.8081,0.8081,3,0.8081,603,0.8081,2025-05-07 13:36:00+00:00
1746625020000,0.8522,0.8522,0.8416,10,0.8522,1034,0.84896,2025-05-07 13:37:00+00:00
1746625080000,0.8122,0.8122,0.8122,2,0.8122,205,0.8122,2025-05-07 13:38:00+00:00
1746625320000,0.81,0.81,0.765,11,0.765,5293,0.770856,2025-05-07 13:42:00+00:00
1746625380000,0.85,0.85,0.85,3,0.85,810,0.85,2025-05-07 13:43:00+00:00
1746625440000,0.85,0.85,0.85,1,0.85,100,0.85,2025-05-07 13:44:00+00:00
1746625620000,0.8097,0.8175,0.8097,4,0.8175,1758,0.810556,2025-05-07 13:47:00+00:00
1746625680000,0.8001,0.8013,0.8001,3,0.8013,350,0.80046,2025-05-07 13:48:00+00:00
1746625740000,0.8345,0.8345,0.7745,9,0.8,2406,0.797285,2025-05-07 13:49:00+00:00
1746625860000,0.8,0.8,0.8,2,0.8,175,0.8,2025-05-07 13:51:00+00:00
1746625920000,0.7849,0.785,0.7849,4,0.785,619,0.784981,2025-05-07 13:52:00+00:00
1746625980000,0.7725,0.7725,0.7725,1,0.7725,146,0.7725,2025-05-07 13:53:00+00:00
1746626040000,0.763,0.763,0.763,7,0.763,1460,0.763,2025-05-07 13:54:00+00:00
1746626100000,0.7451,0.76,0.7451,10,0.76,1368,0.74675,2025-05-07 13:55:00+00:00
1746626160000,0.7181,0.731,0.718,30,0.73,31137,0.719401,2025-05-07 13:56:00+00:00
1746626220000,0.7181,0.7181,0.7181,4,0.7181,978,0.7181,2025-05-07 13:57:00+00:00
1746626280000,0.76,0.76,0.76,4,0.76,274,0.76,2025-05-07 13:58:00+00:00
1746626340000,0.738,0.738,0.738,2,0.738,200,0.738,2025-05-07 13:59:00+00:00
1746626400000,0.73,0.7388,0.73,5,0.73,1422,0.731304,2025-05-07 14:00:00+00:00
1746626520000,0.7216,0.7216,0.7216,2,0.7216,125,0.7216,2025-05-07 14:02:00+00:00
1746626580000,0.7256,0.73,0.7212,6,0.73,3400,0.722624,2025-05-07 14:03:00+00:00
1746626640000,0.7123,0.7127,0.704,12,0.7127,3404,0.709149,2025-05-07 14:04:00+00:00
1746626700000,0.7079,0.7079,0.7045,13,0.7049,1100,0.70515,2025-05-07 14:05:00+00:00
1746626760000,0.7225,0.73,0.7153,7,0.73,5901,0.728212,2025-05-07 14:06:00+00:00
1746626820000,0.73,0.73,0.73,3,0.73,700,0.73,2025-05-07 14:07:00+00:00
1746627000000,0.725,0.73,0.725,11,0.73,2800,0.725179,2025-05-07 14:10:00+00:00
1746627060000,0.7157,0.72,0.7139,15,0.72,7040,0.719343,2025-05-07 14:11:00+00:00
1746627120000,0.7154,0.7154,0.714,3,0.714,1101,0.714127,2025-05-07 14:12:00+00:00
1746627240000,0.7298,0.7298,0.7298,1,0.7298,106,0.7298,2025-05-07 14:14:00+00:00
1746627300000,0.7063,0.714,0.7063,4,0.7123,750,0.712414,2025-05-07 14:15:00+00:00
1746627420000,0.7558,0.7558,0.7558,2,0.7558,105,0.7558,2025-05-07 14:17:00+00:00
1746627540000,0.7235,0.7235,0.7235,6,0.7235,960,0.7235,2025-05-07 14:19:00+00:00
1746627780000,0.731,0.76,0.73,15,0.73,3607,0.757772,2025-05-07 14:23:00+00:00
1746627960000,0.701,0.731,0.701,17,0.731,1039,0.716823,2025-05-07 14:26:00+00:00
1746628140000,0.76,0.76,0.76,2,0.76,510,0.76,2025-05-07 14:29:00+00:00
1746628320000,0.76,0.76,0.76,2,0.76,300,0.76,2025-05-07 14:32:00+00:00
1746628440000,0.7374,0.7374,0.7374,4,0.7374,1556,0.7374,2025-05-07 14:34:00+00:00
1746628560000,0.7357,0.7357,0.7357,1,0.7357,244,0.7357,2025-05-07 14:36:00+00:00
1746629100000,0.76,0.76,0.7599,3,0.7599,302,0.759967,2025-05-07 14:45:00+00:00
1746629340000,0.76,0.76,0.76,1,0.76,4500,0.76,2025-05-07 14:49:00+00:00
1746629400000,0.7415,0.7438,0.7415,13,0.7437,1760,0.742689,2025-05-07 14:50:00+00:00
1746629460000,0.7565,0.7867,0.7405,12,0.741,1408,0.768688,2025-05-07 14:51:00+00:00
1746629520000,0.7796,0.7867,0.7795,6,0.7867,3255,0.779998,2025-05-07 14:52:00+00:00
1746629580000,0.7749,0.78,0.7749,6,0.78,1345,0.777987,2025-05-07 14:53:00+00:00
1746629700000,0.7798,0.7798,0.7798,3,0.7798,574,0.7798,2025-05-07 14:55:00+00:00
1746630000000,0.7924,0.7924,0.7924,7,0.7924,1079,0.7924,2025-05-07 15:00:00+00:00
1746630120000,0.7511,0.7511,0.751,8,0.7511,602,0.75106,2025-05-07 15:02:00+00:00
1746630180000,0.7877,0.7877,0.7875,4,0.7875,227,0.7876,2025-05-07 15:03:00+00:00
1746630240000,0.8189,0.8189,0.8189,3,0.8189,130,0.8189,2025-05-07 15:04:00+00:00
1746630300000,0.8399,0.84,0.811,17,0.8189,3154,0.829521,2025-05-07 15:05:00+00:00
1746630360000,0.8169,0.8169,0.8169,3,0.8169,2400,0.8169,2025-05-07 15:06:00+00:00
