timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757947740000,0.8397,0.8398,0.8396,13,0.8396,3200,0.839703,2025-09-15 14:49:00+00:00
1757947800000,0.8398,0.8398,0.8397,2,0.8397,328,0.839761,2025-09-15 14:50:00+00:00
1757947860000,0.8398,0.8398,0.8397,10,0.8398,3851,0.839747,2025-09-15 14:51:00+00:00
1757947920000,0.8397,0.8398,0.8397,5,0.8397,1500,0.839773,2025-09-15 14:52:00+00:00
1757947980000,0.8398,0.8398,0.8397,8,0.8398,3575,0.839794,2025-09-15 14:53:00+00:00
1757948040000,0.8397,0.8398,0.8397,6,0.8398,1403,0.839721,2025-09-15 14:54:00+00:00
1757948100000,0.8397,0.8398,0.8397,10,0.8397,10433,0.839748,2025-09-15 14:55:00+00:00
1757948160000,0.8397,0.8398,0.8397,8,0.8397,11532,0.839712,2025-09-15 14:56:00+00:00
1757948220000,0.8396,0.8398,0.8396,40,0.8398,29737,0.839784,2025-09-15 14:57:00+00:00
1757948280000,0.8439,0.8497,0.8398,48,0.8399,62416,0.841077,2025-09-15 14:58:00+00:00
1757948340000,0.8497,0.8497,0.8461,12,0.8474,8247,0.847967,2025-09-15 14:59:00+00:00
1757948400000,0.8477,0.8477,0.8441,9,0.8441,2257,0.845184,2025-09-15 15:00:00+00:00
1757948460000,0.8474,0.8484,0.8474,12,0.8484,1153,0.848153,2025-09-15 15:01:00+00:00
1757948520000,0.8469,0.8495,0.8469,5,0.8487,7350,0.84913,2025-09-15 15:02:00+00:00
1757948580000,0.8452,0.848,0.8452,6,0.8452,361,0.846133,2025-09-15 15:03:00+00:00
1757948640000,0.8452,0.8466,0.845,10,0.8466,4429,0.845124,2025-09-15 15:04:00+00:00
1757948700000,0.8493,0.8497,0.8447,35,0.846,90370,0.84725,2025-09-15 15:05:00+00:00
1757948760000,0.847,0.8491,0.847,4,0.8478,2895,0.847209,2025-09-15 15:06:00+00:00
1757948820000,0.8466,0.8491,0.8466,3,0.849,1050,0.847781,2025-09-15 15:07:00+00:00
1757948880000,0.8458,0.8468,0.8458,7,0.8465,6304,0.846615,2025-09-15 15:08:00+00:00
1757948940000,0.8462,0.8479,0.8444,11,0.8479,1248,0.845215,2025-09-15 15:09:00+00:00
1757949000000,0.849,0.8497,0.8472,34,0.8476,6300,0.848821,2025-09-15 15:10:00+00:00
1757949060000,0.8489,0.8497,0.8476,22,0.8476,59980,0.849459,2025-09-15 15:11:00+00:00
1757949120000,0.8477,0.8484,0.8477,10,0.8484,6960,0.848275,2025-09-15 15:12:00+00:00
1757949180000,0.8402,0.8478,0.8402,34,0.8478,4617,0.846619,2025-09-15 15:13:00+00:00
1757949240000,0.8402,0.8457,0.8402,6,0.8434,1010,0.842607,2025-09-15 15:14:00+00:00
1757949360000,0.8462,0.8462,0.8455,5,0.8455,275,0.84585,2025-09-15 15:16:00+00:00
1757949420000,0.8459,0.8461,0.8456,21,0.8456,1101,0.8459,2025-09-15 15:17:00+00:00
1757949480000,0.8437,0.8459,0.8437,6,0.8453,602,0.845067,2025-09-15 15:18:00+00:00
1757949540000,0.8437,0.8437,0.8437,11,0.8437,610,0.8437,2025-09-15 15:19:00+00:00
1757949600000,0.8415,0.8437,0.8415,12,0.8437,777,0.843282,2025-09-15 15:20:00+00:00
1757949660000,0.8437,0.8461,0.8413,14,0.8413,1006,0.843869,2025-09-15 15:21:00+00:00
1757949720000,0.845,0.8462,0.8409,34,0.8462,14772,0.841719,2025-09-15 15:22:00+00:00
1757949780000,0.8418,0.8462,0.8418,12,0.8462,2912,0.843421,2025-09-15 15:23:00+00:00
1757949840000,0.8438,0.8438,0.8429,5,0.8429,2518,0.842972,2025-09-15 15:24:00+00:00
1757949900000,0.8421,0.8457,0.842,30,0.8453,6342,0.845056,2025-09-15 15:25:00+00:00
1757949960000,0.8458,0.8458,0.8422,8,0.8422,5569,0.844932,2025-09-15 15:26:00+00:00
1757950020000,0.8464,0.8495,0.8461,29,0.8461,20730,0.849271,2025-09-15 15:27:00+00:00
1757950080000,0.8495,0.8495,0.8464,5,0.8464,3734,0.848476,2025-09-15 15:28:00+00:00
1757950140000,0.85,0.85,0.8469,47,0.8469,77656,0.849498,2025-09-15 15:29:00+00:00
1757950200000,0.85,0.85,0.8481,57,0.85,61903,0.849946,2025-09-15 15:30:00+00:00
1757950260000,0.8534,0.855,0.85,30,0.85,111757,0.850158,2025-09-15 15:31:00+00:00
1757950320000,0.8522,0.855,0.8518,26,0.8525,25565,0.852392,2025-09-15 15:32:00+00:00
1757950380000,0.8471,0.851,0.847,33,0.851,4517,0.848959,2025-09-15 15:33:00+00:00
1757950440000,0.8497,0.8497,0.8471,16,0.8471,1285,0.849236,2025-09-15 15:34:00+00:00
1757950500000,0.8471,0.8498,0.8471,4,0.8498,1254,0.849504,2025-09-15 15:35:00+00:00
1757950560000,0.845,0.8471,0.845,5,0.8471,810,0.846825,2025-09-15 15:36:00+00:00
1757950620000,0.8489,0.8489,0.845,5,0.845,642,0.84825,2025-09-15 15:37:00+00:00
