timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757085540000,1.36,1.36,1.36,2,1.36,110,1.36,2025-09-05 15:19:00+00:00
1757086020000,1.3996,1.3996,1.365,24,1.365,3635,1.386753,2025-09-05 15:27:00+00:00
1757086080000,1.38,1.38,1.38,23,1.38,1215,1.38,2025-09-05 15:28:00+00:00
1757086500000,1.38,1.38,1.38,4,1.38,123,1.38,2025-09-05 15:35:00+00:00
1757086560000,1.38,1.38,1.38,5,1.38,235,1.38,2025-09-05 15:36:00+00:00
1757086680000,1.375,1.375,1.36,11,1.37,484,1.367813,2025-09-05 15:38:00+00:00
1757086740000,1.35,1.373,1.35,5,1.373,440,1.358234,2025-09-05 15:39:00+00:00
1757087220000,1.38,1.38,1.38,2,1.38,143,1.38,2025-09-05 15:47:00+00:00
1757087340000,1.385,1.385,1.385,1,1.385,100,1.385,2025-09-05 15:49:00+00:00
1757087400000,1.37,1.385,1.37,10,1.385,868,1.383148,2025-09-05 15:50:00+00:00
1757087520000,1.38,1.38,1.37,8,1.37,2454,1.370476,2025-09-05 15:52:00+00:00
1757088000000,1.38,1.38,1.3648,5,1.3648,443,1.373987,2025-09-05 16:00:00+00:00
1757088060000,1.375,1.375,1.375,2,1.375,200,1.375,2025-09-05 16:01:00+00:00
1757088120000,1.375,1.375,1.375,7,1.375,510,1.375,2025-09-05 16:02:00+00:00
1757088240000,1.39,1.39,1.375,6,1.375,431,1.38,2025-09-05 16:04:00+00:00
1757088300000,1.39,1.39,1.39,3,1.39,358,1.39,2025-09-05 16:05:00+00:00
1757088420000,1.38,1.38,1.38,1,1.38,100,1.38,2025-09-05 16:07:00+00:00
1757088480000,1.37,1.38,1.37,3,1.38,600,1.371667,2025-09-05 16:08:00+00:00
1757088540000,1.38,1.38,1.38,1,1.38,102,1.38,2025-09-05 16:09:00+00:00
1757088660000,1.39,1.39,1.38,4,1.38,230,1.385,2025-09-05 16:11:00+00:00
1757088960000,1.39,1.39,1.39,1,1.39,100,1.39,2025-09-05 16:16:00+00:00
1757089020000,1.38,1.38,1.38,3,1.38,249,1.38,2025-09-05 16:17:00+00:00
1757089080000,1.38,1.38,1.38,2,1.38,360,1.38,2025-09-05 16:18:00+00:00
1757089200000,1.38,1.38,1.38,4,1.38,213,1.38,2025-09-05 16:20:00+00:00
1757089320000,1.38,1.38,1.38,3,1.38,310,1.38,2025-09-05 16:22:00+00:00
1757089560000,1.38,1.38,1.38,3,1.38,148,1.38,2025-09-05 16:26:00+00:00
1757089620000,1.3882,1.3882,1.3882,1,1.3882,500,1.3882,2025-09-05 16:27:00+00:00
1757089800000,1.38,1.38,1.38,14,1.38,2230,1.38,2025-09-05 16:30:00+00:00
1757089920000,1.3701,1.3701,1.3701,1,1.3701,200,1.3701,2025-09-05 16:32:00+00:00
1757090220000,1.38,1.38,1.38,1,1.38,200,1.38,2025-09-05 16:37:00+00:00
