timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757685000000,17.115,17.115,17.115,1,17.115,100,17.115,2025-09-12 13:50:00+00:00
1757685060000,17.09,17.14,17.09,60,17.125,3909,17.109706,2025-09-12 13:51:00+00:00
1757685120000,17.06,17.11,17.06,38,17.08,1480,17.079167,2025-09-12 13:52:00+00:00
1757685180000,17.07,17.07,17.06,17,17.07,879,17.064,2025-09-12 13:53:00+00:00
1757685240000,17.02,17.085,17.02,24,17.085,1018,17.04125,2025-09-12 13:54:00+00:00
1757685300000,17.04,17.04,17.04,6,17.04,201,17.04,2025-09-12 13:55:00+00:00
1757685360000,17.05,17.05,17.05,1,17.05,100,17.05,2025-09-12 13:56:00+00:00
1757685420000,17.0417,17.0417,17.0417,5,17.0417,500,17.0417,2025-09-12 13:57:00+00:00
1757685480000,16.99,17.03,16.99,44,17.03,2233,17.008284,2025-09-12 13:58:00+00:00
1757685540000,16.95,16.96,16.95,23,16.96,443,16.955,2025-09-12 13:59:00+00:00
1757685600000,16.845,16.95,16.845,27,16.94,2119,16.936877,2025-09-12 14:00:00+00:00
1757685660000,16.985,16.985,16.96,14,16.96,2899,16.962888,2025-09-12 14:01:00+00:00
1757685720000,16.99,16.99,16.99,7,16.99,250,16.99,2025-09-12 14:02:00+00:00
1757685840000,17.05,17.05,17.0,50,17.0,2509,17.033455,2025-09-12 14:04:00+00:00
1757686020000,17.035,17.035,17.0184,9,17.035,601,17.02504,2025-09-12 14:07:00+00:00
1757686080000,17.04,17.06,17.04,18,17.06,867,17.043063,2025-09-12 14:08:00+00:00
1757686140000,17.01,17.01,17.01,33,17.01,1281,17.01,2025-09-12 14:09:00+00:00
1757686200000,17.01,17.02,17.0,9,17.0,1052,17.006111,2025-09-12 14:10:00+00:00
1757686260000,17.01,17.01,17.01,6,17.01,329,17.01,2025-09-12 14:11:00+00:00
1757686380000,16.94,16.99,16.925,90,16.99,8460,16.951655,2025-09-12 14:13:00+00:00
1757686500000,16.99,16.99,16.98,12,16.98,500,16.9875,2025-09-12 14:15:00+00:00
1757686560000,16.98,16.98,16.98,12,16.98,187,16.98,2025-09-12 14:16:00+00:00
1757686740000,16.95,16.95,16.95,18,16.95,615,16.95,2025-09-12 14:19:00+00:00
1757686860000,16.95,16.9926,16.95,8,16.9926,1238,16.986048,2025-09-12 14:21:00+00:00
1757686920000,16.965,16.965,16.965,3,16.965,120,16.965,2025-09-12 14:22:00+00:00
1757686980000,16.965,16.97,16.94,18,16.965,1442,16.959458,2025-09-12 14:23:00+00:00
1757687040000,16.93,16.93,16.93,14,16.93,343,16.93,2025-09-12 14:24:00+00:00
1757687220000,16.955,16.955,16.93,12,16.93,589,16.93625,2025-09-12 14:27:00+00:00
1757687280000,16.9475,16.9475,16.9475,14,16.9475,611,16.9475,2025-09-12 14:28:00+00:00
1757687340000,16.94,16.945,16.94,16,16.945,942,16.940714,2025-09-12 14:29:00+00:00
1757687400000,16.95,16.97,16.94,85,16.94,9752,16.960005,2025-09-12 14:30:00+00:00
1757687460000,16.95,16.95,16.95,5,16.95,157,16.95,2025-09-12 14:31:00+00:00
1757687520000,16.985,17.0399,16.94,90,16.95,7611,16.984005,2025-09-12 14:32:00+00:00
1757687580000,16.95,16.95,16.94,18,16.95,1176,16.94875,2025-09-12 14:33:00+00:00
1757687640000,16.95,16.95,16.94,37,16.95,2149,16.949231,2025-09-12 14:34:00+00:00
1757687760000,16.9901,16.9901,16.9901,2,16.9901,240,16.9901,2025-09-12 14:36:00+00:00
1757687820000,16.975,16.975,16.975,7,16.975,1055,16.975,2025-09-12 14:37:00+00:00
1757687880000,17.0,17.0,17.0,6,17.0,167,17.0,2025-09-12 14:38:00+00:00
1757687940000,16.95,16.95,16.95,8,16.95,583,16.95,2025-09-12 14:39:00+00:00
1757688000000,16.93,16.96,16.93,85,16.95,2643,16.940483,2025-09-12 14:40:00+00:00
1757688120000,16.93,16.93,16.91,41,16.92,1286,16.920833,2025-09-12 14:42:00+00:00
1757688240000,16.92,16.92,16.92,10,16.92,172,16.92,2025-09-12 14:44:00+00:00
1757688360000,16.93,16.94,16.9,46,16.9,3522,16.929444,2025-09-12 14:46:00+00:00
1757688420000,16.93,16.93,16.93,15,16.93,954,16.93,2025-09-12 14:47:00+00:00
1757688480000,16.93,16.936,16.93,14,16.93,1166,16.931722,2025-09-12 14:48:00+00:00
1757688600000,16.93,16.93,16.93,6,16.93,252,16.93,2025-09-12 14:50:00+00:00
1757688720000,16.95,16.95,16.95,17,16.95,400,16.95,2025-09-12 14:52:00+00:00
1757688780000,16.93,16.93,16.93,12,16.93,508,16.93,2025-09-12 14:53:00+00:00
1757688900000,16.9025,16.925,16.9,58,16.925,2038,16.908393,2025-09-12 14:55:00+00:00
1757688960000,16.89,16.89,16.89,8,16.89,268,16.89,2025-09-12 14:56:00+00:00
1757689020000,16.905,16.905,16.9,28,16.9,2250,16.900656,2025-09-12 14:57:00+00:00
1757689080000,16.91,16.92,16.91,12,16.92,826,16.914764,2025-09-12 14:58:00+00:00
1757689140000,16.91,16.93,16.91,25,16.93,1453,16.911667,2025-09-12 14:59:00+00:00
1757689320000,16.91,16.912,16.91,9,16.91,5300,16.911879,2025-09-12 15:02:00+00:00
1757689380000,16.89,16.89,16.89,11,16.89,471,16.89,2025-09-12 15:03:00+00:00
1757689440000,16.85,16.89,16.85,60,16.89,5498,16.879326,2025-09-12 15:04:00+00:00
1757689500000,16.85,16.85,16.8275,32,16.85,1526,16.8425,2025-09-12 15:05:00+00:00
1757689560000,16.835,16.835,16.835,11,16.835,393,16.835,2025-09-12 15:06:00+00:00
1757689860000,16.83,16.84,16.83,8,16.84,905,16.837692,2025-09-12 15:11:00+00:00
1757690160000,16.82,16.82,16.82,47,16.82,923,16.82,2025-09-12 15:16:00+00:00
1757690220000,16.81,16.81,16.81,24,16.81,458,16.81,2025-09-12 15:17:00+00:00
1757690280000,16.8,16.8,16.8,4,16.8,127,16.8,2025-09-12 15:18:00+00:00
1757690340000,16.81,16.81,16.81,19,16.81,290,16.81,2025-09-12 15:19:00+00:00
