timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,0.401,0.41,0.3956,42,0.41,44084,0.406908,2025-09-02 13:30:00+00:00
1756819860000,0.4002,0.4002,0.4002,3,0.4002,5026,0.4002,2025-09-02 13:31:00+00:00
1756819980000,0.4003,0.4003,0.3973,6,0.3973,1127,0.398103,2025-09-02 13:33:00+00:00
1756820040000,0.4005,0.4005,0.3973,7,0.3973,847,0.3981,2025-09-02 13:34:00+00:00
1756820100000,0.4,0.4,0.4,2,0.4,507,0.4,2025-09-02 13:35:00+00:00
1756820160000,0.4009,0.4009,0.4009,1,0.4009,220,0.4009,2025-09-02 13:36:00+00:00
1756820400000,0.3999,0.3999,0.3972,7,0.3972,646,0.39774,2025-09-02 13:40:00+00:00
1756820460000,0.3972,0.3972,0.3972,1,0.3972,2000,0.3972,2025-09-02 13:41:00+00:00
1756820520000,0.399,0.399,0.3937,7,0.3968,2488,0.395055,2025-09-02 13:42:00+00:00
1756820580000,0.3976,0.3976,0.3976,3,0.3976,107,0.3976,2025-09-02 13:43:00+00:00
1756820640000,0.4,0.4,0.4,5,0.4,190,0.4,2025-09-02 13:44:00+00:00
1756820700000,0.3936,0.3999,0.3936,3,0.3999,273,0.397339,2025-09-02 13:45:00+00:00
1756820940000,0.3952,0.3987,0.3952,2,0.3987,1163,0.395501,2025-09-02 13:49:00+00:00
1756821120000,0.4,0.4,0.4,4,0.4,374,0.4,2025-09-02 13:52:00+00:00
1756821180000,0.401,0.401,0.401,2,0.401,635,0.401,2025-09-02 13:53:00+00:00
1756821240000,0.4011,0.4011,0.4009,6,0.401,1800,0.401077,2025-09-02 13:54:00+00:00
1756821840000,0.4021,0.4021,0.4021,1,0.4021,5000,0.4021,2025-09-02 14:04:00+00:00
1756822260000,0.4056,0.4056,0.4056,4,0.4056,275,0.4056,2025-09-02 14:11:00+00:00
1756822620000,0.406,0.406,0.406,2,0.406,205,0.406,2025-09-02 14:17:00+00:00
1756822680000,0.4021,0.4021,0.4021,1,0.4021,806,0.4021,2025-09-02 14:18:00+00:00
1756822740000,0.404,0.4054,0.404,8,0.4054,975,0.404431,2025-09-02 14:19:00+00:00
1756822980000,0.4,0.4022,0.3999,25,0.4022,9374,0.400715,2025-09-02 14:23:00+00:00
