timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754920200000,2.2248,2.2248,2.2248,2,2.2248,135,2.2248,2025-08-11 13:50:00+00:00
1754920260000,2.176,2.21,2.176,10,2.21,1924,2.180411,2025-08-11 13:51:00+00:00
1754920320000,2.1246,2.1747,2.1246,8,2.1747,2562,2.161833,2025-08-11 13:52:00+00:00
1754920440000,2.15,2.15,2.15,5,2.15,440,2.15,2025-08-11 13:54:00+00:00
1754920500000,2.08,2.12,2.08,22,2.12,5033,2.094673,2025-08-11 13:55:00+00:00
1754920560000,2.1,2.12,2.09,16,2.1,1935,2.103858,2025-08-11 13:56:00+00:00
1754920620000,2.08,2.1,2.05,62,2.0812,9141,2.074994,2025-08-11 13:57:00+00:00
1754920680000,2.0505,2.0899,2.0505,5,2.08,664,2.075555,2025-08-11 13:58:00+00:00
1754920740000,2.07,2.1,2.0616,7,2.1,524,2.0733,2025-08-11 13:59:00+00:00
1754920800000,2.0744,2.0744,2.0744,3,2.0744,142,2.0744,2025-08-11 14:00:00+00:00
1754920860000,2.125,2.14,2.125,5,2.125,724,2.131429,2025-08-11 14:01:00+00:00
1754920920000,2.15,2.17,2.1128,10,2.1128,1002,2.14186,2025-08-11 14:02:00+00:00
1754920980000,2.15,2.1501,2.15,11,2.1501,607,2.15008,2025-08-11 14:03:00+00:00
1754921040000,2.1505,2.1505,2.1505,1,2.1505,263,2.1505,2025-08-11 14:04:00+00:00
1754921100000,2.1295,2.165,2.1295,8,2.165,1050,2.14251,2025-08-11 14:05:00+00:00
1754921160000,2.2099,2.21,2.15,21,2.17,2692,2.189776,2025-08-11 14:06:00+00:00
1754921220000,2.29,2.29,2.1735,21,2.2,1738,2.220875,2025-08-11 14:07:00+00:00
1754921280000,2.34,2.34,2.28,24,2.2883,5951,2.29573,2025-08-11 14:08:00+00:00
1754921340000,2.4,2.41,2.3216,9,2.3216,709,2.380457,2025-08-11 14:09:00+00:00
1754921400000,2.35,2.355,2.35,2,2.355,294,2.351701,2025-08-11 14:10:00+00:00
1754921460000,2.35,2.388,2.33,11,2.3485,2952,2.355307,2025-08-11 14:11:00+00:00
1754921520000,2.34,2.34,2.34,2,2.34,200,2.34,2025-08-11 14:12:00+00:00
1754921580000,2.3101,2.3101,2.3101,1,2.3101,263,2.3101,2025-08-11 14:13:00+00:00
1754921760000,2.29,2.3,2.29,8,2.3,1101,2.291,2025-08-11 14:16:00+00:00
1754921820000,2.1701,2.29,2.17,11,2.29,2564,2.245064,2025-08-11 14:17:00+00:00
1754921940000,2.18,2.18,2.18,2,2.18,244,2.18,2025-08-11 14:19:00+00:00
1754922240000,2.1861,2.1861,2.1861,3,2.1861,1097,2.1861,2025-08-11 14:24:00+00:00
1754922300000,2.1831,2.1831,2.1831,2,2.1831,1104,2.1831,2025-08-11 14:25:00+00:00
1754922360000,2.36,2.36,2.36,2,2.36,107,2.36,2025-08-11 14:26:00+00:00
1754922420000,2.26,2.26,2.26,1,2.26,127,2.26,2025-08-11 14:27:00+00:00
1754922480000,2.26,2.26,2.26,2,2.26,113,2.26,2025-08-11 14:28:00+00:00
1754922720000,2.253,2.253,2.253,1,2.253,800,2.253,2025-08-11 14:32:00+00:00
1754922840000,2.2513,2.2513,2.2513,2,2.2513,520,2.2513,2025-08-11 14:34:00+00:00
1754923020000,2.27,2.27,2.27,4,2.27,288,2.27,2025-08-11 14:37:00+00:00
1754923080000,2.27,2.27,2.26,3,2.26,207,2.265,2025-08-11 14:38:00+00:00
1754923140000,2.26,2.26,2.25,13,2.2501,917,2.255234,2025-08-11 14:39:00+00:00
1754923200000,2.25,2.27,2.23,10,2.26,1224,2.251158,2025-08-11 14:40:00+00:00
1754923320000,2.24,2.24,2.16,10,2.22,1065,2.201111,2025-08-11 14:42:00+00:00
1754923380000,2.3,2.3,2.29,3,2.29,271,2.296124,2025-08-11 14:43:00+00:00
1754923440000,2.31,2.31,2.3,6,2.3,287,2.305,2025-08-11 14:44:00+00:00
1754923500000,2.24,2.3,2.24,5,2.3,471,2.27,2025-08-11 14:45:00+00:00
