timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757691480000,2.895,2.895,2.89,11,2.89,893,2.890692,2025-09-12 15:38:00+00:00
1757691540000,2.895,2.895,2.895,6,2.895,519,2.895,2025-09-12 15:39:00+00:00
1757691600000,2.895,2.895,2.895,4,2.895,1283,2.895,2025-09-12 15:40:00+00:00
1757691660000,2.895,2.895,2.895,3,2.895,225,2.895,2025-09-12 15:41:00+00:00
1757691720000,2.895,2.895,2.895,5,2.895,189,2.895,2025-09-12 15:42:00+00:00
1757691780000,2.895,2.895,2.895,1,2.895,100,2.895,2025-09-12 15:43:00+00:00
1757691900000,2.885,2.895,2.885,22,2.89,9540,2.88997,2025-09-12 15:45:00+00:00
1757691960000,2.885,2.885,2.88,7,2.88,347,2.8825,2025-09-12 15:46:00+00:00
1757692020000,2.885,2.885,2.885,6,2.885,416,2.885,2025-09-12 15:47:00+00:00
1757692080000,2.885,2.8898,2.8835,8,2.8835,1543,2.884822,2025-09-12 15:48:00+00:00
1757692140000,2.885,2.89,2.885,8,2.885,1060,2.88548,2025-09-12 15:49:00+00:00
1757692200000,2.8858,2.8858,2.885,5,2.885,311,2.885267,2025-09-12 15:50:00+00:00
1757692260000,2.885,2.885,2.885,6,2.885,227,2.885,2025-09-12 15:51:00+00:00
1757692320000,2.885,2.885,2.885,4,2.885,223,2.885,2025-09-12 15:52:00+00:00
1757692380000,2.885,2.89,2.885,5,2.89,334,2.8875,2025-09-12 15:53:00+00:00
1757692440000,2.885,2.885,2.885,7,2.885,243,2.885,2025-09-12 15:54:00+00:00
1757692500000,2.885,2.885,2.885,3,2.885,122,2.885,2025-09-12 15:55:00+00:00
1757692560000,2.885,2.89,2.885,8,2.885,1926,2.88527,2025-09-12 15:56:00+00:00
1757692620000,2.885,2.885,2.885,9,2.885,252,2.885,2025-09-12 15:57:00+00:00
1757692680000,2.885,2.885,2.885,11,2.885,316,2.885,2025-09-12 15:58:00+00:00
1757692740000,2.875,2.88,2.87,33,2.88,9533,2.876057,2025-09-12 15:59:00+00:00
1757692800000,2.875,2.875,2.875,6,2.875,199,2.875,2025-09-12 16:00:00+00:00
1757692860000,2.875,2.875,2.875,13,2.875,3934,2.875,2025-09-12 16:01:00+00:00
1757692920000,2.875,2.875,2.875,3,2.875,120,2.875,2025-09-12 16:02:00+00:00
1757692980000,2.875,2.875,2.875,3,2.875,210,2.875,2025-09-12 16:03:00+00:00
1757693160000,2.87,2.87,2.87,12,2.87,165,2.87,2025-09-12 16:06:00+00:00
1757693220000,2.875,2.875,2.875,6,2.875,1010,2.875,2025-09-12 16:07:00+00:00
1757693400000,2.875,2.875,2.875,3,2.875,157,2.875,2025-09-12 16:10:00+00:00
1757693520000,2.8799,2.8799,2.8799,3,2.8799,2085,2.8799,2025-09-12 16:12:00+00:00
1757693580000,2.87,2.87,2.87,6,2.87,956,2.87,2025-09-12 16:13:00+00:00
1757693640000,2.87,2.8788,2.87,3,2.8788,610,2.877333,2025-09-12 16:14:00+00:00
1757693700000,2.87,2.875,2.87,9,2.875,665,2.871748,2025-09-12 16:15:00+00:00
1757693880000,2.875,2.875,2.875,4,2.875,783,2.875,2025-09-12 16:18:00+00:00
1757693940000,2.875,2.88,2.875,7,2.88,1669,2.877079,2025-09-12 16:19:00+00:00
1757694000000,2.875,2.875,2.875,16,2.875,580,2.875,2025-09-12 16:20:00+00:00
1757694060000,2.875,2.875,2.875,3,2.875,325,2.875,2025-09-12 16:21:00+00:00
1757694120000,2.875,2.875,2.875,18,2.875,1008,2.875,2025-09-12 16:22:00+00:00
1757694240000,2.875,2.8799,2.875,9,2.8799,1490,2.878439,2025-09-12 16:24:00+00:00
1757694300000,2.875,2.875,2.8745,6,2.8745,379,2.874778,2025-09-12 16:25:00+00:00
1757694360000,2.875,2.875,2.875,3,2.875,161,2.875,2025-09-12 16:26:00+00:00
1757694420000,2.87,2.87,2.87,5,2.87,210,2.87,2025-09-12 16:27:00+00:00
1757694480000,2.8751,2.8751,2.8751,2,2.8751,176,2.8751,2025-09-12 16:28:00+00:00
1757694540000,2.87,2.875,2.87,8,2.875,4424,2.871023,2025-09-12 16:29:00+00:00
1757694600000,2.875,2.875,2.875,4,2.875,142,2.875,2025-09-12 16:30:00+00:00
1757694660000,2.875,2.875,2.875,4,2.875,901,2.875,2025-09-12 16:31:00+00:00
1757694780000,2.875,2.875,2.875,3,2.875,227,2.875,2025-09-12 16:33:00+00:00
1757694840000,2.875,2.875,2.875,10,2.875,507,2.875,2025-09-12 16:34:00+00:00
1757694900000,2.87,2.87,2.87,2,2.87,102,2.87,2025-09-12 16:35:00+00:00
1757695080000,2.87,2.875,2.87,8,2.875,1610,2.871563,2025-09-12 16:38:00+00:00
1757695140000,2.875,2.875,2.875,7,2.875,456,2.875,2025-09-12 16:39:00+00:00
1757695200000,2.8765,2.8765,2.875,7,2.875,339,2.8755,2025-09-12 16:40:00+00:00
1757695260000,2.875,2.875,2.875,5,2.875,232,2.875,2025-09-12 16:41:00+00:00
1757695320000,2.87,2.87,2.865,64,2.87,13645,2.869797,2025-09-12 16:42:00+00:00
1757695380000,2.8701,2.8701,2.8701,2,2.8701,301,2.8701,2025-09-12 16:43:00+00:00
1757695440000,2.8689,2.87,2.865,20,2.87,3473,2.869595,2025-09-12 16:44:00+00:00
1757695500000,2.865,2.865,2.865,1,2.865,100,2.865,2025-09-12 16:45:00+00:00
1757695560000,2.865,2.865,2.865,4,2.865,833,2.865,2025-09-12 16:46:00+00:00
1757695620000,2.8691,2.87,2.86,24,2.87,8286,2.863259,2025-09-12 16:47:00+00:00
1757695680000,2.865,2.865,2.865,2,2.865,600,2.865,2025-09-12 16:48:00+00:00
1757695740000,2.865,2.865,2.865,4,2.865,243,2.865,2025-09-12 16:49:00+00:00
1757695860000,2.865,2.865,2.865,2,2.865,101,2.865,2025-09-12 16:51:00+00:00
1757695920000,2.865,2.865,2.865,3,2.865,205,2.865,2025-09-12 16:52:00+00:00
1757695980000,2.87,2.87,2.865,21,2.8665,2670,2.868563,2025-09-12 16:53:00+00:00
1757696040000,2.87,2.87,2.87,5,2.87,194,2.87,2025-09-12 16:54:00+00:00
1757696100000,2.8799,2.8799,2.8799,6,2.8799,1052,2.8799,2025-09-12 16:55:00+00:00
1757696220000,2.875,2.875,2.8701,3,2.8701,602,2.87255,2025-09-12 16:57:00+00:00
1757696280000,2.875,2.875,2.86,82,2.875,22122,2.86813,2025-09-12 16:58:00+00:00
1757696400000,2.88,2.88,2.88,6,2.88,198,2.88,2025-09-12 17:00:00+00:00
1757696520000,2.879,2.879,2.8789,8,2.8789,1304,2.878985,2025-09-12 17:02:00+00:00
1757696640000,2.875,2.8799,2.875,5,2.8799,2122,2.879183,2025-09-12 17:04:00+00:00
1757696880000,2.875,2.88,2.875,14,2.875,2410,2.875484,2025-09-12 17:08:00+00:00
1757696940000,2.875,2.875,2.875,5,2.875,701,2.875,2025-09-12 17:09:00+00:00
1757697000000,2.88,2.88,2.875,6,2.875,348,2.878316,2025-09-12 17:10:00+00:00
1757697060000,2.875,2.879,2.875,7,2.875,317,2.876333,2025-09-12 17:11:00+00:00
1757697120000,2.88,2.88,2.875,4,2.875,1905,2.879737,2025-09-12 17:12:00+00:00
1757697180000,2.875,2.88,2.875,7,2.875,625,2.876667,2025-09-12 17:13:00+00:00
1757697240000,2.8889,2.8889,2.88,12,2.88,2009,2.882724,2025-09-12 17:14:00+00:00
1757697300000,2.885,2.8893,2.885,5,2.8893,2550,2.88862,2025-09-12 17:15:00+00:00
1757697360000,2.885,2.885,2.885,3,2.885,211,2.885,2025-09-12 17:16:00+00:00
1757697420000,2.8801,2.8801,2.8801,3,2.8801,1002,2.8801,2025-09-12 17:17:00+00:00
1757697480000,2.89,2.89,2.885,7,2.89,466,2.88875,2025-09-12 17:18:00+00:00
1757697540000,2.885,2.885,2.885,5,2.885,141,2.885,2025-09-12 17:19:00+00:00
1757697600000,2.885,2.8852,2.885,5,2.8852,2796,2.885193,2025-09-12 17:20:00+00:00
1757697660000,2.8811,2.885,2.8801,7,2.885,4409,2.881343,2025-09-12 17:21:00+00:00
1757697720000,2.885,2.885,2.8811,4,2.885,1305,2.882,2025-09-12 17:22:00+00:00
1757697780000,2.885,2.885,2.885,4,2.885,330,2.885,2025-09-12 17:23:00+00:00
1757697840000,2.885,2.885,2.885,6,2.885,222,2.885,2025-09-12 17:24:00+00:00
1757697900000,2.875,2.885,2.875,41,2.885,6210,2.880894,2025-09-12 17:25:00+00:00
1757697960000,2.875,2.875,2.875,6,2.875,325,2.875,2025-09-12 17:26:00+00:00
1757698020000,2.875,2.875,2.875,3,2.875,111,2.875,2025-09-12 17:27:00+00:00
1757698080000,2.875,2.875,2.875,3,2.875,210,2.875,2025-09-12 17:28:00+00:00
1757698140000,2.875,2.875,2.875,2,2.875,101,2.875,2025-09-12 17:29:00+00:00
1757698260000,2.875,2.875,2.875,2,2.875,300,2.875,2025-09-12 17:31:00+00:00
1757698320000,2.875,2.875,2.875,1,2.875,100,2.875,2025-09-12 17:32:00+00:00
1757698380000,2.875,2.875,2.875,2,2.875,122,2.875,2025-09-12 17:33:00+00:00
1757698440000,2.875,2.875,2.8712,6,2.875,520,2.872847,2025-09-12 17:34:00+00:00
1757698500000,2.87,2.87,2.87,4,2.87,340,2.87,2025-09-12 17:35:00+00:00
1757698680000,2.8799,2.8799,2.8799,2,2.8799,196,2.8799,2025-09-12 17:38:00+00:00
1757698740000,2.8755,2.8755,2.8735,4,2.8735,498,2.874106,2025-09-12 17:39:00+00:00
1757698860000,2.8745,2.875,2.87,5,2.875,2701,2.872315,2025-09-12 17:41:00+00:00
1757698920000,2.875,2.875,2.875,5,2.875,301,2.875,2025-09-12 17:42:00+00:00
1757698980000,2.875,2.875,2.87,5,2.87,600,2.8725,2025-09-12 17:43:00+00:00
1757699100000,2.875,2.875,2.875,2,2.875,139,2.875,2025-09-12 17:45:00+00:00
1757699220000,2.875,2.875,2.875,9,2.875,496,2.875,2025-09-12 17:47:00+00:00
1757699340000,2.875,2.875,2.875,3,2.875,1025,2.875,2025-09-12 17:49:00+00:00
1757699400000,2.875,2.875,2.875,2,2.875,200,2.875,2025-09-12 17:50:00+00:00
1757699460000,2.875,2.875,2.875,2,2.875,300,2.875,2025-09-12 17:51:00+00:00
1757699520000,2.875,2.875,2.875,12,2.875,1816,2.875,2025-09-12 17:52:00+00:00
1757699580000,2.875,2.88,2.875,13,2.875,2961,2.879658,2025-09-12 17:53:00+00:00
1757699640000,2.88,2.88,2.875,24,2.88,7709,2.879915,2025-09-12 17:54:00+00:00
1757699700000,2.875,2.88,2.875,14,2.875,2377,2.877927,2025-09-12 17:55:00+00:00
1757699760000,2.875,2.875,2.875,4,2.875,396,2.875,2025-09-12 17:56:00+00:00
1757699820000,2.875,2.8799,2.875,6,2.875,915,2.876089,2025-09-12 17:57:00+00:00
1757699880000,2.875,2.875,2.875,4,2.875,421,2.875,2025-09-12 17:58:00+00:00
1757699940000,2.875,2.875,2.875,5,2.875,304,2.875,2025-09-12 17:59:00+00:00
1757700000000,2.875,2.88,2.875,5,2.875,346,2.876711,2025-09-12 18:00:00+00:00
1757700060000,2.875,2.8792,2.875,13,2.875,6142,2.878857,2025-09-12 18:01:00+00:00
1757700120000,2.875,2.875,2.875,3,2.875,104,2.875,2025-09-12 18:02:00+00:00
