timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819980000,3.27,3.2805,3.25,13,3.2805,909,3.267022,2025-09-02 13:33:00+00:00
1756820700000,3.12,3.205,3.12,7,3.205,511,3.143,2025-09-02 13:45:00+00:00
1756821120000,3.1647,3.1647,3.1647,1,3.1647,1000,3.1647,2025-09-02 13:52:00+00:00
1756821180000,3.13,3.13,3.13,1,3.13,100,3.13,2025-09-02 13:53:00+00:00
1756821240000,3.13,3.14,3.13,4,3.14,317,3.136667,2025-09-02 13:54:00+00:00
1756821660000,3.12,3.12,3.12,6,3.12,700,3.12,2025-09-02 14:01:00+00:00
1756823220000,3.12,3.125,3.12,6,3.12,501,3.121,2025-09-02 14:27:00+00:00
1756823460000,3.1766,3.1766,3.1766,1,3.1766,600,3.1766,2025-09-02 14:31:00+00:00
1756823880000,3.12,3.13,3.12,7,3.12,541,3.1225,2025-09-02 14:38:00+00:00
1756824840000,3.11,3.11,3.11,4,3.11,600,3.11,2025-09-02 14:54:00+00:00
1756824900000,3.14,3.16,3.14,3,3.16,523,3.144,2025-09-02 14:55:00+00:00
1756825260000,3.1132,3.1132,3.1132,1,3.1132,350,3.1132,2025-09-02 15:01:00+00:00
1756825680000,3.1,3.11,3.1,8,3.11,827,3.101724,2025-09-02 15:08:00+00:00
1756825980000,3.055,3.06,3.05,6,3.06,575,3.053,2025-09-02 15:13:00+00:00
1756826520000,3.05,3.06,3.05,4,3.06,500,3.052,2025-09-02 15:22:00+00:00
1756827060000,3.2436,3.2499,3.1,35,3.15,8703,3.151008,2025-09-02 15:31:00+00:00
1756827180000,3.224,3.224,3.224,1,3.224,200,3.224,2025-09-02 15:33:00+00:00
1756827420000,3.23,3.23,3.23,1,3.23,100,3.23,2025-09-02 15:37:00+00:00
1756827840000,3.24,3.24,3.24,9,3.24,523,3.24,2025-09-02 15:44:00+00:00
1756828380000,3.23,3.24,3.23,6,3.23,501,3.2325,2025-09-02 15:53:00+00:00
1756829280000,3.205,3.21,3.2,5,3.21,500,3.205,2025-09-02 16:08:00+00:00
1756831500000,3.21,3.21,3.21,4,3.21,515,3.21,2025-09-02 16:45:00+00:00
1756832100000,3.3799,3.3799,3.29,28,3.3,4512,3.30354,2025-09-02 16:55:00+00:00
1756832160000,3.33,3.3345,3.33,3,3.3345,720,3.331881,2025-09-02 16:56:00+00:00
1756832220000,3.285,3.285,3.285,2,3.285,105,3.285,2025-09-02 16:57:00+00:00
1756832340000,3.28,3.28,3.28,1,3.28,100,3.28,2025-09-02 16:59:00+00:00
1756832460000,3.285,3.285,3.285,1,3.285,100,3.285,2025-09-02 17:01:00+00:00
1756832640000,3.2822,3.2822,3.2822,1,3.2822,675,3.2822,2025-09-02 17:04:00+00:00
1756833060000,3.22,3.23,3.22,5,3.23,500,3.226,2025-09-02 17:11:00+00:00
1756833840000,3.24,3.25,3.24,8,3.25,905,3.2425,2025-09-02 17:24:00+00:00
1756835700000,3.23,3.23,3.23,3,3.23,137,3.23,2025-09-02 17:55:00+00:00
1756836660000,3.22,3.23,3.21,4,3.23,500,3.216,2025-09-02 18:11:00+00:00
1756837500000,3.35,3.35,3.28,21,3.35,6214,3.330787,2025-09-02 18:25:00+00:00
1756837740000,3.28,3.3389,3.28,8,3.33,1011,3.303064,2025-09-02 18:29:00+00:00
1756838040000,3.35,3.35,3.35,1,3.35,2071,3.35,2025-09-02 18:34:00+00:00
1756838220000,3.24,3.33,3.24,4,3.33,367,3.295714,2025-09-02 18:37:00+00:00
1756839840000,3.28,3.28,3.28,3,3.28,108,3.28,2025-09-02 19:04:00+00:00
1756840380000,3.28,3.28,3.21,4,3.23,600,3.228333,2025-09-02 19:13:00+00:00
1756841160000,3.2302,3.3486,3.21,7,3.3486,1500,3.305747,2025-09-02 19:26:00+00:00
1756841220000,3.33,3.33,3.28,2,3.28,200,3.305,2025-09-02 19:27:00+00:00
1756841760000,3.23,3.25,3.23,5,3.25,319,3.236667,2025-09-02 19:36:00+00:00
1756842360000,3.23,3.24,3.23,2,3.24,200,3.235,2025-09-02 19:46:00+00:00
1756842420000,3.3488,3.3488,3.3488,3,3.3488,2424,3.3488,2025-09-02 19:47:00+00:00
1756842480000,3.34,3.34,3.29,10,3.29,822,3.32125,2025-09-02 19:48:00+00:00
1756842540000,3.4,3.41,3.29,23,3.33,2695,3.355194,2025-09-02 19:49:00+00:00
