timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757687280000,1.82,1.8299,1.815,88,1.825,71019,1.821791,2025-09-12 14:28:00+00:00
1757687340000,1.815,1.815,1.815,10,1.815,2238,1.815,2025-09-12 14:29:00+00:00
1757687400000,1.8112,1.815,1.8112,6,1.815,2029,1.813301,2025-09-12 14:30:00+00:00
1757687460000,1.815,1.82,1.8106,20,1.8106,8154,1.818564,2025-09-12 14:31:00+00:00
1757687520000,1.82,1.82,1.8149,19,1.8149,7726,1.819348,2025-09-12 14:32:00+00:00
1757687580000,1.825,1.825,1.82,50,1.82,26538,1.820286,2025-09-12 14:33:00+00:00
1757687640000,1.825,1.825,1.8201,25,1.825,9030,1.82079,2025-09-12 14:34:00+00:00
1757687700000,1.815,1.825,1.815,57,1.825,23831,1.82059,2025-09-12 14:35:00+00:00
1757687760000,1.815,1.815,1.81,24,1.815,13974,1.810849,2025-09-12 14:36:00+00:00
1757687820000,1.825,1.825,1.815,72,1.82,58033,1.819471,2025-09-12 14:37:00+00:00
1757687880000,1.825,1.825,1.825,4,1.825,1064,1.825,2025-09-12 14:38:00+00:00
1757687940000,1.825,1.825,1.822,26,1.825,27321,1.82458,2025-09-12 14:39:00+00:00
1757688000000,1.8213,1.8213,1.8213,10,1.8213,192,1.8213,2025-09-12 14:40:00+00:00
1757688060000,1.82,1.82,1.82,18,1.82,12260,1.82,2025-09-12 14:41:00+00:00
1757688120000,1.82,1.82,1.82,7,1.82,1766,1.82,2025-09-12 14:42:00+00:00
1757688180000,1.82,1.82,1.82,5,1.82,440,1.82,2025-09-12 14:43:00+00:00
1757688240000,1.8201,1.83,1.8201,6,1.83,3770,1.823626,2025-09-12 14:44:00+00:00
1757688300000,1.82,1.82,1.82,5,1.82,258,1.82,2025-09-12 14:45:00+00:00
1757688360000,1.8035,1.82,1.8035,78,1.82,45368,1.816884,2025-09-12 14:46:00+00:00
1757688420000,1.805,1.805,1.8001,4,1.8001,1114,1.802773,2025-09-12 14:47:00+00:00
1757688480000,1.81,1.81,1.8032,22,1.8055,4130,1.808053,2025-09-12 14:48:00+00:00
1757688540000,1.81,1.81,1.81,4,1.81,232,1.81,2025-09-12 14:49:00+00:00
1757688600000,1.82,1.82,1.815,4,1.815,500,1.816,2025-09-12 14:50:00+00:00
1757688660000,1.81,1.815,1.81,17,1.812,8300,1.810494,2025-09-12 14:51:00+00:00
1757688720000,1.8199,1.8199,1.8199,3,1.8199,1806,1.8199,2025-09-12 14:52:00+00:00
1757688840000,1.824,1.825,1.82,26,1.82,16523,1.823719,2025-09-12 14:54:00+00:00
1757688900000,1.8288,1.8288,1.8288,7,1.8288,796,1.8288,2025-09-12 14:55:00+00:00
1757688960000,1.83,1.83,1.825,6,1.825,284,1.8275,2025-09-12 14:56:00+00:00
1757689020000,1.83,1.83,1.83,8,1.83,316,1.83,2025-09-12 14:57:00+00:00
1757689080000,1.829,1.829,1.829,2,1.829,545,1.829,2025-09-12 14:58:00+00:00
1757689140000,1.83,1.83,1.83,10,1.83,393,1.83,2025-09-12 14:59:00+00:00
1757689200000,1.825,1.825,1.825,6,1.825,192,1.825,2025-09-12 15:00:00+00:00
1757689260000,1.825,1.825,1.825,8,1.825,394,1.825,2025-09-12 15:01:00+00:00
1757689320000,1.835,1.835,1.83,13,1.83,3453,1.83075,2025-09-12 15:02:00+00:00
1757689380000,1.835,1.835,1.83,49,1.8301,8295,1.830289,2025-09-12 15:03:00+00:00
1757689440000,1.83,1.83,1.83,5,1.83,209,1.83,2025-09-12 15:04:00+00:00
1757689500000,1.83,1.83,1.83,16,1.83,788,1.83,2025-09-12 15:05:00+00:00
1757689560000,1.8365,1.8393,1.83,11,1.8393,1436,1.835879,2025-09-12 15:06:00+00:00
1757689620000,1.8395,1.8395,1.8395,13,1.8395,2049,1.8395,2025-09-12 15:07:00+00:00
1757689680000,1.835,1.835,1.835,5,1.835,363,1.835,2025-09-12 15:08:00+00:00
1757689740000,1.8398,1.8398,1.8342,6,1.8342,1911,1.83727,2025-09-12 15:09:00+00:00
1757689800000,1.84,1.84,1.84,32,1.84,3893,1.84,2025-09-12 15:10:00+00:00
1757689860000,1.85,1.85,1.845,8,1.845,791,1.849286,2025-09-12 15:11:00+00:00
1757689920000,1.8493,1.8493,1.845,15,1.845,839,1.848627,2025-09-12 15:12:00+00:00
1757689980000,1.845,1.845,1.841,6,1.8412,2462,1.841308,2025-09-12 15:13:00+00:00
1757690040000,1.84,1.845,1.84,25,1.845,4148,1.840691,2025-09-12 15:14:00+00:00
1757690100000,1.835,1.845,1.83,27,1.845,6779,1.837198,2025-09-12 15:15:00+00:00
1757690160000,1.83,1.833,1.83,18,1.83,12464,1.831848,2025-09-12 15:16:00+00:00
1757690220000,1.835,1.835,1.835,4,1.835,208,1.835,2025-09-12 15:17:00+00:00
1757690340000,1.835,1.835,1.835,2,1.835,142,1.835,2025-09-12 15:19:00+00:00
1757690400000,1.83,1.835,1.83,30,1.8307,7603,1.830264,2025-09-12 15:20:00+00:00
1757690580000,1.82,1.83,1.82,22,1.825,6393,1.828573,2025-09-12 15:23:00+00:00
1757690640000,1.825,1.825,1.825,2,1.825,141,1.825,2025-09-12 15:24:00+00:00
1757690700000,1.83,1.83,1.83,6,1.83,851,1.83,2025-09-12 15:25:00+00:00
