timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757080260000,3.54,3.55,3.54,12,3.55,3559,3.547594,2025-09-05 13:51:00+00:00
1757080440000,3.5651,3.5651,3.5651,4,3.5651,271,3.5651,2025-09-05 13:54:00+00:00
1757080500000,3.5204,3.5204,3.5204,4,3.5204,494,3.5204,2025-09-05 13:55:00+00:00
1757080560000,3.52,3.52,3.52,9,3.52,770,3.52,2025-09-05 13:56:00+00:00
1757080620000,3.44,3.5099,3.44,92,3.5,21289,3.489263,2025-09-05 13:57:00+00:00
1757080680000,3.45,3.45,3.4,45,3.4,4471,3.41701,2025-09-05 13:58:00+00:00
1757080740000,3.4501,3.4501,3.45,10,3.45,963,3.450037,2025-09-05 13:59:00+00:00
1757080800000,3.4507,3.48,3.4507,6,3.48,718,3.455292,2025-09-05 14:00:00+00:00
1757080860000,3.5,3.5,3.495,23,3.495,637,3.496667,2025-09-05 14:01:00+00:00
1757080980000,3.48,3.48,3.48,6,3.48,267,3.48,2025-09-05 14:03:00+00:00
1757081040000,3.515,3.515,3.4522,11,3.48,621,3.484093,2025-09-05 14:04:00+00:00
1757081100000,3.4901,3.52,3.4807,16,3.5,2234,3.4976,2025-09-05 14:05:00+00:00
1757081160000,3.4613,3.4808,3.4613,9,3.4808,728,3.464616,2025-09-05 14:06:00+00:00
1757081220000,3.4601,3.4601,3.4601,4,3.4601,103,3.4601,2025-09-05 14:07:00+00:00
1757081280000,3.4601,3.485,3.4601,15,3.485,1284,3.474886,2025-09-05 14:08:00+00:00
1757081340000,3.4601,3.485,3.4601,12,3.485,3756,3.484296,2025-09-05 14:09:00+00:00
1757081400000,3.47,3.47,3.4669,7,3.4669,794,3.469541,2025-09-05 14:10:00+00:00
1757081460000,3.47,3.48,3.46,16,3.47,2327,3.474222,2025-09-05 14:11:00+00:00
1757081700000,3.43,3.4392,3.43,7,3.4392,540,3.434254,2025-09-05 14:15:00+00:00
1757081760000,3.465,3.465,3.465,11,3.465,364,3.465,2025-09-05 14:16:00+00:00
1757081820000,3.46,3.46,3.46,5,3.46,462,3.46,2025-09-05 14:17:00+00:00
1757081940000,3.4244,3.4311,3.4212,7,3.4311,2330,3.426665,2025-09-05 14:19:00+00:00
1757082000000,3.415,3.4244,3.4144,25,3.4244,3234,3.416419,2025-09-05 14:20:00+00:00
1757082060000,3.415,3.42,3.415,17,3.42,687,3.4184,2025-09-05 14:21:00+00:00
1757082120000,3.4,3.4,3.4,32,3.4,1178,3.4,2025-09-05 14:22:00+00:00
1757082180000,3.3901,3.3901,3.38,17,3.39,3511,3.387983,2025-09-05 14:23:00+00:00
1757082240000,3.385,3.398,3.3702,11,3.3702,1846,3.391853,2025-09-05 14:24:00+00:00
1757082300000,3.42,3.42,3.39,4,3.39,451,3.40812,2025-09-05 14:25:00+00:00
1757082420000,3.42,3.42,3.41,65,3.41,2183,3.416796,2025-09-05 14:27:00+00:00
1757082480000,3.4,3.4079,3.4,8,3.4079,1326,3.400798,2025-09-05 14:28:00+00:00
1757082540000,3.4016,3.4016,3.39,13,3.39,718,3.3961,2025-09-05 14:29:00+00:00
1757082600000,3.3902,3.3902,3.3902,11,3.3902,325,3.3902,2025-09-05 14:30:00+00:00
1757082660000,3.39,3.39,3.39,27,3.39,635,3.39,2025-09-05 14:31:00+00:00
1757082780000,3.375,3.375,3.375,26,3.375,611,3.375,2025-09-05 14:33:00+00:00
1757082840000,3.37,3.37,3.37,20,3.37,278,3.37,2025-09-05 14:34:00+00:00
1757082900000,3.365,3.37,3.365,9,3.37,399,3.3675,2025-09-05 14:35:00+00:00
1757082960000,3.33,3.3601,3.32,61,3.36,11617,3.34016,2025-09-05 14:36:00+00:00
1757083020000,3.34,3.34,3.33,57,3.33,4731,3.335342,2025-09-05 14:37:00+00:00
1757083080000,3.3524,3.3711,3.33,19,3.33,4381,3.331559,2025-09-05 14:38:00+00:00
1757083140000,3.34,3.35,3.335,30,3.35,4439,3.340819,2025-09-05 14:39:00+00:00
1757083200000,3.3301,3.34,3.3301,20,3.335,3570,3.337937,2025-09-05 14:40:00+00:00
1757083260000,3.39,3.39,3.34,9,3.38,4219,3.343118,2025-09-05 14:41:00+00:00
1757083380000,3.3048,3.34,3.3048,30,3.34,3391,3.332424,2025-09-05 14:43:00+00:00
1757083440000,3.3249,3.3249,3.3249,3,3.3249,425,3.3249,2025-09-05 14:44:00+00:00
1757083560000,3.325,3.325,3.325,8,3.325,330,3.325,2025-09-05 14:46:00+00:00
1757083620000,3.32,3.3295,3.312,10,3.312,1269,3.323926,2025-09-05 14:47:00+00:00
1757083740000,3.311,3.311,3.31,19,3.31,1890,3.310239,2025-09-05 14:49:00+00:00
1757083800000,3.31,3.3162,3.31,19,3.3162,576,3.311455,2025-09-05 14:50:00+00:00
1757083860000,3.32,3.32,3.32,4,3.32,176,3.32,2025-09-05 14:51:00+00:00
1757083920000,3.32,3.32,3.32,15,3.32,346,3.32,2025-09-05 14:52:00+00:00
